"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"1",4,2,2,3,3,3,6,3,1,5
"2",4,2,2,1,1,1,6,1,3,5
"3",3,1,2,1,1,1,5,1,1,4
"4",3,1,2,1,1,1,5,1,1,4
"5",3,4,2,1,4,1,6,1,4,5
"6",2,4,1,3,4,3,6,3,4,5
"7",3,4,4,2,2,2,6,2,1,5
"8",1,3,2,3,3,3,5,3,3,4
"9",1,3,3,2,2,2,6,2,4,5
"10",2,1,3,1,1,1,5,1,1,4
"11",1,3,3,4,4,4,6,4,2,5
"12",2,1,3,1,1,1,5,1,1,4
"13",1,4,4,3,3,3,6,3,2,5
"14",1,3,2,3,3,3,5,3,3,4
"15",1,3,2,3,3,3,5,3,3,4
"16",1,2,2,3,3,3,6,3,4,5
"17",3,1,2,1,1,1,5,1,1,4
"18",2,1,3,1,1,1,5,1,1,4
"19",4,2,2,1,1,1,6,1,3,5
"20",2,4,1,3,4,3,6,3,4,5
"21",1,3,2,3,3,3,5,3,3,4
"22",1,3,3,2,2,2,6,2,4,5
"23",4,1,3,2,1,2,6,2,1,5
"24",2,1,3,1,1,1,5,1,1,4
"25",1,3,3,2,2,2,6,2,4,5
"26",2,4,4,1,1,1,6,1,3,5
"27",2,3,1,3,3,3,5,3,3,4
"28",3,2,2,4,4,4,6,4,1,5
"29",3,1,2,1,1,1,5,1,1,4
"30",1,3,2,4,3,4,6,4,3,5
"31",1,3,2,3,3,3,5,3,3,4
"32",3,4,2,1,4,1,6,1,4,5
"33",1,3,2,3,3,3,5,3,3,4
"34",3,2,1,2,2,2,5,2,2,4
"35",1,3,2,3,3,3,5,3,3,4
"36",2,3,1,3,3,3,5,3,3,4
"37",4,2,2,1,1,1,6,1,3,5
"38",2,3,1,3,3,3,5,3,3,4
"39",2,3,1,3,3,3,5,3,3,4
"40",2,1,1,3,3,3,6,3,4,5
"41",1,3,2,4,3,4,6,4,3,5
"42",3,1,2,1,1,1,5,1,1,4
"43",2,4,1,3,4,3,6,3,4,5
"44",3,2,2,4,4,4,6,4,1,5
"45",4,3,3,2,2,2,6,2,1,5
"46",3,1,2,1,1,1,5,1,1,4
"47",1,4,2,3,4,3,6,3,4,5
"48",4,2,3,1,2,1,6,1,2,5
"49",3,1,2,1,1,1,5,1,1,4
"50",4,2,2,1,1,1,6,1,3,5
"51",2,3,1,3,3,3,5,3,3,4
"52",2,1,3,1,1,1,5,1,1,4
"53",2,3,1,3,3,3,5,3,3,4
"54",4,3,3,1,1,1,6,1,2,5
"55",2,3,1,4,3,4,6,4,3,5
"56",4,1,1,2,2,2,6,2,3,5
"57",1,3,2,3,3,3,5,3,3,4
"58",2,3,1,3,3,3,5,3,3,4
"59",2,1,3,1,1,1,5,1,1,4
"60",2,3,1,3,3,3,5,3,3,4
"61",4,3,1,2,3,2,6,2,3,5
"62",2,1,3,1,1,1,5,1,1,4
"63",3,2,4,1,2,1,6,1,2,5
"64",1,3,3,4,4,4,6,4,2,5
"65",1,2,4,3,2,3,6,3,2,5
"66",1,2,2,3,3,3,6,3,4,5
"67",4,2,2,1,1,1,6,1,3,5
"68",2,3,1,4,3,4,6,4,3,5
"69",4,2,2,3,3,3,6,3,1,5
"70",1,3,2,3,3,3,5,3,3,4
"71",1,4,4,3,3,3,6,3,2,5
"72",1,3,2,4,3,4,6,4,3,5
"73",2,3,1,3,3,3,5,3,3,4
"74",4,1,3,2,1,2,6,2,1,5
"75",4,1,1,2,2,2,6,2,3,5
"76",2,1,3,1,1,1,5,1,1,4
"77",1,4,2,3,4,3,6,3,4,5
"78",2,3,1,3,3,3,5,3,3,4
"79",2,4,4,3,3,3,6,3,1,5
"80",2,1,3,1,1,1,5,1,1,4
"81",1,3,2,3,3,3,5,3,3,4
"82",4,3,1,2,3,2,6,2,3,5
"83",3,2,4,1,2,1,6,1,2,5
"84",2,1,3,1,1,1,5,1,1,4
"85",1,3,2,3,3,3,5,3,3,4
"86",2,4,4,3,3,3,6,3,1,5
"87",1,2,4,3,2,3,6,3,2,5
"88",2,3,1,3,3,3,5,3,3,4
"89",3,2,2,4,4,4,6,4,1,5
"90",1,3,3,2,2,2,6,2,4,5
"91",3,2,1,2,2,2,5,2,2,4
"92",3,1,2,1,1,1,5,1,1,4
"93",1,3,2,3,3,3,5,3,3,4
"94",3,2,1,2,2,2,5,2,2,4
"95",2,1,3,4,1,4,6,4,1,5
"96",2,3,1,3,3,3,5,3,3,4
"97",2,3,1,3,3,3,5,3,3,4
"98",2,1,1,4,4,4,6,4,3,5
"99",2,3,1,3,3,3,5,3,3,4
"100",2,3,1,3,3,3,5,3,3,4
