"","V1","V2","V3","V4","V5","V6","V7","V8","V9"
"1",3,3,3,1,4,2,5,1,3
"2",3,3,3,1,2,4,5,1,3
"3",2,2,2,4,3,1,5,4,2
"4",4,4,4,1,2,3,5,1,4
"5",2,3,2,1,5,4,6,1,3
"6",2,5,2,3,4,1,6,3,5
"7",3,3,3,2,1,4,5,2,3
"8",2,2,2,1,3,2,4,1,2
"9",4,2,4,1,5,3,6,1,2
"10",1,1,1,2,3,1,4,2,1
"11",3,3,3,1,2,4,5,1,3
"12",4,2,4,3,1,5,6,3,2
"13",3,3,3,2,4,1,5,2,3
"14",5,1,5,3,2,4,6,3,1
"15",2,2,2,4,1,3,5,4,2
"16",3,3,3,1,4,2,5,1,3
"17",4,5,4,3,2,1,6,3,5
"18",3,3,3,2,5,4,6,2,1
"19",2,2,2,1,3,4,5,1,2
"20",1,1,1,4,2,3,5,4,1
"21",2,2,2,3,1,2,4,3,2
"22",1,5,1,4,3,2,6,4,5
"23",2,2,2,1,4,3,5,1,2
"24",3,3,3,1,2,3,4,1,3
"25",2,2,2,3,1,4,5,3,2
"26",2,2,2,4,1,3,5,4,2
"27",1,1,1,3,2,1,4,3,1
"28",2,2,2,3,1,2,4,3,2
"29",2,2,2,3,1,2,4,3,2
"30",2,2,2,3,1,2,4,3,2
"31",3,2,2,1,2,2,4,1,2
"32",1,2,1,5,3,4,6,5,2
"33",3,3,3,4,1,2,5,4,3
"34",3,3,3,1,2,3,4,1,3
"35",4,1,4,3,2,5,6,3,1
"36",2,1,1,3,1,1,4,3,1
"37",2,2,2,4,3,1,5,4,2
"38",3,3,3,4,1,2,5,4,3
"39",4,4,4,1,2,3,5,1,4
"40",3,5,3,2,4,1,6,2,5
"41",1,2,1,4,3,5,6,4,2
"42",1,1,1,4,3,2,5,4,1
"43",3,2,2,1,2,2,4,1,2
"44",3,3,3,1,2,4,5,1,3
"45",5,1,5,3,2,4,6,3,1
"46",3,3,3,2,1,3,4,2,3
"47",3,1,3,5,2,4,6,5,1
"48",1,2,2,3,2,2,4,3,2
"49",3,3,3,2,1,3,4,2,3
"50",1,1,1,2,3,1,4,2,1
"51",1,2,1,5,3,4,6,5,2
"52",3,3,3,1,2,4,5,1,3
"53",1,2,2,3,2,2,4,3,2
"54",1,1,1,3,4,2,5,3,1
"55",4,2,4,3,1,5,6,3,2
"56",5,2,5,4,1,3,6,4,2
"57",2,2,2,1,3,2,4,1,2
"58",2,2,2,1,3,4,5,1,2
"59",3,2,2,1,2,2,4,1,2
"60",1,1,1,2,3,1,4,2,1
"61",3,3,3,2,1,3,4,2,3
"62",4,3,4,1,2,5,6,1,3
"63",2,3,2,4,5,1,6,4,3
"64",2,2,2,4,3,1,5,4,2
"65",4,2,4,1,3,5,6,1,2
"66",5,3,5,1,2,4,6,1,3
"67",2,2,2,4,3,1,5,4,2
"68",3,3,3,2,1,4,5,2,3
"69",2,4,2,3,5,1,6,3,4
"70",1,1,1,2,3,1,4,2,1
"71",3,3,3,1,2,3,4,1,3
"72",1,1,1,3,4,2,5,3,1
"73",1,1,1,3,4,2,5,3,1
"74",4,2,4,3,1,5,6,3,2
"75",3,5,3,1,4,2,6,1,5
"76",2,2,2,3,1,2,4,3,2
"77",2,2,2,1,3,4,5,1,2
"78",2,4,2,1,5,3,6,1,4
"79",3,3,3,2,1,3,4,2,3
"80",2,2,2,3,1,2,4,3,2
"81",1,1,1,3,4,2,5,3,1
"82",3,5,3,2,1,4,6,2,5
"83",1,1,1,3,4,2,5,3,1
"84",5,4,5,3,2,1,6,3,4
"85",2,2,2,3,4,1,5,3,2
"86",3,3,3,2,1,3,4,2,3
"87",3,5,3,2,4,1,6,2,5
"88",2,2,2,3,4,1,5,3,2
"89",1,1,1,4,2,3,5,4,1
"90",2,2,2,1,3,2,4,1,2
"91",2,2,2,3,1,2,4,3,2
"92",2,2,2,1,3,2,4,1,2
"93",3,3,3,2,1,3,4,2,3
"94",3,4,3,2,5,1,6,2,4
"95",3,4,3,1,2,5,6,1,4
"96",2,2,2,1,3,2,4,1,2
"97",4,4,4,2,1,3,5,2,4
"98",1,1,1,4,3,2,5,4,1
"99",3,4,3,5,1,2,6,5,4
"100",3,3,3,1,2,3,4,1,3
