"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"1",3,4,3,4,2,6,5,4,4,1
"2",3,1,3,1,4,6,5,1,1,2
"3",4,3,4,3,1,5,6,3,3,2
"4",4,2,4,2,3,5,6,2,2,1
"5",1,2,1,2,4,6,5,2,2,3
"6",4,2,4,2,1,6,5,2,2,3
"7",1,4,1,4,2,6,5,4,4,3
"8",4,3,4,3,1,5,6,3,3,2
"9",4,2,4,2,1,5,6,2,2,3
"10",3,1,3,1,4,5,6,1,1,2
"11",3,1,3,1,4,5,6,1,1,2
"12",2,3,2,3,4,6,5,3,3,1
"13",3,4,3,4,1,5,6,4,4,2
"14",2,1,2,1,4,5,6,1,1,3
"15",3,2,3,2,4,6,5,2,2,1
"16",3,1,3,1,4,6,5,1,1,2
"17",1,2,1,2,4,5,6,2,2,3
"18",4,2,4,2,3,6,5,2,2,1
"19",3,1,3,1,4,5,6,1,1,2
"20",4,2,4,2,3,6,5,2,2,1
"21",2,3,2,3,4,6,5,3,3,1
"22",3,1,3,1,4,6,5,1,1,2
"23",1,3,1,3,2,6,5,3,3,4
"24",2,3,2,3,4,5,6,3,3,1
"25",4,2,4,2,3,6,5,2,2,1
"26",1,4,1,4,2,6,5,4,4,3
"27",2,3,2,3,1,5,6,3,3,4
"28",2,3,2,3,1,6,5,3,3,4
"29",4,3,4,3,1,5,6,3,3,2
"30",1,4,1,4,3,6,5,4,4,2
"31",1,4,1,4,3,5,6,4,4,2
"32",1,4,1,4,3,6,5,4,4,2
"33",1,2,1,2,4,6,5,2,2,3
"34",4,3,4,3,1,6,5,3,3,2
"35",1,3,1,3,4,6,5,3,3,2
"36",1,3,1,3,2,6,5,3,3,4
"37",1,2,1,2,3,5,6,2,2,4
"38",1,2,1,2,4,5,6,2,2,3
"39",4,2,4,2,3,6,5,2,2,1
"40",2,1,2,1,4,6,5,1,1,3
"41",4,1,4,1,3,6,5,1,1,2
"42",3,1,3,1,4,6,5,1,1,2
"43",1,4,1,4,2,5,6,4,4,3
"44",3,1,3,1,4,6,5,1,1,2
"45",1,2,1,2,4,6,5,2,2,3
"46",3,2,3,2,4,5,6,2,2,1
"47",3,1,3,1,4,6,5,1,1,2
"48",4,2,4,2,1,6,5,2,2,3
"49",3,1,3,1,4,6,5,1,1,2
"50",2,4,2,4,1,5,6,4,4,3
"51",4,2,4,2,3,6,5,2,2,1
"52",1,2,1,2,4,6,5,2,2,3
"53",3,2,3,2,4,6,5,2,2,1
"54",2,1,2,1,3,5,6,1,1,4
"55",4,1,4,1,3,6,5,1,1,2
"56",2,4,2,4,1,6,5,4,4,3
"57",2,4,2,4,1,6,5,4,4,3
"58",1,3,1,3,4,5,6,3,3,2
"59",1,3,1,3,2,6,5,3,3,4
"60",4,3,4,3,1,6,5,3,3,2
"61",3,4,3,4,1,6,5,4,4,2
"62",4,3,4,3,1,6,5,3,3,2
"63",1,3,1,3,4,5,6,3,3,2
"64",1,4,1,4,2,6,5,4,4,3
"65",2,3,2,3,4,6,5,3,3,1
"66",3,1,3,1,4,6,5,1,1,2
"67",4,3,4,3,1,5,6,3,3,2
"68",1,2,1,2,3,5,6,2,2,4
"69",1,4,1,4,2,6,5,4,4,3
"70",1,3,1,3,4,5,6,3,3,2
"71",4,1,4,1,3,6,5,1,1,2
"72",3,2,3,2,4,5,6,2,2,1
"73",4,2,4,2,1,6,5,2,2,3
"74",1,3,1,3,4,6,5,3,3,2
"75",2,1,2,1,4,6,5,1,1,3
"76",4,1,4,1,3,6,5,1,1,2
"77",2,4,2,4,1,6,5,4,4,3
"78",1,3,1,3,4,5,6,3,3,2
"79",4,2,4,2,1,6,5,2,2,3
"80",1,3,1,3,2,6,5,3,3,4
"81",2,1,2,1,4,6,5,1,1,3
"82",3,2,3,2,4,5,6,2,2,1
"83",2,1,2,1,4,5,6,1,1,3
"84",4,2,4,2,3,6,5,2,2,1
"85",2,1,2,1,3,6,5,1,1,4
"86",1,4,1,4,2,6,5,4,4,3
"87",3,2,3,2,4,6,5,2,2,1
"88",4,2,4,2,3,6,5,2,2,1
"89",2,1,2,1,4,6,5,1,1,3
"90",2,3,2,3,1,5,6,3,3,4
"91",3,1,3,1,2,6,5,1,1,4
"92",4,1,4,1,3,5,6,1,1,2
"93",4,3,4,3,1,5,6,3,3,2
"94",4,3,4,3,1,5,6,3,3,2
"95",1,3,1,3,4,6,5,3,3,2
"96",4,2,4,2,1,6,5,2,2,3
"97",1,3,1,3,2,6,5,3,3,4
"98",2,4,2,4,1,5,6,4,4,3
"99",2,3,2,3,1,6,5,3,3,4
"100",3,2,3,2,1,6,5,2,2,4
