"","V1","V2","V3","V4","V5","V6","V7","V8"
"1",3,2,6,4,4,5,5,1
"2",3,2,5,2,2,4,4,1
"3",3,1,4,1,1,1,2,1
"4",4,2,5,2,2,2,1,3
"5",4,1,5,1,1,2,2,3
"6",1,4,6,2,2,3,3,5
"7",2,4,5,4,4,1,1,3
"8",4,3,5,3,3,2,2,1
"9",1,3,6,2,2,5,5,4
"10",1,4,5,4,4,2,2,3
"11",5,4,6,2,2,1,1,3
"12",1,3,4,3,3,2,2,3
"13",5,3,6,1,1,4,4,2
"14",3,2,5,2,2,4,4,1
"15",3,1,5,1,1,2,2,4
"16",5,3,6,4,4,1,1,2
"17",2,1,4,1,1,1,3,1
"18",3,4,5,4,4,1,1,2
"19",3,1,5,1,1,4,4,2
"20",2,4,5,4,4,3,3,1
"21",4,2,5,2,2,3,3,1
"22",4,3,5,3,3,1,1,2
"23",3,2,5,2,2,2,1,4
"24",2,4,6,1,1,5,5,3
"25",4,2,6,3,3,5,5,1
"26",1,4,5,4,4,2,2,3
"27",2,3,5,3,3,1,1,4
"28",5,4,6,1,1,2,2,3
"29",4,2,5,2,2,3,3,1
"30",3,2,5,2,2,4,4,1
"31",4,1,5,1,1,3,3,2
"32",1,4,5,4,4,2,2,3
"33",1,2,5,2,2,4,4,3
"34",5,3,6,4,4,1,1,2
"35",4,3,5,3,3,3,2,1
"36",3,4,5,4,4,2,2,1
"37",1,2,5,2,2,4,4,3
"38",2,3,6,5,5,1,1,4
"39",1,3,5,3,3,2,2,4
"40",1,2,5,2,2,4,4,3
"41",1,5,6,2,2,3,3,4
"42",3,2,5,2,2,2,4,1
"43",1,4,5,4,4,2,2,3
"44",1,4,6,3,3,2,2,5
"45",1,4,5,4,4,2,2,3
"46",3,2,5,2,2,1,1,4
"47",1,4,5,4,4,2,2,3
"48",2,3,5,3,3,1,1,4
"49",4,3,5,3,3,1,1,2
"50",2,3,5,3,3,4,4,1
"51",4,1,5,1,1,2,2,3
"52",2,1,5,1,1,3,3,4
"53",3,4,5,4,4,4,2,1
"54",2,4,5,4,4,1,1,3
"55",3,1,4,1,1,2,2,1
"56",5,2,6,3,3,4,4,1
"57",2,4,5,4,4,3,3,1
"58",4,2,5,2,2,1,1,3
"59",2,3,6,4,4,1,1,5
"60",4,3,5,3,3,1,1,2
"61",2,4,5,4,4,3,3,1
"62",4,2,5,2,2,3,3,1
"63",1,2,6,5,5,3,3,4
"64",3,2,5,2,2,2,4,1
"65",2,1,6,3,3,5,5,4
"66",2,1,5,1,1,3,3,4
"67",4,3,6,1,1,5,5,2
"68",4,1,5,1,1,3,3,2
"69",3,4,6,1,1,2,2,5
"70",2,4,5,4,4,1,1,3
"71",1,3,5,3,3,2,2,4
"72",1,3,5,3,2,3,4,2
"73",1,2,5,2,2,3,3,4
"74",3,1,5,1,1,2,2,4
"75",2,4,5,4,4,1,1,3
"76",3,1,5,1,1,4,4,2
"77",5,4,6,1,1,2,2,3
"78",3,4,5,4,4,1,1,2
"79",4,1,5,1,1,2,2,3
"80",4,1,5,1,1,2,2,3
"81",2,3,5,3,3,1,1,4
"82",5,2,6,4,4,1,1,3
"83",1,5,6,3,3,2,2,4
"84",4,2,5,2,2,3,3,1
"85",4,3,5,3,3,1,1,2
"86",3,1,6,5,5,2,2,4
"87",4,1,6,3,3,2,2,5
"88",2,4,6,1,1,3,3,5
"89",1,3,5,3,3,4,4,2
"90",2,4,5,4,4,1,1,3
"91",1,3,5,3,3,4,4,2
"92",1,3,5,3,3,4,4,2
"93",3,1,5,1,1,4,4,2
"94",1,2,5,2,2,4,4,3
"95",3,1,5,1,1,4,4,2
"96",1,3,5,3,3,2,2,4
"97",5,3,6,1,1,4,4,2
"98",1,4,5,4,4,2,2,3
"99",1,3,5,3,3,2,2,4
"100",2,4,5,4,4,1,1,3
