"","V1","V2","V3","V4","V5","V6","V7","V8"
"1",3,1,5,2,3,2,5,4
"2",3,2,5,6,4,6,5,1
"3",3,2,5,6,4,6,5,1
"4",5,1,2,4,3,4,2,6
"5",4,2,5,6,3,6,5,1
"6",2,4,5,6,3,6,5,1
"7",2,6,4,1,3,1,4,5
"8",4,5,3,2,4,2,3,1
"9",2,1,5,6,3,6,5,4
"10",3,4,5,2,3,2,5,1
"11",1,5,4,2,1,2,4,3
"12",3,1,4,2,3,2,4,5
"13",4,3,2,6,5,6,2,1
"14",4,6,5,2,3,2,5,1
"15",3,5,6,4,2,4,6,1
"16",5,4,2,1,5,1,2,3
"17",5,2,3,4,6,4,3,1
"18",5,2,1,4,6,4,1,3
"19",1,5,6,3,2,3,6,4
"20",2,1,5,4,2,4,5,3
"21",4,5,2,6,3,6,2,1
"22",6,1,4,3,5,3,4,2
"23",3,4,5,1,3,1,5,2
"24",4,5,6,1,3,1,6,2
"25",2,1,5,4,2,4,5,3
"26",4,1,2,3,5,3,2,6
"27",2,6,4,5,3,5,4,1
"28",6,2,3,4,5,4,3,1
"29",2,3,5,4,1,4,5,6
"30",4,5,2,1,4,1,2,3
"31",3,4,5,2,3,2,5,1
"32",5,6,3,2,4,2,3,1
"33",3,4,1,5,3,5,1,2
"34",3,6,5,1,4,1,5,2
"35",6,3,2,4,5,4,2,1
"36",1,6,3,4,2,4,3,5
"37",5,1,2,3,4,3,2,6
"38",3,2,1,5,4,5,1,6
"39",1,5,2,3,6,3,2,4
"40",4,5,6,1,3,1,6,2
"41",2,6,1,5,3,5,1,4
"42",3,4,2,5,3,5,2,1
"43",4,3,1,2,4,2,1,5
"44",2,3,6,4,1,4,6,5
"45",5,2,3,4,6,4,3,1
"46",3,4,5,1,2,1,5,6
"47",5,4,3,1,6,1,3,2
"48",3,6,2,5,4,5,2,1
"49",4,3,5,2,4,2,5,1
"50",6,2,3,1,5,1,3,4
"51",3,5,1,4,3,4,1,2
"52",5,1,3,2,4,2,3,6
"53",5,4,1,2,5,2,1,3
"54",3,5,1,2,3,2,1,4
"55",4,2,1,5,4,5,1,3
"56",2,5,1,3,2,3,1,4
"57",5,3,2,4,6,4,2,1
"58",4,2,6,1,5,1,6,3
"59",5,3,2,4,5,4,2,1
"60",5,4,2,1,5,1,2,3
"61",4,2,1,5,4,5,1,3
"62",4,5,1,3,4,3,1,2
"63",2,1,4,5,2,5,4,3
"64",2,3,5,1,2,1,5,4
"65",4,3,1,5,4,5,1,2
"66",4,3,2,5,4,5,2,1
"67",1,4,6,3,2,3,6,5
"68",2,1,4,5,3,5,4,6
"69",4,1,2,5,4,5,2,3
"70",2,1,4,5,2,5,4,3
"71",5,2,1,4,5,4,1,3
"72",2,5,1,6,3,6,1,4
"73",3,1,6,2,4,2,6,5
"74",1,5,3,4,2,4,3,6
"75",4,1,6,3,5,3,6,2
"76",1,2,4,3,1,3,4,5
"77",3,2,1,4,3,4,1,5
"78",4,3,2,5,4,5,2,1
"79",4,6,3,2,5,2,3,1
"80",2,1,5,4,3,4,5,6
"81",1,2,4,5,1,5,4,3
"82",4,1,5,2,3,2,5,6
"83",2,3,4,5,2,5,4,1
"84",5,3,1,2,4,2,1,6
"85",2,1,3,4,2,4,3,5
"86",2,6,5,4,1,4,5,3
"87",1,2,3,6,4,6,3,5
"88",4,3,5,2,4,2,5,1
"89",1,4,6,3,2,3,6,5
"90",4,1,5,2,4,2,5,3
"91",6,2,4,1,5,1,4,3
"92",4,6,5,1,3,1,5,2
"93",5,6,1,3,4,3,1,2
"94",3,2,5,1,3,1,5,4
"95",3,1,5,2,3,2,5,4
"96",2,5,3,1,2,1,3,4
"97",5,4,3,2,6,2,3,1
"98",5,2,6,1,4,1,6,3
"99",3,1,4,2,3,2,4,5
"100",2,3,4,1,2,1,4,5
