"","V1","V2","V3","V4","V5","V6","V7"
"1",3,2,3,2,4,4,1
"2",3,2,3,2,4,4,1
"3",2,1,2,1,4,4,3
"4",1,2,1,2,4,4,3
"5",2,1,2,1,4,4,3
"6",1,2,1,2,4,4,3
"7",3,1,3,1,4,4,2
"8",2,3,2,3,4,4,1
"9",1,3,1,3,4,4,2
"10",3,1,3,1,4,4,2
"11",2,3,2,3,4,4,1
"12",3,1,3,1,4,4,2
"13",3,1,3,1,4,4,2
"14",1,3,1,3,4,4,2
"15",2,1,2,1,4,4,3
"16",1,3,1,3,4,4,2
"17",2,1,2,1,4,4,3
"18",2,3,2,3,4,4,1
"19",3,1,3,1,4,4,2
"20",2,3,2,3,4,4,1
"21",3,1,3,1,4,4,2
"22",2,1,2,1,4,4,3
"23",3,1,3,1,4,4,2
"24",2,3,2,3,4,4,1
"25",2,3,2,3,4,4,1
"26",1,3,1,3,4,4,2
"27",2,1,2,1,4,4,3
"28",1,2,1,2,4,4,3
"29",1,3,1,3,4,4,2
"30",1,3,1,3,4,4,2
"31",3,2,3,2,4,4,1
"32",2,3,2,3,4,4,1
"33",1,3,1,3,4,4,2
"34",2,1,2,1,4,4,3
"35",1,2,1,2,4,4,3
"36",2,1,2,1,4,4,3
"37",1,2,1,2,4,4,3
"38",2,1,2,1,4,4,3
"39",3,2,3,2,4,4,1
"40",3,1,3,1,4,4,2
"41",2,3,2,3,4,4,1
"42",3,2,3,2,4,4,1
"43",1,3,1,3,4,4,2
"44",2,3,2,3,4,4,1
"45",1,3,1,3,4,4,2
"46",1,3,1,3,4,4,2
"47",2,3,2,3,4,4,1
"48",1,3,1,3,4,4,2
"49",2,1,2,1,4,4,3
"50",1,2,1,2,4,4,3
"51",2,3,2,3,4,4,1
"52",1,2,1,2,4,4,3
"53",1,3,1,3,4,4,2
"54",1,2,1,2,4,4,3
"55",2,3,2,3,4,4,1
"56",2,1,2,1,4,4,3
"57",2,3,2,3,4,4,1
"58",3,1,3,1,4,4,2
"59",1,3,1,3,4,4,2
"60",1,3,1,3,4,4,2
"61",1,2,1,2,4,4,3
"62",3,2,3,2,4,4,1
"63",2,3,2,3,4,4,1
"64",2,1,2,1,4,4,3
"65",3,2,3,2,4,4,1
"66",2,3,2,3,4,4,1
"67",3,2,3,2,4,4,1
"68",2,3,2,3,4,4,1
"69",1,3,1,3,4,4,2
"70",1,3,1,3,4,4,2
"71",2,3,2,3,4,4,1
"72",1,3,1,3,4,4,2
"73",3,1,3,1,4,4,2
"74",2,1,2,1,4,4,3
"75",2,3,2,3,4,4,1
"76",3,2,3,2,4,4,1
"77",3,1,3,1,4,4,2
"78",3,2,3,2,4,4,1
"79",3,2,3,2,4,4,1
"80",2,1,2,1,4,4,3
"81",2,3,2,3,4,4,1
"82",2,3,2,3,4,4,1
"83",2,1,2,1,4,4,3
"84",1,2,1,2,4,4,3
"85",3,2,3,2,4,4,1
"86",3,2,3,2,4,4,1
"87",2,3,2,3,4,4,1
"88",3,2,3,2,4,4,1
"89",1,3,1,3,4,4,2
"90",2,3,2,3,4,4,1
"91",1,3,1,3,4,4,2
"92",1,3,1,3,4,4,2
"93",2,3,2,3,4,4,1
"94",2,3,2,3,4,4,1
"95",2,1,2,1,4,4,3
"96",2,3,2,3,4,4,1
"97",2,1,2,1,4,4,3
"98",2,1,2,1,4,4,3
"99",1,2,1,2,4,4,3
"100",1,3,1,3,4,4,2
