"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102"
"1",13,10,13,13,10,10,13,13,13,8,7,8,7,13,13,13,13,8,7,4,4,10,10,13,7,3,8,13,13,13,13,13,8,13,10,8,2,13,7,7,7,2,6,10,13,2,8,8,8,13,10,2,2,13,8,4,13,2,2,13,13,8,2,8,10,13,13,10,7,2,2,4,7,2,10,10,2,7,13,7,13,2,7,7,3,13,7,13,13,13,13,13,13,10,8,10,13,4,13,10,13,2
"2",3,2,3,3,2,2,3,3,3,1,5,1,7,3,3,3,3,1,5,5,5,2,2,3,7,7,1,3,3,3,3,3,1,3,2,1,6,3,5,5,10,6,6,2,3,6,1,1,1,3,2,6,6,3,1,10,3,6,6,3,3,1,6,1,2,3,3,2,5,6,6,5,5,6,2,2,6,5,3,5,3,6,5,5,7,3,5,3,3,3,3,3,3,2,1,2,3,10,3,2,3,6
"3",2,5,2,2,5,5,2,2,2,1,6,1,4,2,2,2,2,1,6,10,7,5,5,2,4,4,1,2,2,2,2,2,7,2,5,1,9,2,6,6,7,9,6,5,2,9,7,7,7,2,5,1,9,2,1,7,2,9,9,2,2,1,9,7,5,2,2,5,6,9,9,10,6,9,5,5,9,6,2,6,2,9,6,6,4,2,6,2,2,2,2,2,2,5,1,5,2,7,2,5,2,9
"4",1,7,1,1,7,7,1,1,1,6,4,6,8,1,1,1,1,6,4,5,4,7,7,1,8,8,6,1,1,1,1,1,6,1,7,6,2,1,4,4,4,2,5,7,1,2,6,6,6,1,7,2,2,1,6,4,1,2,2,1,1,6,2,6,7,1,1,7,4,2,2,5,4,2,7,7,2,4,1,4,1,2,4,4,8,1,4,1,1,1,1,1,1,7,6,7,1,4,1,7,1,2
"5",9,6,9,9,6,6,9,9,9,2,4,2,11,9,9,9,9,2,4,12,12,6,6,9,11,11,2,9,9,9,9,9,1,9,6,2,8,9,4,4,12,8,11,6,9,8,1,1,1,9,6,2,8,9,2,12,9,8,8,9,9,2,8,1,6,9,9,6,4,8,8,12,4,8,6,6,8,4,9,4,9,8,4,4,11,9,4,9,9,9,9,9,9,6,2,6,9,12,9,6,9,8
"6",7,2,7,7,2,2,7,7,7,1,4,1,2,7,7,7,7,1,4,3,3,2,2,7,2,2,1,7,7,7,7,7,1,7,2,1,10,7,4,4,1,10,6,2,7,10,1,1,1,7,2,10,10,7,1,5,7,10,10,7,7,1,10,1,2,7,7,2,4,10,10,3,4,10,2,2,10,4,7,4,7,10,4,4,2,7,4,7,7,7,7,7,7,2,1,2,7,5,7,2,7,10
"7",3,1,3,3,1,1,3,3,3,7,9,7,6,3,3,3,3,7,9,5,5,1,1,3,6,6,7,3,3,3,3,3,8,3,1,7,2,3,9,9,8,2,6,1,3,2,8,8,5,3,1,7,2,3,7,8,3,2,2,3,3,7,2,8,1,3,3,1,9,2,2,5,9,2,1,1,2,9,3,9,3,2,9,9,6,3,9,3,3,3,3,3,3,1,7,1,3,8,3,1,3,2
"8",7,3,7,7,3,3,7,7,7,4,5,4,2,7,7,7,7,4,5,1,1,3,3,7,2,2,4,7,7,7,7,7,4,7,3,4,2,7,5,5,4,2,7,3,7,2,4,4,4,7,3,4,2,7,4,1,7,2,2,7,7,4,3,4,3,7,7,3,5,2,2,1,5,2,3,3,2,5,7,5,7,2,5,5,2,7,5,7,7,7,7,7,7,3,4,3,7,1,7,3,7,2
"9",3,6,3,3,6,6,3,3,3,1,7,1,2,3,3,3,3,1,7,1,12,6,6,3,2,2,1,3,3,3,3,3,1,3,6,1,8,3,7,7,5,8,12,6,3,8,1,1,1,3,6,8,8,3,6,5,3,8,8,3,3,1,8,1,6,3,3,6,7,8,8,1,7,8,6,6,8,7,3,7,3,8,7,7,2,3,7,3,3,3,3,3,3,6,1,6,3,5,3,6,3,8
"10",6,2,6,6,2,2,6,6,6,1,3,1,8,6,6,6,6,1,3,3,3,2,2,6,8,8,1,6,6,6,6,6,1,6,2,1,8,6,3,3,1,8,7,2,6,8,1,1,1,6,2,1,8,6,1,7,6,8,8,6,6,1,2,1,2,6,6,2,3,8,8,3,3,8,2,2,8,3,6,3,6,8,3,3,8,6,3,6,6,6,6,6,6,2,1,2,6,7,6,2,6,8
