"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13"
"1",1,1,1,1,4,3,2,3,3,3,2,2,2
"2",5,5,5,5,1,4,2,4,4,4,2,2,2
"3",3,3,3,3,4,1,1,1,1,1,1,1,1
"4",4,4,4,4,5,3,3,3,3,3,3,3,3
"5",3,3,3,3,5,2,1,2,2,2,1,1,1
"6",5,5,5,5,2,4,3,4,4,4,3,3,3
"7",4,4,4,4,1,2,3,2,2,2,3,3,3
"8",3,3,3,3,5,4,2,4,4,4,2,2,2
"9",1,1,1,1,5,2,2,2,2,2,2,2,2
"10",1,1,1,1,8,7,7,7,7,7,7,7,7
"11",1,1,1,1,5,3,2,3,3,3,2,2,2
"12",8,8,8,8,1,3,3,3,3,3,3,3,3
"13",5,5,5,5,1,4,4,4,4,4,4,4,4
"14",4,4,4,4,6,5,5,5,5,5,5,5,5
"15",3,3,3,3,6,1,1,1,1,1,1,1,1
"16",1,1,1,1,2,5,6,5,5,5,6,6,6
"17",6,6,6,6,5,2,2,2,2,2,2,2,2
"18",1,1,1,1,2,3,4,3,3,3,4,4,4
"19",5,5,5,5,4,3,3,3,3,3,3,3,3
"20",4,4,4,4,5,3,1,3,3,3,1,1,1
"21",3,3,3,3,1,5,2,5,5,5,2,2,2
"22",4,4,4,4,1,5,3,5,5,5,3,3,3
"23",5,5,5,5,1,6,7,6,6,6,7,7,7
"24",5,5,5,5,2,3,4,3,3,3,4,4,4
"25",5,5,5,5,3,4,7,4,4,4,7,7,7
"26",5,5,5,5,1,4,3,4,4,4,3,3,3
"27",5,5,5,5,2,1,3,1,1,1,3,3,3
"28",1,1,1,1,5,3,3,3,3,3,3,3,3
"29",4,4,4,4,1,3,5,3,3,3,5,5,5
"30",3,3,3,3,5,1,1,1,1,1,1,1,1
"31",1,1,1,1,3,4,4,4,4,4,4,4,4
"32",10,10,10,10,4,8,8,8,8,8,8,8,8
"33",3,3,3,3,4,1,1,1,1,1,1,1,1
"34",1,1,1,1,3,2,2,2,2,2,2,2,2
"35",2,2,2,2,3,4,1,4,4,4,1,1,1
"36",1,1,1,1,4,5,5,5,5,5,5,5,5
"37",1,1,1,1,4,5,2,5,5,5,2,2,2
"38",5,5,5,5,8,9,9,9,9,9,9,9,9
"39",2,2,2,2,4,1,1,1,1,1,1,1,1
"40",5,5,5,5,4,2,1,2,2,2,1,1,1
"41",3,3,3,3,7,2,2,2,2,2,2,2,2
"42",2,2,2,2,5,1,3,1,1,1,3,3,3
"43",3,3,3,3,5,1,2,1,1,1,2,2,2
"44",6,6,6,6,5,2,2,2,2,2,2,2,2
"45",1,1,1,1,4,2,2,2,2,2,2,2,2
"46",3,3,3,3,1,2,2,2,2,2,2,2,2
"47",1,1,1,1,4,3,5,3,3,3,5,5,5
"48",1,1,1,1,2,5,5,5,5,5,5,5,5
"49",1,1,1,1,4,3,5,3,3,3,5,5,5
"50",2,2,2,2,1,8,8,8,8,8,8,8,8
"51",1,1,1,1,5,3,3,3,3,3,3,3,3
"52",7,7,7,7,2,8,8,8,8,8,8,8,8
"53",2,2,2,2,3,4,4,4,4,4,4,4,4
"54",2,2,2,2,1,3,5,3,3,3,5,5,5
"55",4,4,4,4,1,3,3,3,3,3,3,3,3
"56",3,3,3,3,4,2,5,2,2,2,5,5,5
"57",3,3,3,3,4,1,1,1,1,1,1,1,1
"58",1,1,1,1,5,3,4,3,3,3,4,4,4
"59",5,5,5,5,3,1,4,1,1,1,4,4,4
"60",5,5,5,5,2,1,1,1,1,1,1,1,1
"61",3,3,3,3,5,2,4,2,2,2,4,4,4
"62",5,5,5,5,6,1,3,1,1,1,3,3,3
"63",6,6,6,6,2,4,4,4,4,4,4,4,4
"64",2,2,2,2,5,4,4,4,4,4,4,4,4
"65",2,2,2,2,1,5,3,5,5,5,3,3,3
"66",1,1,1,1,4,3,5,3,3,3,5,5,5
"67",3,3,3,3,4,5,5,5,5,5,5,5,5
"68",3,3,3,3,6,1,1,1,1,1,1,1,1
"69",4,4,4,4,3,2,2,2,2,2,2,2,2
"70",5,5,5,5,1,2,2,2,2,2,2,2,2
"71",3,3,3,3,7,2,2,2,2,2,2,2,2
"72",4,4,4,4,6,5,5,5,5,5,5,5,5
"73",1,1,1,1,2,7,7,7,7,7,7,7,7
"74",5,5,5,5,3,2,1,2,2,2,1,1,1
"75",3,3,3,3,1,2,2,2,2,2,2,2,2
"76",3,3,3,3,4,2,1,2,2,2,1,1,1
"77",5,5,5,5,1,3,4,3,3,3,4,4,4
"78",1,1,1,1,2,3,4,3,3,3,4,4,4
"79",1,1,1,1,3,6,2,6,6,6,2,2,2
"80",1,1,1,1,6,4,4,4,4,4,4,4,4
"81",7,7,7,7,5,4,6,4,4,4,6,6,6
"82",2,2,2,2,4,5,1,5,5,5,1,1,1
"83",5,5,5,5,4,2,1,2,2,2,1,1,1
"84",8,8,8,8,1,4,4,4,4,4,4,4,4
"85",2,2,2,2,3,6,5,6,6,6,5,5,5
"86",5,5,5,5,2,3,1,3,3,3,1,1,1
"87",4,4,4,4,5,2,3,2,2,2,3,3,3
"88",2,2,2,2,4,1,1,1,1,1,1,1,1
"89",5,5,5,5,4,12,12,12,12,12,12,12,12
"90",7,7,7,7,1,10,10,10,10,10,10,10,10
