"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83"
"1",2,6,1,5,6,1,4,5,1,4,3,2,1,3,4,2,2,4,6,3,4,5,7,3,4,6,6,6,6,7,7,5,3,4,3,6,1,1,1,6,1,1,6,2,3,5,4,5,6,7,1,6,7,7,7,7,6,6,6,3,4,1,1,1,1,1,6,1,3,1,3,1,3,2,3,1,6,6,3,6,1,1,5
"2",4,2,7,1,5,7,1,1,7,1,7,3,4,6,1,1,4,3,3,6,1,1,1,2,1,1,1,5,1,1,7,5,2,5,6,1,7,7,6,2,4,7,5,5,2,6,5,6,1,5,6,5,5,1,6,5,5,7,5,2,3,7,7,7,7,7,3,7,2,4,4,7,2,2,2,6,5,5,6,6,2,2,6
"3",12,13,3,2,10,6,2,2,9,2,13,3,6,1,2,3,12,4,2,1,2,2,8,8,2,2,2,10,2,8,6,10,13,4,5,2,9,6,13,13,12,6,10,8,8,5,4,5,2,1,13,10,1,8,1,1,10,6,10,13,4,6,9,9,6,6,5,9,13,12,13,6,8,12,10,9,10,10,5,9,4,4,5
"4",4,7,4,10,12,1,10,10,2,10,4,13,1,10,10,4,4,13,10,10,2,2,2,8,10,10,10,12,10,13,1,8,11,12,7,10,2,1,9,11,4,1,12,5,8,7,13,7,10,13,9,12,13,13,13,13,12,1,12,11,13,1,2,2,1,1,5,2,11,4,4,1,8,11,8,9,8,12,7,9,3,3,7
"5",3,4,3,10,8,3,10,10,3,10,7,9,3,2,10,3,7,9,9,2,3,6,6,7,9,8,4,8,8,6,6,8,7,2,10,2,3,3,1,4,3,3,2,6,7,7,12,4,8,6,1,8,6,6,4,6,8,8,8,7,12,3,3,3,3,3,9,3,7,3,7,3,7,7,7,1,8,8,10,1,1,1,7
"6",8,7,8,4,3,8,4,4,2,4,9,6,8,4,4,4,9,6,2,4,4,4,1,5,4,7,7,7,7,1,8,5,9,6,5,7,2,8,2,7,8,8,3,9,5,1,1,1,7,6,2,3,6,1,6,6,3,7,5,9,1,8,2,2,8,8,2,8,9,8,9,8,5,9,5,2,5,3,9,3,4,4,1
"7",5,7,6,1,2,6,1,1,6,1,4,5,6,7,1,5,5,4,1,4,1,1,4,7,1,1,1,2,1,4,6,7,7,2,3,1,6,6,3,7,6,6,2,4,7,3,4,3,1,4,3,2,4,4,4,7,2,6,2,7,4,6,6,6,6,6,3,6,7,6,5,6,7,5,7,2,7,2,3,2,1,1,3
"8",2,4,2,3,1,5,2,3,4,3,2,3,5,3,2,2,2,3,1,7,2,7,6,1,3,2,2,4,2,6,5,4,6,3,1,2,4,5,7,4,1,5,3,1,6,7,7,7,2,7,6,1,6,6,7,7,1,5,4,6,1,5,4,4,5,5,1,4,6,2,7,5,1,6,4,4,1,5,6,4,1,1,7
"9",19,23,19,10,22,14,19,10,15,22,11,22,14,11,19,19,19,11,19,11,19,20,20,18,22,19,19,5,19,6,14,5,6,22,18,19,15,14,6,23,18,14,22,17,6,16,20,16,19,20,6,22,1,6,16,1,22,14,5,6,19,14,15,15,14,14,18,15,11,19,18,14,18,18,5,15,18,14,18,15,7,7,16
"10",8,7,8,9,7,8,9,9,8,9,4,7,8,9,9,9,9,4,6,5,9,3,3,1,7,5,6,5,5,3,3,1,9,7,1,5,8,8,2,7,8,8,7,4,1,7,3,7,5,3,2,7,3,3,3,3,7,5,1,9,3,8,8,8,8,8,7,8,4,8,4,8,1,4,1,2,1,7,7,2,1,1,7
"11",8,22,8,4,2,17,8,4,5,2,21,2,17,5,8,8,8,21,8,5,8,1,16,3,2,8,8,2,8,16,16,15,3,2,3,8,5,17,18,22,3,17,2,11,3,1,9,1,8,9,18,2,15,16,9,15,2,17,2,3,9,17,5,5,17,17,18,5,21,8,18,17,3,18,3,22,2,17,3,22,2,2,1
"12",4,8,3,1,2,3,1,1,5,1,3,4,3,11,1,4,4,3,10,11,4,12,9,6,1,9,10,2,10,9,9,2,11,1,10,6,5,3,6,8,6,3,2,5,9,12,7,12,10,7,6,2,9,9,7,7,2,10,2,11,4,3,5,5,3,3,10,5,11,6,6,3,6,11,11,5,2,2,11,5,5,5,12
