"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18"
"1",6,8,8,3,7,7,1,7,2,1,1,1,1,6,6,6,2,8
"2",3,7,7,1,4,4,12,4,5,10,10,12,10,3,3,3,5,7
"3",7,5,5,1,3,3,6,3,2,6,6,6,6,7,7,7,2,5
"4",2,3,3,4,5,5,4,5,1,4,4,4,4,2,2,2,1,3
"5",2,3,3,5,7,7,4,7,7,4,4,4,4,2,2,2,6,3
"6",6,7,7,4,5,5,3,5,2,3,3,3,3,6,6,6,2,7
"7",5,1,1,3,8,8,2,8,4,2,2,2,2,5,5,5,7,1
"8",1,5,5,4,4,4,3,4,2,3,3,3,3,1,1,1,2,5
"9",5,9,9,9,10,10,3,10,2,3,3,3,3,5,5,5,1,9
"10",2,6,6,1,4,4,5,4,3,5,5,5,5,2,2,2,3,6
"11",6,5,5,11,9,9,10,9,2,7,7,10,7,6,6,6,2,5
"12",8,7,7,1,4,4,2,4,3,6,6,2,6,8,8,8,3,7
"13",2,5,5,1,4,4,1,4,3,1,1,1,1,2,2,2,3,5
"14",1,2,2,5,4,4,3,4,8,6,6,3,6,1,1,1,8,2
"15",5,4,4,2,1,1,6,1,3,6,6,6,6,5,5,5,3,4
"16",3,1,1,4,7,7,5,7,6,5,5,5,5,3,3,3,6,1
"17",2,9,9,10,5,5,6,5,2,6,6,6,6,3,3,2,2,9
"18",3,8,8,4,5,5,6,5,1,2,2,6,2,3,3,3,1,8
"19",3,7,7,4,1,1,5,1,4,5,5,5,5,3,3,3,4,7
"20",6,2,2,5,3,3,4,3,1,5,5,4,5,6,6,6,1,2
"21",3,1,1,5,5,5,2,5,4,2,2,2,2,3,3,3,4,1
"22",4,1,1,6,3,3,6,3,2,6,6,6,6,4,4,4,2,1
"23",5,7,7,4,6,6,11,6,3,11,11,11,11,5,5,5,3,7
"24",4,3,3,6,1,1,2,1,5,2,2,2,2,4,4,4,5,3
"25",5,1,1,4,2,2,7,2,6,7,7,7,7,5,5,5,3,1
"26",2,4,4,5,3,3,1,3,6,1,1,1,1,2,2,2,6,4
"27",5,2,2,4,11,11,6,11,3,6,6,6,6,5,5,5,8,2
"28",6,2,2,5,1,1,7,1,6,7,7,7,7,4,4,6,6,2
"29",4,6,6,3,5,5,1,5,2,1,1,1,1,4,4,4,2,6
"30",2,3,3,5,6,6,7,6,2,7,7,7,7,4,4,2,2,3
"31",2,1,1,3,8,8,4,8,7,4,4,4,4,2,2,2,7,1
"32",2,1,1,3,4,4,5,4,4,5,5,5,5,2,2,2,4,1
"33",1,2,2,7,8,8,9,8,1,9,9,9,9,6,6,1,1,2
"34",5,6,6,4,2,2,7,2,9,7,7,7,7,5,5,5,9,6
"35",5,4,4,3,6,6,7,6,1,7,7,7,7,5,5,5,1,4
"36",6,3,3,8,10,10,11,10,2,1,1,11,1,6,6,6,2,3
"37",3,1,1,4,7,7,2,7,9,8,8,2,8,3,3,3,9,1
"38",3,1,1,1,2,2,4,2,5,4,4,4,4,3,3,3,5,1
"39",6,4,4,1,3,3,2,3,9,2,2,2,2,6,6,6,9,4
"40",1,9,9,2,10,10,11,10,6,11,11,11,11,1,1,1,5,9
"41",6,2,2,8,7,7,9,7,4,5,5,9,5,6,6,6,4,2
"42",10,11,11,6,3,3,5,3,8,5,5,5,5,10,10,10,8,11
"43",1,7,7,6,3,3,6,3,4,6,6,6,6,1,1,1,4,7
"44",9,4,4,1,2,2,6,2,5,6,6,6,6,9,9,9,3,4
"45",1,5,5,3,6,6,2,6,4,2,2,2,2,1,1,1,4,5
"46",8,6,6,11,7,7,2,7,10,2,2,2,2,8,8,8,10,6
"47",8,4,4,1,2,2,9,2,7,9,9,9,9,8,8,8,7,4
"48",8,7,7,6,3,3,4,3,6,4,4,4,4,8,8,8,6,7
"49",11,5,5,8,4,4,8,4,10,8,8,8,8,11,11,11,10,5
"50",7,1,1,4,5,5,4,5,8,4,4,4,4,7,7,7,8,1
"51",3,5,5,7,4,4,1,4,4,1,1,1,1,3,3,3,6,5
"52",4,5,5,1,2,2,7,2,3,7,7,7,7,4,4,3,3,5
"53",4,2,2,6,3,3,9,3,7,9,9,9,9,4,4,4,7,2
"54",2,1,1,6,5,5,7,5,2,7,7,7,7,8,8,2,2,1
"55",2,8,8,9,5,5,6,5,7,6,6,6,6,2,2,2,7,8
"56",1,3,3,7,8,8,4,8,6,4,4,4,4,1,1,1,6,3
"57",9,8,8,1,5,5,2,5,3,2,2,2,2,9,9,9,3,8
"58",6,5,5,3,2,2,4,2,1,4,4,4,4,6,6,6,1,5
"59",3,6,6,2,8,8,1,8,7,4,4,1,4,3,3,3,7,6
"60",7,1,1,6,4,4,8,4,3,8,8,8,8,7,7,7,3,1
"61",9,7,7,1,4,4,5,4,3,5,5,5,5,9,9,9,3,7
"62",4,5,5,1,7,7,6,7,2,6,6,6,6,4,4,4,2,5
"63",6,7,7,1,1,1,3,1,2,3,3,3,3,6,6,6,2,7
"64",5,6,6,8,11,11,9,11,10,9,9,9,9,5,5,5,10,6
"65",3,4,4,1,5,5,7,5,3,7,7,7,7,6,6,3,3,4
"66",6,7,7,4,1,1,2,1,5,2,2,2,2,6,6,6,5,7
"67",2,4,4,5,1,1,3,1,5,3,3,3,3,2,2,2,5,4
"68",6,2,2,5,3,3,5,3,4,5,5,5,5,6,6,6,4,2
"69",7,2,2,9,8,8,11,8,7,11,11,11,11,6,6,7,7,2
"70",4,6,6,2,3,3,1,3,5,1,1,1,1,4,4,4,5,6
"71",1,3,3,1,5,5,7,5,4,7,7,7,7,1,1,1,4,3
"72",5,1,1,1,7,7,10,7,6,10,10,10,10,5,5,5,6,1
"73",2,4,4,4,5,5,6,5,7,6,6,6,6,2,2,2,7,4
"74",4,7,7,8,9,9,1,9,3,1,1,1,1,4,4,8,3,7
"75",1,6,6,3,5,5,4,5,2,4,4,4,4,1,1,1,2,6
"76",3,2,2,1,8,8,6,8,7,6,6,6,6,3,3,3,7,2
"77",2,1,1,1,4,4,5,4,3,5,5,5,5,2,2,2,3,1
"78",6,7,7,3,2,2,5,2,4,5,5,5,5,6,6,6,4,7
"79",2,3,3,7,6,6,9,6,2,9,9,9,9,5,5,2,2,3
"80",7,4,4,7,3,3,5,3,2,5,5,5,5,7,7,7,2,4
"81",2,4,4,3,5,5,1,5,5,1,1,1,1,2,2,2,5,4
"82",5,8,8,3,7,7,1,7,7,1,1,1,1,5,5,5,4,8
"83",6,3,3,2,4,4,1,4,5,1,1,1,1,6,6,6,5,3
"84",5,4,4,1,6,6,2,6,3,2,2,2,2,5,5,5,3,4
"85",1,5,5,4,5,5,3,5,2,3,3,3,3,1,1,1,2,5
"86",3,7,7,8,1,1,4,1,2,4,4,4,4,3,3,3,2,7
"87",3,2,2,6,5,5,1,5,4,1,1,1,1,3,3,3,4,2
"88",2,5,5,5,4,4,1,4,3,1,1,1,1,2,2,2,3,5
"89",6,4,4,3,1,1,2,1,5,2,2,2,2,6,6,6,5,4
"90",6,3,3,5,7,7,4,7,1,4,4,4,4,6,6,6,2,3
"91",4,1,1,8,9,9,3,9,2,3,3,3,3,4,4,4,2,1
"92",6,4,4,3,1,1,5,1,2,5,5,5,5,6,6,6,2,4
"93",8,5,5,1,3,3,7,3,4,7,7,7,7,8,8,8,4,5
"94",3,8,8,3,1,1,6,1,2,6,6,6,6,3,3,3,2,8
"95",1,5,5,5,2,2,3,2,4,3,3,3,3,1,1,1,4,5
"96",7,9,9,6,2,2,8,2,4,8,8,8,8,7,7,7,5,9
"97",6,2,2,5,3,3,1,3,6,1,1,1,1,7,7,6,6,2
"98",8,2,2,4,3,3,7,3,5,7,7,7,7,8,8,1,5,2
"99",11,4,4,7,5,5,3,5,10,3,3,3,3,11,11,11,10,4
"100",8,2,2,7,5,5,6,5,3,6,6,6,6,8,8,8,3,2
