"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44"
"1",1,5,2,1,2,2,2,6,2,6,4,6,2,4,2,2,1,2,2,6,5,4,5,5,1,1,6,4,6,1,6,4,4,1,4,1,6,4,2,2,6,1,2,1
"2",4,5,2,4,6,2,4,3,6,3,1,3,6,5,6,6,2,4,6,6,5,1,5,5,2,2,3,1,3,4,3,1,1,2,1,6,3,1,6,1,6,4,2,4
"3",7,4,3,7,5,3,7,3,5,3,1,3,5,2,5,5,1,7,5,5,4,4,4,2,1,1,3,4,3,7,3,1,1,1,1,5,3,1,5,4,5,7,3,7
"4",5,2,5,5,3,5,5,1,3,1,4,1,3,2,3,3,5,5,3,3,2,2,2,2,5,5,1,2,1,5,1,4,4,5,4,3,1,4,3,2,3,5,5,5
"5",1,3,2,1,1,2,1,7,1,7,4,7,1,3,1,1,2,1,1,1,3,3,3,3,2,2,7,3,7,1,7,4,4,2,4,1,7,4,1,3,1,1,2,2
"6",4,5,1,4,2,1,4,3,2,3,4,3,2,5,2,2,1,4,2,2,5,5,5,5,1,1,3,5,3,4,3,4,4,1,4,2,3,5,2,5,2,4,1,4
"7",5,3,4,5,4,4,4,6,4,6,2,6,4,3,4,4,5,4,4,4,3,3,3,3,5,5,6,3,6,5,4,2,2,5,2,4,6,2,4,4,4,5,4,5
"8",6,3,2,6,8,2,8,7,8,7,1,7,8,5,8,8,6,8,8,7,3,3,3,5,6,2,7,3,7,6,7,1,1,6,1,6,7,3,8,3,7,6,2,2
"9",2,4,3,2,6,3,2,3,6,3,5,3,6,4,6,6,3,2,6,6,4,4,4,2,3,3,3,4,4,2,6,5,5,3,5,6,4,4,6,6,6,2,3,2
"10",4,6,7,4,7,7,5,3,5,3,5,3,7,6,5,5,4,5,5,4,6,6,6,6,4,4,3,6,3,4,7,5,5,4,5,4,3,6,7,6,7,4,7,4
"11",3,7,5,3,4,5,4,6,4,6,1,6,4,7,4,4,3,4,4,6,7,7,7,7,3,5,6,7,6,3,6,1,1,3,1,3,6,1,4,4,6,3,5,5
"12",6,7,1,6,6,1,6,5,6,5,2,5,5,7,6,6,1,6,6,5,7,7,7,7,1,1,5,7,5,6,5,2,2,1,2,1,5,2,6,7,5,6,1,1
"13",2,4,3,2,1,3,5,2,5,2,5,3,1,4,5,5,2,5,5,1,4,4,4,4,2,3,1,4,1,2,1,5,5,2,5,2,1,4,1,4,1,2,3,3
"14",6,1,7,6,4,7,6,7,2,7,2,7,4,1,2,2,2,6,2,4,1,1,1,1,2,2,7,1,7,6,7,2,2,6,2,4,7,1,4,1,4,6,7,6
"15",1,5,6,1,3,6,1,4,3,4,8,4,3,8,3,3,6,1,3,3,5,5,5,1,6,6,4,5,4,1,4,8,8,6,8,3,4,8,3,5,3,1,6,1
"16",3,1,2,3,4,2,4,5,4,5,4,5,4,1,4,4,3,4,4,5,1,1,1,1,3,2,5,1,5,3,5,4,4,3,4,3,5,1,4,1,5,3,2,2
"17",3,4,5,3,2,5,3,1,2,1,3,1,2,4,2,2,5,3,2,2,4,4,4,4,5,5,1,4,1,3,1,3,3,5,3,2,1,4,2,4,2,3,5,3
"18",6,2,5,6,1,5,6,4,1,4,3,4,1,2,1,1,5,6,1,1,2,2,2,2,5,5,4,2,4,6,4,3,3,5,3,1,4,3,1,2,1,6,5,6
"19",5,3,1,5,4,1,5,2,4,2,6,2,4,6,4,4,1,5,4,4,3,3,3,5,1,1,2,3,2,5,2,6,6,1,6,4,2,6,4,3,4,5,1,5
"20",1,9,1,1,1,1,1,8,6,8,6,8,5,9,6,6,1,1,6,5,9,9,9,9,1,8,8,9,5,1,5,6,6,1,6,8,5,5,1,9,5,1,1,1
"21",5,1,8,5,8,8,8,4,8,4,9,4,8,1,8,8,2,8,8,4,1,1,1,1,2,2,4,1,4,5,4,9,9,2,9,2,4,9,8,8,4,5,8,5
"22",7,2,7,7,3,7,7,6,3,6,5,6,3,2,3,3,4,7,3,3,2,2,2,2,4,4,6,2,6,7,6,5,5,7,5,3,6,5,3,2,3,7,7,7
"23",2,4,3,2,3,3,3,6,3,6,8,6,3,4,3,3,1,3,3,3,4,4,4,4,1,1,6,4,6,2,3,8,8,1,8,3,6,8,3,3,3,2,3,2
"24",3,2,4,3,5,4,4,7,5,7,1,7,5,2,5,5,3,4,5,5,2,2,2,2,3,4,7,2,7,3,7,1,1,3,1,5,7,1,5,2,5,3,4,4
"25",1,7,5,1,10,5,1,4,10,4,6,4,10,7,10,10,9,1,10,10,7,7,7,7,9,9,4,7,4,1,4,6,6,9,6,10,4,6,10,7,10,1,5,1
"26",5,4,2,5,5,2,5,3,1,3,1,3,1,4,1,1,2,5,1,3,4,4,4,4,2,2,3,4,3,5,3,1,1,2,1,2,3,4,5,4,3,5,2,5
"27",9,8,3,9,3,3,6,3,6,3,6,3,3,8,6,6,9,6,6,3,8,8,8,8,9,9,3,8,3,9,3,6,6,9,6,9,3,8,3,8,3,9,3,9
"28",1,4,3,1,6,3,1,3,6,3,5,3,6,5,6,6,1,1,6,6,4,4,4,5,1,3,3,4,3,1,3,5,5,3,5,6,3,5,6,4,6,1,3,1
"29",1,3,4,1,4,4,4,5,4,5,6,5,4,6,4,4,1,4,4,5,3,6,3,3,1,1,5,6,5,1,5,6,6,1,6,1,5,6,4,4,5,1,4,1
"30",5,2,3,5,1,3,3,4,1,4,5,4,1,2,1,1,5,3,1,1,2,2,2,2,5,3,4,2,4,5,4,1,5,5,5,1,4,2,1,2,1,5,3,3
"31",6,2,4,6,4,4,1,4,1,4,1,4,4,2,1,1,6,1,1,4,2,2,2,2,6,6,4,2,4,6,4,1,1,6,1,6,4,2,4,2,4,6,4,6
"32",1,2,6,1,1,6,1,7,1,7,5,7,7,2,1,1,1,1,1,7,2,2,2,2,1,5,7,2,7,1,7,5,5,5,5,1,7,5,1,2,7,1,6,6
"33",7,3,4,7,1,4,7,2,1,2,7,2,1,3,1,1,4,7,1,1,3,3,3,3,4,4,2,3,2,7,2,7,7,4,7,1,2,3,1,3,1,7,4,7
"34",1,7,8,1,8,8,3,6,3,6,11,6,8,7,3,3,4,3,3,4,7,7,7,7,4,4,6,7,6,1,8,11,11,4,11,8,6,11,8,3,8,1,8,1
"35",2,3,4,2,5,4,2,4,1,4,1,4,5,3,1,1,4,2,1,5,3,3,3,3,4,4,5,3,5,2,5,1,1,4,1,4,5,5,5,3,5,2,4,2
"36",2,7,1,2,2,1,2,8,2,8,5,8,2,5,2,2,1,2,2,2,7,7,7,5,1,1,8,7,8,2,8,5,5,1,5,2,8,5,2,7,2,2,1,1
"37",2,1,2,2,4,2,2,3,4,3,5,3,4,5,4,4,2,2,4,3,1,3,1,5,2,3,3,1,3,2,3,5,5,2,5,4,3,5,4,1,4,2,2,2
"38",1,2,4,1,3,4,3,4,3,4,5,4,3,2,3,3,1,3,3,3,2,2,2,2,1,1,4,2,4,1,4,5,5,1,5,3,4,5,3,2,3,1,4,1
"39",4,2,5,4,1,5,4,6,3,6,3,6,1,2,3,3,5,4,3,1,2,2,2,2,5,5,6,2,6,4,1,3,3,5,3,1,6,2,1,2,1,4,5,4
"40",4,3,6,4,5,6,4,6,5,6,4,6,5,3,5,5,2,4,5,5,3,3,3,3,2,2,6,3,6,4,6,4,4,2,4,5,6,3,5,3,5,4,6,4
"41",6,3,4,6,6,4,5,2,5,2,5,2,5,3,5,5,4,5,5,6,3,3,3,3,4,4,2,3,2,6,2,5,5,4,5,6,2,3,6,3,6,6,4,6
"42",2,7,6,2,4,6,2,5,4,5,1,5,4,1,4,4,6,2,4,4,7,7,7,1,6,6,5,7,5,2,5,1,1,6,1,4,5,1,4,7,4,2,6,2
"43",7,2,4,7,6,4,7,5,6,5,3,4,6,2,6,6,7,7,6,5,2,2,2,2,7,4,5,2,5,7,4,3,3,7,3,6,4,3,6,2,6,7,4,7
"44",11,5,8,11,10,8,11,7,10,7,3,7,10,3,10,10,8,11,10,10,5,3,5,11,8,8,7,5,7,11,7,3,3,8,3,10,7,3,10,5,10,11,8,11
"45",1,6,4,1,2,4,2,4,2,4,5,4,4,6,2,2,3,2,2,4,6,6,6,6,3,3,4,6,4,1,4,5,5,3,5,3,4,5,2,2,4,1,4,1
"46",6,3,2,6,2,2,6,4,7,4,7,4,2,3,7,7,6,6,7,4,3,3,3,3,6,4,4,3,4,6,2,7,7,6,7,2,4,3,2,3,2,6,2,6
