"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13"
"1",1,5,5,3,3,2,5,5,1,2,1,2,2
"2",1,4,4,5,5,2,4,4,1,2,1,2,2
"3",3,2,2,4,4,1,2,2,3,1,3,1,1
"4",3,4,4,5,5,7,4,4,3,7,3,7,7
"5",6,4,4,1,1,3,4,4,6,3,6,3,3
"6",1,2,2,5,5,4,2,2,1,4,1,4,4
"7",3,1,1,1,5,4,5,1,3,4,3,4,4
"8",4,1,1,2,2,3,1,1,4,3,4,3,3
"9",3,6,6,5,5,7,6,6,3,7,3,7,7
"10",4,1,1,2,2,5,1,1,4,5,4,5,5
"11",6,7,7,3,3,5,7,7,6,5,6,5,5
"12",4,5,5,3,3,1,5,5,4,1,4,1,1
"13",6,1,1,1,4,5,4,1,6,5,6,5,5
"14",4,2,2,3,3,5,2,2,4,1,1,5,5
"15",8,1,1,1,5,3,5,1,8,3,8,3,3
"16",3,6,6,5,5,4,6,6,3,4,3,4,4
"17",1,3,3,2,2,4,3,3,1,4,1,4,4
"18",2,6,6,1,1,7,6,6,2,7,2,7,7
"19",5,2,2,3,3,4,2,2,5,4,4,4,4
"20",3,6,6,5,5,1,6,6,3,1,3,1,1
"21",3,4,4,5,5,2,4,4,3,2,3,2,2
"22",3,1,1,2,2,4,1,1,3,4,3,4,4
"23",3,8,8,6,6,7,8,8,3,7,3,7,7
"24",4,1,1,2,2,3,1,1,4,3,4,3,3
"25",1,3,3,6,6,5,3,3,1,5,1,5,5
"26",4,2,2,1,1,3,2,2,4,3,4,3,3
"27",5,1,1,4,4,2,1,1,5,2,5,2,2
"28",5,2,2,3,3,4,2,2,5,4,5,4,4
"29",2,3,3,6,6,5,3,3,2,5,2,5,5
"30",4,2,2,5,5,1,2,2,4,1,4,1,1
"31",2,5,5,5,3,1,3,5,2,1,2,1,1
"32",5,9,9,10,10,1,9,9,5,1,5,1,1
"33",1,5,5,4,4,2,5,5,1,2,2,2,2
"34",2,4,4,3,3,5,4,4,2,5,2,5,5
"35",2,5,5,4,4,6,5,5,2,6,2,6,6
"36",2,3,3,4,4,1,3,3,2,1,2,1,1
"37",2,4,4,3,3,1,4,4,2,1,2,1,1
"38",2,3,3,3,5,1,5,3,2,1,2,1,1
"39",3,4,4,5,5,1,4,4,3,1,3,1,1
"40",2,5,5,3,3,1,5,5,2,1,2,1,1
"41",4,2,2,1,1,5,2,2,4,5,4,5,5
"42",2,1,1,6,6,3,1,1,2,3,2,3,3
"43",3,7,7,7,4,6,4,7,3,6,3,6,6
"44",7,6,6,1,1,5,6,6,7,5,7,5,5
"45",5,2,2,2,1,4,1,2,5,4,5,4,4
"46",4,2,2,1,1,5,2,2,4,5,4,5,5
"47",2,3,3,4,4,1,3,3,2,1,2,1,1
"48",3,1,1,5,5,2,1,1,3,2,3,2,2
"49",1,5,5,4,4,3,5,5,1,3,3,3,3
"50",3,1,1,2,2,4,1,1,3,4,3,4,4
"51",1,6,6,5,5,3,6,6,1,3,1,3,3
"52",9,7,7,1,1,3,7,7,9,3,9,3,3
"53",5,1,1,1,2,3,2,1,5,3,5,3,3
"54",6,5,5,2,2,4,5,5,6,4,6,4,4
"55",2,6,6,3,3,1,6,6,2,5,5,1,1
"56",5,8,8,2,2,3,8,8,5,3,5,3,3
"57",3,1,1,2,2,5,1,1,3,5,3,5,5
"58",4,1,1,3,3,5,1,1,4,5,4,5,5
"59",3,4,4,4,2,5,2,4,3,5,3,5,5
"60",2,5,5,4,4,1,5,5,2,1,2,1,1
"61",1,3,3,4,4,2,3,3,1,2,1,2,2
"62",5,1,1,2,2,6,1,1,5,6,5,6,6
"63",2,5,5,4,4,3,5,5,2,3,2,3,3
"64",2,6,6,4,4,5,6,6,2,5,2,5,5
"65",7,4,4,5,5,1,4,4,7,1,7,1,1
"66",4,1,1,5,5,2,1,1,4,2,4,2,2
"67",4,6,6,3,3,1,6,6,4,1,4,1,1
"68",3,2,2,1,1,5,2,2,3,5,3,5,5
"69",4,3,3,1,1,2,3,3,4,2,4,2,2
"70",2,3,3,5,5,4,3,3,2,4,2,4,4
"71",1,4,4,2,2,5,4,4,1,5,1,5,5
"72",10,8,8,2,2,6,8,8,10,6,10,6,6
"73",4,3,3,2,2,5,3,3,4,5,5,5,5
"74",5,3,3,1,1,4,3,3,5,4,5,4,4
"75",2,1,1,4,4,3,1,1,2,3,2,3,3
"76",4,2,2,3,3,5,2,2,4,5,4,5,5
"77",2,4,4,3,3,5,4,4,2,5,2,5,5
"78",1,2,2,4,4,3,2,2,1,3,1,3,3
"79",2,4,4,5,5,3,4,4,2,3,2,3,3
"80",4,2,2,5,5,1,2,2,4,1,4,1,1
"81",4,2,2,1,1,5,2,2,4,5,4,5,5
"82",6,2,2,5,5,4,2,2,6,4,6,4,4
"83",5,4,4,4,3,1,3,4,5,1,5,1,1
"84",2,3,3,5,5,4,3,3,2,4,2,4,4
"85",3,4,4,1,1,2,4,4,3,2,3,2,2
"86",10,4,4,9,9,13,4,4,10,13,10,13,13
"87",2,5,5,1,1,3,5,5,2,3,2,3,3
"88",4,1,1,3,3,5,1,1,4,2,2,5,5
"89",4,3,3,2,2,5,3,3,4,5,4,5,5
"90",4,2,2,6,6,3,2,2,4,3,4,3,3
"91",2,3,3,4,4,1,3,3,2,1,2,1,1
"92",4,1,1,5,5,3,1,1,4,3,3,3,3
"93",5,1,1,1,2,3,2,1,5,3,5,3,3
"94",2,3,3,1,1,7,3,3,2,7,2,7,7
"95",4,3,3,1,1,5,3,3,4,5,4,5,5
"96",5,3,3,1,1,4,3,3,5,4,5,4,4
"97",4,6,6,7,7,2,6,6,4,2,4,2,2
"98",3,5,5,4,4,2,5,5,3,2,3,2,2
"99",1,7,7,3,3,5,7,7,1,5,1,5,5
"100",1,6,6,6,5,2,5,6,1,2,1,2,2
