"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32"
"1",5,6,5,5,5,5,6,6,2,1,1,1,3,6,6,1,6,1,6,6,6,2,1,1,2,2,2,1,7,2,2,6
"2",5,6,5,5,5,5,6,6,2,1,1,1,4,6,6,1,6,1,6,6,6,2,1,1,2,2,2,1,7,2,2,6
"3",5,6,5,5,5,5,6,6,2,1,1,1,3,6,6,1,6,1,6,6,6,2,1,1,2,2,2,1,7,2,2,6
"4",5,6,5,5,5,5,6,6,2,1,1,1,4,6,6,1,6,1,6,6,6,2,1,1,2,2,2,1,7,2,2,6
"5",5,6,5,5,5,5,6,6,2,1,1,1,3,6,6,1,6,1,6,6,6,2,1,1,2,2,2,1,7,2,2,6
"6",5,6,5,5,5,5,6,6,2,1,1,1,4,6,6,1,6,1,6,6,6,2,1,1,2,2,2,1,7,2,2,6
"7",5,6,5,5,5,5,6,6,2,1,1,1,4,6,6,1,6,1,6,6,6,2,1,1,2,2,2,1,7,2,2,6
"8",5,6,5,5,5,5,6,6,2,1,1,1,4,6,6,1,6,1,6,6,6,2,1,1,2,2,2,1,7,2,2,6
"9",5,6,5,5,5,5,6,6,2,1,1,1,4,6,6,1,6,1,6,6,6,2,1,1,2,2,2,1,7,2,2,6
"10",5,6,5,5,5,5,6,6,2,1,1,1,4,6,6,1,6,1,6,6,6,2,1,1,2,2,2,1,7,2,2,6
"11",5,6,5,5,5,5,6,6,2,1,1,1,4,6,6,1,6,1,6,6,6,2,1,1,2,2,2,1,7,2,2,6
"12",5,6,5,5,5,5,6,6,2,1,1,1,4,6,6,1,6,1,6,6,6,2,1,1,2,2,2,1,7,2,2,6
"13",5,6,5,5,5,5,6,6,2,1,1,1,4,6,6,1,6,1,6,6,6,2,1,1,2,2,2,1,7,2,2,6
"14",5,6,5,5,5,5,6,6,2,1,1,1,3,6,6,1,6,1,6,6,6,2,1,1,2,2,2,1,7,2,2,6
"15",5,6,5,5,5,5,6,6,2,1,1,1,3,6,6,1,6,1,6,6,6,2,1,1,2,2,2,1,7,2,2,6
"16",5,6,5,5,5,5,6,6,2,1,1,1,3,6,6,1,6,1,6,6,6,2,1,1,2,2,2,1,7,2,2,6
"17",5,6,5,5,5,5,6,6,2,1,1,1,4,6,6,1,6,1,6,6,6,2,1,1,2,2,2,1,7,2,2,6
"18",5,6,5,5,5,5,6,6,2,1,1,1,4,6,6,1,6,1,6,6,6,2,1,1,2,2,2,1,7,2,2,6
"19",5,6,5,5,5,5,6,6,2,1,1,1,3,6,6,1,6,1,6,6,6,2,1,1,2,2,2,1,7,2,2,6
"20",5,6,5,5,5,5,6,6,2,1,1,1,4,6,6,1,6,1,6,6,6,2,1,1,2,2,2,1,7,2,2,6
"21",5,6,5,5,5,5,6,6,2,1,1,1,3,6,6,1,6,1,6,6,6,2,1,1,2,2,2,1,7,2,2,6
"22",5,6,5,5,5,5,6,6,2,1,1,1,4,6,6,1,6,1,6,6,6,2,1,1,2,2,2,1,7,2,2,6
"23",5,6,5,5,5,5,6,6,2,1,1,1,3,6,6,1,6,1,6,6,6,2,1,1,2,2,2,1,7,2,2,6
"24",5,6,5,5,5,5,6,6,2,1,1,1,3,6,6,1,6,1,6,6,6,2,1,1,2,2,2,1,7,2,2,6
"25",5,6,5,5,5,5,6,6,2,1,1,1,4,6,6,1,6,1,6,6,6,2,1,1,2,2,2,1,7,2,2,6
"26",5,6,5,5,5,5,6,6,2,1,1,1,3,6,6,1,6,1,6,6,6,2,1,1,2,2,2,1,7,2,2,6
"27",5,6,5,5,5,5,6,6,2,1,1,1,4,6,6,1,6,1,6,6,6,2,1,1,2,2,2,1,7,2,2,6
"28",5,6,5,5,5,5,6,6,2,1,1,1,4,6,6,1,6,1,6,6,6,2,1,1,2,2,2,1,7,2,2,6
"29",5,6,5,5,5,5,6,6,2,1,1,1,4,6,6,1,6,1,6,6,6,2,1,1,2,2,2,1,7,2,2,6
"30",5,6,5,5,5,5,6,6,2,1,1,1,3,6,6,1,6,1,6,6,6,2,1,1,2,2,2,1,7,2,2,6
"31",5,6,5,5,5,5,6,6,2,1,1,1,3,6,6,1,6,1,6,6,6,2,1,1,2,2,2,1,7,2,2,6
"32",5,6,5,5,5,5,6,6,2,1,1,1,4,6,6,1,6,1,6,6,6,2,1,1,2,2,2,1,7,2,2,6
"33",5,6,5,5,5,5,6,6,2,1,1,1,4,6,6,1,6,1,6,6,6,2,1,1,2,2,2,1,7,2,2,6
"34",5,6,5,5,5,5,6,6,2,1,1,1,3,6,6,1,6,1,6,6,6,2,1,1,2,2,2,1,7,2,2,6
"35",5,6,5,5,5,5,6,6,2,1,1,1,3,6,6,1,6,1,6,6,6,2,1,1,2,2,2,1,7,2,2,6
"36",5,6,5,5,5,5,6,6,2,1,1,1,3,6,6,1,6,1,6,6,6,2,1,1,2,2,2,1,7,2,2,6
"37",5,6,5,5,5,5,6,6,2,1,1,1,3,6,6,1,6,1,6,6,6,2,1,1,2,2,2,1,7,2,2,6
"38",5,6,5,5,5,5,6,6,2,1,1,1,3,6,6,1,6,1,6,6,6,2,1,1,2,2,2,1,7,2,2,6
"39",5,6,5,5,5,5,6,6,2,1,1,1,4,6,6,1,6,1,6,6,6,2,1,1,2,2,2,1,7,2,2,6
"40",5,6,5,5,5,5,6,6,2,1,1,1,3,6,6,1,6,1,6,6,6,2,1,1,2,2,2,1,7,2,2,6
"41",5,6,5,5,5,5,6,6,2,1,1,1,4,6,6,1,6,1,6,6,6,2,1,1,2,2,2,1,7,2,2,6
"42",5,6,5,5,5,5,6,6,2,1,1,1,3,6,6,1,6,1,6,6,6,2,1,1,2,2,2,1,7,2,2,6
"43",5,6,5,5,5,5,6,6,2,1,1,1,4,6,6,1,6,1,6,6,6,2,1,1,2,2,2,1,7,2,2,6
"44",5,6,5,5,5,5,6,6,2,1,1,1,3,6,6,1,6,1,6,6,6,2,1,1,2,2,2,1,7,2,2,6
"45",5,6,5,5,5,5,6,6,2,1,1,1,3,6,6,1,6,1,6,6,6,2,1,1,2,2,2,1,7,2,2,6
"46",5,6,5,5,5,5,6,6,2,1,1,1,4,6,6,1,6,1,6,6,6,2,1,1,2,2,2,1,7,2,2,6
"47",5,6,5,5,5,5,6,6,2,1,1,1,3,6,6,1,6,1,6,6,6,2,1,1,2,2,2,1,7,2,2,6
"48",5,6,5,5,5,5,6,6,2,1,1,1,4,6,6,1,6,1,6,6,6,2,1,1,2,2,2,1,7,2,2,6
"49",5,6,5,5,5,5,6,6,2,1,1,1,3,6,6,1,6,1,6,6,6,2,1,1,2,2,2,1,7,2,2,6
"50",5,6,5,5,5,5,6,6,2,1,1,1,4,6,6,1,6,1,6,6,6,2,1,1,2,2,2,1,7,2,2,6
"51",5,6,5,5,5,5,6,6,2,1,1,1,3,6,6,1,6,1,6,6,6,2,1,1,2,2,2,1,7,2,2,6
"52",5,6,5,5,5,5,6,6,2,1,1,1,4,6,6,1,6,1,6,6,6,2,1,1,2,2,2,1,7,2,2,6
"53",5,6,5,5,5,5,6,6,2,1,1,1,4,6,6,1,6,1,6,6,6,2,1,1,2,2,2,1,7,2,2,6
"54",5,6,5,5,5,5,6,6,2,1,1,1,3,6,6,1,6,1,6,6,6,2,1,1,2,2,2,1,7,2,2,6
"55",5,6,5,5,5,5,6,6,2,1,1,1,3,6,6,1,6,1,6,6,6,2,1,1,2,2,2,1,7,2,2,6
"56",5,6,5,5,5,5,6,6,2,1,1,1,3,6,6,1,6,1,6,6,6,2,1,1,2,2,2,1,7,2,2,6
"57",5,6,5,5,5,5,6,6,2,1,1,1,3,6,6,1,6,1,6,6,6,2,1,1,2,2,2,1,7,2,2,6
"58",5,6,5,5,5,5,6,6,2,1,1,1,3,6,6,1,6,1,6,6,6,2,1,1,2,2,2,1,7,2,2,6
"59",5,6,5,5,5,5,6,6,2,1,1,1,3,6,6,1,6,1,6,6,6,2,1,1,2,2,2,1,7,2,2,6
"60",5,6,5,5,5,5,6,6,2,1,1,1,3,6,6,1,6,1,6,6,6,2,1,1,2,2,2,1,7,2,2,6
"61",5,6,5,5,5,5,6,6,2,1,1,1,3,6,6,1,6,1,6,6,6,2,1,1,2,2,2,1,7,2,2,6
"62",5,6,5,5,5,5,6,6,2,1,1,1,4,6,6,1,6,1,6,6,6,2,1,1,2,2,2,1,7,2,2,6
"63",5,6,5,5,5,5,6,6,2,1,1,1,4,6,6,1,6,1,6,6,6,2,1,1,2,2,2,1,7,2,2,6
"64",5,6,5,5,5,5,6,6,2,1,1,1,3,6,6,1,6,1,6,6,6,2,1,1,2,2,2,1,7,2,2,6
"65",5,6,5,5,5,5,6,6,2,1,1,1,4,6,6,1,6,1,6,6,6,2,1,1,2,2,2,1,7,2,2,6
"66",5,6,5,5,5,5,6,6,2,1,1,1,3,6,6,1,6,1,6,6,6,2,1,1,2,2,2,1,7,2,2,6
"67",5,6,5,5,5,5,6,6,2,1,1,1,4,6,6,1,6,1,6,6,6,2,1,1,2,2,2,1,7,2,2,6
"68",5,6,5,5,5,5,6,6,2,1,1,1,4,6,6,1,6,1,6,6,6,2,1,1,2,2,2,1,7,2,2,6
"69",5,6,5,5,5,5,6,6,2,1,1,1,3,6,6,1,6,1,6,6,6,2,1,1,2,2,2,1,7,2,2,6
"70",5,6,5,5,5,5,6,6,2,1,1,1,4,6,6,1,6,1,6,6,6,2,1,1,2,2,2,1,7,2,2,6
"71",5,6,5,5,5,5,6,6,2,1,1,1,4,6,6,1,6,1,6,6,6,2,1,1,2,2,2,1,7,2,2,6
"72",5,6,5,5,5,5,6,6,2,1,1,1,4,6,6,1,6,1,6,6,6,2,1,1,2,2,2,1,7,2,2,6
"73",5,6,5,5,5,5,6,6,2,1,1,1,3,6,6,1,6,1,6,6,6,2,1,1,2,2,2,1,7,2,2,6
"74",5,6,5,5,5,5,6,6,2,1,1,1,4,6,6,1,6,1,6,6,6,2,1,1,2,2,2,1,7,2,2,6
"75",5,6,5,5,5,5,6,6,2,1,1,1,3,6,6,1,6,1,6,6,6,2,1,1,2,2,2,1,7,2,2,6
"76",5,6,5,5,5,5,6,6,2,1,1,1,4,6,6,1,6,1,6,6,6,2,1,1,2,2,2,1,7,2,2,6
"77",5,6,5,5,5,5,6,6,2,1,1,1,4,6,6,1,6,1,6,6,6,2,1,1,2,2,2,1,7,2,2,6
"78",5,6,5,5,5,5,6,6,2,1,1,1,3,6,6,1,6,1,6,6,6,2,1,1,2,2,2,1,7,2,2,6
"79",5,6,5,5,5,5,6,6,2,1,1,1,4,6,6,1,6,1,6,6,6,2,1,1,2,2,2,1,7,2,2,6
"80",5,6,5,5,5,5,6,6,2,1,1,1,3,6,6,1,6,1,6,6,6,2,1,1,2,2,2,1,7,2,2,6
"81",5,6,5,5,5,5,6,6,2,1,1,1,3,6,6,1,6,1,6,6,6,2,1,1,2,2,2,1,7,2,2,6
"82",5,6,5,5,5,5,6,6,2,1,1,1,3,6,6,1,6,1,6,6,6,2,1,1,2,2,2,1,7,2,2,6
"83",5,6,5,5,5,5,6,6,2,1,1,1,4,6,6,1,6,1,6,6,6,2,1,1,2,2,2,1,7,2,2,6
"84",5,6,5,5,5,5,6,6,2,1,1,1,3,6,6,1,6,1,6,6,6,2,1,1,2,2,2,1,7,2,2,6
"85",5,6,5,5,5,5,6,6,2,1,1,1,3,6,6,1,6,1,6,6,6,2,1,1,2,2,2,1,7,2,2,6
"86",5,6,5,5,5,5,6,6,2,1,1,1,4,6,6,1,6,1,6,6,6,2,1,1,2,2,2,1,7,2,2,6
"87",5,6,5,5,5,5,6,6,2,1,1,1,3,6,6,1,6,1,6,6,6,2,1,1,2,2,2,1,7,2,2,6
"88",5,6,5,5,5,5,6,6,2,1,1,1,3,6,6,1,6,1,6,6,6,2,1,1,2,2,2,1,7,2,2,6
"89",5,6,5,5,5,5,6,6,2,1,1,1,4,6,6,1,6,1,6,6,6,2,1,1,2,2,2,1,7,2,2,6
"90",5,6,5,5,5,5,6,6,2,1,1,1,3,6,6,1,6,1,6,6,6,2,1,1,2,2,2,1,7,2,2,6
"91",5,6,5,5,5,5,6,6,2,1,1,1,3,6,6,1,6,1,6,6,6,2,1,1,2,2,2,1,7,2,2,6
"92",5,6,5,5,5,5,6,6,2,1,1,1,3,6,6,1,6,1,6,6,6,2,1,1,2,2,2,1,7,2,2,6
"93",5,6,5,5,5,5,6,6,2,1,1,1,3,6,6,1,6,1,6,6,6,2,1,1,2,2,2,1,7,2,2,6
"94",5,6,5,5,5,5,6,6,2,1,1,1,4,6,6,1,6,1,6,6,6,2,1,1,2,2,2,1,7,2,2,6
"95",5,6,5,5,5,5,6,6,2,1,1,1,4,6,6,1,6,1,6,6,6,2,1,1,2,2,2,1,7,2,2,6
"96",5,6,5,5,5,5,6,6,2,1,1,1,3,6,6,1,6,1,6,6,6,2,1,1,2,2,2,1,7,2,2,6
"97",5,6,5,5,5,5,6,6,2,1,1,1,3,6,6,1,6,1,6,6,6,2,1,1,2,2,2,1,7,2,2,6
