"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26"
"1",4,9,1,9,3,2,1,3,1,2,1,2,2,2,5,7,7,2,7,7,7,7,7,7,2,7
"2",8,2,6,2,3,4,6,3,6,4,6,4,4,4,8,7,7,4,7,7,7,7,7,7,4,7
"3",1,2,4,2,2,6,4,2,4,6,4,6,6,6,7,8,8,6,8,8,8,8,8,8,6,8
"4",8,3,3,6,6,4,3,6,3,4,3,4,4,4,5,9,9,4,9,9,9,9,9,9,4,9
"5",4,3,3,2,2,1,3,2,3,1,3,1,1,1,5,6,6,1,6,6,6,6,6,6,1,6
"6",1,2,2,5,5,6,2,5,2,6,2,6,6,6,4,3,3,6,3,3,3,3,3,3,6,3
"7",7,4,2,4,4,3,2,4,2,3,2,3,3,3,8,6,6,3,6,6,6,6,6,6,3,6
"8",6,2,1,2,2,4,1,2,1,4,1,4,4,4,5,3,3,4,3,3,3,3,3,3,4,3
"9",6,9,1,5,5,8,1,5,1,8,1,8,8,8,9,3,3,8,3,3,3,3,3,3,8,3
"10",4,3,3,7,7,5,3,7,3,5,3,5,5,5,9,6,6,5,6,6,6,6,6,6,5,6
"11",2,1,1,8,8,5,1,8,1,5,1,5,5,5,3,7,7,5,7,7,7,7,7,7,5,7
"12",5,4,5,4,4,3,5,4,5,3,5,3,3,3,2,1,1,3,1,1,1,1,1,1,3,1
"13",4,1,3,1,1,6,3,1,3,6,3,6,6,6,2,5,5,6,5,5,5,5,5,5,6,5
"14",8,1,1,5,5,7,1,5,1,7,1,7,7,7,2,6,6,7,6,6,6,6,6,6,7,6
"15",7,3,3,2,2,4,3,2,3,4,3,4,4,4,8,5,5,4,5,5,5,5,5,5,4,5
"16",2,7,7,4,4,9,7,4,7,9,7,9,9,9,6,8,8,9,8,8,8,8,8,8,9,8
"17",3,1,7,1,8,2,7,8,7,2,7,2,2,2,4,6,6,2,6,6,6,6,6,6,2,6
"18",8,7,7,3,3,2,7,3,7,2,7,2,2,2,5,4,4,2,4,4,4,4,4,4,2,4
"19",4,5,1,5,2,7,1,2,1,7,1,7,7,7,4,9,9,7,9,9,9,9,9,9,7,9
"20",2,5,4,5,7,8,4,7,4,8,4,8,8,8,3,1,1,8,1,1,1,1,1,1,8,1
"21",5,4,8,4,4,3,8,4,8,3,8,3,3,3,1,2,2,3,2,2,2,2,2,2,3,2
