"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35"
"1",1,6,1,6,7,6,5,4,6,7,4,6,4,5,4,5,7,4,4,3,5,7,3,7,7,6,1,5,3,7,7,7,7,7,7
"2",1,7,1,7,3,7,4,2,7,3,2,7,2,4,2,8,3,2,2,5,4,3,5,3,3,7,1,4,5,3,3,3,3,3,3
"3",2,5,2,4,1,4,2,5,4,1,5,4,5,2,5,2,1,5,5,3,2,1,3,1,1,4,2,2,3,1,1,1,1,1,1
"4",1,4,1,4,3,4,2,6,4,3,6,4,6,2,6,2,3,6,6,5,2,3,5,3,3,4,1,2,5,3,3,3,3,3,3
"5",4,2,4,5,7,5,8,5,5,7,2,5,2,8,2,8,7,2,2,3,8,7,3,7,7,5,4,8,3,7,7,7,7,7,7
"6",4,8,4,7,9,7,1,8,7,9,8,7,8,1,1,1,9,8,8,5,1,9,5,9,9,7,4,1,5,9,9,9,9,9,9
"7",8,9,8,5,1,5,6,5,5,1,9,5,9,6,6,6,1,9,9,8,6,1,8,1,1,5,8,6,8,1,1,1,1,1,1
"8",3,2,3,4,5,4,6,2,4,5,2,4,2,6,2,6,5,2,2,7,6,5,7,5,5,4,3,6,7,5,5,5,5,5,5
"9",3,3,3,3,4,3,1,5,3,4,5,3,5,1,5,1,4,5,5,2,1,4,2,4,4,3,3,1,2,4,4,4,4,4,4
"10",1,5,1,4,2,4,6,8,4,2,8,4,8,6,8,7,2,8,8,3,6,2,3,2,2,4,1,6,3,2,2,2,2,2,2
"11",7,1,7,9,2,9,6,1,9,2,1,9,1,6,1,6,2,1,1,5,6,2,5,2,2,9,7,6,5,2,2,2,2,2,2
"12",1,5,1,2,8,2,7,4,2,8,4,2,4,7,4,7,8,4,4,3,7,8,3,8,8,2,1,7,3,8,8,8,8,8,8
