"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24"
"1",4,2,4,1,1,4,1,1,4,5,1,5,1,5,1,5,1,1,1,4,5,1,1,5
"2",7,6,7,5,5,7,5,5,1,2,5,2,5,2,5,2,5,5,5,1,2,5,5,2
"3",3,1,3,5,5,3,5,5,4,2,5,2,5,2,5,2,5,5,5,4,2,5,5,2
"4",2,1,2,5,5,2,5,5,3,4,5,4,5,4,5,4,5,5,5,3,4,5,5,4
"5",4,6,4,7,7,4,7,7,2,3,7,3,7,3,7,3,7,7,7,2,3,7,7,3
"6",1,6,1,2,2,1,2,2,3,5,2,5,2,5,2,5,2,2,2,3,5,2,2,5
"7",3,5,3,1,1,3,1,1,2,4,1,4,1,4,1,4,1,1,1,2,4,1,1,4
"8",5,1,5,3,3,5,3,3,2,4,3,4,3,4,3,4,3,3,3,2,4,3,3,4
"9",3,2,3,5,5,3,5,5,4,1,5,1,5,1,5,1,5,5,5,4,1,5,5,1
"10",6,1,6,2,2,6,2,2,3,5,2,5,2,5,2,5,2,2,2,3,5,2,2,5
"11",4,2,4,5,5,4,5,5,4,3,5,3,5,3,5,3,5,5,5,4,3,5,5,3
"12",3,1,3,4,4,3,4,4,2,6,4,6,4,6,4,6,4,4,4,2,6,4,4,6
"13",3,1,3,5,5,3,5,5,8,4,5,4,5,4,5,4,5,5,5,8,4,5,5,4
"14",3,4,3,7,7,3,7,7,5,2,7,2,7,2,7,2,7,7,7,5,2,7,7,2
"15",4,6,4,5,5,4,5,5,2,1,5,1,5,1,5,1,5,5,5,2,1,5,5,1
"16",3,2,3,7,7,3,7,7,3,4,7,4,7,4,7,4,7,7,7,3,4,7,7,4
"17",2,5,2,4,4,2,4,4,7,8,4,8,4,8,4,8,4,4,4,7,8,4,4,8
"18",5,3,5,8,8,5,8,8,6,7,8,7,8,7,8,7,8,8,8,6,7,8,8,7
"19",4,3,4,1,1,4,1,1,2,6,1,6,1,6,1,6,1,1,1,2,6,1,1,6
"20",1,5,1,3,3,1,3,3,1,2,3,2,3,2,3,2,3,3,3,1,2,3,3,2
"21",1,3,1,4,4,1,4,4,1,2,4,2,4,2,4,2,4,4,4,1,2,4,4,2
"22",7,4,7,5,5,7,5,5,6,1,5,1,5,1,5,1,5,5,5,6,1,5,5,1
"23",2,3,2,5,5,2,5,5,4,1,5,1,5,1,5,1,5,5,5,4,1,5,5,1
"24",7,6,7,3,3,7,3,3,2,5,3,5,3,5,3,5,3,3,3,2,5,3,3,5
"25",5,1,5,2,2,5,2,2,6,4,2,4,2,4,2,4,2,2,2,6,4,2,2,4
"26",3,5,3,4,4,3,4,4,2,1,4,1,4,1,4,1,4,4,4,2,1,4,4,1
"27",2,5,2,3,3,2,3,3,1,6,3,6,3,6,3,6,3,3,3,1,6,3,3,6
"28",4,2,4,5,5,4,5,5,3,1,5,1,5,1,5,1,5,5,5,3,1,5,5,1
"29",4,7,4,2,2,4,2,2,5,3,2,3,2,3,2,3,2,2,2,5,3,2,2,3
"30",6,7,6,4,4,6,4,4,1,3,4,3,4,3,4,3,4,4,4,1,3,4,4,3
"31",4,3,4,6,6,4,6,6,4,5,6,5,6,5,6,5,6,6,6,4,5,6,6,5
"32",2,4,2,3,3,2,3,3,2,1,3,1,3,1,3,1,3,3,3,2,1,3,3,1
"33",3,6,3,2,2,3,2,2,4,1,2,1,2,1,2,1,2,2,2,4,1,2,2,1
"34",2,3,2,1,1,2,1,1,5,4,1,4,1,4,1,4,1,1,1,5,4,1,1,4
