"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13"
"1",8,8,12,8,12,5,3,5,2,5,3,3,3
"2",8,8,12,8,12,5,3,5,2,5,3,3,3
"3",8,8,12,8,12,5,3,5,2,5,3,3,3
"4",8,8,12,8,12,5,3,5,2,5,3,3,3
"5",8,8,12,8,12,5,3,5,2,5,3,3,3
"6",8,8,12,8,12,5,3,5,2,5,3,3,3
"7",8,8,12,8,12,5,3,5,2,5,3,3,3
"8",8,8,12,8,12,5,3,5,2,5,3,3,3
"9",8,8,12,8,12,5,3,5,2,5,3,3,3
"10",8,8,12,8,12,5,3,5,2,5,3,3,3
"11",8,8,12,8,12,5,3,5,2,5,3,3,3
"12",8,8,12,8,12,5,3,5,2,5,3,3,3
"13",8,8,12,8,12,5,3,5,2,5,3,3,3
"14",8,8,12,8,12,5,3,5,2,5,3,3,3
"15",8,8,12,8,12,5,3,5,2,5,3,3,3
"16",8,8,12,8,12,5,3,5,2,5,3,3,3
"17",8,8,12,8,12,5,3,5,2,5,3,3,3
"18",8,8,12,8,12,5,3,5,2,5,3,3,3
"19",8,8,12,8,12,5,3,5,2,5,3,3,3
"20",8,8,12,8,12,5,3,5,2,5,3,3,3
"21",8,8,12,8,12,5,3,5,2,5,3,3,3
"22",8,8,12,8,12,5,3,5,2,5,3,3,3
"23",8,8,12,8,12,5,3,5,2,5,3,3,3
"24",8,8,12,8,12,5,3,5,2,5,3,3,3
"25",8,8,12,8,12,5,3,5,2,5,3,3,3
"26",8,8,12,8,12,5,3,5,2,5,3,3,3
"27",8,8,12,8,12,5,3,5,2,5,3,3,3
"28",8,8,12,8,12,5,3,5,2,5,3,3,3
"29",8,8,12,8,12,5,3,5,2,5,3,3,3
"30",8,8,12,8,12,5,3,5,2,5,3,3,3
"31",8,8,12,8,12,5,3,5,2,5,3,3,3
"32",8,8,12,8,12,5,3,5,2,5,3,3,3
"33",8,8,12,8,12,5,3,5,2,5,3,3,3
"34",8,8,12,8,12,5,3,5,2,5,3,3,3
"35",8,8,12,8,12,5,3,5,2,5,3,3,3
"36",8,8,12,8,12,5,3,5,2,5,3,3,3
"37",8,8,12,8,12,5,3,5,2,5,3,3,3
"38",8,8,12,8,12,5,3,5,2,5,3,3,3
"39",8,8,12,8,12,5,3,5,2,5,3,3,3
"40",8,8,12,8,12,5,3,5,2,5,3,3,3
"41",8,8,12,8,12,5,3,5,2,5,3,3,3
"42",8,8,12,8,12,5,3,5,2,5,3,3,3
"43",8,8,12,8,12,5,3,5,2,5,3,3,3
"44",8,8,12,8,12,5,3,5,2,5,3,3,3
"45",8,8,12,8,12,5,3,5,2,5,3,3,3
"46",8,8,12,8,12,5,3,5,2,5,3,3,3
"47",8,8,12,8,12,5,3,5,2,5,3,3,3
"48",8,8,12,8,12,5,3,5,2,5,3,3,3
"49",8,8,12,8,12,5,3,5,2,5,3,3,3
"50",8,8,12,8,12,5,3,5,2,5,3,3,3
"51",8,8,12,8,12,5,3,5,2,5,3,3,3
"52",8,8,12,8,12,5,3,5,2,5,3,3,3
"53",8,8,12,8,12,5,3,5,2,5,3,3,3
"54",8,8,12,8,12,5,3,5,2,5,3,3,3
"55",8,8,12,8,12,5,3,5,2,5,3,3,3
"56",8,8,12,8,12,5,3,5,2,5,3,3,3
"57",8,8,12,8,12,5,3,5,2,5,3,3,3
"58",8,8,12,8,12,5,3,5,2,5,3,3,3
"59",8,8,12,8,12,5,3,5,2,5,3,3,3
"60",8,8,12,8,12,5,3,5,2,5,3,3,3
"61",8,8,12,8,12,5,3,5,2,5,3,3,3
"62",8,8,12,8,12,5,3,5,2,5,3,3,3
"63",8,8,12,8,12,5,3,5,2,5,3,3,3
"64",8,8,12,8,12,5,3,5,2,5,3,3,3
"65",8,8,12,8,12,5,3,5,2,5,3,3,3
"66",8,8,12,8,12,5,3,5,2,5,3,3,3
"67",8,8,12,8,12,5,3,5,2,5,3,3,3
"68",8,8,12,8,12,5,3,5,2,5,3,3,3
"69",8,8,12,8,12,5,3,5,2,5,3,3,3
"70",8,8,12,8,12,5,3,5,2,5,3,3,3
"71",8,8,12,8,12,5,3,5,2,5,3,3,3
"72",8,8,12,8,12,5,3,5,2,5,3,3,3
"73",8,8,12,8,12,5,3,5,2,5,3,3,3
"74",8,8,12,8,12,5,3,5,2,5,3,3,3
"75",8,8,12,8,12,5,3,5,2,5,3,3,3
"76",8,8,12,8,12,5,3,5,2,5,3,3,3
"77",8,8,12,8,12,5,3,5,2,5,3,3,3
"78",8,8,12,8,12,5,3,5,2,5,3,3,3
"79",8,8,12,8,12,5,3,5,2,5,3,3,3
"80",8,8,12,8,12,5,3,5,2,5,3,3,3
"81",8,8,12,8,12,5,3,5,2,5,3,3,3
"82",8,8,12,8,12,5,3,5,2,5,3,3,3
"83",8,8,12,8,12,5,3,5,2,5,3,3,3
"84",8,8,12,8,12,5,3,5,2,5,3,3,3
"85",8,8,12,8,12,5,3,5,2,5,3,3,3
"86",8,8,12,8,12,5,3,5,2,5,3,3,3
"87",8,8,12,8,12,5,3,5,2,5,3,3,3
"88",8,8,12,8,12,5,3,5,2,5,3,3,3
"89",8,8,12,8,12,5,3,5,2,5,3,3,3
"90",8,8,12,8,12,5,3,5,2,5,3,3,3
"91",8,8,12,8,12,5,3,5,2,5,3,3,3
"92",8,8,12,8,12,5,3,5,2,5,3,3,3
"93",8,8,12,8,12,5,3,5,2,5,3,3,3
"94",8,8,12,8,12,5,3,5,2,5,3,3,3
"95",8,8,12,8,12,5,3,5,2,5,3,3,3
"96",8,8,12,8,12,5,3,5,2,5,3,3,3
"97",8,8,12,8,12,5,3,5,2,5,3,3,3
"98",8,8,12,8,12,5,3,5,2,5,3,3,3
"99",8,8,12,8,12,5,3,5,2,5,3,3,3
"100",8,8,12,8,12,5,3,5,2,5,3,3,3
