"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V115","V116","V117","V118"
"1",12,18,8,9,22,15,15,18,6,18,1,7,15,19,19,18,12,19,15,6,9,7,5,9,18,13,5,5,21,7,9,7,13,1,11,18,8,6,18,8,10,10,1,11,22,18,9,4,16,21,8,4,9,20,23,7,12,11,10,22,1,9,18,18,8,9,12,7,9,9,8,23,12,5,22,2,20,23,8,16,7,7,7,23,7,16,13,19,14,11,2,3,20,8,18,20,21,12,12,6,20,18,6,8,16,18,7,7,23,6,21,19,13,20,13,11,2,14
"2",12,18,8,9,22,15,15,18,6,18,1,7,15,19,19,18,12,19,15,6,9,7,5,9,18,13,5,5,21,7,9,7,13,1,11,18,8,6,18,8,10,10,1,11,22,18,9,4,16,21,8,4,9,20,23,7,12,11,10,22,1,9,18,18,8,9,12,7,9,9,8,23,12,5,22,2,20,23,8,16,7,7,7,23,7,16,13,19,14,11,2,3,20,8,18,20,21,12,12,6,20,18,6,8,16,18,7,7,23,6,21,19,13,20,13,11,2,14
"3",12,18,8,9,22,15,15,18,6,18,1,7,15,19,19,18,12,19,15,6,9,7,5,9,18,13,5,5,21,7,9,7,13,1,11,18,8,6,18,8,10,10,1,11,22,18,9,4,16,21,8,4,9,20,23,7,12,11,10,22,1,9,18,18,8,9,12,7,9,9,8,23,12,5,22,2,20,23,8,16,7,7,7,23,7,16,13,19,14,11,2,3,20,8,18,20,21,12,12,6,20,18,6,8,16,18,7,7,23,6,21,19,13,20,13,11,2,14
"4",12,18,8,9,22,15,15,18,6,18,1,7,15,19,19,18,12,19,15,6,9,7,5,9,18,13,5,5,21,7,9,7,13,1,11,18,8,6,18,8,10,10,1,11,22,18,9,4,16,21,8,4,9,20,23,7,12,11,10,22,1,9,18,18,8,9,12,7,9,9,8,23,12,5,22,2,20,23,8,16,7,7,7,23,7,16,13,19,14,11,2,3,20,8,18,20,21,12,12,6,20,18,6,8,16,18,7,7,23,6,21,19,13,20,13,11,2,14
"5",12,18,8,9,22,15,15,18,6,18,1,7,15,19,19,18,12,19,15,6,9,7,5,9,18,13,5,5,21,7,9,7,13,1,11,18,8,6,18,8,10,10,1,11,22,18,9,4,16,21,8,4,9,20,23,7,12,11,10,22,1,9,18,18,8,9,12,7,9,9,8,23,12,5,13,2,20,23,8,16,7,7,7,23,7,16,13,19,14,11,2,3,20,8,18,20,21,12,12,6,20,18,6,8,16,18,7,7,23,6,21,19,13,20,13,11,2,14
"6",12,18,8,9,22,15,15,18,6,18,1,7,15,19,19,18,12,19,15,6,9,7,5,9,18,13,5,5,21,7,9,7,13,1,11,18,8,6,18,8,10,10,1,11,22,18,9,4,16,21,8,4,9,20,23,7,12,11,10,22,1,9,18,18,8,9,12,7,9,9,8,23,12,5,22,2,20,23,8,16,7,7,7,23,7,16,13,19,14,11,2,3,20,8,18,20,21,12,12,6,20,18,6,8,16,18,7,7,23,6,21,19,13,20,13,11,2,14
"7",12,18,8,9,22,15,15,18,6,18,1,7,15,19,19,18,12,19,15,6,9,7,5,9,18,13,5,5,21,7,9,7,13,1,11,18,8,6,18,8,10,10,1,11,22,18,9,4,16,21,8,4,9,20,23,7,12,11,10,22,1,9,18,18,8,9,12,7,9,9,8,23,12,5,22,2,20,23,8,16,7,7,7,23,7,16,13,19,14,11,2,3,20,8,18,20,21,12,12,6,20,18,6,8,16,18,7,7,23,6,21,19,13,20,13,11,2,14
"8",12,18,8,9,22,15,15,18,6,18,1,7,15,19,19,18,12,19,15,6,9,7,5,9,18,13,5,5,21,7,9,7,13,1,11,18,8,6,18,8,10,10,1,11,22,18,9,4,16,21,8,4,9,20,23,7,12,11,10,22,1,9,18,18,8,9,12,7,9,9,8,23,12,5,13,2,20,23,8,16,7,7,7,23,7,16,13,19,14,11,2,3,20,8,18,20,21,12,12,6,20,18,6,8,16,18,7,7,23,6,21,19,13,20,13,11,2,14
"9",12,18,8,9,22,15,15,18,6,18,1,7,15,19,19,18,12,19,15,6,9,7,5,9,18,13,5,5,21,7,9,7,13,1,11,18,8,6,18,8,10,10,1,11,22,18,9,4,16,21,8,4,9,20,23,7,12,11,10,22,1,9,18,18,8,9,12,7,9,9,8,23,12,5,22,2,20,23,8,16,7,7,7,23,7,16,13,19,14,11,2,3,20,8,18,20,21,12,12,6,20,18,6,8,16,18,7,7,23,6,21,19,13,20,13,11,2,14
"10",12,18,8,9,22,15,15,18,6,18,1,7,15,19,19,18,12,19,15,6,9,7,5,9,18,13,5,5,21,7,9,7,13,1,11,18,8,6,18,8,10,10,1,11,22,18,9,4,16,21,8,4,9,20,23,7,12,11,10,22,1,9,18,18,8,9,12,7,9,9,8,23,12,5,13,2,20,23,8,16,7,7,7,23,7,16,13,19,14,11,2,3,20,8,18,20,21,12,12,6,20,18,6,8,16,18,7,7,23,6,21,19,13,20,13,11,2,14
