"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114"
"1",1,1,1,1,6,2,18,19,27,9,25,28,14,18,18,18,30,18,1,18,10,18,1,1,1,15,30,3,23,25,15,18,1,18,3,3,30,4,9,3,9,3,8,25,9,4,17,4,4,4,17,4,5,19,15,8,8,9,9,9,26,10,14,17,18,18,18,18,18,18,18,30,30,20,20,20,26,30,21,21,21,22,21,29,21,21,21,21,25,29,25,21,29,25,21,29,21,21,21,21,21,21,21,21,21,21,21,21,29,21,21,21,21,30
"2",1,1,1,1,6,2,18,19,7,9,25,28,14,18,18,18,30,18,1,18,10,18,1,1,1,16,30,3,23,25,16,18,1,18,3,3,30,4,9,3,9,3,8,25,9,4,17,4,4,4,17,4,5,19,16,8,8,9,9,9,26,10,14,17,18,18,18,18,18,18,18,30,30,20,20,20,26,30,21,21,21,22,21,29,21,21,21,21,25,29,25,21,29,25,21,29,21,21,21,21,21,21,21,21,21,21,21,21,29,21,21,21,21,30
"3",1,1,1,1,6,2,18,19,27,9,25,28,14,18,18,18,30,18,1,18,10,18,1,1,1,15,30,3,23,25,15,18,1,18,3,3,30,3,9,3,9,3,8,25,9,4,17,4,4,4,17,4,5,19,15,8,8,9,9,9,26,10,14,17,18,18,18,18,18,18,18,30,30,20,20,20,26,30,21,21,21,22,21,29,21,21,21,21,25,29,25,21,29,25,21,29,21,21,21,21,21,21,21,21,21,21,21,21,29,21,21,21,21,30
"4",1,1,1,1,6,2,18,19,24,9,25,28,14,18,18,18,30,18,1,18,10,18,1,1,1,12,30,3,23,25,12,18,1,18,3,3,30,3,9,3,9,3,8,25,9,4,17,4,4,4,17,4,5,19,12,8,25,9,9,9,26,10,14,17,18,18,18,18,18,18,18,30,30,20,20,20,26,30,21,21,21,22,21,29,21,21,21,21,25,29,25,21,29,25,21,29,21,21,21,21,21,21,21,21,21,21,21,21,29,21,21,21,21,30
"5",1,1,1,1,6,2,18,19,27,9,25,28,14,18,18,18,30,18,1,18,10,18,1,1,1,16,30,3,23,25,16,18,1,18,3,3,30,3,9,3,9,3,8,25,9,4,17,4,4,4,17,4,5,19,16,8,8,9,9,9,26,10,14,17,18,18,18,18,18,18,18,30,30,20,20,20,26,30,21,21,21,22,21,29,21,21,21,21,25,29,25,21,29,25,21,29,21,21,21,21,21,21,21,21,21,21,21,21,29,21,21,21,21,30
"6",1,1,1,1,6,2,18,19,27,9,25,28,14,18,18,18,30,18,1,18,10,18,1,1,1,15,30,3,23,25,15,18,1,18,3,3,30,3,9,3,9,3,8,25,9,4,17,4,4,4,17,4,5,19,15,8,25,9,9,9,26,10,14,17,18,18,18,18,18,18,18,30,30,20,20,20,26,30,21,21,21,22,21,29,21,21,21,21,25,29,25,21,29,25,21,29,21,21,21,21,21,21,21,21,21,21,21,21,29,21,21,21,21,30
"7",1,1,1,1,6,2,18,19,7,9,25,28,14,18,18,18,30,18,1,18,10,18,1,1,1,15,30,3,23,25,15,18,1,18,3,3,30,3,9,3,9,3,8,25,9,4,17,4,4,4,17,4,5,19,15,8,8,9,9,9,26,10,14,17,18,18,18,18,18,18,18,30,30,20,20,20,26,30,21,21,21,22,21,29,21,21,21,21,25,29,25,21,29,25,21,29,21,21,21,21,21,21,21,21,21,21,21,21,29,21,21,21,21,30
"8",1,1,1,1,6,2,18,19,24,9,25,28,14,18,18,18,30,18,1,18,10,18,1,1,1,15,30,3,23,25,15,18,1,18,3,3,30,4,9,3,9,3,8,25,9,4,17,4,4,4,17,4,5,19,15,8,8,9,9,9,26,10,14,17,18,18,18,18,18,18,18,30,30,20,20,20,26,30,21,21,21,22,21,29,21,21,21,21,25,29,25,21,29,25,21,29,21,21,21,21,21,21,21,21,21,21,21,21,29,21,21,21,21,30
"9",1,1,1,1,6,2,18,19,24,9,25,28,14,18,18,18,30,18,1,18,10,18,1,1,1,16,30,3,23,25,16,18,1,18,3,3,30,3,9,3,9,3,8,25,9,4,17,4,4,4,17,4,5,19,16,8,25,9,9,9,26,10,14,17,18,18,18,18,18,18,18,30,30,20,20,20,26,30,21,21,21,22,21,29,21,21,21,21,25,29,25,21,29,25,21,29,21,21,21,21,21,21,21,21,21,21,21,21,29,21,21,21,21,30
"10",1,1,1,1,6,2,18,19,24,9,25,28,14,18,18,18,30,18,1,18,10,18,1,1,1,12,30,3,23,25,12,18,1,18,3,3,30,4,9,3,9,3,8,25,9,4,17,4,4,4,17,4,5,19,12,8,25,9,9,9,26,10,14,17,18,18,18,18,18,18,18,30,30,20,20,20,26,30,21,21,21,22,21,29,21,21,21,21,25,29,25,21,29,25,21,29,21,21,21,21,21,21,21,21,21,21,21,21,29,21,21,21,21,30
"11",1,1,1,1,6,2,18,19,27,9,25,28,14,18,18,18,30,18,1,18,10,18,1,1,1,15,30,3,23,25,15,18,1,18,3,3,30,3,9,3,9,3,8,25,9,4,17,4,4,4,17,4,5,19,15,8,25,9,9,9,26,10,14,17,18,18,18,18,18,18,18,30,30,20,20,20,26,30,21,21,21,22,21,29,21,21,21,21,25,29,25,21,29,25,21,29,21,21,21,21,21,21,21,21,21,21,21,21,29,21,21,21,21,30
"12",1,1,1,1,6,2,18,19,7,9,25,28,14,18,18,18,30,18,1,18,10,18,1,1,1,12,30,3,23,25,12,18,1,18,3,3,30,3,9,3,9,3,8,25,9,4,17,4,4,4,17,4,5,19,12,8,25,9,9,9,26,10,14,17,18,18,18,18,18,18,18,30,30,20,20,20,26,30,21,21,21,22,21,29,21,21,21,21,25,29,25,21,29,25,21,29,21,21,21,21,21,21,21,21,21,21,21,21,29,21,21,21,21,30
"13",1,1,1,1,6,2,18,19,24,9,25,28,14,18,18,18,30,18,1,18,10,18,1,1,1,12,30,3,23,25,12,18,1,18,3,3,30,4,9,3,9,3,8,25,9,4,17,4,4,4,17,4,5,19,12,8,25,9,9,9,26,10,14,17,18,18,18,18,18,18,18,30,30,20,20,20,26,30,21,21,21,22,21,29,21,21,21,21,25,29,25,21,29,25,21,29,21,21,21,21,21,21,21,21,21,21,21,21,29,21,21,21,21,30
"14",1,1,1,1,6,2,18,19,27,9,25,28,14,18,18,18,30,18,1,18,10,18,1,1,1,15,30,3,23,25,15,18,1,18,3,3,30,4,9,3,9,3,8,25,23,4,17,4,4,4,17,4,19,19,15,8,25,9,9,9,26,10,14,17,18,18,18,18,18,18,18,30,30,20,20,20,26,30,21,21,21,22,21,29,21,21,21,21,25,29,25,21,29,25,21,29,21,21,21,21,21,21,21,21,21,21,21,21,29,21,21,21,21,30
"15",1,1,1,1,6,2,18,19,24,9,25,28,14,18,18,18,30,18,1,18,10,18,1,1,1,15,30,3,23,25,15,18,1,18,3,3,30,4,9,3,9,3,8,25,9,4,17,4,4,4,17,4,5,19,15,8,8,9,9,9,26,10,14,17,18,18,18,18,18,18,18,30,30,20,20,20,26,30,21,21,21,22,21,29,21,21,21,21,25,29,25,21,29,25,21,29,21,21,21,21,21,21,21,21,21,21,21,21,29,21,21,21,21,30
"16",1,1,1,1,6,2,18,19,24,9,25,28,14,18,18,18,30,18,1,18,10,18,1,1,1,12,30,3,23,25,12,18,1,18,3,3,30,4,9,3,9,3,8,25,9,4,17,4,4,4,17,4,5,19,12,8,25,9,9,9,26,10,14,17,18,18,18,18,18,18,18,30,30,20,20,20,26,30,21,21,21,22,21,29,21,21,21,21,25,29,25,21,29,25,21,29,21,21,21,21,21,21,21,21,21,21,21,21,29,21,21,21,21,30
"17",1,1,1,1,6,2,18,19,24,9,25,28,14,18,18,18,30,18,1,18,10,18,1,1,1,12,30,3,23,25,12,18,1,18,3,3,30,3,9,3,9,3,8,25,9,4,17,4,4,4,17,4,5,19,12,8,25,9,9,9,26,10,14,17,18,18,18,18,18,18,18,30,30,20,20,20,26,30,21,21,21,22,21,29,21,21,21,21,25,29,25,21,29,25,21,29,21,21,21,21,21,21,21,21,21,21,21,21,29,21,21,21,21,30
"18",1,1,1,1,6,2,18,19,27,9,25,28,14,18,18,18,30,18,1,18,10,18,1,1,1,15,30,3,23,25,15,18,1,18,3,3,30,3,9,3,9,3,8,25,9,4,17,4,4,4,17,4,5,19,15,8,25,9,9,9,26,10,14,17,18,18,18,18,18,18,18,30,30,20,20,20,26,30,21,21,21,22,21,29,21,21,21,21,25,29,25,21,29,25,21,29,21,21,21,21,21,21,21,21,21,21,21,21,29,21,21,21,21,30
"19",1,1,1,1,6,2,18,19,7,9,25,28,14,18,18,18,30,18,1,18,10,18,1,1,1,15,30,3,23,25,15,18,1,18,3,3,30,4,9,3,9,3,8,25,9,4,17,4,4,4,17,4,5,19,15,8,8,9,9,9,26,10,14,17,18,18,18,18,18,18,18,30,30,20,20,20,26,30,21,21,21,22,21,29,21,21,21,21,25,29,25,21,29,25,21,29,21,21,21,21,21,21,21,21,21,21,21,21,29,21,21,21,21,30
"20",1,1,1,1,6,2,18,19,7,9,25,28,14,18,18,18,30,18,1,18,10,18,1,1,1,16,30,3,23,25,16,18,1,18,3,3,30,4,9,3,9,3,8,25,9,4,17,4,4,4,17,4,5,19,16,8,8,9,9,9,26,10,14,17,18,18,18,18,18,18,18,30,30,20,20,20,26,30,21,21,21,22,21,29,21,21,21,21,25,29,25,21,29,25,21,29,21,21,21,21,21,21,21,21,21,21,21,21,29,21,21,21,21,30
"21",1,1,1,1,6,2,18,19,7,9,25,28,14,18,18,18,30,18,1,18,10,18,1,1,1,7,30,3,23,25,13,18,1,18,3,3,30,3,9,3,9,3,8,25,11,4,17,4,4,4,17,4,5,19,12,8,25,9,9,9,26,10,14,17,18,18,18,18,18,18,18,30,30,20,20,20,26,30,21,21,21,22,21,29,21,21,21,21,25,29,25,21,29,25,21,29,21,21,21,21,21,21,21,21,21,21,21,21,29,21,21,21,21,30
"22",1,1,1,1,6,2,18,19,24,9,25,28,14,18,18,18,30,18,1,18,10,18,1,1,1,16,30,3,23,25,16,18,1,18,3,3,30,4,9,3,9,3,8,25,9,4,17,4,4,4,17,4,5,19,16,8,8,9,9,9,26,10,14,17,18,18,18,18,18,18,18,30,30,20,20,20,26,30,21,21,21,22,21,29,21,21,21,21,25,29,25,21,29,25,21,29,21,21,21,21,21,21,21,21,21,21,21,21,29,21,21,21,21,30
"23",1,1,1,1,6,2,18,19,7,9,25,28,14,18,18,18,30,18,1,18,10,18,1,1,1,15,30,3,23,25,15,18,1,18,3,3,30,4,9,3,9,3,8,25,9,4,17,4,4,4,17,4,5,19,15,8,25,9,9,9,26,10,14,17,18,18,18,18,18,18,18,30,30,20,20,20,26,30,21,21,21,22,21,29,21,21,21,21,25,29,25,21,29,25,21,29,21,21,21,21,21,21,21,21,21,21,21,21,29,21,21,21,21,30
"24",1,1,1,1,6,2,18,19,24,9,25,28,14,18,18,18,30,18,1,18,10,18,1,1,1,15,30,3,23,25,15,18,1,18,3,3,30,3,9,3,9,3,8,25,9,4,17,4,4,4,17,4,5,19,15,8,8,9,9,9,26,10,14,17,18,18,18,18,18,18,18,30,30,20,20,20,26,30,21,21,21,22,21,29,21,21,21,21,25,29,25,21,29,25,21,29,21,21,21,21,21,21,21,21,21,21,21,21,29,21,21,21,21,30
"25",1,1,1,1,6,2,18,19,7,9,25,28,14,18,18,18,30,18,1,18,10,18,1,1,1,15,30,3,23,25,15,18,1,18,3,3,30,4,9,3,9,3,8,25,9,4,17,4,4,4,17,4,5,19,15,8,8,9,9,9,26,10,14,17,18,18,18,18,18,18,18,30,30,20,20,20,26,30,21,21,21,22,21,29,21,21,21,21,25,29,25,21,29,25,21,29,21,21,21,21,21,21,21,21,21,21,21,21,29,21,21,21,21,30
"26",1,1,1,1,6,2,18,19,27,9,25,28,14,18,18,18,30,18,1,18,10,18,1,1,1,12,30,3,23,25,12,18,1,18,3,3,30,4,9,3,9,3,8,25,9,4,17,4,4,4,17,4,5,19,12,8,8,9,9,9,26,10,14,17,18,18,18,18,18,18,18,30,30,20,20,20,26,30,21,21,21,22,21,29,21,21,21,21,25,29,25,21,29,25,21,29,21,21,21,21,21,21,21,21,21,21,21,21,29,21,21,21,21,30
"27",1,1,1,1,6,2,18,19,27,9,25,28,14,18,18,18,30,18,1,18,10,18,1,1,1,15,30,3,23,25,15,18,1,18,3,3,30,4,9,3,9,3,8,25,9,4,17,4,4,4,17,4,5,19,15,8,25,9,9,9,26,10,14,17,18,18,18,18,18,18,18,30,30,20,20,20,26,30,21,21,21,22,21,29,21,21,21,21,25,29,25,21,29,25,21,29,21,21,21,21,21,21,21,21,21,21,21,21,29,21,21,21,21,30
"28",1,1,1,1,6,2,18,19,24,9,25,28,14,18,18,18,30,18,1,18,10,18,1,1,1,16,30,3,23,25,16,18,1,18,3,3,30,3,9,3,9,3,8,25,9,4,17,4,4,4,17,4,5,19,16,8,8,9,9,9,26,10,14,17,18,18,18,18,18,18,18,30,30,20,20,20,26,30,21,21,21,22,21,29,21,21,21,21,25,29,25,21,29,25,21,29,21,21,21,21,21,21,21,21,21,21,21,21,29,21,21,21,21,30
"29",1,1,1,1,6,2,18,19,24,9,25,28,14,18,18,18,30,18,1,18,10,18,1,1,1,15,30,3,23,25,15,18,1,18,3,3,30,3,9,3,9,3,8,25,9,4,17,4,4,4,17,4,5,19,15,8,25,9,9,9,26,10,14,17,18,18,18,18,18,18,18,30,30,20,20,20,26,30,21,21,21,22,21,29,21,21,21,21,25,29,25,21,29,25,21,29,21,21,21,21,21,21,21,21,21,21,21,21,29,21,21,21,21,30
"30",1,1,1,1,6,2,18,19,24,9,25,28,14,18,18,18,30,18,1,18,10,18,1,1,1,15,30,3,23,25,15,18,1,18,3,3,30,4,9,3,9,3,8,25,9,4,17,4,4,4,17,4,5,19,15,8,25,9,9,9,26,10,14,17,18,18,18,18,18,18,18,30,30,20,20,20,26,30,21,21,21,22,21,29,21,21,21,21,25,29,25,21,29,25,21,29,21,21,21,21,21,21,21,21,21,21,21,21,29,21,21,21,21,30
"31",1,1,1,1,6,2,18,19,7,9,25,28,14,18,18,18,30,18,1,18,10,18,1,1,1,16,30,3,23,25,16,18,1,18,3,3,30,3,9,3,9,3,8,25,23,4,17,4,4,4,17,4,19,19,16,8,25,9,9,9,26,10,14,17,18,18,18,18,18,18,18,30,30,20,20,20,26,30,21,21,21,22,21,29,21,21,21,21,25,29,25,21,29,25,21,29,21,21,21,21,21,21,21,21,21,21,21,21,29,21,21,21,21,30
"32",1,1,1,1,6,2,18,19,24,9,25,28,14,18,18,18,30,18,1,18,10,18,1,1,1,12,30,3,23,25,12,18,1,18,3,3,30,3,9,3,9,3,8,25,9,4,17,4,4,4,17,4,5,19,12,8,25,9,9,9,26,10,14,17,18,18,18,18,18,18,18,30,30,20,20,20,26,30,21,21,21,22,21,29,21,21,21,21,25,29,25,21,29,25,21,29,21,21,21,21,21,21,21,21,21,21,21,21,29,21,21,21,21,30
"33",1,1,1,1,6,2,18,19,24,9,25,28,14,18,18,18,30,18,1,18,10,18,1,1,1,16,30,3,23,25,16,18,1,18,3,3,30,4,9,3,9,3,8,25,9,4,17,4,4,4,17,4,5,19,16,8,25,9,9,9,26,10,14,17,18,18,18,18,18,18,18,30,30,20,20,20,26,30,21,21,21,22,21,29,21,21,21,21,25,29,25,21,29,25,21,29,21,21,21,21,21,21,21,21,21,21,21,21,29,21,21,21,21,30
"34",1,1,1,1,6,2,18,19,24,9,25,28,14,18,18,18,30,18,1,18,10,18,1,1,1,12,30,3,23,25,12,18,1,18,3,3,30,4,9,3,9,3,8,25,9,4,17,4,4,4,17,4,5,19,12,8,8,9,9,9,26,10,14,17,18,18,18,18,18,18,18,30,30,20,20,20,26,30,21,21,21,22,21,29,21,21,21,21,25,29,25,21,29,25,21,29,21,21,21,21,21,21,21,21,21,21,21,21,29,21,21,21,21,30
"35",1,1,1,1,6,2,18,19,7,9,25,28,14,18,18,18,30,18,1,18,10,18,1,1,1,15,30,3,23,25,15,18,1,18,3,3,30,3,9,3,9,3,8,25,9,4,17,4,4,4,17,4,5,19,15,8,25,9,9,9,26,10,14,17,18,18,18,18,18,18,18,30,30,20,20,20,26,30,21,21,21,22,21,29,21,21,21,21,25,29,25,21,29,25,21,29,21,21,21,21,21,21,21,21,21,21,21,21,29,21,21,21,21,30
"36",1,1,1,1,6,2,18,19,7,9,25,28,14,18,18,18,30,18,1,18,10,18,1,1,1,16,30,3,23,25,16,18,1,18,3,3,30,3,9,3,9,3,8,25,9,4,17,4,4,4,17,4,5,19,16,8,8,9,9,9,26,10,14,17,18,18,18,18,18,18,18,30,30,20,20,20,26,30,21,21,21,22,21,29,21,21,21,21,25,29,25,21,29,25,21,29,21,21,21,21,21,21,21,21,21,21,21,21,29,21,21,21,21,30
"37",1,1,1,1,6,2,18,19,24,9,25,28,14,18,18,18,30,18,1,18,10,18,1,1,1,15,30,3,23,25,15,18,1,18,3,3,30,3,9,3,9,3,8,25,9,4,17,4,4,4,17,4,5,19,15,8,8,9,9,9,26,10,14,17,18,18,18,18,18,18,18,30,30,20,20,20,26,30,21,21,21,22,21,29,21,21,21,21,25,29,25,21,29,25,21,29,21,21,21,21,21,21,21,21,21,21,21,21,29,21,21,21,21,30
"38",1,1,1,1,6,2,18,19,7,9,25,28,14,18,18,18,30,18,1,18,10,18,1,1,1,15,30,3,23,25,15,18,1,18,3,3,30,3,9,3,9,3,8,25,9,4,17,4,4,4,17,4,5,19,15,8,8,9,9,9,26,10,14,17,18,18,18,18,18,18,18,30,30,20,20,20,26,30,21,21,21,22,21,29,21,21,21,21,25,29,25,21,29,25,21,29,21,21,21,21,21,21,21,21,21,21,21,21,29,21,21,21,21,30
"39",1,1,1,1,6,2,18,19,24,9,25,28,14,18,18,18,30,18,1,18,10,18,1,1,1,24,30,3,23,25,13,18,1,18,3,3,30,3,9,3,9,3,8,25,11,4,17,4,4,4,17,4,5,19,16,8,25,9,9,9,26,10,14,17,18,18,18,18,18,18,18,30,30,20,20,20,26,30,21,21,21,22,21,29,21,21,21,21,25,29,25,21,29,25,21,29,21,21,21,21,21,21,21,21,21,21,21,21,29,21,21,21,21,30
"40",1,1,1,1,6,2,18,19,24,9,25,28,14,18,18,18,30,18,1,18,10,18,1,1,1,15,30,3,23,25,15,18,1,18,3,3,30,4,9,3,9,3,8,25,9,4,17,4,4,4,17,4,5,19,15,8,8,9,9,9,26,10,14,17,18,18,18,18,18,18,18,30,30,20,20,20,26,30,21,21,21,22,21,29,21,21,21,21,25,29,25,21,29,25,21,29,21,21,21,21,21,21,21,21,21,21,21,21,29,21,21,21,21,30
"41",1,1,1,1,6,2,18,19,27,9,25,28,14,18,18,18,30,18,1,18,10,18,1,1,1,16,30,3,23,25,16,18,1,18,3,3,30,3,9,3,9,3,8,25,9,4,17,4,4,4,17,4,5,19,16,8,8,9,9,9,26,10,14,17,18,18,18,18,18,18,18,30,30,20,20,20,26,30,21,21,21,22,21,29,21,21,21,21,25,29,25,21,29,25,21,29,21,21,21,21,21,21,21,21,21,21,21,21,29,21,21,21,21,30
"42",1,1,1,1,6,2,18,19,27,9,25,28,14,18,18,18,30,18,1,18,10,18,1,1,1,16,30,3,23,25,16,18,1,18,3,3,30,4,9,3,9,3,8,25,9,4,17,4,4,4,17,4,5,19,16,8,25,9,9,9,26,10,14,17,18,18,18,18,18,18,18,30,30,20,20,20,26,30,21,21,21,22,21,29,21,21,21,21,25,29,25,21,29,25,21,29,21,21,21,21,21,21,21,21,21,21,21,21,29,21,21,21,21,30
"43",1,1,1,1,6,2,18,19,24,9,25,28,14,18,18,18,30,18,1,18,10,18,1,1,1,16,30,3,23,25,16,18,1,18,3,3,30,3,9,3,9,3,8,25,9,4,17,4,4,4,17,4,5,19,16,8,25,9,9,9,26,10,14,17,18,18,18,18,18,18,18,30,30,20,20,20,26,30,21,21,21,22,21,29,21,21,21,21,25,29,25,21,29,25,21,29,21,21,21,21,21,21,21,21,21,21,21,21,29,21,21,21,21,30
