"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18"
"1",5,7,7,8,11,11,4,11,6,2,2,4,2,1,1,10,3,9
"2",5,7,7,8,11,11,4,11,6,2,2,4,2,1,1,10,3,9
"3",5,7,7,8,11,11,4,11,6,2,2,4,2,1,1,10,3,9
"4",5,7,7,8,11,11,4,11,6,2,2,4,2,1,1,10,3,9
"5",5,7,7,8,11,11,4,11,6,2,2,4,2,1,1,10,3,9
"6",5,7,7,8,11,11,4,11,6,2,2,4,2,1,1,10,3,9
"7",5,7,7,8,11,11,4,11,6,2,2,4,2,1,1,10,3,9
"8",5,7,7,8,11,11,4,11,6,2,2,4,2,1,1,10,3,9
"9",5,7,7,8,11,11,4,11,6,2,2,4,2,1,1,10,3,9
"10",5,7,7,8,11,11,4,11,6,2,2,4,2,1,1,10,3,9
"11",5,7,7,8,11,11,4,11,6,2,2,4,2,1,1,10,3,9
"12",5,7,7,8,11,11,4,11,6,2,2,4,2,1,1,10,3,9
"13",5,7,7,8,11,11,4,11,6,2,2,4,2,1,1,10,3,9
"14",5,7,7,8,11,11,4,11,6,2,2,4,2,1,1,10,3,9
"15",5,7,7,8,11,11,4,11,6,2,2,4,2,1,1,10,3,9
"16",5,7,7,8,11,11,4,11,6,2,2,4,2,1,1,10,3,9
"17",5,7,7,8,11,11,4,11,6,2,2,4,2,1,1,10,3,9
"18",5,7,7,8,11,11,4,11,6,2,2,4,2,1,1,10,3,9
"19",5,7,7,8,11,11,4,11,6,2,2,4,2,1,1,10,3,9
"20",5,7,7,8,11,11,4,11,6,2,2,4,2,1,1,10,3,9
"21",5,7,7,8,11,11,4,11,6,2,2,4,2,1,1,10,3,9
"22",5,7,7,8,11,11,4,11,6,2,2,4,2,1,1,10,3,9
"23",5,7,7,8,11,11,4,11,6,2,2,4,2,1,1,10,3,9
"24",5,7,7,8,11,11,4,11,6,2,2,4,2,1,1,10,3,9
"25",5,7,7,8,11,11,4,11,6,2,2,4,2,1,1,10,3,9
"26",5,7,7,8,11,11,4,11,6,2,2,4,2,1,1,10,3,9
"27",5,7,7,8,11,11,4,11,6,2,2,4,2,1,1,10,3,9
"28",5,7,7,8,11,11,4,11,6,2,2,4,2,1,1,10,3,9
"29",5,7,7,8,11,11,4,11,6,2,2,4,2,1,1,10,3,9
"30",5,7,7,8,11,11,4,11,6,2,2,4,2,1,1,10,3,9
"31",5,7,7,8,11,11,4,11,6,2,2,4,2,1,1,10,3,9
"32",5,7,7,8,11,11,4,11,6,2,2,4,2,1,1,10,3,9
"33",5,7,7,8,11,11,4,11,6,2,2,4,2,1,1,10,3,9
"34",5,7,7,8,11,11,4,11,6,2,2,4,2,1,1,10,3,9
"35",5,7,7,8,11,11,4,11,6,2,2,4,2,1,1,10,3,9
"36",5,7,7,8,11,11,4,11,6,2,2,4,2,1,1,10,3,9
"37",5,7,7,8,11,11,4,11,6,2,2,4,2,1,1,10,3,9
"38",5,7,7,8,11,11,4,11,6,2,2,4,2,1,1,10,3,9
"39",5,7,7,8,11,11,4,11,6,2,2,4,2,1,1,10,3,9
"40",5,7,7,8,11,11,4,11,6,2,2,4,2,1,1,10,3,9
"41",5,7,7,8,11,11,4,11,6,2,2,4,2,1,1,10,3,9
"42",5,7,7,8,11,11,4,11,6,2,2,4,2,1,1,10,3,9
"43",5,7,7,8,11,11,4,11,6,2,2,4,2,1,1,10,3,9
"44",5,7,7,8,11,11,4,11,6,2,2,4,2,1,1,10,3,9
"45",5,7,7,8,11,11,4,11,6,2,2,4,2,1,1,10,3,9
"46",5,7,7,8,11,11,4,11,6,2,2,4,2,1,1,10,3,9
"47",5,7,7,8,11,11,4,11,6,2,2,4,2,1,1,10,3,9
"48",5,7,7,8,11,11,4,11,6,2,2,4,2,1,1,10,3,9
"49",5,7,7,8,11,11,4,11,6,2,2,4,2,1,1,10,3,9
"50",5,7,7,8,11,11,4,11,6,2,2,4,2,1,1,10,3,9
"51",5,7,7,8,11,11,4,11,6,2,2,4,2,1,1,10,3,9
"52",5,7,7,8,11,11,4,11,6,2,2,4,2,1,1,10,3,9
