"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44"
"1",6,11,4,6,5,4,7,9,7,9,8,9,5,13,7,7,2,7,7,5,11,3,11,13,2,2,9,3,9,6,5,8,8,2,8,5,9,3,5,3,5,6,4,6
"2",6,11,4,6,5,4,7,9,7,9,8,9,5,13,7,7,2,7,7,5,11,3,11,13,2,2,9,3,9,6,5,8,8,2,8,5,9,3,5,3,5,6,4,6
"3",6,11,4,6,5,4,7,9,7,9,8,9,5,13,7,7,2,7,7,5,11,3,11,13,2,2,9,3,9,6,5,8,8,2,8,5,9,3,5,3,5,6,4,6
"4",6,11,4,6,5,4,7,9,7,9,8,9,5,13,7,7,2,7,7,5,11,3,11,13,2,2,9,3,9,6,5,8,8,2,8,5,9,3,5,3,5,6,4,6
"5",6,11,4,6,5,4,7,9,7,9,8,9,5,13,7,7,2,7,7,5,11,3,11,13,2,2,9,3,9,6,5,8,8,2,8,5,9,3,5,3,5,6,4,6
"6",6,11,4,6,5,4,7,9,7,9,8,9,5,13,7,7,2,7,7,5,11,3,11,13,2,2,9,3,9,6,5,8,8,2,8,5,9,3,5,3,5,6,4,6
"7",6,11,4,6,5,4,7,9,7,9,8,9,5,13,7,7,2,7,7,5,11,10,11,13,2,2,9,10,9,6,5,8,8,2,8,5,9,10,5,10,5,6,4,6
"8",6,11,4,6,5,4,7,9,7,9,8,9,5,13,7,7,2,7,7,5,11,3,11,13,2,2,9,3,9,6,5,8,8,2,8,5,9,3,5,3,5,6,4,6
"9",6,11,4,6,5,4,7,9,7,9,8,9,5,13,7,7,2,7,7,5,11,3,11,13,2,2,9,3,9,6,5,8,8,2,8,5,9,3,5,3,5,6,4,6
"10",6,11,4,6,5,4,7,9,7,9,8,9,5,13,7,7,2,7,7,5,11,10,11,13,2,2,9,10,9,6,5,8,8,2,8,5,9,10,5,10,5,6,4,6
"11",6,11,4,6,5,4,7,9,7,9,8,9,5,13,7,7,2,7,7,5,11,10,11,13,2,2,9,10,9,6,5,8,8,2,8,5,9,10,5,10,5,6,4,6
"12",6,11,4,6,5,4,7,9,7,9,8,9,5,13,7,7,2,7,7,5,11,10,11,13,2,2,9,10,9,6,5,8,8,2,8,5,9,10,5,10,5,6,4,6
"13",6,11,4,6,5,4,7,9,7,9,8,9,5,13,7,7,2,7,7,5,11,3,11,13,2,2,9,3,9,6,5,8,8,2,8,5,9,3,5,3,5,6,4,6
"14",6,11,4,6,5,4,7,9,7,9,8,9,5,13,7,7,2,7,7,5,11,3,11,13,2,2,9,3,9,6,5,8,8,2,8,5,9,3,5,3,5,6,4,6
"15",6,11,4,6,5,4,7,9,7,9,8,9,5,13,7,7,2,7,7,5,11,3,11,13,2,2,9,3,9,6,5,8,8,2,8,5,9,3,5,3,5,6,4,6
