"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13"
"1",1,2,2,5,5,12,2,8,1,10,11,12,12
"2",1,2,2,5,5,6,2,8,1,10,11,6,6
"3",1,2,2,5,5,12,2,8,1,10,11,12,12
"4",1,2,2,4,4,6,2,8,1,10,11,6,6
"5",1,2,2,5,5,6,2,8,1,10,11,6,6
"6",1,2,2,4,4,13,2,8,1,10,11,13,13
"7",1,2,8,4,5,6,2,8,1,10,11,6,6
"8",1,2,2,5,5,6,2,8,1,10,11,6,6
"9",1,2,2,5,5,12,2,4,1,10,11,12,12
"10",1,2,2,5,5,13,2,8,1,10,11,13,13
"11",1,2,2,5,5,12,2,8,1,10,11,12,12
"12",1,2,2,4,4,13,2,8,1,10,11,13,13
"13",1,2,2,5,5,13,2,8,1,10,11,13,13
"14",1,2,2,4,4,12,2,8,1,10,11,12,12
"15",1,2,2,4,4,12,2,8,1,10,11,12,12
"16",1,2,2,5,5,6,2,8,1,10,11,6,6
"17",1,2,2,5,5,13,2,8,1,10,11,13,13
"18",1,2,2,5,5,6,2,4,1,10,11,6,6
"19",1,2,2,5,5,12,2,8,1,10,11,12,12
"20",1,2,2,5,5,12,2,8,1,10,11,12,12
"21",1,2,2,5,5,12,2,8,1,10,11,12,12
"22",1,2,2,5,5,13,2,8,1,10,11,13,13
"23",1,2,2,5,5,6,2,8,1,10,11,6,6
"24",1,2,2,4,4,13,2,8,1,10,11,13,13
"25",1,2,2,5,5,6,2,8,1,10,11,6,6
"26",1,2,2,4,4,13,2,8,1,10,11,13,13
"27",1,2,2,5,5,6,2,8,1,10,11,6,6
"28",1,2,2,5,5,13,2,4,1,10,11,13,13
"29",1,2,2,5,5,13,2,8,1,10,11,13,13
"30",1,2,2,5,5,6,2,8,1,10,11,6,6
"31",1,2,2,5,5,12,2,8,1,10,11,12,12
"32",1,2,2,5,5,13,2,8,1,10,11,13,13
"33",1,2,2,5,5,13,2,8,1,10,11,13,13
"34",1,2,2,5,5,6,2,8,1,10,11,6,6
"35",1,2,2,4,4,6,2,8,1,10,11,6,6
"36",1,2,2,5,5,12,2,8,1,10,11,12,12
"37",1,2,2,5,5,6,2,8,1,10,11,6,6
"38",1,2,2,4,4,13,2,8,1,10,11,13,13
"39",1,2,2,5,5,13,2,8,1,10,11,13,13
"40",1,2,2,5,5,6,2,8,1,10,11,6,6
"41",1,2,2,4,4,13,2,8,1,10,11,13,13
"42",1,2,2,4,4,13,2,8,1,10,11,13,13
"43",1,2,2,5,5,12,2,8,1,10,11,12,12
"44",1,2,2,5,5,12,2,8,1,10,11,12,12
"45",1,2,2,5,5,12,2,8,1,10,11,12,12
"46",1,2,2,5,5,13,2,8,1,10,11,13,13
"47",1,2,2,4,4,13,2,8,1,10,11,13,13
"48",1,2,2,5,5,6,2,4,1,10,11,6,6
"49",1,2,2,5,5,12,2,8,1,10,11,12,12
"50",1,2,2,4,4,6,2,8,1,10,11,6,6
"51",1,2,2,5,5,6,2,8,1,10,11,6,6
"52",1,2,2,5,5,12,2,8,1,10,11,12,12
"53",1,2,2,5,5,12,2,8,1,10,11,12,12
"54",1,2,2,5,5,12,2,8,1,10,11,12,12
"55",1,2,2,5,5,12,2,8,1,10,11,12,12
"56",1,2,2,4,4,6,2,8,1,10,11,6,6
"57",1,2,2,5,5,13,2,8,1,10,11,13,13
"58",1,2,2,4,5,12,2,8,1,10,11,12,12
"59",1,2,2,5,5,13,2,8,1,10,11,13,13
"60",1,2,2,5,5,12,2,4,1,10,11,12,12
"61",1,2,2,4,4,13,2,8,1,10,11,13,13
"62",1,2,2,4,4,13,2,8,1,10,11,13,13
