"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56"
"1",5,8,2,7,3,3,1,3,9,3,2,2,8,8,9,6,7,8,9,8,7,2,8,7,9,1,4,8,6,6,8,8,8,7,8,4,3,3,1,8,3,6,8,8,8,8,9,9,4,6,8,7,6,4,7,1
"2",5,8,2,7,3,3,1,3,9,3,4,4,8,8,9,6,7,8,9,8,7,2,8,7,9,1,4,8,6,6,8,8,8,7,8,2,3,3,1,8,3,6,8,8,8,8,9,9,4,6,8,7,6,4,7,1
"3",5,8,2,7,3,3,1,3,9,3,2,2,8,8,9,6,7,8,9,8,7,2,8,7,9,1,6,8,6,6,8,8,8,7,8,2,3,3,1,8,3,6,8,8,8,8,9,9,2,6,8,7,6,2,7,1
"4",5,8,4,7,3,3,1,3,9,3,4,4,8,8,9,6,7,8,9,8,7,4,8,7,9,1,6,8,6,6,8,8,8,7,8,4,3,3,1,8,3,6,8,8,8,8,9,9,4,6,8,7,6,4,7,1
"5",5,8,2,7,3,3,1,3,9,3,2,2,8,8,9,6,7,8,9,8,7,2,8,7,9,1,6,8,6,6,8,8,8,7,8,2,3,3,1,8,3,6,8,8,8,8,9,9,2,6,8,7,6,2,7,1
"6",5,8,2,7,3,3,1,3,9,3,4,2,8,8,9,6,7,8,9,8,7,2,8,7,9,1,4,8,6,6,8,8,8,7,8,2,3,3,1,8,3,6,8,8,8,8,9,9,4,6,8,7,6,4,7,1
"7",5,8,2,7,3,3,1,3,9,3,4,4,8,8,9,6,7,8,9,8,7,2,8,7,9,1,4,8,6,6,8,8,8,7,8,4,3,3,1,8,3,6,8,8,8,8,9,9,4,6,8,7,6,2,7,1
"8",5,8,2,7,3,3,1,3,9,3,2,4,8,8,9,6,7,8,9,8,7,2,8,7,9,1,4,8,6,6,8,8,8,7,8,4,3,3,1,8,3,6,8,8,8,8,9,9,4,6,8,7,6,4,7,1
"9",5,8,2,7,3,3,1,3,9,3,2,2,8,8,9,6,7,8,9,8,7,2,8,7,9,1,4,8,6,6,8,8,8,7,8,2,3,3,1,8,3,6,8,8,8,8,9,9,4,6,8,7,6,4,7,1
"10",5,8,2,7,3,3,1,3,9,3,4,4,8,8,9,6,7,8,9,8,7,2,8,7,9,1,4,8,6,6,8,8,8,7,8,2,3,3,1,8,3,6,8,8,8,8,9,9,4,6,8,7,6,2,7,1
"11",5,8,2,7,3,3,1,3,9,3,4,2,8,8,9,6,7,8,9,8,7,2,8,7,9,1,4,8,6,6,8,8,8,7,8,4,3,3,1,8,3,6,8,8,8,8,9,9,4,6,8,7,6,2,7,1
"12",5,8,2,7,3,3,1,3,9,3,2,2,8,8,9,6,7,8,9,8,7,2,8,7,9,1,4,8,6,6,8,8,8,7,8,4,3,3,1,8,3,6,8,8,8,8,9,9,4,6,8,7,6,2,7,1
"13",5,8,2,7,3,3,1,3,9,3,2,2,8,8,9,6,7,8,9,8,7,2,8,7,9,1,4,8,6,6,8,8,8,7,8,4,3,3,1,8,3,6,8,8,8,8,9,9,4,6,8,7,6,4,7,1
