"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33"
"1",1,5,1,8,7,6,2,6,2,9,4,9,1,3,9,9,9,2,9,3,2,2,2,9,2,9,6,9,2,2,9,6,6
"2",1,5,1,8,7,6,2,6,2,9,4,9,1,3,9,9,9,2,9,3,2,2,2,9,2,9,6,9,2,2,9,6,6
"3",1,5,1,8,7,6,2,6,2,9,4,9,1,3,9,9,9,2,9,3,2,2,2,9,2,9,6,9,2,2,9,6,6
"4",1,5,1,8,7,6,2,6,2,9,4,9,1,3,9,9,9,2,9,3,2,2,2,9,2,9,6,9,2,2,9,6,6
"5",1,5,1,8,7,6,2,6,2,9,4,9,1,3,9,9,9,2,9,3,2,2,2,9,2,9,6,9,2,2,9,6,6
"6",1,5,1,8,7,6,2,6,2,9,4,9,1,3,9,9,9,2,9,3,2,2,2,9,2,9,6,9,2,2,9,6,6
"7",1,5,1,8,7,6,2,6,2,9,4,9,1,3,9,9,9,2,9,3,2,2,2,9,2,9,6,9,2,2,9,6,6
"8",1,5,1,8,7,6,2,6,2,9,4,9,1,3,9,9,9,2,9,3,2,2,2,9,2,9,6,9,2,2,9,6,6
"9",1,5,1,8,7,6,2,6,2,9,4,9,1,3,9,9,9,2,9,3,2,2,2,9,2,9,6,9,2,2,9,6,6
"10",1,5,1,8,7,6,2,6,2,9,4,9,1,3,9,9,9,2,9,3,2,2,2,9,2,9,6,9,2,2,9,6,6
"11",1,5,1,8,7,6,2,6,2,9,4,9,1,3,9,9,9,2,9,3,2,2,2,9,2,9,6,9,2,2,9,6,6
"12",1,5,1,8,7,6,2,6,2,9,4,9,1,3,9,9,9,2,9,3,2,2,2,9,2,9,6,9,2,2,9,6,6
"13",1,5,1,8,7,6,2,6,2,9,4,9,1,3,9,9,9,2,9,3,2,2,2,9,2,9,6,9,2,2,9,6,6
"14",1,5,1,8,7,6,2,6,2,9,4,9,1,3,9,9,9,2,9,3,2,2,2,9,2,9,6,9,2,2,9,6,6
"15",1,5,1,8,7,6,2,6,2,9,4,9,1,3,9,9,9,2,9,3,2,2,2,9,2,9,6,9,2,2,9,6,6
"16",1,5,1,8,7,6,2,6,2,9,4,9,1,3,9,9,9,2,9,3,2,2,2,9,2,9,6,9,2,2,9,6,6
"17",1,5,1,8,7,6,2,6,2,9,4,9,1,3,9,9,9,2,9,3,2,2,2,9,2,9,6,9,2,2,9,6,6
"18",1,5,1,8,7,6,2,6,2,9,4,9,1,3,9,9,9,2,9,3,2,2,2,9,2,9,6,9,2,2,9,6,6
"19",1,5,1,8,7,6,2,6,2,9,4,9,1,3,9,9,9,2,9,3,2,2,2,9,2,9,6,9,2,2,9,6,6
"20",1,5,1,8,7,6,2,6,2,9,4,9,1,3,9,9,9,2,9,3,2,2,2,9,2,9,6,9,2,2,9,6,6
"21",1,5,1,8,7,6,2,6,2,9,4,9,1,3,9,9,9,2,9,3,2,2,2,9,2,9,6,9,2,2,9,6,6
"22",1,5,1,8,7,6,2,6,2,9,4,9,1,3,9,9,9,2,9,3,2,2,2,9,2,9,6,9,2,2,9,6,6
"23",1,5,1,8,7,6,2,6,2,9,4,9,1,3,9,9,9,2,9,3,2,2,2,9,2,9,6,9,2,2,9,6,6
"24",1,5,1,8,7,6,2,6,2,9,4,9,1,3,9,9,9,2,9,3,2,2,2,9,2,9,6,9,2,2,9,6,6
"25",1,5,1,8,7,6,2,6,2,9,4,9,1,3,9,9,9,2,9,3,2,2,2,9,2,9,6,9,2,2,9,6,6
"26",1,5,1,8,7,6,2,6,2,9,4,9,1,3,9,9,9,2,9,3,2,2,2,9,2,9,6,9,2,2,9,6,6
"27",1,5,1,8,7,6,2,6,2,9,4,9,1,3,9,9,9,2,9,3,2,2,2,9,2,9,6,9,2,2,9,6,6
"28",1,5,1,8,7,6,2,6,2,9,4,9,1,3,9,9,9,2,9,3,2,2,2,9,2,9,6,9,2,2,9,6,6
"29",1,5,1,8,7,6,2,6,2,9,4,9,1,3,9,9,9,2,9,3,2,2,2,9,2,9,6,9,2,2,9,6,6
"30",1,5,1,8,7,6,2,6,2,9,4,9,1,3,9,9,9,2,9,3,2,2,2,9,2,9,6,9,2,2,9,6,6
"31",1,5,1,8,7,6,2,6,2,9,4,9,1,3,9,9,9,2,9,3,2,2,2,9,2,9,6,9,2,2,9,6,6
"32",1,5,1,8,7,6,2,6,2,9,4,9,1,3,9,9,9,2,9,3,2,2,2,9,2,9,6,9,2,2,9,6,6
"33",1,5,1,8,7,6,2,6,2,9,4,9,1,3,9,9,9,2,9,3,2,2,2,9,2,9,6,9,2,2,9,6,6
"34",1,5,1,8,7,6,2,6,2,9,4,9,1,3,9,9,9,2,9,3,2,2,2,9,2,9,6,9,2,2,9,6,6
"35",1,5,1,8,7,6,2,6,2,9,4,9,1,3,9,9,9,2,9,3,2,2,2,9,2,9,6,9,2,2,9,6,6
"36",1,5,1,8,7,6,2,6,2,9,4,9,1,3,9,9,9,2,9,3,2,2,2,9,2,9,6,9,2,2,9,6,6
"37",1,5,1,8,7,6,2,6,2,9,4,9,1,3,9,9,9,2,9,3,2,2,2,9,2,9,6,9,2,2,9,6,6
"38",1,5,1,8,7,6,2,6,2,9,4,9,1,3,9,9,9,2,9,3,2,2,2,9,2,9,6,9,2,2,9,6,6
"39",1,5,1,8,7,6,2,6,2,9,4,9,1,3,9,9,9,2,9,3,2,2,2,9,2,9,6,9,2,2,9,6,6
"40",1,5,1,8,7,6,2,6,2,9,4,9,1,3,9,9,9,2,9,3,2,2,2,9,2,9,6,9,2,2,9,6,6
"41",1,5,1,8,7,6,2,6,2,9,4,9,1,3,9,9,9,2,9,3,2,2,2,9,2,9,6,9,2,2,9,6,6
"42",1,5,1,8,7,6,2,6,2,9,4,9,1,3,9,9,9,2,9,3,2,2,2,9,2,9,6,9,2,2,9,6,6
"43",1,5,1,8,7,6,2,6,2,9,4,9,1,3,9,9,9,2,9,3,2,2,2,9,2,9,6,9,2,2,9,6,6
"44",1,5,1,8,7,6,2,6,2,9,4,9,1,3,9,9,9,2,9,3,2,2,2,9,2,9,6,9,2,2,9,6,6
"45",1,5,1,8,7,6,2,6,2,9,4,9,1,3,9,9,9,2,9,3,2,2,2,9,2,9,6,9,2,2,9,6,6
"46",1,5,1,8,7,6,2,6,2,9,4,9,1,3,9,9,9,2,9,3,2,2,2,9,2,9,6,9,2,2,9,6,6
"47",1,5,1,8,7,6,2,6,2,9,4,9,1,3,9,9,9,2,9,3,2,2,2,9,2,9,6,9,2,2,9,6,6
"48",1,5,1,8,7,6,2,6,2,9,4,9,1,3,9,9,9,2,9,3,2,2,2,9,2,9,6,9,2,2,9,6,6
"49",1,5,1,8,7,6,2,6,2,9,4,9,1,3,9,9,9,2,9,3,2,2,2,9,2,9,6,9,2,2,9,6,6
"50",1,5,1,8,7,6,2,6,2,9,4,9,1,3,9,9,9,2,9,3,2,2,2,9,2,9,6,9,2,2,9,6,6
"51",1,5,1,8,7,6,2,6,2,9,4,9,1,3,9,9,9,2,9,3,2,2,2,9,2,9,6,9,2,2,9,6,6
"52",1,5,1,8,7,6,2,6,2,9,4,9,1,3,9,9,9,2,9,3,2,2,2,9,2,9,6,9,2,2,9,6,6
"53",1,5,1,8,7,6,2,6,2,9,4,9,1,3,9,9,9,2,9,3,2,2,2,9,2,9,6,9,2,2,9,6,6
"54",1,5,1,8,7,6,2,6,2,9,4,9,1,3,9,9,9,2,9,3,2,2,2,9,2,9,6,9,2,2,9,6,6
"55",1,5,1,8,7,6,2,6,2,9,4,9,1,3,9,9,9,2,9,3,2,2,2,9,2,9,6,9,2,2,9,6,6
"56",1,5,1,8,7,6,2,6,2,9,4,9,1,3,9,9,9,2,9,3,2,2,2,9,2,9,6,9,2,2,9,6,6
"57",1,5,1,8,7,6,2,6,2,9,4,9,1,3,9,9,9,2,9,3,2,2,2,9,2,9,6,9,2,2,9,6,6
"58",1,5,1,8,7,6,2,6,2,9,4,9,1,3,9,9,9,2,9,3,2,2,2,9,2,9,6,9,2,2,9,6,6
"59",1,5,1,8,7,6,2,6,2,9,4,9,1,3,9,9,9,2,9,3,2,2,2,9,2,9,6,9,2,2,9,6,6
"60",1,5,1,8,7,6,2,6,2,9,4,9,1,3,9,9,9,2,9,3,2,2,2,9,2,9,6,9,2,2,9,6,6
"61",1,5,1,8,7,6,2,6,2,9,4,9,1,3,9,9,9,2,9,3,2,2,2,9,2,9,6,9,2,2,9,6,6
"62",1,5,1,8,7,6,2,6,2,9,4,9,1,3,9,9,9,2,9,3,2,2,2,9,2,9,6,9,2,2,9,6,6
"63",1,5,1,8,7,6,2,6,2,9,4,9,1,3,9,9,9,2,9,3,2,2,2,9,2,9,6,9,2,2,9,6,6
"64",1,5,1,8,7,6,2,6,2,9,4,9,1,3,9,9,9,2,9,3,2,2,2,9,2,9,6,9,2,2,9,6,6
"65",1,5,1,8,7,6,2,6,2,9,4,9,1,3,9,9,9,2,9,3,2,2,2,9,2,9,6,9,2,2,9,6,6
"66",1,5,1,8,7,6,2,6,2,9,4,9,1,3,9,9,9,2,9,3,2,2,2,9,2,9,6,9,2,2,9,6,6
