"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26"
"1",1,5,2,4,7,6,2,7,2,6,2,6,6,6,8,3,3,6,3,3,3,3,3,3,6,3
"2",1,5,2,4,7,6,2,7,2,6,2,6,6,6,8,3,3,6,3,3,3,3,3,3,6,3
"3",1,5,2,4,7,6,2,7,2,6,2,6,6,6,8,3,3,6,3,3,3,3,3,3,6,3
"4",1,5,2,4,7,6,2,7,2,6,2,6,6,6,8,3,3,6,3,3,3,3,3,3,6,3
"5",1,5,2,4,7,6,2,7,2,6,2,6,6,6,8,3,3,6,3,3,3,3,3,3,6,3
"6",1,5,2,4,7,6,2,7,2,6,2,6,6,6,8,3,3,6,3,3,3,3,3,3,6,3
"7",1,5,2,4,7,6,2,7,2,6,2,6,6,6,8,3,3,6,3,3,3,3,3,3,6,3
"8",1,5,2,4,7,6,2,7,2,6,2,6,6,6,8,3,3,6,3,3,3,3,3,3,6,3
"9",1,5,2,4,7,6,2,7,2,6,2,6,6,6,8,3,3,6,3,3,3,3,3,3,6,3
"10",1,5,2,4,7,6,2,7,2,6,2,6,6,6,8,3,3,6,3,3,3,3,3,3,6,3
"11",1,5,2,4,7,6,2,7,2,6,2,6,6,6,8,3,3,6,3,3,3,3,3,3,6,3
"12",1,5,2,4,7,6,2,7,2,6,2,6,6,6,8,3,3,6,3,3,3,3,3,3,6,3
"13",1,5,2,4,7,6,2,7,2,6,2,6,6,6,8,3,3,6,3,3,3,3,3,3,6,3
"14",1,5,2,4,7,6,2,7,2,6,2,6,6,6,8,3,3,6,3,3,3,3,3,3,6,3
"15",1,5,2,4,7,6,2,7,2,6,2,6,6,6,8,3,3,6,3,3,3,3,3,3,6,3
"16",1,5,2,4,7,6,2,7,2,6,2,6,6,6,8,3,3,6,3,3,3,3,3,3,6,3
"17",1,5,2,4,7,6,2,7,2,6,2,6,6,6,8,3,3,6,3,3,3,3,3,3,6,3
"18",1,5,2,4,7,6,2,7,2,6,2,6,6,6,8,3,3,6,3,3,3,3,3,3,6,3
"19",1,5,2,4,7,6,2,7,2,6,2,6,6,6,8,3,3,6,3,3,3,3,3,3,6,3
