"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35"
"1",1,5,1,4,2,4,6,8,4,2,8,4,8,6,6,7,2,8,8,3,6,2,3,2,2,4,1,6,3,2,2,2,2,2,2
"2",1,5,1,4,2,4,6,8,4,2,8,4,8,6,6,7,2,8,8,3,6,2,3,2,2,4,1,6,3,2,2,2,2,2,2
"3",1,5,1,4,2,4,6,8,4,2,8,4,8,6,8,7,2,8,8,3,6,2,3,2,2,4,1,6,3,2,2,2,2,2,2
"4",1,5,1,4,2,4,6,8,4,2,8,4,8,6,6,7,2,8,8,3,6,2,3,2,2,4,1,6,3,2,2,2,2,2,2
"5",1,5,1,4,2,4,6,8,4,2,8,4,8,6,8,7,2,8,8,3,6,2,3,2,2,4,1,6,3,2,2,2,2,2,2
"6",1,5,1,4,2,4,6,8,4,2,8,4,8,6,6,7,2,8,8,3,6,2,3,2,2,4,1,6,3,2,2,2,2,2,2
"7",1,5,1,4,2,4,6,8,4,2,8,4,8,6,8,7,2,8,8,3,6,2,3,2,2,4,1,6,3,2,2,2,2,2,2
"8",1,5,1,4,2,4,6,8,4,2,8,4,8,6,8,7,2,8,8,3,6,2,3,2,2,4,1,6,3,2,2,2,2,2,2
"9",1,5,1,4,2,4,6,8,4,2,8,4,8,6,6,7,2,8,8,3,6,2,3,2,2,4,1,6,3,2,2,2,2,2,2
"10",1,5,1,4,2,4,6,8,4,2,8,4,8,6,6,7,2,8,8,3,6,2,3,2,2,4,1,6,3,2,2,2,2,2,2
"11",1,5,1,4,2,4,6,8,4,2,8,4,8,6,8,7,2,8,8,3,6,2,3,2,2,4,1,6,3,2,2,2,2,2,2
"12",1,5,1,4,2,4,6,8,4,2,8,4,8,6,6,7,2,8,8,3,6,2,3,2,2,4,1,6,3,2,2,2,2,2,2
"13",1,5,1,4,2,4,6,8,4,2,8,4,8,6,8,7,2,8,8,3,6,2,3,2,2,4,1,6,3,2,2,2,2,2,2
"14",1,5,1,4,2,4,6,8,4,2,8,4,8,6,8,7,2,8,8,3,6,2,3,2,2,4,1,6,3,2,2,2,2,2,2
"15",1,5,1,4,2,4,6,8,4,2,8,4,8,6,6,7,2,8,8,3,6,2,3,2,2,4,1,6,3,2,2,2,2,2,2
"16",1,5,1,4,2,4,6,8,4,2,8,4,8,6,6,7,2,8,8,3,6,2,3,2,2,4,1,6,3,2,2,2,2,2,2
"17",1,5,1,4,2,4,6,8,4,2,8,4,8,6,6,7,2,8,8,3,6,2,3,2,2,4,1,6,3,2,2,2,2,2,2
"18",1,5,1,4,2,4,6,8,4,2,8,4,8,6,6,7,2,8,8,3,6,2,3,2,2,4,1,6,3,2,2,2,2,2,2
"19",1,5,1,4,2,4,6,8,4,2,8,4,8,6,6,7,2,8,8,3,6,2,3,2,2,4,1,6,3,2,2,2,2,2,2
"20",1,5,1,4,2,4,6,8,4,2,8,4,8,6,8,7,2,8,8,3,6,2,3,2,2,4,1,6,3,2,2,2,2,2,2
"21",1,5,1,4,2,4,6,8,4,2,8,4,8,6,8,7,2,8,8,3,6,2,3,2,2,4,1,6,3,2,2,2,2,2,2
"22",1,5,1,4,2,4,6,8,4,2,8,4,8,6,8,7,2,8,8,3,6,2,3,2,2,4,1,6,3,2,2,2,2,2,2
"23",1,5,1,4,2,4,6,8,4,2,8,4,8,6,6,7,2,8,8,3,6,2,3,2,2,4,1,6,3,2,2,2,2,2,2
"24",1,5,1,4,2,4,6,8,4,2,8,4,8,6,6,7,2,8,8,3,6,2,3,2,2,4,1,6,3,2,2,2,2,2,2
"25",1,5,1,4,2,4,6,8,4,2,8,4,8,6,6,7,2,8,8,3,6,2,3,2,2,4,1,6,3,2,2,2,2,2,2
"26",1,5,1,4,2,4,6,8,4,2,8,4,8,6,6,7,2,8,8,3,6,2,3,2,2,4,1,6,3,2,2,2,2,2,2
"27",1,5,1,4,2,4,6,8,4,2,8,4,8,6,8,7,2,8,8,3,6,2,3,2,2,4,1,6,3,2,2,2,2,2,2
"28",1,5,1,4,2,4,6,8,4,2,8,4,8,6,6,7,2,8,8,3,6,2,3,2,2,4,1,6,3,2,2,2,2,2,2
"29",1,5,1,4,2,4,6,8,4,2,8,4,8,6,6,7,2,8,8,3,6,2,3,2,2,4,1,6,3,2,2,2,2,2,2
"30",1,5,1,4,2,4,6,8,4,2,8,4,8,6,8,7,2,8,8,3,6,2,3,2,2,4,1,6,3,2,2,2,2,2,2
"31",1,5,1,4,2,4,6,8,4,2,8,4,8,6,6,7,2,8,8,3,6,2,3,2,2,4,1,6,3,2,2,2,2,2,2
"32",1,5,1,4,2,4,6,8,4,2,8,4,8,6,8,7,2,8,8,3,6,2,3,2,2,4,1,6,3,2,2,2,2,2,2
"33",1,5,1,4,2,4,6,8,4,2,8,4,8,6,8,7,2,8,8,3,6,2,3,2,2,4,1,6,3,2,2,2,2,2,2
"34",1,5,1,4,2,4,6,8,4,2,8,4,8,6,6,7,2,8,8,3,6,2,3,2,2,4,1,6,3,2,2,2,2,2,2
"35",1,5,1,4,2,4,6,8,4,2,8,4,8,6,6,7,2,8,8,3,6,2,3,2,2,4,1,6,3,2,2,2,2,2,2
"36",1,5,1,4,2,4,6,8,4,2,8,4,8,6,6,7,2,8,8,3,6,2,3,2,2,4,1,6,3,2,2,2,2,2,2
"37",1,5,1,4,2,4,6,8,4,2,8,4,8,6,8,7,2,8,8,3,6,2,3,2,2,4,1,6,3,2,2,2,2,2,2
"38",1,5,1,4,2,4,6,8,4,2,8,4,8,6,8,7,2,8,8,3,6,2,3,2,2,4,1,6,3,2,2,2,2,2,2
"39",1,5,1,4,2,4,6,8,4,2,8,4,8,6,8,7,2,8,8,3,6,2,3,2,2,4,1,6,3,2,2,2,2,2,2
"40",1,5,1,4,2,4,6,8,4,2,8,4,8,6,6,7,2,8,8,3,6,2,3,2,2,4,1,6,3,2,2,2,2,2,2
"41",1,5,1,4,2,4,6,8,4,2,8,4,8,6,6,7,2,8,8,3,6,2,3,2,2,4,1,6,3,2,2,2,2,2,2
"42",1,5,1,4,2,4,6,8,4,2,8,4,8,6,8,7,2,8,8,3,6,2,3,2,2,4,1,6,3,2,2,2,2,2,2
"43",1,5,1,4,2,4,6,8,4,2,8,4,8,6,6,7,2,8,8,3,6,2,3,2,2,4,1,6,3,2,2,2,2,2,2
"44",1,5,1,4,2,4,6,8,4,2,8,4,8,6,6,7,2,8,8,3,6,2,3,2,2,4,1,6,3,2,2,2,2,2,2
"45",1,5,1,4,2,4,6,8,4,2,8,4,8,6,8,7,2,8,8,3,6,2,3,2,2,4,1,6,3,2,2,2,2,2,2
"46",1,5,1,4,2,4,6,8,4,2,8,4,8,6,6,7,2,8,8,3,6,2,3,2,2,4,1,6,3,2,2,2,2,2,2
"47",1,5,1,4,2,4,6,8,4,2,8,4,8,6,8,7,2,8,8,3,6,2,3,2,2,4,1,6,3,2,2,2,2,2,2
"48",1,5,1,4,2,4,6,8,4,2,8,4,8,6,6,7,2,8,8,3,6,2,3,2,2,4,1,6,3,2,2,2,2,2,2
"49",1,5,1,4,2,4,6,8,4,2,8,4,8,6,8,7,2,8,8,3,6,2,3,2,2,4,1,6,3,2,2,2,2,2,2
"50",1,5,1,4,2,4,6,8,4,2,8,4,8,6,8,7,2,8,8,3,6,2,3,2,2,4,1,6,3,2,2,2,2,2,2
"51",1,5,1,4,2,4,6,8,4,2,8,4,8,6,8,7,2,8,8,3,6,2,3,2,2,4,1,6,3,2,2,2,2,2,2
"52",1,5,1,4,2,4,6,8,4,2,8,4,8,6,6,7,2,8,8,3,6,2,3,2,2,4,1,6,3,2,2,2,2,2,2
"53",1,5,1,4,2,4,6,8,4,2,8,4,8,6,6,7,2,8,8,3,6,2,3,2,2,4,1,6,3,2,2,2,2,2,2
"54",1,5,1,4,2,4,6,8,4,2,8,4,8,6,8,7,2,8,8,3,6,2,3,2,2,4,1,6,3,2,2,2,2,2,2
"55",1,5,1,4,2,4,6,8,4,2,8,4,8,6,6,7,2,8,8,3,6,2,3,2,2,4,1,6,3,2,2,2,2,2,2
"56",1,5,1,4,2,4,6,8,4,2,8,4,8,6,8,7,2,8,8,3,6,2,3,2,2,4,1,6,3,2,2,2,2,2,2
"57",1,5,1,4,2,4,6,8,4,2,8,4,8,6,6,7,2,8,8,3,6,2,3,2,2,4,1,6,3,2,2,2,2,2,2
"58",1,5,1,4,2,4,6,8,4,2,8,4,8,6,8,7,2,8,8,3,6,2,3,2,2,4,1,6,3,2,2,2,2,2,2
"59",1,5,1,4,2,4,6,8,4,2,8,4,8,6,6,7,2,8,8,3,6,2,3,2,2,4,1,6,3,2,2,2,2,2,2
"60",1,5,1,4,2,4,6,8,4,2,8,4,8,6,6,7,2,8,8,3,6,2,3,2,2,4,1,6,3,2,2,2,2,2,2
"61",1,5,1,4,2,4,6,8,4,2,8,4,8,6,6,7,2,8,8,3,6,2,3,2,2,4,1,6,3,2,2,2,2,2,2
"62",1,5,1,4,2,4,6,8,4,2,8,4,8,6,8,7,2,8,8,3,6,2,3,2,2,4,1,6,3,2,2,2,2,2,2
