"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27"
"1",4,2,7,6,7,5,1,8,5,7,1,2,1,8,6,5,5,1,6,6,2,5,5,5,1,5,1
"2",4,2,7,6,7,5,1,8,5,7,1,2,1,8,6,5,5,1,6,6,2,5,5,5,1,5,1
"3",4,2,7,6,7,5,1,8,5,7,1,2,1,8,6,5,5,1,6,6,2,5,5,5,1,5,1
"4",4,2,7,6,7,5,1,8,5,7,1,2,1,8,6,5,5,1,6,6,2,5,5,5,1,5,1
"5",4,2,7,6,7,5,1,8,5,7,1,2,1,8,6,5,5,1,6,6,2,5,5,5,1,5,1
"6",4,2,7,6,7,5,1,8,5,7,1,2,1,8,6,5,5,1,6,6,2,5,5,5,1,5,1
"7",4,2,7,6,7,5,1,8,5,7,1,2,1,8,6,5,5,1,6,6,2,5,5,5,1,5,1
"8",4,2,7,6,7,5,1,8,5,7,1,2,1,8,6,5,5,1,6,6,2,5,5,5,1,5,1
"9",4,2,7,6,7,5,1,8,5,7,1,2,1,8,6,5,5,1,6,6,2,5,5,5,1,5,1
"10",4,2,7,6,7,5,1,8,5,7,1,2,1,8,6,5,5,1,6,6,2,5,5,5,1,5,1
"11",4,2,7,6,7,5,1,8,5,7,1,2,1,8,6,5,5,1,6,6,2,5,5,5,1,5,1
"12",4,2,7,6,7,5,1,8,5,7,1,2,1,8,6,5,5,1,6,6,2,5,5,5,1,5,1
"13",4,2,7,6,7,5,1,8,5,7,1,2,1,8,6,5,5,1,6,6,2,5,5,5,1,5,1
"14",4,2,7,6,7,5,1,8,5,7,1,2,1,8,6,5,5,1,6,6,2,5,5,5,1,5,1
"15",4,2,7,6,7,5,1,8,5,7,1,2,1,8,6,5,5,1,6,6,2,5,5,5,1,5,1
"16",4,2,7,6,7,5,1,8,5,7,1,2,1,8,6,5,5,1,6,6,2,5,5,5,1,5,1
"17",4,2,7,6,7,5,1,8,5,7,1,2,1,8,6,5,5,1,6,6,2,5,5,5,1,5,1
"18",4,2,7,6,7,5,1,8,5,7,1,2,1,8,6,5,5,1,6,6,2,5,5,5,1,5,1
"19",4,2,7,6,7,5,1,8,5,7,1,2,1,8,6,5,5,1,6,6,2,5,5,5,1,5,1
"20",4,2,7,6,7,5,1,8,5,7,1,2,1,8,6,5,5,1,6,6,2,5,5,5,1,5,1
"21",4,2,7,6,7,5,1,8,5,7,1,2,1,8,6,5,5,1,6,6,2,5,5,5,1,5,1
"22",4,2,7,6,7,5,1,8,5,7,1,2,1,8,6,5,5,1,6,6,2,5,5,5,1,5,1
"23",4,2,7,6,7,5,1,8,5,7,1,2,1,8,6,5,5,1,6,6,2,5,5,5,1,5,1
"24",4,2,7,6,7,5,1,8,5,7,1,2,1,8,6,5,5,1,6,6,2,5,5,5,1,5,1
"25",4,2,7,6,7,5,1,8,5,7,1,2,1,8,6,5,5,1,6,6,2,5,5,5,1,5,1
"26",4,2,7,6,7,5,1,8,5,7,1,2,1,8,6,5,5,1,6,6,2,5,5,5,1,5,1
"27",4,2,7,6,7,5,1,8,5,7,1,2,1,8,6,5,5,1,6,6,2,5,5,5,1,5,1
"28",4,2,7,6,7,5,1,8,5,7,1,2,1,8,6,5,5,1,6,6,2,5,5,5,1,5,1
"29",4,2,7,6,7,5,1,8,5,7,1,2,1,8,6,5,5,1,6,6,2,5,5,5,1,5,1
"30",4,2,7,6,7,5,1,8,5,7,1,2,1,8,6,5,5,1,6,6,2,5,5,5,1,5,1
"31",4,2,7,6,7,5,1,8,5,7,1,2,1,8,6,5,5,1,6,6,2,5,5,5,1,5,1
"32",4,2,7,6,7,5,1,8,5,7,1,2,1,8,6,5,5,1,6,6,2,5,5,5,1,5,1
"33",4,2,7,6,7,5,1,8,5,7,1,2,1,8,6,5,5,1,6,6,2,5,5,5,1,5,1
"34",4,2,7,6,7,5,1,8,5,7,1,2,1,8,6,5,5,1,6,6,2,5,5,5,1,5,1
"35",4,2,7,6,7,5,1,8,5,7,1,2,1,8,6,5,5,1,6,6,2,5,5,5,1,5,1
"36",4,2,7,6,7,5,1,8,5,7,1,2,1,8,6,5,5,1,6,6,2,5,5,5,1,5,1
"37",4,2,7,6,7,5,1,8,5,7,1,2,1,8,6,5,5,1,6,6,2,5,5,5,1,5,1
"38",4,2,7,6,7,5,1,8,5,7,1,2,1,8,6,5,5,1,6,6,2,5,5,5,1,5,1
"39",4,2,7,6,7,5,1,8,5,7,1,2,1,8,6,5,5,1,6,6,2,5,5,5,1,5,1
"40",4,2,7,6,7,5,1,8,5,7,1,2,1,8,6,5,5,1,6,6,2,5,5,5,1,5,1
"41",4,2,7,6,7,5,1,8,5,7,1,2,1,8,6,5,5,1,6,6,2,5,5,5,1,5,1
"42",4,2,7,6,7,5,1,8,5,7,1,2,1,8,6,5,5,1,6,6,2,5,5,5,1,5,1
"43",4,2,7,6,7,5,1,8,5,7,1,2,1,8,6,5,5,1,6,6,2,5,5,5,1,5,1
"44",4,2,7,6,7,5,1,8,5,7,1,2,1,8,6,5,5,1,6,6,2,5,5,5,1,5,1
"45",4,2,7,6,7,5,1,8,5,7,1,2,1,8,6,5,5,1,6,6,2,5,5,5,1,5,1
"46",4,2,7,6,7,5,1,8,5,7,1,2,1,8,6,5,5,1,6,6,2,5,5,5,1,5,1
"47",4,2,7,6,7,5,1,8,5,7,1,2,1,8,6,5,5,1,6,6,2,5,5,5,1,5,1
"48",4,2,7,6,7,5,1,8,5,7,1,2,1,8,6,5,5,1,6,6,2,5,5,5,1,5,1
"49",4,2,7,6,7,5,1,8,5,7,1,2,1,8,6,5,5,1,6,6,2,5,5,5,1,5,1
"50",4,2,7,6,7,5,1,8,5,7,1,2,1,8,6,5,5,1,6,6,2,5,5,5,1,5,1
"51",4,2,7,6,7,5,1,8,5,7,1,2,1,8,6,5,5,1,6,6,2,5,5,5,1,5,1
"52",4,2,7,6,7,5,1,8,5,7,1,2,1,8,6,5,5,1,6,6,2,5,5,5,1,5,1
"53",4,2,7,6,7,5,1,8,5,7,1,2,1,8,6,5,5,1,6,6,2,5,5,5,1,5,1
"54",4,2,7,6,7,5,1,8,5,7,1,2,1,8,6,5,5,1,6,6,2,5,5,5,1,5,1
"55",4,2,7,6,7,5,1,8,5,7,1,2,1,8,6,5,5,1,6,6,2,5,5,5,1,5,1
"56",4,2,7,6,7,5,1,8,5,7,1,2,1,8,6,5,5,1,6,6,2,5,5,5,1,5,1
"57",4,2,7,6,7,5,1,8,5,7,1,2,1,8,6,5,5,1,6,6,2,5,5,5,1,5,1
"58",4,2,7,6,7,5,1,8,5,7,1,2,1,8,6,5,5,1,6,6,2,5,5,5,1,5,1
"59",4,2,7,6,7,5,1,8,5,7,1,2,1,8,6,5,5,1,6,6,2,5,5,5,1,5,1
"60",4,2,7,6,7,5,1,8,5,7,1,2,1,8,6,5,5,1,6,6,2,5,5,5,1,5,1
"61",4,2,7,6,7,5,1,8,5,7,1,2,1,8,6,5,5,1,6,6,2,5,5,5,1,5,1
"62",4,2,7,6,7,5,1,8,5,7,1,2,1,8,6,5,5,1,6,6,2,5,5,5,1,5,1
"63",4,2,7,6,7,5,1,8,5,7,1,2,1,8,6,5,5,1,6,6,2,5,5,5,1,5,1
"64",4,2,7,6,7,5,1,8,5,7,1,2,1,8,6,5,5,1,6,6,2,5,5,5,1,5,1
"65",4,2,7,6,7,5,1,8,5,7,1,2,1,8,6,5,5,1,6,6,2,5,5,5,1,5,1
"66",4,2,7,6,7,5,1,8,5,7,1,2,1,8,6,5,5,1,6,6,2,5,5,5,1,5,1
"67",4,2,7,6,7,5,1,8,5,7,1,2,1,8,6,5,5,1,6,6,2,5,5,5,1,5,1
"68",4,2,7,6,7,5,1,8,5,7,1,2,1,8,6,5,5,1,6,6,2,5,5,5,1,5,1
"69",4,2,7,6,7,5,1,8,5,7,1,2,1,8,6,5,5,1,6,6,2,5,5,5,1,5,1
"70",4,2,7,6,7,5,1,8,5,7,1,2,1,8,6,5,5,1,6,6,2,5,5,5,1,5,1
"71",4,2,7,6,7,5,1,8,5,7,1,2,1,8,6,5,5,1,6,6,2,5,5,5,1,5,1
"72",4,2,7,6,7,5,1,8,5,7,1,2,1,8,6,5,5,1,6,6,2,5,5,5,1,5,1
"73",4,2,7,6,7,5,1,8,5,7,1,2,1,8,6,5,5,1,6,6,2,5,5,5,1,5,1
"74",4,2,7,6,7,5,1,8,5,7,1,2,1,8,6,5,5,1,6,6,2,5,5,5,1,5,1
"75",4,2,7,6,7,5,1,8,5,7,1,2,1,8,6,5,5,1,6,6,2,5,5,5,1,5,1
