"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27"
"1",4,1,1,3,1,5,3,5,2,4,5,6,6,1,4,6,3,5,6,5,5,5,5,4,5,5,4
"2",2,3,3,5,3,1,5,1,4,2,1,6,6,3,2,6,5,1,6,1,1,1,1,2,1,1,2
"3",4,5,5,1,5,2,1,2,3,4,2,6,6,5,4,6,1,2,6,2,2,2,2,4,2,2,4
"4",1,5,5,3,5,2,3,2,4,1,2,6,6,5,1,6,3,2,6,2,2,2,2,1,2,2,1
"5",2,5,5,1,5,3,1,3,4,2,3,6,6,5,2,6,1,3,6,3,3,3,3,2,3,3,2
"6",3,2,2,1,2,4,1,4,5,3,4,6,6,2,3,6,1,4,6,4,4,4,4,3,4,4,3
"7",2,4,4,5,4,1,5,1,3,2,1,6,6,4,2,6,5,1,6,1,1,1,1,2,1,1,2
"8",5,1,1,2,1,4,2,4,3,5,4,6,6,1,5,6,2,4,6,4,4,4,4,5,4,4,5
"9",2,1,2,4,1,3,4,3,5,2,3,6,6,4,2,6,4,3,6,3,3,3,3,2,3,3,2
"10",2,3,2,1,3,4,1,4,5,2,4,6,6,1,2,6,1,4,6,4,4,4,4,2,4,4,2
"11",4,2,2,5,2,1,5,1,3,4,1,6,6,2,4,6,5,1,6,1,1,1,1,4,1,1,4
"12",5,4,4,2,4,1,2,1,3,5,1,6,6,4,5,6,2,1,6,1,1,1,1,5,1,1,5
"13",1,3,3,5,3,2,5,2,4,1,2,6,6,3,1,6,5,2,6,2,2,2,2,1,2,2,1
"14",1,2,2,5,2,3,5,3,4,1,3,6,6,2,1,6,5,3,6,3,3,3,3,1,3,3,1
"15",1,3,3,2,3,4,2,4,5,1,4,6,6,3,1,6,2,4,6,4,4,4,4,1,4,4,1
"16",1,3,3,5,3,2,5,2,4,1,2,6,6,3,1,6,5,2,6,2,2,2,2,1,2,2,1
"17",1,4,4,5,4,2,5,2,3,1,2,6,6,4,1,6,5,2,6,2,2,2,2,1,2,2,1
"18",1,4,4,3,4,2,3,2,5,1,2,6,6,4,1,6,3,2,6,2,2,2,2,1,2,2,1
"19",3,1,1,4,1,5,4,5,2,3,5,6,6,1,3,6,4,5,6,5,5,5,5,3,5,5,3
"20",1,4,4,5,4,2,5,2,3,1,2,6,6,4,1,6,5,2,6,2,2,2,2,1,2,2,1
"21",3,5,5,1,5,2,1,2,4,3,2,6,6,5,3,6,1,2,6,2,2,2,2,3,2,2,3
"22",3,2,2,4,2,1,4,1,5,3,1,6,6,2,3,6,4,1,6,1,1,1,1,3,1,1,3
"23",4,1,1,3,1,2,3,2,5,4,2,6,6,1,4,6,3,2,6,2,2,2,2,4,2,2,4
"24",1,3,3,2,3,5,2,5,4,1,5,6,6,3,1,6,2,5,6,5,5,5,5,1,5,5,1
"25",5,2,2,1,2,3,1,3,4,5,3,6,6,2,5,6,1,3,6,3,3,3,3,5,3,3,5
"26",5,1,1,3,1,2,3,2,4,5,2,6,6,1,5,6,3,2,6,2,2,2,2,5,2,2,5
"27",1,2,2,5,2,3,5,3,4,1,3,6,6,2,1,6,5,3,6,3,3,3,3,1,3,3,1
"28",3,1,1,5,1,4,5,4,2,3,4,6,6,1,3,6,5,4,6,4,4,4,4,3,4,4,3
"29",1,4,4,3,4,2,3,2,5,1,2,6,6,4,1,6,3,2,6,2,2,2,2,1,2,2,1
"30",1,3,3,4,3,2,4,2,5,1,2,6,6,3,1,6,4,2,6,2,2,2,2,1,2,2,1
"31",3,2,2,4,2,1,4,1,5,3,1,6,6,2,3,6,4,1,6,1,1,1,1,3,1,1,3
"32",3,4,4,5,4,2,5,2,1,3,2,6,6,4,3,6,5,2,6,2,2,2,2,3,2,2,3
"33",5,1,1,2,1,4,2,4,3,5,4,6,6,1,5,6,2,4,6,4,4,4,4,5,4,4,5
"34",5,3,3,1,3,4,1,4,2,5,4,6,6,3,5,6,1,4,6,4,4,4,4,5,4,4,5
"35",3,5,5,4,5,2,4,2,1,3,2,6,6,5,3,6,4,2,6,2,2,2,2,3,2,2,3
"36",4,5,5,3,5,1,3,1,2,4,1,6,6,5,4,6,3,1,6,1,1,1,1,4,1,1,4
"37",1,3,3,4,3,2,4,2,5,1,2,6,6,3,1,6,4,2,6,2,2,2,2,1,2,2,1
"38",5,4,4,3,4,1,3,1,2,5,1,6,6,4,5,6,3,1,6,1,1,1,1,5,1,1,5
"39",3,1,1,4,1,2,4,2,5,3,2,6,6,1,3,6,4,2,6,2,2,2,2,3,2,2,3
"40",4,3,3,5,3,1,5,1,2,4,1,6,6,3,4,6,5,1,6,1,1,1,1,4,1,1,4
"41",4,5,4,1,5,2,1,2,3,4,2,6,6,1,4,6,1,2,6,2,2,2,2,4,2,2,4
"42",5,1,1,2,1,3,2,3,4,5,3,6,6,1,5,6,2,3,6,3,3,3,3,5,3,3,5
"43",4,3,3,1,3,2,1,2,5,4,2,6,6,3,4,6,1,2,6,2,2,2,2,4,2,2,4
"44",4,3,3,1,3,5,1,5,2,4,5,6,6,3,4,6,1,5,6,5,5,5,5,4,5,5,4
"45",5,1,5,3,1,4,3,4,2,5,4,6,6,3,5,6,3,4,6,4,4,4,4,5,4,4,5
"46",2,3,3,1,3,4,1,4,5,2,4,6,6,3,2,6,1,4,6,4,4,4,4,2,4,4,2
