"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18"
"1",1,5,5,6,4,4,2,4,3,2,2,2,2,1,1,1,3,5
"2",4,5,5,6,2,2,1,2,3,1,1,1,1,4,4,4,3,5
"3",4,5,5,6,1,1,2,1,3,2,2,2,2,4,4,4,3,5
"4",2,5,5,6,4,4,3,4,2,3,3,3,3,1,1,2,2,5
"5",1,5,5,6,4,4,2,4,1,2,2,2,2,3,3,1,1,5
"6",3,6,6,7,5,5,4,5,1,2,2,4,2,3,3,1,4,6
"7",2,5,5,6,3,3,4,3,1,4,4,4,4,2,2,2,1,5
"8",2,5,5,6,1,1,3,1,4,3,3,3,3,2,2,2,4,5
"9",2,5,5,6,4,4,1,4,2,1,1,1,1,3,3,2,2,5
"10",2,5,5,6,1,1,4,1,3,4,4,4,4,2,2,2,3,5
"11",3,5,5,6,1,1,4,1,2,4,4,4,4,3,3,3,2,5
"12",3,5,5,6,1,1,4,1,2,4,4,4,4,3,3,3,2,5
"13",4,5,5,6,2,2,3,2,1,3,3,3,3,4,4,4,1,5
"14",3,5,5,6,2,2,1,2,4,1,1,1,1,3,3,3,4,5
"15",1,5,5,6,2,2,4,2,1,4,4,4,4,3,3,1,1,5
"16",4,5,5,6,2,2,3,2,4,3,3,3,3,1,1,1,4,5
"17",4,6,6,7,5,5,3,5,1,2,2,3,2,4,4,4,3,6
"18",1,5,5,6,4,4,3,4,2,3,3,3,3,1,1,1,2,5
"19",1,5,5,6,4,4,3,4,2,3,3,3,3,1,1,1,2,5
"20",4,5,5,6,2,2,3,2,1,3,3,3,3,4,4,4,1,5
"21",1,5,5,6,3,3,4,3,2,4,4,4,4,1,1,1,2,5
"22",4,5,5,6,3,3,1,3,2,1,1,1,1,4,4,4,2,5
"23",4,5,5,6,1,1,3,1,2,3,3,3,3,4,4,4,2,5
"24",4,5,5,6,2,2,1,2,4,1,1,1,1,3,3,4,4,5
"25",2,5,5,6,4,4,3,4,1,3,3,3,3,2,2,2,1,5
"26",5,6,6,7,4,4,3,4,2,1,1,3,1,5,5,5,3,6
"27",3,5,5,6,1,1,2,1,4,2,2,2,2,3,3,3,4,5
"28",2,5,5,6,4,4,1,4,3,1,1,1,1,2,2,2,3,5
"29",2,5,5,6,1,1,3,1,4,3,3,3,3,2,2,2,4,5
"30",5,6,6,7,4,4,2,4,1,3,3,2,3,5,5,5,2,6
"31",2,5,5,6,4,4,1,4,2,1,1,1,1,3,3,2,2,5
"32",3,5,5,6,2,2,1,2,4,1,1,1,1,3,3,3,4,5
"33",4,5,5,6,3,3,1,3,2,1,1,1,1,4,4,4,2,5
"34",3,5,5,6,1,1,4,1,2,4,4,4,4,3,3,3,2,5
"35",2,5,5,6,1,1,3,1,4,3,3,3,3,2,2,2,4,5
"36",3,5,5,6,4,4,2,4,3,2,2,2,2,1,1,3,3,5
"37",5,6,6,7,4,4,1,4,2,3,3,1,3,5,5,5,1,6
"38",2,5,5,6,1,1,3,1,4,3,3,3,3,2,2,2,4,5
"39",2,5,5,6,3,3,4,3,1,4,4,4,4,2,2,2,1,5
"40",3,5,5,6,2,2,4,2,1,4,4,4,4,3,3,3,1,5
"41",2,5,5,6,4,4,3,4,1,3,3,3,3,2,2,2,1,5
"42",3,5,5,6,1,1,2,1,4,2,2,2,2,3,3,3,4,5
"43",1,5,5,6,2,2,3,2,4,3,3,3,3,1,1,1,4,5
"44",3,5,5,6,2,2,1,2,4,1,1,1,1,3,3,3,4,5
"45",3,5,5,6,4,4,2,4,1,2,2,2,2,3,3,3,1,5
"46",3,5,5,6,2,2,4,2,1,4,4,4,4,3,3,3,1,5
"47",2,5,5,6,1,1,4,1,3,4,4,4,4,2,2,2,3,5
"48",4,6,6,7,5,5,2,5,1,3,3,2,3,4,4,4,2,6
"49",4,5,5,6,2,2,1,2,3,1,1,1,1,4,4,4,3,5
"50",1,5,5,6,3,3,2,3,4,2,2,2,2,1,1,1,4,5
"51",4,5,5,6,3,3,1,3,2,1,1,1,1,4,4,4,2,5
"52",4,5,5,6,1,1,2,1,3,2,2,2,2,4,4,4,3,5
"53",3,5,5,6,2,2,4,2,1,4,4,4,4,3,3,3,1,5
"54",2,5,5,6,1,1,4,1,3,4,4,4,4,2,2,2,3,5
"55",4,5,5,6,3,3,2,3,1,2,2,2,2,4,4,4,1,5
"56",4,5,5,6,2,2,1,2,4,1,1,1,1,3,3,4,4,5
"57",2,5,5,6,1,1,4,1,2,4,4,4,4,3,3,2,2,5
"58",1,5,5,6,3,3,2,3,4,2,2,2,2,1,1,1,4,5
"59",2,5,5,6,1,1,4,1,2,4,4,4,4,3,3,2,2,5
"60",1,5,5,6,3,3,2,3,4,2,2,2,2,1,1,1,4,5
"61",3,6,6,7,2,2,4,2,1,5,5,4,5,3,3,4,1,6
"62",2,5,5,6,4,4,3,4,2,3,3,3,3,1,1,2,2,5
"63",3,5,5,6,1,1,4,1,2,4,4,4,4,3,3,3,2,5
"64",1,5,5,6,3,3,4,3,2,4,4,4,4,1,1,1,2,5
"65",4,6,6,7,1,1,3,1,2,5,5,3,5,4,4,2,3,6
"66",3,5,5,6,1,1,2,1,4,2,2,2,2,3,3,3,4,5
"67",2,5,5,6,1,1,3,1,4,3,3,3,3,2,2,2,4,5
"68",4,5,5,6,1,1,2,1,3,2,2,2,2,4,4,4,3,5
"69",3,5,5,6,1,1,4,1,3,4,4,4,4,2,2,3,3,5
"70",1,5,5,6,3,3,4,3,2,4,4,4,4,1,1,1,2,5
"71",3,5,5,6,4,4,1,4,2,1,1,1,1,3,3,3,2,5
"72",3,5,5,6,1,1,4,1,2,4,4,4,4,3,3,3,2,5
"73",2,5,5,6,1,1,4,1,3,4,4,4,4,2,2,2,3,5
"74",4,6,6,7,1,1,2,1,3,5,5,2,5,4,4,4,2,6
"75",3,5,5,6,1,1,4,1,2,4,4,4,4,3,3,3,2,5
"76",1,5,5,6,4,4,3,4,2,3,3,3,3,1,1,1,2,5
"77",2,5,5,6,1,1,4,1,2,4,4,4,4,3,3,2,2,5
"78",4,5,5,6,2,2,1,2,4,1,1,1,1,3,3,4,4,5
"79",4,5,5,6,1,1,3,1,4,3,3,3,3,2,2,4,4,5
"80",4,5,5,6,1,1,2,1,3,2,2,2,2,4,4,4,3,5
"81",4,5,5,6,1,1,3,1,2,3,3,3,3,4,4,4,2,5
"82",4,5,5,6,2,2,1,2,4,1,1,1,1,3,3,4,4,5
"83",1,5,5,6,4,4,3,4,1,3,3,3,3,2,2,1,1,5
