"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44"
"1",2,1,3,2,3,3,3,4,3,4,5,4,3,1,3,3,2,3,3,4,1,1,1,1,2,4,4,1,4,2,3,5,5,2,5,3,4,5,3,3,3,2,3,2
"2",3,4,1,3,2,1,3,6,2,6,5,6,2,4,2,2,1,3,2,2,4,4,4,4,1,1,6,4,6,3,6,5,5,1,5,2,6,5,2,4,2,3,1,3
"3",1,3,2,1,1,2,1,5,1,5,4,5,5,3,1,1,2,1,1,5,3,3,3,3,2,2,5,3,5,1,5,4,4,2,4,2,5,4,1,3,5,1,2,2
"4",4,1,5,4,4,5,4,5,4,5,3,5,5,1,4,4,4,4,4,5,1,1,1,1,4,2,5,1,5,4,5,3,3,2,3,2,5,3,4,1,5,4,5,4
"5",5,4,1,5,1,1,5,1,2,1,3,1,1,4,2,2,2,5,2,1,4,4,4,4,2,2,1,4,1,5,1,3,3,5,3,2,1,3,1,4,1,5,1,5
"6",4,2,3,4,4,3,4,3,4,3,1,3,3,2,4,4,4,4,4,3,2,2,2,2,4,3,3,2,3,4,3,1,1,3,1,3,3,1,4,2,3,4,3,4
"7",5,1,4,5,5,4,5,3,5,3,2,3,3,1,5,5,4,5,5,3,1,1,1,1,4,4,3,1,3,5,3,2,2,4,2,4,3,2,5,1,3,5,4,4
"8",3,5,4,3,3,4,3,4,3,4,1,4,4,5,3,3,3,3,3,4,5,5,5,5,3,2,4,5,4,3,4,1,1,2,1,2,4,1,3,5,4,3,4,3
"9",5,3,4,5,5,4,5,4,5,4,2,4,4,1,5,5,5,5,5,4,3,1,1,1,5,3,4,1,4,5,4,2,2,3,2,5,4,1,5,1,4,5,4,5
"10",2,5,3,2,2,3,2,4,2,4,1,4,2,5,2,2,3,2,2,2,5,5,5,5,3,3,4,5,4,2,4,1,1,3,1,2,4,1,2,5,2,2,3,3
"11",1,4,1,1,2,1,1,3,2,3,2,3,2,4,2,2,1,1,2,3,4,4,4,4,1,1,3,4,3,1,3,2,2,1,2,1,3,4,2,4,3,1,1,1
"12",2,5,2,2,2,2,2,1,2,1,4,1,1,5,2,2,2,2,2,1,5,5,5,5,2,3,1,5,1,2,1,4,4,3,4,3,1,4,2,5,1,2,2,2
"13",3,5,1,3,3,1,3,2,3,2,4,2,1,5,3,3,3,3,3,1,5,5,5,5,3,2,2,5,1,3,1,4,4,2,4,3,1,4,3,5,1,3,1,3
"14",3,1,2,3,3,2,3,4,3,4,5,4,4,1,3,3,2,3,3,4,1,1,1,1,2,2,4,1,4,3,4,5,5,2,5,2,4,5,3,1,4,3,2,2
"15",3,4,1,3,3,1,3,2,3,2,5,2,2,5,3,3,1,3,3,2,4,5,4,4,1,1,2,5,2,3,2,5,5,1,5,1,2,5,3,4,2,3,1,1
"16",4,2,1,4,4,1,4,5,3,5,3,5,3,2,3,3,1,4,3,5,2,2,2,2,1,1,5,2,5,4,5,3,3,1,3,1,5,2,4,2,5,4,1,4
"17",3,1,2,3,3,2,3,5,3,5,4,5,5,1,3,3,2,3,3,5,1,1,1,1,2,2,5,1,5,3,5,4,4,2,4,2,5,4,3,1,5,3,2,2
"18",4,2,1,4,4,1,4,1,4,1,5,1,1,2,4,4,4,4,4,1,2,2,2,2,4,3,1,2,1,4,1,5,5,3,5,3,1,5,4,2,1,4,1,4
"19",1,4,3,1,3,3,3,5,3,5,2,5,3,4,3,3,1,3,3,3,4,4,4,4,1,1,5,4,5,1,3,2,2,1,2,3,4,4,3,3,3,1,3,1
"20",3,1,2,3,3,2,3,4,3,4,5,4,3,1,3,3,2,3,3,3,1,1,1,1,2,2,4,1,4,3,4,5,5,2,5,3,4,5,3,1,3,3,2,2
"21",1,2,3,1,1,3,1,3,1,3,5,3,3,2,1,1,1,1,1,3,2,2,2,2,1,4,3,2,3,1,3,5,5,4,5,4,3,5,1,2,3,1,3,1
"22",4,2,5,4,3,5,3,5,3,5,1,5,5,2,3,3,4,3,3,5,2,2,2,2,4,4,5,2,5,4,5,1,1,4,1,4,5,1,3,3,5,4,5,4
"23",1,3,4,1,4,4,1,4,2,4,2,4,4,3,2,2,5,1,2,4,3,3,3,3,5,5,4,3,4,1,4,2,2,5,2,5,4,3,4,3,4,1,4,1
"24",2,4,3,2,2,3,2,3,2,3,5,3,3,4,2,2,2,2,2,3,4,4,4,4,2,1,3,4,3,2,3,5,5,1,5,1,3,5,2,4,3,2,3,2
"25",2,3,1,2,2,1,2,1,2,1,5,1,1,3,2,2,2,2,2,1,3,3,3,3,2,4,1,3,1,2,1,5,5,4,5,4,1,5,2,3,1,2,1,2
"26",2,5,4,2,2,4,2,4,2,4,3,4,4,5,2,2,2,2,2,4,5,5,5,5,2,1,4,5,4,2,4,3,3,1,3,1,4,3,2,5,4,2,4,2
"27",5,1,5,5,5,5,5,4,5,4,3,4,5,1,5,5,5,5,5,5,1,1,1,1,5,2,4,1,4,5,4,3,3,2,3,5,4,3,5,1,5,5,5,5
