"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13"
"1",5,4,4,2,2,1,3,4,5,1,5,1,1
"2",3,2,4,4,4,1,2,4,3,1,1,1,1
"3",3,4,1,1,1,2,4,1,3,2,3,2,2
"4",2,3,2,1,1,5,3,1,2,4,4,5,5
"5",2,1,1,5,5,3,1,1,2,4,4,3,3
"6",1,3,3,4,4,2,3,3,1,2,1,2,2
"7",2,1,3,3,3,4,1,3,2,4,2,4,4
"8",5,1,1,2,2,4,3,1,5,4,5,4,4
"9",1,3,3,3,4,2,4,3,1,2,2,2,2
"10",2,5,5,1,1,3,5,5,2,4,4,3,3
"11",3,1,1,1,2,4,2,1,3,4,4,4,4
"12",1,2,2,3,3,4,3,2,1,4,2,4,4
"13",1,4,4,4,2,3,2,4,1,3,1,3,3
"14",2,3,3,3,1,4,1,3,2,4,2,4,4
"15",3,1,1,5,5,4,1,1,3,2,2,4,4
"16",2,3,3,3,1,4,1,3,2,4,2,4,4
"17",4,2,2,1,1,3,2,2,4,5,5,3,3
"18",2,3,1,1,1,4,3,1,2,4,4,4,4
"19",5,3,3,1,1,4,2,3,5,4,5,4,4
"20",3,5,5,1,1,4,2,5,3,4,3,4,4
"21",1,4,4,2,2,3,4,4,1,3,1,3,3
"22",3,1,2,2,2,4,1,2,3,4,3,4,4
"23",2,1,1,1,3,4,3,1,2,4,2,4,4
"24",4,2,2,3,3,5,2,2,4,1,1,5,5
"25",2,4,4,4,3,1,3,4,2,1,1,1,1
"26",3,4,4,4,1,2,1,4,3,2,3,2,2
"27",4,5,5,1,1,3,2,5,4,3,4,3,3
"28",2,4,4,3,3,1,4,4,2,1,2,1,1
"29",1,3,2,2,2,4,3,2,1,4,1,4,4
"30",1,5,5,3,3,4,5,5,1,2,2,4,4
"31",2,4,4,1,1,3,4,4,2,3,2,3,3
"32",1,4,4,3,3,2,4,4,1,2,1,2,2
"33",2,1,1,1,3,4,3,1,2,4,2,4,4
"34",3,4,4,4,2,1,2,4,3,1,3,1,1
"35",4,3,2,2,2,1,3,2,4,5,5,1,1
"36",2,3,3,5,5,4,1,3,1,4,2,4,4
"37",3,2,2,2,4,1,4,2,3,1,3,1,1
"38",3,1,1,4,4,2,5,1,3,2,3,2,2
"39",2,1,1,3,3,4,1,1,2,4,2,4,4
"40",1,4,4,2,2,3,2,4,1,3,4,3,3
"41",2,4,4,1,1,3,4,4,2,3,2,3,3
"42",3,1,1,4,4,2,1,1,3,2,3,2,2
"43",3,2,2,2,1,4,1,2,1,4,3,4,4
"44",1,3,3,2,2,4,3,3,1,4,4,4,4
"45",5,1,2,3,3,4,1,2,2,4,5,4,4
"46",3,1,4,4,4,2,1,4,3,2,3,2,2
"47",2,4,4,5,5,3,4,4,2,1,1,3,3
"48",5,2,5,1,1,4,2,1,5,3,3,4,4
"49",4,3,1,1,1,2,3,1,4,2,4,2,2
"50",2,5,5,5,1,4,1,5,2,3,3,4,4
"51",4,3,1,1,1,2,3,1,4,2,4,2,2
"52",3,2,2,4,4,1,2,2,3,1,3,1,1
"53",1,2,2,4,4,3,2,2,1,3,3,3,3
"54",2,4,4,5,5,1,3,4,2,1,2,1,1
"55",3,4,1,1,1,2,4,1,3,2,3,2,2
"56",4,3,3,2,2,5,1,3,1,5,4,5,5
"57",2,4,4,1,1,5,4,4,2,3,3,5,5
"58",2,3,3,4,4,1,3,3,2,1,2,1,1
"59",1,2,2,4,4,3,2,2,1,3,1,3,3
"60",1,4,4,2,2,3,4,4,1,3,1,3,3
"61",2,5,2,4,4,3,5,4,2,1,1,3,3
"62",2,3,3,1,1,4,3,3,2,4,2,4,4
"63",3,4,4,4,2,1,2,4,3,1,3,1,1
"64",1,3,3,3,4,2,4,3,1,2,2,2,2
"65",1,5,5,5,3,4,3,5,1,2,2,4,4
"66",2,5,5,1,1,4,5,5,2,3,3,4,4
"67",3,5,5,1,1,4,2,5,3,4,3,4,4
"68",3,1,1,1,4,2,4,1,3,2,3,2,2
"69",2,1,2,4,4,3,4,1,2,3,1,3,3
"70",3,1,1,1,2,4,2,1,3,4,3,4,4
"71",4,1,1,1,5,2,5,1,4,3,3,2,2
"72",2,3,3,4,4,1,3,3,2,1,2,1,1
"73",3,2,2,2,1,4,1,2,3,4,3,4,4
"74",2,5,5,1,1,4,5,5,2,3,3,4,4
"75",1,2,2,4,4,3,2,2,1,3,1,3,3
"76",2,4,4,5,5,1,4,4,2,3,3,1,1
"77",3,1,1,5,5,2,4,1,3,2,3,2,2
"78",4,1,1,1,5,2,5,1,4,3,3,2,2
"79",5,2,2,3,3,1,4,2,4,1,5,1,1
"80",4,3,3,2,2,1,3,3,4,1,4,1,1
"81",2,4,4,4,3,1,3,4,2,1,2,1,1
"82",2,1,1,5,5,3,4,1,2,3,2,3,3
"83",3,2,2,2,4,1,4,2,3,1,3,1,1
"84",2,3,3,3,4,1,4,3,2,1,2,1,1
"85",1,4,4,4,2,3,2,4,1,3,3,3,3
"86",2,1,1,4,4,3,1,1,2,3,2,3,3
"87",2,4,4,4,3,1,3,4,2,1,1,1,1
"88",4,2,2,2,3,1,3,2,4,1,4,1,1
"89",4,5,5,1,1,2,3,5,4,2,4,2,2
"90",1,3,3,4,4,5,2,3,2,5,1,5,5
"91",3,2,2,5,5,4,1,2,3,4,3,4,4
"92",3,5,1,5,4,2,4,1,4,2,3,2,2
"93",3,4,4,4,1,5,1,4,3,2,2,5,5
"94",2,3,3,1,1,4,3,3,2,4,2,4,4
"95",2,4,4,4,1,3,1,4,2,3,2,3,3
"96",2,4,4,1,1,3,4,4,2,3,2,3,3
"97",2,4,4,4,3,1,3,4,2,1,2,1,1
"98",2,1,3,3,3,4,1,3,2,4,2,4,4
"99",4,2,2,3,3,1,2,2,4,1,4,1,1
"100",1,4,4,2,2,3,4,4,1,3,1,3,3
