"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
"1",3,4,3,1,1,2,1,2,1,2,1,2
"2",2,1,2,3,3,4,3,4,3,4,3,4
"3",1,2,1,4,4,3,4,3,4,3,4,3
"4",4,2,4,1,1,3,1,3,1,3,1,2
"5",2,1,2,3,3,4,3,4,3,4,3,4
"6",3,4,3,2,2,1,2,1,2,1,2,1
"7",2,3,2,1,1,2,1,3,1,2,1,3
"8",4,2,4,3,3,1,3,1,3,1,3,2
"9",2,1,2,3,3,4,3,4,3,2,3,4
"10",2,3,2,1,1,4,1,4,1,2,1,4
"11",1,2,1,4,4,3,4,3,4,3,4,3
"12",2,1,2,3,3,4,3,4,3,4,3,4
"13",2,3,2,4,4,1,4,1,4,1,4,1
"14",1,2,1,3,3,4,3,4,3,4,3,4
"15",1,2,1,3,3,4,3,4,3,1,3,4
"16",2,4,2,1,1,3,1,3,1,3,1,3
"17",2,3,2,1,1,2,1,3,1,2,1,3
"18",2,1,2,3,3,2,3,1,3,2,3,1
"19",2,1,2,3,3,4,3,4,3,2,3,4
"20",1,2,1,3,3,4,3,4,3,4,3,4
"21",2,4,2,3,3,1,3,1,3,1,3,1
"22",3,4,3,2,2,1,2,1,2,1,2,1
"23",2,4,2,1,1,3,1,3,1,2,1,3
"24",4,1,4,2,2,3,2,3,2,3,2,3
"25",4,3,4,2,2,1,2,1,2,1,2,1
"26",3,2,3,1,1,4,1,4,1,3,1,4
"27",1,3,1,2,2,1,2,3,2,1,2,3
"28",4,1,4,3,3,2,3,2,3,4,3,2
"29",1,2,1,3,3,4,3,4,3,1,3,4
"30",1,2,1,3,3,1,3,2,3,1,3,2
"31",4,1,4,3,3,2,3,2,3,2,3,2
"32",1,2,1,4,4,3,4,3,4,1,4,3
"33",1,3,1,2,2,4,2,4,2,4,2,4
"34",2,1,2,3,3,4,3,4,3,2,3,4
"35",4,1,4,2,2,3,2,3,2,4,2,3
"36",2,1,2,3,3,4,3,4,3,2,3,4
"37",3,2,3,4,4,1,4,1,4,1,4,1
"38",3,4,3,2,2,1,2,1,2,3,2,1
"39",1,2,1,3,3,4,3,4,3,4,3,4
"40",3,2,3,1,1,4,1,4,1,4,1,4
"41",2,1,2,3,3,4,3,4,3,4,3,1
"42",2,1,2,3,3,4,3,4,3,4,3,4
"43",3,2,3,1,1,4,1,4,1,4,1,4
"44",2,3,2,1,1,2,1,3,1,2,1,3
"45",2,3,2,1,1,4,1,4,1,4,1,3
"46",3,2,3,4,4,1,4,1,4,1,4,1
"47",1,3,1,2,2,4,2,4,2,4,2,4
"48",2,1,2,3,3,2,3,1,3,2,3,1
"49",1,4,1,2,2,3,2,3,2,1,2,3
"50",2,1,2,4,4,3,4,3,4,3,4,3
"51",4,2,4,3,3,1,3,1,3,1,3,1
"52",3,4,3,2,2,1,2,1,2,1,2,1
"53",3,1,3,2,2,3,2,1,2,3,2,1
"54",3,2,3,1,1,4,1,4,1,4,1,4
"55",1,4,1,2,2,3,2,3,2,1,2,3
"56",3,4,3,2,2,1,2,1,2,1,2,1
"57",1,2,1,4,4,3,4,3,4,1,4,3
"58",1,3,1,2,2,4,2,4,2,4,2,4
"59",3,1,3,2,2,3,2,1,2,3,2,1
"60",4,2,3,1,1,4,1,4,1,4,1,2
"61",1,2,1,4,4,3,4,3,4,3,4,3
"62",3,2,3,4,4,1,4,1,4,3,4,1
"63",4,2,4,3,3,1,3,1,3,1,3,1
"64",3,2,3,1,1,4,1,4,1,4,1,4
"65",2,1,2,4,4,3,4,3,4,3,4,3
"66",2,1,2,3,3,4,3,4,3,4,3,4
"67",3,1,3,2,2,4,2,4,2,3,2,4
"68",1,2,1,3,3,1,3,2,3,1,3,2
"69",2,1,2,3,3,4,3,4,3,4,3,4
"70",3,1,3,4,4,2,4,2,4,2,4,2
"71",3,4,3,1,1,2,1,2,1,2,1,2
"72",3,2,3,4,4,1,4,1,4,1,4,1
"73",1,3,1,2,2,4,2,4,2,1,2,4
"74",3,4,3,2,2,1,2,1,2,1,2,1
"75",3,2,3,1,1,3,1,2,1,3,1,2
"76",1,3,1,4,4,2,4,2,4,2,4,3
"77",3,2,3,4,4,1,4,1,4,1,4,2
"78",3,4,3,2,2,1,2,1,2,1,2,1
"79",4,3,4,1,1,2,1,2,1,2,1,2
"80",2,4,2,1,1,3,1,3,1,2,1,3
"81",1,2,1,3,3,4,3,4,3,4,3,4
"82",2,3,2,1,1,4,1,4,1,4,1,3
"83",4,3,4,1,1,2,1,2,1,2,1,2
"84",2,4,2,3,3,1,3,1,3,1,3,1
"85",2,3,2,4,4,1,4,1,4,1,4,1
"86",3,2,3,4,4,1,4,1,4,1,4,1
"87",2,1,2,3,3,4,3,4,3,4,3,4
"88",4,2,4,1,1,3,1,3,1,4,1,3
"89",2,3,2,1,1,2,1,3,1,2,1,3
"90",2,4,2,3,3,1,3,1,3,2,3,1
"91",3,4,3,1,1,2,1,2,1,2,1,2
"92",3,2,3,1,1,4,1,4,1,3,1,4
"93",1,3,1,2,2,4,2,4,2,1,2,4
"94",2,3,2,1,1,4,1,4,1,4,1,4
"95",3,2,3,1,1,4,1,4,1,4,1,4
"96",2,3,2,1,1,4,1,4,1,4,1,4
"97",3,2,3,1,1,3,1,2,1,3,1,2
"98",2,1,2,3,3,4,3,4,3,4,3,4
"99",3,2,3,1,1,4,1,4,1,4,1,4
"100",1,2,1,4,4,3,4,3,4,3,4,2
