"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32"
"1",3,1,3,3,3,3,1,1,4,1,1,1,2,1,1,1,1,1,1,1,1,4,1,1,4,4,4,1,5,4,4,1
"2",5,3,5,5,5,5,3,3,2,3,3,3,1,3,3,3,3,3,3,3,3,2,3,3,2,2,2,3,4,2,2,3
"3",3,2,3,3,3,3,2,2,6,1,1,1,4,2,2,1,2,1,2,2,2,6,1,1,6,6,6,1,5,6,6,2
"4",2,4,2,2,2,2,4,4,1,4,4,4,5,4,4,4,4,4,4,4,4,1,4,4,1,1,1,4,3,1,1,4
"5",3,1,3,3,3,3,1,1,5,2,2,2,6,1,1,2,1,2,1,1,1,5,2,2,5,5,5,2,4,5,5,1
"6",4,3,4,4,4,4,3,3,5,2,2,2,6,3,3,2,3,2,3,3,3,5,2,2,5,5,5,2,1,5,5,3
"7",1,3,1,1,1,1,3,3,2,6,6,6,5,3,3,6,3,6,3,3,3,2,6,6,2,2,2,6,4,2,2,3
"8",2,3,2,2,2,2,3,3,6,4,4,4,1,3,3,4,3,4,3,3,3,6,4,4,6,6,6,4,5,6,6,3
"9",2,3,2,2,2,2,3,3,1,3,3,3,5,3,3,3,3,3,3,3,3,1,3,3,1,1,1,3,4,1,1,3
"10",1,5,1,1,1,1,5,5,4,5,5,5,3,5,5,5,5,5,5,5,5,4,5,5,4,4,4,5,2,4,4,5
"11",6,4,6,6,6,6,4,4,5,3,3,3,1,4,4,3,4,3,4,4,4,5,3,3,5,5,5,3,2,5,5,4
"12",1,5,1,1,1,1,5,5,2,6,6,6,3,5,5,6,5,6,5,5,5,2,6,6,2,2,2,6,4,2,2,5
"13",4,3,4,4,4,4,3,3,5,2,2,2,6,3,3,2,3,2,3,3,3,5,2,2,5,5,5,2,1,5,5,3
"14",5,2,5,5,5,5,2,2,6,3,3,3,4,2,2,3,2,3,2,2,2,6,3,3,6,6,6,3,1,6,6,2
"15",4,2,4,4,4,4,2,2,3,2,2,2,1,2,2,2,2,2,2,2,2,3,2,2,3,3,3,2,5,3,3,2
"16",6,2,6,6,6,6,2,2,5,1,1,1,4,2,2,1,2,1,2,2,2,5,1,1,5,5,5,1,3,5,5,2
"17",2,5,2,2,2,2,5,5,1,4,4,4,6,5,5,4,5,4,5,5,5,1,4,4,1,1,1,4,3,1,1,5
"18",6,4,6,6,6,6,4,4,3,5,5,5,1,4,4,5,4,5,4,4,4,3,5,5,3,3,3,5,2,3,3,4
"19",3,5,3,3,3,3,5,5,2,6,6,6,1,5,5,6,5,6,5,5,5,2,6,6,2,2,2,6,4,2,2,5
"20",5,2,5,5,5,5,2,2,6,3,3,3,4,2,2,3,2,3,2,2,2,6,3,3,6,6,6,3,1,6,6,2
"21",5,2,5,5,5,5,2,2,4,2,2,2,3,2,2,2,2,2,2,2,2,4,2,2,4,4,4,2,1,4,4,2
"22",1,5,1,1,1,1,5,5,2,5,5,5,4,5,5,5,5,5,5,5,5,2,5,5,2,2,2,5,3,2,2,5
"23",2,4,2,2,2,2,4,4,3,4,4,4,5,4,4,4,4,4,4,4,4,3,4,4,3,3,3,4,1,3,3,4
"24",1,6,1,1,1,1,6,6,2,5,5,5,4,6,6,5,6,5,6,6,6,2,5,5,2,2,2,5,3,2,2,6
"25",2,3,2,2,2,2,3,3,1,4,4,4,6,3,3,4,3,4,3,3,3,1,4,4,1,1,1,4,5,1,1,3
"26",2,4,2,2,2,2,4,4,1,3,3,3,6,4,4,3,4,3,4,4,4,1,3,3,1,1,1,3,5,1,1,4
"27",5,3,5,5,5,5,3,3,2,3,3,3,4,3,3,3,3,3,3,3,3,2,3,3,2,2,2,3,1,2,2,3
"28",4,1,4,4,4,4,1,1,5,1,1,1,2,1,1,1,1,1,1,1,1,5,1,1,5,5,5,1,3,5,5,1
"29",5,2,5,5,5,5,2,2,6,1,1,1,3,2,2,1,2,1,2,2,2,6,1,1,6,6,6,1,4,6,6,2
"30",3,2,3,3,3,3,2,2,4,1,1,1,5,2,2,1,2,1,2,2,2,4,1,1,4,4,4,1,6,4,4,2
"31",5,2,5,5,5,5,2,2,3,2,2,2,1,2,2,2,2,2,2,2,2,3,2,2,3,3,3,2,4,3,3,2
"32",1,4,1,1,1,1,4,4,6,3,3,3,5,4,4,3,4,3,4,4,4,6,3,3,6,6,6,3,2,6,6,4
"33",5,3,5,5,5,5,3,3,1,3,3,3,4,3,3,3,3,3,3,3,3,1,3,3,1,1,1,3,2,1,1,3
"34",3,4,3,3,3,3,4,4,6,5,5,5,2,4,4,5,4,5,4,4,4,6,5,5,6,6,6,5,1,6,6,4
"35",6,4,6,6,6,6,4,4,1,5,5,5,3,4,4,5,4,5,4,4,4,1,5,5,1,1,1,5,2,1,1,4
"36",5,2,5,5,5,5,2,2,6,1,1,1,3,2,2,1,2,1,2,2,2,6,1,1,6,6,6,1,4,6,6,2
"37",2,1,2,2,2,2,1,1,4,1,1,1,3,1,1,1,1,1,1,1,1,4,1,1,4,4,4,1,5,4,4,1
"38",3,2,3,3,3,3,2,2,6,1,1,1,5,2,2,1,2,1,2,2,2,6,1,1,6,6,6,1,4,6,6,2
"39",1,2,1,1,1,1,2,2,6,3,3,3,5,2,2,3,2,3,2,2,2,6,3,3,6,6,6,3,4,6,6,2
"40",5,1,5,5,5,5,1,1,6,2,2,2,3,1,1,2,1,2,1,1,1,6,2,2,6,6,6,2,4,6,6,1
"41",4,3,4,4,4,4,3,3,6,2,2,2,5,3,3,2,3,2,3,3,3,6,2,2,6,6,6,2,1,6,6,3
"42",1,2,1,1,1,1,2,2,3,2,2,2,4,2,2,2,2,2,2,2,2,3,2,2,3,3,3,2,5,3,3,2
"43",2,4,2,2,2,2,4,4,6,3,3,3,5,4,4,3,4,3,4,4,4,6,3,3,6,6,6,3,1,6,6,4
"44",2,4,2,2,2,2,4,4,3,5,5,5,6,4,4,5,4,5,4,4,4,3,5,5,3,3,3,5,1,3,3,4
"45",1,3,1,1,1,1,3,3,6,4,4,4,5,3,3,4,3,4,3,3,3,6,4,4,6,6,6,4,2,6,6,3
"46",2,4,2,2,2,2,4,4,3,4,4,4,5,4,4,4,4,4,4,4,4,3,4,4,3,3,3,4,1,3,3,4
"47",6,2,6,6,6,6,2,2,5,3,3,3,1,2,2,3,2,3,2,2,2,5,3,3,5,5,5,3,4,5,5,2
"48",3,5,3,3,3,3,5,5,4,5,5,5,1,5,5,5,5,5,5,5,5,4,5,5,4,4,4,5,2,4,4,5
"49",6,4,6,6,6,6,4,4,1,5,5,5,3,4,4,5,4,5,4,4,4,1,5,5,1,1,1,5,2,1,1,4
"50",1,3,1,1,1,1,3,3,5,2,2,2,6,3,3,2,3,2,3,3,3,5,2,2,5,5,5,2,4,5,5,3
"51",3,1,3,3,3,3,1,1,4,2,2,2,6,1,1,2,1,2,1,1,1,4,2,2,4,4,4,2,5,4,4,1
"52",2,6,2,2,2,2,6,6,3,5,5,5,4,6,6,5,6,5,6,6,6,3,5,5,3,3,3,5,1,3,3,6
"53",3,5,3,3,3,3,5,5,6,4,4,4,1,5,5,4,5,4,5,5,5,6,4,4,6,6,6,4,2,6,6,5
"54",6,3,6,6,6,6,3,3,1,2,2,2,5,3,3,2,3,2,3,3,3,1,2,2,1,1,1,2,4,1,1,3
"55",3,2,3,3,3,3,2,2,1,2,2,2,5,2,2,2,2,2,2,2,2,1,2,2,1,1,1,2,4,1,1,2
"56",4,2,4,4,4,4,2,2,5,2,2,2,1,2,2,2,2,2,2,2,2,5,2,2,5,5,5,2,3,5,5,2
"57",2,4,2,2,2,2,4,4,5,4,4,4,3,4,4,4,4,4,4,4,4,5,4,4,5,5,5,4,1,5,5,4
"58",1,2,1,1,1,1,2,2,6,4,4,4,5,2,2,4,2,4,2,2,2,6,4,4,6,6,6,4,3,6,6,2
"59",1,4,1,1,1,1,4,4,2,6,6,6,5,4,4,6,4,6,4,4,4,2,6,6,2,2,2,6,3,2,2,4
"60",2,5,2,2,2,2,5,5,3,5,5,5,1,5,5,5,5,5,5,5,5,3,5,5,3,3,3,5,4,3,3,5
"61",5,3,5,5,5,5,3,3,2,3,3,3,1,3,3,3,3,3,3,3,3,2,3,3,2,2,2,3,4,2,2,3
"62",1,4,1,1,1,1,4,4,2,3,3,3,5,4,4,3,4,3,4,4,4,2,3,3,2,2,2,3,6,2,2,4
"63",2,4,2,2,2,2,4,4,1,4,4,4,3,4,4,4,4,4,4,4,4,1,4,4,1,1,1,4,5,1,1,4
"64",4,1,4,4,4,4,1,1,2,1,1,1,3,1,1,1,1,1,1,1,1,2,1,1,2,2,2,1,5,2,2,1
"65",3,2,3,3,3,3,2,2,4,2,2,2,1,2,2,2,2,2,2,2,2,4,2,2,4,4,4,2,5,4,4,2
"66",6,4,6,6,6,6,4,4,2,5,5,5,3,4,4,5,4,5,4,4,4,2,5,5,2,2,2,5,1,2,2,4
"67",1,5,1,1,1,1,5,5,4,5,5,5,2,5,5,5,5,5,5,5,5,4,5,5,4,4,4,5,3,4,4,5
"68",4,1,4,4,4,4,1,1,3,1,1,1,2,1,1,1,1,1,1,1,1,3,1,1,3,3,3,1,5,3,3,1
"69",3,4,3,3,3,3,4,4,1,4,4,4,2,4,4,4,4,4,4,4,4,1,4,4,1,1,1,4,5,1,1,4
"70",1,5,1,1,1,1,5,5,4,6,6,6,2,5,5,6,5,6,5,5,5,4,6,6,4,4,4,6,3,4,4,5
"71",1,2,1,1,1,1,2,2,3,2,2,2,4,2,2,2,2,2,2,2,2,3,2,2,3,3,3,2,5,3,3,2
"72",2,3,2,2,2,2,3,3,5,3,3,3,4,3,3,3,3,3,3,3,3,5,3,3,5,5,5,3,1,5,5,3
"73",2,4,2,2,2,2,4,4,5,4,4,4,3,4,4,4,4,4,4,4,4,5,4,4,5,5,5,4,1,5,5,4
"74",4,2,4,4,4,4,2,2,1,2,2,2,3,2,2,2,2,2,2,2,2,1,2,2,1,1,1,2,5,1,1,2
"75",1,4,1,1,1,1,4,4,5,3,3,3,2,4,4,3,4,3,4,4,4,5,3,3,5,5,5,3,6,5,5,4
"76",2,3,2,2,2,2,3,3,6,5,5,5,4,3,3,5,3,5,3,3,3,6,5,5,6,6,6,5,1,6,6,3
"77",2,3,2,2,2,2,3,3,5,3,3,3,4,3,3,3,3,3,3,3,3,5,3,3,5,5,5,3,1,5,5,3
"78",1,6,1,1,1,1,6,6,3,5,5,5,4,6,6,5,6,5,6,6,6,3,5,5,3,3,3,5,2,3,3,6
"79",4,2,4,4,4,4,2,2,3,2,2,2,1,2,2,2,2,2,2,2,2,3,2,2,3,3,3,2,5,3,3,2
"80",2,4,2,2,2,2,4,4,3,5,5,5,1,4,4,5,4,5,4,4,4,3,5,5,3,3,3,5,6,3,3,4
"81",1,6,1,1,1,1,6,6,2,5,5,5,4,6,6,5,6,5,6,6,6,2,5,5,2,2,2,5,3,2,2,6
"82",4,3,4,4,4,4,3,3,1,3,3,3,5,3,3,3,3,3,3,3,3,1,3,3,1,1,1,3,2,1,1,3
"83",1,3,1,1,1,1,3,3,5,3,3,3,2,3,3,3,3,3,3,3,3,5,3,3,5,5,5,3,4,5,5,3
"84",5,4,5,5,5,5,4,4,2,3,3,3,6,4,4,3,4,3,4,4,4,2,3,3,2,2,2,3,1,2,2,4
"85",6,4,6,6,6,6,4,4,2,3,3,3,5,4,4,3,4,3,4,4,4,2,3,3,2,2,2,3,1,2,2,4
"86",4,5,4,4,4,4,5,5,1,5,5,5,3,5,5,5,5,5,5,5,5,1,5,5,1,1,1,5,2,1,1,5
"87",6,2,6,6,6,6,2,2,5,1,1,1,4,2,2,1,2,1,2,2,2,5,1,1,5,5,5,1,3,5,5,2
"88",4,3,4,4,4,4,3,3,1,2,2,2,5,3,3,2,3,2,3,3,3,1,2,2,1,1,1,2,6,1,1,3
"89",2,3,2,2,2,2,3,3,6,4,4,4,1,3,3,4,3,4,3,3,3,6,4,4,6,6,6,4,5,6,6,3
"90",3,4,3,3,3,3,4,4,1,4,4,4,5,4,4,4,4,4,4,4,4,1,4,4,1,1,1,4,2,1,1,4
"91",5,2,5,5,5,5,2,2,1,2,2,2,3,2,2,2,2,2,2,2,2,1,2,2,1,1,1,2,4,1,1,2
"92",3,5,3,3,3,3,5,5,2,5,5,5,4,5,5,5,5,5,5,5,5,2,5,5,2,2,2,5,1,2,2,5
"93",3,5,3,3,3,3,5,5,4,5,5,5,1,5,5,5,5,5,5,5,5,4,5,5,4,4,4,5,2,4,4,5
"94",3,4,3,3,3,3,4,4,2,4,4,4,1,4,4,4,4,4,4,4,4,2,4,4,2,2,2,4,5,2,2,4
"95",5,2,5,5,5,5,2,2,4,2,2,2,3,2,2,2,2,2,2,2,2,4,2,2,4,4,4,2,1,4,4,2
"96",4,2,4,4,4,4,2,2,5,2,2,2,3,2,2,2,2,2,2,2,2,5,2,2,5,5,5,2,1,5,5,2
"97",3,4,3,3,3,3,4,4,2,4,4,4,5,4,4,4,4,4,4,4,4,2,4,4,2,2,2,4,1,2,2,4
"98",3,2,3,3,3,3,2,2,6,1,1,1,5,2,2,1,2,1,2,2,2,6,1,1,6,6,6,1,4,6,6,2
"99",3,5,3,3,3,3,5,5,2,5,5,5,4,5,5,5,5,5,5,5,5,2,5,5,2,2,2,5,1,2,2,5
"100",1,4,1,1,1,1,4,4,3,5,5,5,6,4,4,5,4,5,4,4,4,3,5,5,3,3,3,5,2,3,3,4
