"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29"
"1",3,5,3,5,5,1,3,4,2,1,1,4,1,3,4,6,4,7,4,4,4,4,4,1,3,3,4,4,3
"2",3,5,3,5,5,2,3,1,4,2,2,1,2,3,1,6,1,7,1,1,1,1,1,2,3,3,1,1,3
"3",4,1,4,1,1,3,4,5,2,3,3,5,3,4,5,6,5,7,5,5,5,5,5,3,4,4,5,5,4
"4",3,1,3,1,1,2,3,4,5,2,2,4,2,3,4,6,4,7,4,4,4,4,4,2,3,3,4,4,3
"5",4,1,4,1,1,2,4,5,3,2,2,5,2,4,5,6,5,7,5,5,5,5,5,2,4,4,5,5,4
"6",3,2,3,2,2,5,3,4,1,5,5,4,5,3,4,6,4,7,4,4,4,4,4,5,3,3,4,4,3
"7",4,3,4,3,3,1,4,5,2,1,1,5,1,4,5,6,5,7,5,5,5,5,5,1,4,4,5,5,4
"8",2,5,2,5,5,3,2,1,4,3,3,1,3,2,1,6,1,7,1,1,1,1,1,3,2,2,1,1,2
"9",3,2,3,2,2,1,3,4,5,1,1,4,1,3,4,6,4,7,4,4,4,4,4,1,3,3,4,4,3
"10",2,3,2,3,3,5,2,1,4,5,5,1,5,2,1,6,1,7,1,1,1,1,1,5,2,2,1,1,2
"11",3,1,3,1,1,5,3,2,4,5,5,2,5,3,2,6,2,7,2,2,2,2,2,5,3,3,2,2,3
"12",2,5,2,5,5,1,2,3,4,1,1,3,1,2,3,6,3,7,3,3,3,3,3,1,2,2,3,3,2
"13",3,5,3,5,5,2,3,4,1,2,2,4,2,3,4,6,4,7,4,4,4,4,4,2,3,3,4,4,3
"14",2,4,2,4,4,5,2,3,1,5,5,3,5,2,3,6,3,7,3,3,3,3,3,5,2,2,3,3,2
"15",2,5,2,5,5,4,2,3,1,4,4,3,4,2,3,6,3,7,3,3,3,3,3,4,2,2,3,3,2
"16",1,2,1,2,2,5,1,3,4,5,5,3,5,1,3,6,3,7,3,3,3,3,3,5,1,1,3,3,1
"17",4,3,4,3,3,1,4,5,2,1,1,5,1,4,5,6,5,7,5,5,5,5,5,1,4,4,5,5,4
"18",3,1,3,1,1,5,3,2,4,5,5,2,5,3,2,6,2,7,2,2,2,2,2,5,3,3,2,2,3
"19",3,5,3,5,5,2,3,1,4,2,2,1,2,3,1,6,1,7,1,1,1,1,1,2,3,3,1,1,3
"20",3,5,3,5,5,4,3,1,2,4,4,1,4,3,1,6,1,7,1,1,1,1,1,4,3,3,1,1,3
"21",5,1,5,1,1,2,5,4,3,2,2,4,2,5,4,6,4,7,4,4,4,4,4,2,5,5,4,4,5
"22",5,1,5,1,1,3,5,4,2,3,3,4,3,5,4,6,4,7,4,4,4,4,4,3,5,5,4,4,5
"23",3,1,3,1,1,5,3,4,2,5,5,4,5,3,4,6,4,7,4,4,4,4,4,5,3,3,4,4,3
"24",1,3,1,3,3,5,1,2,4,5,5,2,5,1,2,6,2,7,2,2,2,2,2,5,1,1,2,2,1
"25",4,5,4,5,5,1,4,3,2,1,1,3,1,4,3,6,3,7,3,3,3,3,3,1,4,4,3,3,4
"26",4,2,4,2,2,5,4,3,1,5,5,3,5,4,3,6,3,7,3,3,3,3,3,5,4,4,3,3,4
"27",2,4,2,4,4,3,2,1,5,3,3,1,3,2,1,6,1,7,1,1,1,1,1,3,2,2,1,1,2
"28",5,2,5,2,2,3,5,4,1,3,3,4,3,5,4,6,4,7,4,4,4,4,4,3,5,5,4,4,5
"29",3,5,3,5,5,1,3,2,4,1,1,2,1,3,2,6,2,7,2,2,2,2,2,1,3,3,2,2,3
"30",1,2,1,2,2,3,1,5,4,3,3,5,3,1,5,6,5,7,5,5,5,5,5,3,1,1,5,5,1
"31",4,3,4,3,3,2,4,5,1,2,2,5,2,4,5,6,5,7,5,5,5,5,5,2,4,4,5,5,4
"32",2,5,2,5,5,4,2,1,3,4,4,1,4,2,1,6,1,7,1,1,1,1,1,4,2,2,1,1,2
"33",3,1,3,1,1,5,3,2,4,5,5,2,5,3,2,6,2,7,2,2,2,2,2,5,3,3,2,2,3
"34",3,1,3,1,1,4,3,2,5,4,4,2,4,3,2,6,2,7,2,2,2,2,2,4,3,3,2,2,3
"35",2,5,2,5,5,4,2,3,1,4,4,3,4,2,3,6,3,7,3,3,3,3,3,4,2,2,3,3,2
"36",4,1,4,1,1,5,4,3,2,5,5,3,5,4,3,6,3,7,3,3,3,3,3,5,4,4,3,3,4
"37",3,5,3,5,5,2,3,4,1,2,2,4,2,3,4,6,4,7,4,4,4,4,4,2,3,3,4,4,3
"38",5,2,5,2,2,1,5,4,3,1,1,4,1,5,4,6,4,7,4,4,4,4,4,1,5,5,4,4,5
"39",4,5,4,5,5,1,4,3,2,1,1,3,1,4,3,6,3,7,3,3,3,3,3,1,4,4,3,3,4
"40",3,1,3,1,1,2,3,4,5,2,2,4,2,3,4,6,4,7,4,4,4,4,4,2,3,3,4,4,3
"41",5,1,5,1,1,2,5,4,3,2,2,4,2,5,4,6,4,7,4,4,4,4,4,2,5,5,4,4,5
"42",2,5,2,5,5,3,2,1,4,3,3,1,3,2,1,6,1,7,1,1,1,1,1,3,2,2,1,1,2
"43",5,1,5,1,1,3,5,4,2,3,3,4,3,5,4,6,4,7,4,4,4,4,4,3,5,5,4,4,5
"44",5,2,5,2,2,3,5,4,1,3,3,4,3,5,4,6,4,7,4,4,4,4,4,3,5,5,4,4,5
"45",2,5,2,5,5,4,2,1,3,4,4,1,4,2,1,6,1,7,1,1,1,1,1,4,2,2,1,1,2
"46",2,4,2,4,4,1,2,3,5,1,1,3,1,2,3,6,3,7,3,3,3,3,3,1,2,2,3,3,2
"47",3,1,3,1,1,4,3,2,5,4,4,2,4,3,2,6,2,7,2,2,2,2,2,4,3,3,2,2,3
"48",2,3,2,3,3,5,2,1,4,5,5,1,5,2,1,6,1,7,1,1,1,1,1,5,2,2,1,1,2
"49",3,5,3,5,5,4,3,2,1,4,4,2,4,3,2,6,2,7,2,2,2,2,2,4,3,3,2,2,3
"50",1,3,1,3,3,5,1,2,4,5,5,2,5,1,2,6,2,7,2,2,2,2,2,5,1,1,2,2,1
"51",1,4,1,4,4,5,1,3,2,5,5,3,5,1,3,6,3,7,3,3,3,3,3,5,1,1,3,3,1
"52",5,1,5,1,1,3,5,2,4,3,3,2,3,5,2,6,2,7,2,2,2,2,2,3,5,5,2,2,5
"53",2,5,2,5,5,4,2,3,1,4,4,3,4,2,3,6,3,7,3,3,3,3,3,4,2,2,3,3,2
"54",4,1,4,1,1,3,4,2,5,3,3,2,3,4,2,6,2,7,2,2,2,2,2,3,4,4,2,2,4
"55",3,2,3,2,2,1,3,5,4,1,1,5,1,3,5,6,5,7,5,5,5,5,5,1,3,3,5,5,3
"56",2,5,2,5,5,3,2,1,4,3,3,1,3,2,1,6,1,7,1,1,1,1,1,3,2,2,1,1,2
"57",4,3,4,3,3,1,4,5,2,1,1,5,1,4,5,6,5,7,5,5,5,5,5,1,4,4,5,5,4
"58",3,5,3,5,5,4,3,2,1,4,4,2,4,3,2,6,2,7,2,2,2,2,2,4,3,3,2,2,3
"59",1,5,1,5,5,2,1,3,4,2,2,3,2,1,3,6,3,7,3,3,3,3,3,2,1,1,3,3,1
"60",5,2,5,2,2,1,5,3,4,1,1,3,1,5,3,6,3,7,3,3,3,3,3,1,5,5,3,3,5
"61",1,5,1,5,5,3,1,4,2,3,3,4,3,1,4,6,4,7,4,4,4,4,4,3,1,1,4,4,1
"62",2,1,2,1,1,4,2,3,5,4,4,3,4,2,3,6,3,7,3,3,3,3,3,4,2,2,3,3,2
"63",2,1,2,1,1,5,2,3,4,5,5,3,5,2,3,6,3,7,3,3,3,3,3,5,2,2,3,3,2
"64",3,1,3,1,1,5,3,4,2,5,5,4,5,3,4,6,4,7,4,4,4,4,4,5,3,3,4,4,3
"65",3,4,3,4,4,5,3,2,1,5,5,2,5,3,2,6,2,7,2,2,2,2,2,5,3,3,2,2,3
"66",4,5,4,5,5,2,4,3,1,2,2,3,2,4,3,6,3,7,3,3,3,3,3,2,4,4,3,3,4
"67",3,5,3,5,5,2,3,1,4,2,2,1,2,3,1,6,1,7,1,1,1,1,1,2,3,3,1,1,3
"68",4,3,4,3,3,1,4,2,5,1,1,2,1,4,2,6,2,7,2,2,2,2,2,1,4,4,2,2,4
