"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33"
"1",3,5,3,5,6,4,2,4,2,1,5,1,3,3,1,1,1,2,1,3,2,2,2,1,2,1,4,1,2,2,1,4,4
"2",2,4,2,4,5,1,3,1,3,3,4,3,2,2,3,3,3,3,3,2,3,3,3,3,3,3,1,3,3,3,3,1,1
"3",1,2,1,3,4,2,2,2,2,2,3,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"4",4,3,4,3,5,1,2,1,2,2,3,2,4,4,2,2,2,2,2,4,2,2,2,2,2,2,1,2,2,2,2,1,1
"5",3,1,2,1,4,2,2,2,2,2,1,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"6",1,4,1,4,5,2,3,2,3,3,4,3,1,1,3,3,3,3,3,1,3,3,3,3,3,3,2,3,3,3,3,2,2
"7",2,3,2,3,5,1,4,1,4,4,3,4,2,2,4,4,4,4,4,2,4,4,4,4,4,4,1,4,4,4,4,1,1
"8",1,2,1,2,5,4,3,4,3,3,2,3,1,1,3,3,3,3,3,1,3,3,3,3,3,3,4,3,3,3,3,4,4
"9",1,2,1,3,4,2,2,2,2,2,3,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"10",3,2,3,1,4,2,2,2,2,2,1,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"11",1,4,1,4,5,3,2,3,2,2,4,2,1,1,2,2,2,2,2,1,2,2,2,2,2,2,3,2,2,2,2,3,3
"12",4,5,4,5,6,3,1,3,1,2,5,2,4,4,2,2,2,1,2,4,1,1,1,2,1,2,3,2,1,1,2,3,3
"13",1,4,1,4,5,3,2,3,2,2,4,2,1,1,2,2,2,2,2,1,2,2,2,2,2,2,3,2,2,2,2,3,3
"14",3,2,3,1,4,2,2,2,2,2,1,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"15",2,3,2,1,4,3,3,3,3,3,1,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
"16",1,3,2,3,4,2,2,2,2,2,3,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"17",4,1,4,1,5,3,2,3,2,2,1,2,4,4,2,2,2,2,2,4,2,2,2,2,2,2,3,2,2,2,2,3,3
"18",2,3,2,1,4,3,3,3,3,3,1,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
"19",3,1,3,1,5,4,2,4,2,2,1,2,3,3,2,2,2,2,2,3,2,2,2,2,2,2,4,2,2,2,2,4,4
"20",4,2,4,2,5,1,3,1,3,3,2,3,4,4,3,3,3,3,3,4,3,3,3,3,3,3,1,3,3,3,3,1,1
"21",3,2,3,1,4,2,2,2,2,2,1,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"22",1,3,1,3,6,2,5,2,5,4,3,4,1,1,4,4,4,5,4,1,5,5,5,4,5,4,2,4,5,5,4,2,2
"23",4,3,4,3,6,5,2,5,2,1,3,1,4,4,1,1,1,2,1,4,2,2,2,1,2,1,5,1,2,2,1,5,5
"24",2,3,2,3,5,1,4,1,4,4,3,4,2,2,4,4,4,4,4,2,4,4,4,4,4,4,1,4,4,4,4,1,1
"25",2,1,2,1,5,3,4,3,4,4,1,4,2,2,4,4,4,4,4,2,4,4,4,4,4,4,3,4,4,4,4,3,3
"26",2,1,2,3,4,1,1,1,1,1,3,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"27",3,2,3,1,4,2,2,2,2,2,1,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"28",3,2,3,2,6,1,5,1,5,4,2,4,3,3,4,4,4,5,4,3,5,5,5,4,5,4,1,4,5,5,4,1,1
"29",1,3,1,3,5,4,2,4,2,2,3,2,1,1,2,2,2,2,2,1,2,2,2,2,2,2,4,2,2,2,2,4,4
"30",4,5,4,5,6,1,3,1,3,2,5,2,4,4,2,2,2,3,2,4,3,3,3,2,3,2,1,2,3,3,2,1,1
"31",2,4,2,4,5,1,3,1,3,3,4,3,2,2,3,3,3,3,3,2,3,3,3,3,3,3,1,3,3,3,3,1,1
"32",2,4,2,4,5,1,3,1,3,3,4,3,2,2,3,3,3,3,3,2,3,3,3,3,3,3,1,3,3,3,3,1,1
"33",2,4,2,4,5,3,1,3,1,1,4,1,2,2,1,1,1,1,1,2,1,1,1,1,1,1,3,1,1,1,1,3,3
"34",1,4,1,4,5,2,3,2,3,3,4,3,1,1,3,3,3,3,3,1,3,3,3,3,3,3,2,3,3,3,3,2,2
"35",3,2,3,2,5,1,4,1,4,4,2,4,3,3,4,4,4,4,4,3,4,4,4,4,4,4,1,4,4,4,4,1,1
"36",4,1,4,1,5,2,3,2,3,3,1,3,4,4,3,3,3,3,3,4,3,3,3,3,3,3,2,3,3,3,3,2,2
"37",4,1,4,1,6,3,2,3,2,5,1,5,4,4,5,5,5,2,5,4,2,2,2,5,2,5,3,5,2,2,5,3,3
"38",1,3,1,2,4,3,3,3,3,3,2,3,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
"39",1,3,1,3,5,4,2,4,2,2,3,2,1,1,2,2,2,2,2,1,2,2,2,2,2,2,4,2,2,2,2,4,4
"40",1,2,1,2,5,4,3,4,3,3,2,3,1,1,3,3,3,3,3,1,3,3,3,3,3,3,4,3,3,3,3,4,4
"41",3,1,3,1,6,2,4,2,4,5,1,5,3,3,5,5,5,4,5,3,4,4,4,5,4,5,2,5,4,4,5,2,2
"42",2,1,2,3,4,1,1,1,1,1,3,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"43",3,1,3,2,4,1,1,1,1,1,2,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"44",2,1,2,1,5,3,4,3,4,4,1,4,2,2,4,4,4,4,4,2,4,4,4,4,4,4,3,4,4,4,4,3,3
"45",3,4,3,4,5,2,1,2,1,1,4,1,3,3,1,1,1,1,1,3,1,1,1,1,1,1,2,1,1,1,1,2,2
"46",2,1,2,1,6,5,4,5,4,3,1,3,2,2,3,3,3,4,3,2,4,4,4,3,4,3,5,3,4,4,3,5,5
"47",2,4,2,4,5,3,1,3,1,1,4,1,2,2,1,1,1,1,1,2,1,1,1,1,1,1,3,1,1,1,1,3,3
"48",4,2,4,2,5,1,3,1,3,3,2,3,4,4,3,3,3,3,3,4,3,3,3,3,3,3,1,3,3,3,3,1,1
"49",5,1,5,1,6,4,3,4,3,2,1,2,5,5,2,2,2,3,2,5,3,3,3,2,3,2,4,2,3,3,2,4,4
"50",2,1,2,1,5,4,3,4,3,3,1,3,2,2,3,3,3,3,3,2,3,3,3,3,3,3,4,3,3,3,3,4,4
"51",3,2,3,2,5,1,4,1,4,4,2,4,3,3,4,4,4,4,4,3,4,4,4,4,4,4,1,4,4,4,4,1,1
"52",2,1,2,1,5,3,4,3,4,4,1,4,2,2,4,4,4,4,4,2,4,4,4,4,4,4,3,4,4,4,4,3,3
"53",4,5,4,5,6,2,3,2,3,1,5,1,4,4,1,1,1,3,1,4,3,3,3,1,3,1,2,1,3,3,1,2,2
"54",2,1,2,1,5,4,3,4,3,3,1,3,2,2,3,3,3,3,3,2,3,3,3,3,3,3,4,3,3,3,3,4,4
"55",1,3,1,2,4,3,3,3,3,3,2,3,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
"56",2,3,1,3,4,1,1,1,1,1,3,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"57",2,3,2,1,4,3,3,3,3,3,1,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
"58",2,3,2,3,5,4,1,4,1,1,3,1,2,2,1,1,1,1,1,2,1,1,1,1,1,1,4,1,1,1,1,4,4
"59",2,4,2,4,6,1,5,1,5,3,4,3,2,2,3,3,3,5,3,2,5,5,5,3,5,3,1,3,5,5,3,1,1
"60",4,1,4,1,5,2,3,2,3,3,1,3,4,4,3,3,3,3,3,4,3,3,3,3,3,3,2,3,3,3,3,2,2
"61",5,2,5,2,6,1,3,1,3,4,2,4,5,5,4,4,4,3,4,5,3,3,3,4,3,4,1,4,3,3,4,1,1
"62",2,1,2,1,5,4,3,4,3,3,1,3,2,2,3,3,3,3,3,2,3,3,3,3,3,3,4,3,3,3,3,4,4
"63",1,4,1,4,5,2,3,2,3,3,4,3,1,1,3,3,3,3,3,1,3,3,3,3,3,3,2,3,3,3,3,2,2
"64",1,3,1,3,5,2,4,2,4,4,3,4,1,1,4,4,4,4,4,1,4,4,4,4,4,4,2,4,4,4,4,2,2
"65",3,1,3,2,4,1,1,1,1,1,2,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"66",4,1,4,1,5,3,2,3,2,2,1,2,4,4,2,2,2,2,2,4,2,2,2,2,2,2,3,2,2,2,2,3,3
"67",3,2,3,1,4,2,2,2,2,2,1,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"68",3,2,3,2,6,1,4,1,4,5,2,5,3,3,5,5,5,4,5,3,4,4,4,5,4,5,1,5,4,4,5,1,1
"69",5,1,5,1,6,4,3,4,3,2,1,2,5,5,2,2,2,3,2,5,3,3,3,2,3,2,4,2,3,3,2,4,4
"70",1,3,1,2,4,3,3,3,3,3,2,3,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
"71",2,3,2,3,5,4,1,4,1,1,3,1,2,2,1,1,1,1,1,2,1,1,1,1,1,1,4,1,1,1,1,4,4
"72",1,5,1,5,6,2,3,2,3,4,5,4,1,1,4,4,4,3,4,1,3,3,3,4,3,4,2,4,3,3,4,2,2
"73",2,4,2,4,5,3,1,3,1,1,4,1,2,2,1,1,1,1,1,2,1,1,1,1,1,1,3,1,1,1,1,3,3
"74",2,1,2,3,4,1,1,1,1,1,3,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"75",4,1,4,1,5,2,3,2,3,3,1,3,4,4,3,3,3,3,3,4,3,3,3,3,3,3,2,3,3,3,3,2,2
"76",1,3,1,2,4,3,3,3,3,3,2,3,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
"77",3,4,3,4,5,2,1,2,1,1,4,1,3,3,1,1,1,1,1,3,1,1,1,1,1,1,2,1,1,1,1,2,2
"78",3,1,3,1,5,2,4,2,4,4,1,4,3,3,4,4,4,4,4,3,4,4,4,4,4,4,2,4,4,4,4,2,2
"79",3,2,3,1,4,2,2,2,2,2,1,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"80",1,2,1,3,4,2,2,2,2,2,3,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"81",1,2,1,2,6,3,4,3,4,5,2,5,1,1,5,5,5,4,5,1,4,4,4,5,4,5,3,5,4,4,5,3,3
"82",1,2,1,2,6,3,4,3,4,5,2,5,1,1,5,5,5,4,5,1,4,4,4,5,4,5,3,5,4,4,5,3,3
"83",4,5,4,5,6,3,1,3,1,2,5,2,4,4,2,2,2,1,2,4,1,1,1,2,1,2,3,2,1,1,2,3,3
"84",4,1,4,1,5,3,2,3,2,2,1,2,4,4,2,2,2,2,2,4,2,2,2,2,2,2,3,2,2,2,2,3,3
"85",2,3,2,3,6,1,4,1,4,5,3,5,2,2,5,5,5,4,5,2,4,4,4,5,4,5,1,5,4,4,5,1,1
"86",4,3,4,3,5,1,2,1,2,2,3,2,4,4,2,2,2,2,2,4,2,2,2,2,2,2,1,2,2,2,2,1,1
"87",2,1,2,1,6,5,3,5,3,4,1,4,2,2,4,4,4,3,4,2,3,3,3,4,3,4,5,4,3,3,4,5,5
"88",2,3,2,3,6,1,5,1,5,4,3,4,2,2,4,4,4,5,4,2,5,5,5,4,5,4,1,4,5,5,4,1,1
"89",2,1,2,3,4,1,1,1,1,1,3,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"90",3,2,3,1,4,2,2,2,2,2,1,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"91",4,5,4,5,6,3,2,3,2,1,5,1,4,4,1,1,1,2,1,4,2,2,2,1,2,1,3,1,2,2,1,3,3
"92",2,3,2,1,4,3,3,3,3,3,1,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
"93",2,4,2,4,6,5,1,5,1,3,4,3,2,2,3,3,3,1,3,2,1,1,1,3,1,3,5,3,1,1,3,5,5
"94",1,2,1,2,6,3,4,3,4,5,2,5,1,1,5,5,5,4,5,1,4,4,4,5,4,5,3,5,4,4,5,3,3
"95",3,2,3,2,5,1,4,1,4,4,2,4,3,3,4,4,4,4,4,3,4,4,4,4,4,4,1,4,4,4,4,1,1
"96",2,4,2,4,5,1,3,1,3,3,4,3,2,2,3,3,3,3,3,2,3,3,3,3,3,3,1,3,3,3,3,1,1
"97",1,3,2,3,4,2,2,2,2,2,3,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"98",2,1,2,1,6,3,4,3,4,5,1,5,2,2,5,5,5,4,5,2,4,4,4,5,4,5,3,5,4,4,5,3,3
"99",1,4,1,4,6,5,3,5,3,2,4,2,1,1,2,2,2,3,2,1,3,3,3,2,3,2,5,2,3,3,2,5,5
"100",5,1,5,1,6,2,4,2,4,3,1,3,5,5,3,3,3,4,3,5,4,4,4,3,4,3,2,3,4,4,3,2,2
