"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29"
"1",5,3,5,6,1,1,4,4,4,3,4,6,3,6,1,1,1,2,1,1,4,6,1,1,1,6,1,1,1
"2",1,3,1,6,2,2,5,5,5,3,5,6,3,6,2,2,2,4,2,2,5,6,2,2,2,6,2,2,2
"3",1,5,1,6,2,2,3,3,3,5,3,6,5,6,2,2,2,4,2,2,3,6,2,2,2,6,2,2,2
"4",1,5,1,6,3,3,2,2,2,5,2,6,5,6,3,3,3,4,3,3,2,6,3,3,3,6,3,3,3
"5",3,4,3,6,1,1,2,2,2,4,2,6,4,6,1,1,1,5,1,1,2,6,1,1,1,6,1,1,1
"6",3,4,3,6,5,5,1,1,1,4,1,6,4,6,5,5,5,2,5,5,1,6,5,5,5,6,5,5,5
"7",5,1,5,6,2,2,3,3,3,1,3,6,1,6,2,2,2,4,2,2,3,6,2,2,2,6,2,2,2
"8",1,4,1,6,2,2,3,3,3,4,3,6,4,6,2,2,2,5,2,2,3,6,2,2,2,6,2,2,2
"9",2,3,2,6,5,5,4,4,4,3,4,6,3,6,5,5,5,1,5,5,4,6,5,5,5,6,5,5,5
"10",4,3,4,6,2,2,5,5,5,3,5,6,3,6,2,2,2,1,2,2,5,6,2,2,2,6,2,2,2
"11",2,5,2,6,4,4,3,3,3,5,3,6,5,6,4,4,4,1,4,4,3,6,4,4,4,6,4,4,4
"12",2,1,2,6,4,4,3,3,3,1,3,6,1,6,4,4,4,5,4,4,3,6,4,4,4,6,4,4,4
"13",1,3,1,6,5,5,4,4,4,3,4,6,3,6,5,5,5,2,5,5,4,6,5,5,5,6,5,5,5
"14",3,2,3,6,5,5,4,4,4,2,4,6,2,6,5,5,5,1,5,5,4,6,5,5,5,6,5,5,5
"15",2,4,2,6,5,5,1,1,1,4,1,6,4,6,5,5,5,3,5,5,1,6,5,5,5,6,5,5,5
"16",2,1,2,6,5,5,3,3,3,1,3,6,1,6,5,5,5,4,5,5,3,6,5,5,5,6,5,5,5
"17",3,5,3,6,2,2,4,4,4,5,4,6,5,6,2,2,2,1,2,2,4,6,2,2,2,6,2,2,2
"18",2,5,2,6,4,4,3,3,3,5,3,6,5,6,4,4,4,1,4,4,3,6,4,4,4,6,4,4,4
"19",5,3,5,6,4,4,2,2,2,3,2,6,3,6,4,4,4,1,4,4,2,6,4,4,4,6,4,4,4
"20",2,1,2,6,4,4,5,5,5,1,5,6,1,6,4,4,4,3,4,4,5,6,4,4,4,6,4,4,4
"21",2,3,2,6,5,5,4,4,4,3,4,6,3,6,5,5,5,1,5,5,4,6,5,5,5,6,5,5,5
"22",3,5,3,6,2,2,1,1,1,5,1,6,5,6,2,2,2,4,2,2,1,6,2,2,2,6,2,2,2
"23",5,1,5,6,4,4,3,3,3,1,3,6,1,6,4,4,4,2,4,4,3,6,4,4,4,6,4,4,4
"24",5,1,5,6,3,3,4,4,4,1,4,6,1,6,3,3,3,2,3,3,4,6,3,3,3,6,3,3,3
"25",4,2,4,6,3,3,5,5,5,2,5,6,2,6,3,3,3,1,3,3,5,6,3,3,3,6,3,3,3
"26",4,3,4,6,5,5,2,2,2,3,2,6,3,6,5,5,5,1,5,5,2,6,5,5,5,6,5,5,5
"27",4,1,4,6,2,2,3,3,3,1,3,6,1,6,2,2,2,5,2,2,3,6,2,2,2,6,2,2,2
"28",4,1,4,6,2,2,3,3,3,1,3,6,1,6,2,2,2,5,2,2,3,6,2,2,2,6,2,2,2
"29",1,2,1,6,5,5,4,4,4,2,4,6,2,6,5,5,5,3,5,5,4,6,5,5,5,6,5,5,5
"30",1,4,1,6,3,3,5,5,5,4,5,6,4,6,3,3,3,2,3,3,5,6,3,3,3,6,3,3,3
