"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27"
"1",2,4,2,4,2,3,5,1,3,2,5,1,5,1,4,3,3,5,4,4,1,3,3,3,5,3,5
"2",3,2,3,2,3,4,1,5,4,3,1,5,1,5,2,4,4,1,2,2,5,4,4,4,1,4,1
"3",4,1,4,3,4,2,3,4,2,4,3,1,3,4,3,2,2,3,3,3,1,2,2,2,3,2,3
"4",2,1,2,1,2,4,3,5,4,2,3,5,3,5,1,4,4,3,1,1,5,4,4,4,3,4,3
"5",1,4,1,2,1,3,2,1,3,1,2,4,2,1,2,3,3,2,2,2,4,3,3,3,2,3,2
"6",4,3,1,3,1,4,4,2,4,1,4,2,4,2,3,4,4,4,3,3,2,4,4,4,4,4,4
"7",1,3,1,2,1,4,2,1,4,1,2,3,2,1,2,4,4,2,2,2,3,4,4,4,2,4,2
"8",4,2,4,2,4,1,3,5,1,4,3,5,3,5,2,1,1,3,2,2,5,1,1,1,3,1,3
"9",3,4,3,1,3,2,1,3,2,3,1,4,1,3,1,2,2,1,1,1,4,2,2,2,1,2,1
"10",5,2,5,2,5,3,1,4,3,5,1,4,1,4,2,3,3,1,2,2,4,3,3,3,1,3,1
"11",3,2,3,1,3,4,1,2,4,3,1,2,1,2,1,4,4,1,1,1,2,4,4,4,1,4,1
"12",4,1,4,1,4,3,2,5,3,4,2,5,2,5,1,3,3,2,1,1,5,3,3,3,2,3,2
"13",4,3,1,3,1,4,4,2,4,1,4,2,4,2,3,4,4,4,3,3,2,4,4,4,4,4,4
"14",4,1,4,3,4,2,3,4,2,4,3,1,3,4,3,2,2,3,3,3,1,2,2,2,3,2,3
"15",3,5,3,5,3,1,2,4,1,3,2,4,2,4,5,1,1,2,5,5,4,1,1,1,2,1,2
"16",1,3,1,4,1,2,4,1,2,1,4,3,4,1,4,2,2,4,4,4,3,2,2,2,4,2,4
"17",3,1,3,1,3,2,4,5,2,3,4,5,4,5,1,2,2,4,1,1,5,2,2,2,4,2,4
"18",2,1,2,1,2,3,4,5,3,2,4,5,4,5,1,3,3,4,1,1,5,3,3,3,4,3,4
"19",3,4,3,4,3,1,5,2,1,3,5,2,5,2,4,1,1,5,4,4,2,1,1,1,5,1,5
"20",2,3,2,4,2,1,4,2,1,2,4,3,4,2,4,1,1,4,4,4,3,1,1,1,4,1,4
"21",4,3,4,1,4,2,1,4,2,4,1,3,1,4,1,2,2,1,1,1,3,2,2,2,1,2,1
"22",4,1,4,2,4,3,2,1,3,4,2,1,2,1,2,3,3,2,2,2,1,3,3,3,2,3,2
"23",1,2,1,3,1,4,3,1,4,1,3,2,3,1,3,4,4,3,3,3,2,4,4,4,3,4,3
"24",1,2,3,2,3,1,1,4,1,3,1,4,1,4,2,1,1,1,2,2,4,1,1,1,1,1,1
"25",1,3,1,3,1,2,4,5,2,1,4,5,4,5,3,2,2,4,3,3,5,2,2,2,4,2,4
"26",1,5,1,5,1,3,4,2,3,1,4,2,4,2,5,3,3,4,5,5,2,3,3,3,4,3,4
"27",4,2,4,3,4,1,3,2,1,4,3,2,3,2,3,1,1,3,3,3,2,1,1,1,3,1,3
"28",2,1,2,3,2,4,3,2,4,2,3,1,3,2,3,4,4,3,3,3,1,4,4,4,3,4,3
"29",3,4,3,4,3,1,2,5,1,3,2,5,2,5,4,1,1,2,4,4,5,1,1,1,2,1,2
