"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24"
"1",3,2,3,1,1,3,1,1,4,5,1,5,1,5,1,5,1,1,1,4,5,1,1,5
"2",3,2,3,1,1,3,1,1,4,5,1,5,1,5,1,5,1,1,1,4,5,1,1,5
"3",2,1,2,4,4,2,4,4,3,5,4,5,4,5,4,5,4,4,4,3,5,4,4,5
"4",4,1,4,2,2,4,2,2,3,5,2,5,2,5,2,5,2,2,2,3,5,2,2,5
"5",3,2,3,1,1,3,1,1,4,5,1,5,1,5,1,5,1,1,1,4,5,1,1,5
"6",4,1,4,3,3,4,3,3,2,5,3,5,3,5,3,5,3,3,3,2,5,3,3,5
"7",2,4,2,3,3,2,3,3,1,5,3,5,3,5,3,5,3,3,3,1,5,3,3,5
"8",4,2,4,1,1,4,1,1,3,5,1,5,1,5,1,5,1,1,1,3,5,1,1,5
"9",3,1,3,4,4,3,4,4,2,5,4,5,4,5,4,5,4,4,4,2,5,4,4,5
"10",2,3,2,4,4,2,4,4,1,5,4,5,4,5,4,5,4,4,4,1,5,4,4,5
"11",2,4,2,1,1,2,1,1,3,5,1,5,1,5,1,5,1,1,1,3,5,1,1,5
"12",1,3,1,4,4,1,4,4,2,5,4,5,4,5,4,5,4,4,4,2,5,4,4,5
"13",3,1,3,4,4,3,4,4,2,5,4,5,4,5,4,5,4,4,4,2,5,4,4,5
"14",1,4,1,3,3,1,3,3,2,5,3,5,3,5,3,5,3,3,3,2,5,3,3,5
"15",3,2,3,1,1,3,1,1,4,5,1,5,1,5,1,5,1,1,1,4,5,1,1,5
"16",4,1,4,2,2,4,2,2,3,5,2,5,2,5,2,5,2,2,2,3,5,2,2,5
"17",4,3,4,2,2,4,2,2,1,5,2,5,2,5,2,5,2,2,2,1,5,2,2,5
"18",2,4,2,3,3,2,3,3,1,5,3,5,3,5,3,5,3,3,3,1,5,3,3,5
"19",3,2,3,1,1,3,1,1,4,5,1,5,1,5,1,5,1,1,1,4,5,1,1,5
"20",2,4,2,1,1,2,1,1,3,5,1,5,1,5,1,5,1,1,1,3,5,1,1,5
"21",2,4,2,3,3,2,3,3,1,5,3,5,3,5,3,5,3,3,3,1,5,3,3,5
"22",2,4,2,3,3,2,3,3,1,5,3,5,3,5,3,5,3,3,3,1,5,3,3,5
"23",2,4,2,1,1,2,1,1,3,5,1,5,1,5,1,5,1,1,1,3,5,1,1,5
"24",2,4,2,3,3,2,3,3,1,5,3,5,3,5,3,5,3,3,3,1,5,3,3,5
"25",1,4,1,3,3,1,3,3,2,5,3,5,3,5,3,5,3,3,3,2,5,3,3,5
"26",2,3,2,4,4,2,4,4,1,5,4,5,4,5,4,5,4,4,4,1,5,4,4,5
"27",1,4,1,3,3,1,3,3,2,5,3,5,3,5,3,5,3,3,3,2,5,3,3,5
"28",2,4,2,3,3,2,3,3,1,5,3,5,3,5,3,5,3,3,3,1,5,3,3,5
"29",3,2,3,1,1,3,1,1,4,5,1,5,1,5,1,5,1,1,1,4,5,1,1,5
"30",2,1,2,4,4,2,4,4,3,5,4,5,4,5,4,5,4,4,4,3,5,4,4,5
"31",1,4,1,3,3,1,3,3,2,5,3,5,3,5,3,5,3,3,3,2,5,3,3,5
"32",1,4,1,2,2,1,2,2,3,5,2,5,2,5,2,5,2,2,2,3,5,2,2,5
"33",3,4,3,1,1,3,1,1,2,5,1,5,1,5,1,5,1,1,1,2,5,1,1,5
"34",3,2,3,1,1,3,1,1,4,5,1,5,1,5,1,5,1,1,1,4,5,1,1,5
"35",1,4,1,3,3,1,3,3,2,5,3,5,3,5,3,5,3,3,3,2,5,3,3,5
"36",2,1,2,4,4,2,4,4,3,5,4,5,4,5,4,5,4,4,4,3,5,4,4,5
"37",1,3,1,4,4,1,4,4,2,5,4,5,4,5,4,5,4,4,4,2,5,4,4,5
"38",2,1,2,4,4,2,4,4,3,5,4,5,4,5,4,5,4,4,4,3,5,4,4,5
"39",3,2,3,1,1,3,1,1,4,5,1,5,1,5,1,5,1,1,1,4,5,1,1,5
"40",1,4,1,3,3,1,3,3,2,5,3,5,3,5,3,5,3,3,3,2,5,3,3,5
"41",2,3,2,4,4,2,4,4,1,5,4,5,4,5,4,5,4,4,4,1,5,4,4,5
"42",3,2,3,1,1,3,1,1,4,5,1,5,1,5,1,5,1,1,1,4,5,1,1,5
"43",2,4,2,1,1,2,1,1,3,5,1,5,1,5,1,5,1,1,1,3,5,1,1,5
"44",3,1,3,4,4,3,4,4,2,5,4,5,4,5,4,5,4,4,4,2,5,4,4,5
"45",2,1,2,4,4,2,4,4,3,5,4,5,4,5,4,5,4,4,4,3,5,4,4,5
"46",2,3,2,4,4,2,4,4,1,5,4,5,4,5,4,5,4,4,4,1,5,4,4,5
"47",4,3,4,1,1,4,1,1,2,5,1,5,1,5,1,5,1,1,1,2,5,1,1,5
"48",4,1,4,2,2,4,2,2,3,5,2,5,2,5,2,5,2,2,2,3,5,2,2,5
"49",3,1,3,2,2,3,2,2,4,5,2,5,2,5,2,5,2,2,2,4,5,2,2,5
"50",1,4,1,3,3,1,3,3,2,5,3,5,3,5,3,5,3,3,3,2,5,3,3,5
"51",2,3,2,4,4,2,4,4,1,5,4,5,4,5,4,5,4,4,4,1,5,4,4,5
"52",2,4,2,3,3,2,3,3,1,5,3,5,3,5,3,5,3,3,3,1,5,3,3,5
"53",1,4,1,3,3,1,3,3,2,5,3,5,3,5,3,5,3,3,3,2,5,3,3,5
"54",4,1,4,2,2,4,2,2,3,5,2,5,2,5,2,5,2,2,2,3,5,2,2,5
"55",2,1,2,4,4,2,4,4,3,5,4,5,4,5,4,5,4,4,4,3,5,4,4,5
"56",1,2,1,3,3,1,3,3,4,5,3,5,3,5,3,5,3,3,3,4,5,3,3,5
"57",3,1,3,4,4,3,4,4,2,5,4,5,4,5,4,5,4,4,4,2,5,4,4,5
"58",2,4,2,3,3,2,3,3,1,5,3,5,3,5,3,5,3,3,3,1,5,3,3,5
"59",3,1,3,4,4,3,4,4,2,5,4,5,4,5,4,5,4,4,4,2,5,4,4,5
"60",1,4,1,3,3,1,3,3,2,5,3,5,3,5,3,5,3,3,3,2,5,3,3,5
"61",2,3,2,4,4,2,4,4,1,5,4,5,4,5,4,5,4,4,4,1,5,4,4,5
"62",2,1,2,4,4,2,4,4,3,5,4,5,4,5,4,5,4,4,4,3,5,4,4,5
"63",2,4,2,3,3,2,3,3,1,5,3,5,3,5,3,5,3,3,3,1,5,3,3,5
"64",4,2,4,3,3,4,3,3,1,5,3,5,3,5,3,5,3,3,3,1,5,3,3,5
"65",4,1,4,2,2,4,2,2,3,5,2,5,2,5,2,5,2,2,2,3,5,2,2,5
"66",1,3,1,2,2,1,2,2,4,5,2,5,2,5,2,5,2,2,2,4,5,2,2,5
"67",1,4,1,3,3,1,3,3,2,5,3,5,3,5,3,5,3,3,3,2,5,3,3,5
"68",1,3,1,2,2,1,2,2,4,5,2,5,2,5,2,5,2,2,2,4,5,2,2,5
"69",2,4,2,3,3,2,3,3,1,5,3,5,3,5,3,5,3,3,3,1,5,3,3,5
"70",4,2,4,1,1,4,1,1,3,5,1,5,1,5,1,5,1,1,1,3,5,1,1,5
