"","V1","V2","V3","V4","V5","V6","V7","V8","V9"
"1",1,5,1,2,2,4,3,8,3
"2",6,3,6,1,1,2,4,2,4
"3",6,4,6,8,3,10,2,5,2
"4",3,2,3,5,5,6,7,8,7
"5",7,8,4,2,2,3,9,6,9
"6",2,5,2,6,6,4,1,4,1
"7",4,6,4,8,8,1,3,5,3
"8",5,7,5,4,4,6,1,2,1
"9",8,2,8,6,6,4,3,7,3
"10",5,3,5,7,7,1,6,2,6
"11",7,10,7,6,6,2,9,1,9
"12",6,4,6,1,3,8,2,7,2
"13",2,6,2,7,7,1,5,3,5
"14",2,9,2,7,7,6,4,10,4
"15",2,8,2,5,5,3,1,9,1
"16",3,5,3,2,2,4,6,1,6
"17",6,5,6,8,7,9,3,2,3
"18",7,1,7,3,3,5,4,6,4
"19",6,7,6,5,5,4,8,7,8
"20",2,7,2,3,6,1,8,5,8
"21",6,1,6,7,7,5,4,1,4
"22",2,6,2,5,5,1,7,4,7
"23",3,2,3,4,4,6,8,2,8
"24",1,7,1,9,9,3,8,4,8
"25",5,4,5,7,7,6,1,3,1
"26",3,4,3,5,5,2,1,4,1
"27",8,3,8,4,1,6,7,5,7
"28",5,1,5,4,4,2,7,7,7
"29",8,3,8,6,9,7,2,4,2
"30",2,4,2,3,3,5,1,5,1
"31",3,5,3,1,1,2,4,5,4
"32",5,8,5,2,2,6,3,7,3
"33",7,3,7,2,2,5,8,1,8
"34",2,3,2,6,6,4,5,1,5
"35",8,2,8,5,5,6,1,4,1
"36",4,3,4,5,5,7,6,2,6
"37",2,3,2,8,8,7,5,4,5
"38",3,5,3,7,6,4,8,1,8
"39",4,7,4,8,8,5,3,7,3
"40",3,4,3,1,1,6,2,6,2
"41",3,8,3,1,5,10,5,9,5
"42",4,3,4,2,2,1,5,3,5
"43",4,3,4,7,7,6,2,5,2
"44",7,4,7,8,2,1,2,8,2
"45",3,1,3,5,5,2,6,4,6
"46",7,4,7,5,2,3,1,5,1
"47",9,5,9,7,2,6,1,6,1
"48",7,8,7,2,2,4,3,6,3
"49",7,4,7,3,5,6,5,2,5
"50",3,7,3,2,2,1,6,5,6
"51",3,2,3,5,4,1,4,2,4
"52",5,3,5,6,6,2,1,4,1
"53",1,5,1,6,6,2,3,4,3
"54",1,6,1,2,2,7,5,4,5
"55",7,5,7,4,4,3,2,5,2
"56",8,9,8,4,4,2,6,3,6
"57",6,1,6,8,8,2,7,5,7
"58",3,1,3,2,2,4,6,4,6
"59",7,1,7,4,4,8,5,10,9
"60",2,9,2,1,1,7,5,9,5
"61",5,3,5,4,4,7,6,2,6
"62",7,1,3,9,9,6,2,8,2
"63",2,1,2,3,3,7,5,6,5
"64",3,2,3,7,6,1,6,4,6
"65",2,4,2,6,6,7,3,1,3
"66",3,2,3,6,6,1,5,4,5
"67",1,4,1,6,6,3,5,7,5
"68",7,2,7,3,1,4,5,3,5
"69",1,4,1,2,2,5,3,4,3
"70",8,2,8,1,1,5,4,6,4
"71",2,4,2,8,8,6,3,5,3
"72",1,5,1,6,4,3,4,5,4
"73",6,2,10,3,3,8,7,9,7
"74",7,2,7,1,1,3,5,2,5
"75",2,1,2,5,7,4,7,8,7
"76",8,4,8,1,7,6,2,4,2
"77",4,10,4,7,8,2,6,5,6
"78",6,5,6,4,4,3,2,7,2
"79",2,9,2,7,6,8,4,1,4
"80",9,2,9,8,8,7,3,7,3
"81",5,1,5,4,4,2,3,1,3
"82",5,4,5,1,1,6,2,3,2
"83",3,1,3,4,4,2,5,7,5
"84",5,4,5,8,8,6,7,4,7
"85",5,1,5,4,4,7,2,8,2
"86",9,6,9,5,2,8,4,7,4
"87",6,2,6,5,5,4,1,4,1
"88",7,5,7,8,8,2,6,3,6
"89",7,1,7,5,5,3,6,6,6
"90",2,1,2,6,6,3,7,7,7
"91",5,3,5,1,1,2,4,4,4
"92",9,6,9,2,2,4,8,9,8
"93",3,2,3,1,1,5,6,4,6
"94",5,10,5,2,1,9,1,4,1
"95",3,4,3,1,1,5,6,5,6
"96",2,3,2,1,1,5,6,7,6
"97",7,5,7,10,10,4,2,6,2
"98",6,1,6,5,5,3,7,2,7
"99",4,5,4,2,2,1,3,5,3
"100",5,1,5,3,3,4,2,4,2
