"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
"1",8,4,7,13,4,2,10,6,8,4,3,7
"2",1,5,5,3,1,6,2,6,1,10,7,7
"3",1,10,6,2,7,9,5,6,7,7,4,4
"4",6,5,4,1,6,2,7,5,6,4,8,8
"5",2,12,4,9,1,8,6,11,1,12,11,11
"6",1,3,4,7,3,10,2,6,1,5,2,2
"7",7,5,9,3,5,2,1,6,8,8,6,6
"8",4,1,5,7,1,2,3,7,4,1,2,2
"9",1,1,7,3,12,8,6,12,1,5,2,2
"10",1,3,3,6,3,8,2,7,1,7,8,8
"11",6,2,2,1,6,4,7,10,6,9,3,3
"12",10,7,3,5,7,9,2,8,10,9,11,11
"13",1,6,5,3,6,9,7,10,1,6,2,2
"14",8,4,4,5,3,1,2,6,3,9,9,9
"15",7,4,4,1,7,3,8,8,7,4,9,9
"16",6,1,1,5,6,4,3,2,6,1,2,2
"17",3,5,8,7,4,11,10,9,4,6,6,6
"18",3,4,9,1,4,8,2,4,3,4,6,6
"19",3,9,1,2,3,9,5,7,3,4,6,6
"20",1,8,3,4,8,2,6,5,1,7,9,9
"21",9,2,3,8,2,5,7,3,9,10,6,6
"22",5,5,8,6,5,7,10,6,5,8,3,3
"23",2,4,9,5,4,1,10,9,2,4,6,6
"24",2,1,1,3,2,5,6,3,2,2,5,5
"25",6,13,11,7,13,3,1,10,6,13,9,9
"26",10,10,5,11,10,9,1,8,2,2,3,3
"27",4,4,3,2,4,5,1,6,4,6,6,6
"28",9,5,5,11,9,8,3,2,9,6,8,8
"29",10,2,2,9,5,1,7,6,5,5,6,6
"30",3,5,9,7,5,1,10,3,8,5,2,2
"31",5,1,1,8,5,12,9,2,5,1,3,3
"32",3,2,6,12,2,2,8,8,3,2,11,11
"33",5,6,2,8,6,9,4,1,7,6,3,3
"34",4,4,5,1,4,10,8,10,4,11,10,10
"35",3,5,6,2,3,1,7,5,3,3,4,4
"36",5,10,9,7,10,1,6,3,5,10,4,4
"37",4,1,2,5,1,3,6,2,1,1,3,3
"38",3,10,8,11,10,6,5,1,3,3,7,7
"39",8,3,3,7,8,1,4,6,8,8,5,5
"40",11,9,9,6,11,3,10,7,11,7,3,3
"41",10,6,2,5,6,3,4,3,10,9,8,8
"42",6,7,5,4,7,1,3,5,6,7,8,8
"43",8,5,2,4,5,1,7,5,8,2,2,2
"44",2,9,7,6,9,8,5,3,2,4,3,3
"45",1,1,4,2,1,7,5,6,1,6,6,6
"46",7,5,8,1,5,6,3,2,7,5,6,6
"47",10,1,1,12,10,8,7,3,10,10,8,8
"48",1,2,2,6,3,4,5,4,1,3,5,5
"49",6,3,3,7,6,9,2,3,6,3,1,1
"50",10,5,9,4,5,2,6,3,10,8,7,7
"51",6,5,5,1,6,4,3,3,6,7,4,4
"52",6,6,10,4,6,7,3,9,6,1,8,8
"53",5,10,8,7,10,6,3,3,5,10,1,1
"54",3,3,9,10,5,1,8,12,5,5,4,4
"55",2,4,7,6,4,10,12,7,2,1,3,3
"56",4,2,3,9,2,5,7,8,4,6,6,6
"57",5,7,7,1,5,4,6,1,5,7,3,3
"58",4,1,1,7,9,5,11,9,9,8,8,8
"59",2,3,3,9,2,7,6,2,2,10,10,10
"60",3,4,5,6,4,2,1,2,3,4,1,1
"61",9,9,4,10,9,2,1,6,9,3,7,7
"62",7,7,9,5,3,6,1,1,7,3,8,8
"63",4,6,6,3,4,7,2,5,4,6,9,9
"64",7,3,8,1,3,6,5,10,10,10,9,9
"65",5,6,6,2,5,7,1,9,5,6,7,7
"66",6,1,3,2,6,4,7,8,6,3,9,9
"67",3,8,9,6,8,4,5,2,3,3,4,4
"68",1,1,8,5,1,2,6,4,10,10,7,7
"69",10,5,9,1,5,6,2,5,3,5,8,8
"70",12,1,1,6,12,9,10,8,12,1,9,9
"71",8,1,1,10,8,7,3,3,8,1,6,6
"72",1,11,2,5,10,4,3,4,10,11,8,8
"73",5,2,2,3,5,6,4,9,5,8,11,11
"74",2,2,1,4,2,6,5,6,2,3,7,7
"75",4,11,11,7,4,9,8,10,6,6,5,5
"76",9,1,1,2,9,3,6,4,9,10,8,8
"77",9,7,12,3,7,6,5,3,9,2,4,4
"78",12,1,1,11,12,8,3,8,12,3,2,2
"79",5,7,7,2,5,6,4,8,5,3,3,3
"80",6,5,5,2,6,3,7,3,6,5,4,4
"81",1,5,2,3,5,6,4,1,1,5,6,6
"82",3,6,7,5,6,4,8,2,3,3,1,1
"83",1,4,4,3,1,8,7,4,1,1,5,5
"84",2,2,1,10,2,4,3,12,9,11,7,7
"85",2,8,7,3,8,1,6,1,2,8,1,1
"86",5,2,2,6,5,1,4,1,5,5,1,1
"87",4,5,5,2,4,7,1,6,4,5,3,3
"88",3,7,7,5,3,2,8,10,3,8,1,1
"89",8,11,4,10,11,12,1,1,3,3,7,7
"90",5,5,6,10,5,3,1,3,5,2,3,3
"91",12,1,5,11,1,3,9,7,12,10,9,9
"92",5,2,2,4,5,6,1,4,5,5,6,6
"93",5,5,3,1,5,6,4,3,5,5,6,6
"94",10,10,1,7,10,2,9,2,10,8,6,6
"95",9,8,10,6,5,2,7,10,5,1,4,4
"96",8,6,6,4,5,9,2,11,5,7,3,3
"97",2,2,10,5,2,12,8,6,2,3,7,7
"98",6,2,2,8,6,1,10,11,6,2,1,1
"99",5,8,7,9,8,3,2,1,5,8,4,4
"100",9,8,8,6,9,3,1,1,9,1,3,3
