"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13"
"1",4,2,3,4,4,6,6,6,6,6,2,2,6
"2",2,1,4,2,2,3,3,3,3,3,1,1,3
"3",3,4,1,3,3,2,2,2,2,2,4,4,2
"4",3,1,4,3,3,5,5,5,5,5,1,1,5
"5",5,3,5,5,5,1,1,1,1,1,3,3,1
"6",2,5,1,2,2,3,3,3,3,3,5,5,3
"7",5,2,3,5,5,1,1,1,1,1,2,2,1
"8",1,3,5,1,1,4,4,4,4,4,3,3,4
"9",1,2,3,1,1,4,4,4,4,4,2,2,4
"10",4,1,5,4,4,3,3,3,3,3,1,1,3
"11",4,6,4,4,4,3,3,3,3,3,6,6,3
"12",2,3,2,2,2,5,5,5,5,5,3,3,5
"13",1,3,2,1,1,4,4,4,4,4,3,3,4
"14",4,2,5,4,4,3,3,3,3,3,2,2,3
"15",5,2,3,5,5,1,1,1,1,1,2,2,1
"16",3,1,4,3,3,5,5,5,5,5,1,1,5
"17",3,4,1,3,3,2,2,2,2,2,4,4,2
"18",2,1,4,2,2,5,5,5,5,5,1,1,5
"19",6,1,6,6,6,3,3,3,3,3,1,1,3
"20",2,1,3,2,2,5,5,5,5,5,1,1,5
"21",3,1,5,3,3,2,2,2,2,2,1,1,2
"22",4,5,2,4,4,1,1,1,1,1,5,5,1
"23",3,5,6,3,3,2,2,2,2,2,5,5,2
"24",3,1,5,3,3,2,2,2,2,2,1,1,2
"25",5,2,5,5,5,1,1,1,1,1,2,2,1
"26",2,4,2,2,2,1,1,1,1,1,4,4,1
"27",3,2,5,3,3,1,1,1,1,1,2,2,1
"28",5,4,1,5,5,3,3,3,3,3,4,4,3
"29",6,3,6,6,6,5,5,5,5,5,3,3,5
"30",1,4,2,1,1,5,5,5,5,5,4,4,5
"31",5,2,4,5,5,1,1,1,1,1,2,2,1
"32",4,2,4,4,4,1,1,1,1,1,2,2,1
"33",4,1,3,4,4,5,5,5,5,5,1,1,5
"34",4,5,2,4,4,1,1,1,1,1,5,5,1
"35",4,3,1,4,4,5,5,5,5,5,3,3,5
"36",1,4,1,1,1,5,5,5,5,5,4,4,5
"37",2,5,2,2,2,3,3,3,3,3,5,5,3
"38",4,1,4,4,4,5,5,5,5,5,1,1,5
"39",3,4,3,3,3,5,5,5,5,5,4,4,5
"40",5,2,3,5,5,4,4,4,4,4,2,2,4
"41",5,2,5,5,5,3,3,3,3,3,2,2,3
"42",2,3,5,2,2,4,4,4,4,4,3,3,4
"43",4,1,5,4,4,2,2,2,2,2,1,1,2
"44",1,4,3,1,1,2,2,2,2,2,4,4,2
"45",5,1,3,5,5,2,2,2,2,2,1,1,2
"46",1,5,2,1,1,3,3,3,3,3,5,5,3
"47",1,3,1,1,1,5,5,5,5,5,3,3,5
"48",3,1,2,3,3,5,5,5,5,5,1,1,5
"49",1,6,5,1,1,2,2,2,2,2,6,6,2
"50",2,4,1,2,2,3,3,3,3,3,4,4,3
"51",5,2,6,5,5,1,1,1,1,1,2,2,1
"52",4,3,2,4,4,1,1,1,1,1,3,3,1
"53",6,5,6,6,6,5,3,3,3,3,5,3,3
