"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41"
"1",3,7,2,7,6,4,3,3,5,2,3,1,1,6,2,5,4,4,5,3,5,4,4,5,4,5,7,7,1,2,6,6,1,1,1,6,7,2,5,3,4
"2",7,1,5,5,5,5,6,4,3,4,2,6,2,1,3,1,3,5,6,2,5,1,1,6,3,1,5,4,7,1,2,5,7,6,4,3,6,4,6,6,1
"3",13,8,8,1,10,4,5,13,5,12,13,9,4,2,4,2,4,4,5,8,10,2,2,5,5,2,1,13,6,3,13,10,9,13,12,2,1,12,5,1,2
"4",4,13,5,13,12,12,7,4,5,4,11,9,3,10,4,2,13,13,7,8,8,10,10,7,13,10,13,4,1,4,7,8,2,9,4,10,13,4,7,10,10
"5",7,6,6,6,8,2,10,7,9,7,7,1,1,8,12,6,9,12,7,7,8,10,10,7,12,10,6,6,3,3,4,8,3,1,3,9,4,7,4,2,2
"6",9,1,9,6,3,6,1,9,2,1,9,3,4,7,8,4,6,1,1,5,5,4,4,1,1,4,6,9,8,4,7,5,2,2,8,2,6,9,1,4,4
"7",4,4,4,7,2,2,3,5,3,5,7,2,1,1,5,1,4,4,3,7,7,1,1,3,4,1,4,5,6,5,7,7,6,3,6,1,4,5,3,4,1
"8",2,6,1,7,1,3,1,7,1,2,6,4,1,2,1,7,3,7,7,1,4,2,2,7,1,3,7,7,5,2,4,4,4,7,2,1,7,7,7,7,3
"9",11,6,17,1,22,22,18,18,16,19,6,15,7,19,19,20,22,20,16,18,5,19,19,16,19,10,1,20,14,19,23,5,15,6,19,19,16,18,16,11,22
"10",4,3,4,3,7,7,7,4,7,9,9,2,1,5,8,3,7,3,7,1,1,9,9,7,3,9,3,4,8,9,7,1,8,2,8,6,3,4,7,5,9
"11",21,16,11,15,2,2,3,18,18,8,3,22,2,8,9,1,2,9,1,3,15,8,8,1,9,4,15,9,17,8,22,2,5,18,8,8,9,18,1,5,2
"12",3,9,5,7,2,1,10,6,10,4,11,5,5,10,4,12,1,7,12,6,2,1,1,12,4,1,7,7,3,4,8,2,5,6,6,10,7,6,12,11,1
"13",15,4,3,7,20,20,3,19,6,9,16,12,18,6,9,13,10,13,13,3,18,9,9,13,9,11,7,19,1,9,13,18,12,13,9,6,13,3,13,13,3
"14",10,14,17,17,6,6,15,10,8,11,3,7,16,11,11,15,12,15,15,10,2,11,8,15,11,19,17,17,13,11,9,2,7,3,10,8,15,8,15,6,6
"15",1,1,8,3,12,12,9,9,4,9,9,4,8,13,10,11,12,12,9,8,12,11,11,9,11,11,3,3,10,11,8,12,4,9,10,11,3,9,9,5,11
"16",1,6,5,6,3,4,5,1,5,2,1,5,6,1,2,6,4,2,5,2,3,4,4,5,6,4,6,1,2,4,1,3,3,5,2,4,6,1,5,1,4
