"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25"
"1",7,14,8,7,9,7,8,6,7,7,8,1,9,6,7,1,7,7,8,7,14,7,1,9,1
"2",5,13,7,13,4,13,7,12,5,5,7,8,10,5,5,7,5,5,7,13,12,5,8,4,8
"3",1,4,3,1,4,1,3,5,1,1,3,2,3,1,1,3,1,1,3,1,5,1,2,4,2
"4",6,6,1,6,3,6,1,5,6,6,1,2,3,2,6,5,6,6,1,6,5,6,2,3,4
"5",1,1,5,1,3,1,5,3,1,1,5,2,3,1,1,4,1,1,5,1,4,1,3,3,2
"6",7,9,3,7,2,7,3,8,7,7,3,10,3,8,7,3,7,7,3,8,9,7,10,2,10
"7",5,5,3,5,3,5,3,2,5,5,3,7,1,9,5,2,5,5,3,5,1,5,2,1,7
"8",1,1,4,1,3,1,4,2,1,1,4,5,3,5,1,4,1,1,4,1,2,5,5,2,2
"9",1,4,3,1,5,1,3,3,1,1,3,2,5,1,1,3,1,1,3,1,4,1,2,5,2
"10",5,5,2,5,1,5,2,4,5,5,2,3,1,3,5,2,5,5,2,5,4,5,3,1,3
"11",3,3,4,3,6,3,4,5,3,3,4,1,4,2,3,2,3,3,4,3,5,3,2,6,1
"12",4,1,3,6,1,4,3,1,6,6,3,2,3,4,6,3,6,6,6,6,1,6,2,1,2
"13",8,11,2,8,11,8,2,3,8,8,2,1,9,8,8,2,8,8,2,8,11,8,1,11,5
"14",4,3,5,4,3,4,5,1,4,4,5,2,2,4,4,1,4,4,5,4,1,4,2,3,2
"15",5,6,2,5,6,5,2,3,5,5,2,1,4,5,5,3,5,5,2,1,4,5,1,6,1
"16",5,2,1,5,2,5,1,8,5,5,1,7,7,6,5,1,5,5,1,5,2,5,7,2,3
"17",7,9,5,7,9,7,5,3,7,7,5,2,1,7,7,4,7,7,5,7,11,7,2,2,10
"18",6,4,3,6,4,6,3,2,6,6,1,5,1,6,6,3,6,6,1,6,2,6,5,4,5
"19",4,4,1,4,5,4,1,6,4,4,1,2,5,3,4,3,4,4,1,4,6,4,3,6,2
"20",5,6,7,5,6,5,7,2,5,5,7,1,2,5,5,3,5,5,7,1,6,5,1,6,4
"21",1,5,2,1,3,1,2,5,1,1,2,4,2,1,1,5,1,1,2,1,5,1,4,3,4
"22",4,4,2,4,4,4,2,1,4,4,2,5,5,3,4,3,5,4,2,4,1,5,3,5,3
"23",7,1,10,7,1,7,10,11,7,7,10,4,6,2,7,11,7,7,10,7,11,7,4,1,3
"24",6,6,3,6,6,6,3,1,6,6,3,2,3,2,6,3,4,6,3,4,4,4,2,4,2
"25",5,3,1,5,1,5,1,2,5,5,1,6,4,5,5,1,5,5,1,5,2,5,6,6,3
"26",1,4,2,4,3,4,2,3,4,4,2,5,5,1,4,1,4,4,2,4,3,1,5,3,5
"27",5,3,6,2,3,2,6,7,2,2,6,8,9,5,2,4,2,2,6,2,1,5,7,3,1
"28",2,1,5,2,1,2,3,5,2,2,3,4,3,2,2,5,2,2,3,4,1,2,4,1,4
"29",2,3,1,2,3,2,1,5,2,2,1,4,3,4,2,1,2,2,1,2,5,2,4,3,4
"30",5,1,2,5,1,5,2,1,5,5,2,3,1,5,5,3,5,5,2,5,1,5,3,1,4
"31",5,4,3,5,3,5,3,4,5,5,3,1,2,5,5,3,1,5,3,4,4,5,2,1,1
