"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
"1",6,1,2,1,6,2,8,3,8,6,7
"2",3,10,5,12,3,5,7,1,7,3,4
"3",7,6,2,6,7,2,5,1,5,7,3
"4",2,4,1,4,2,1,3,4,3,2,5
"5",2,4,6,4,2,7,3,5,3,2,7
"6",6,3,2,3,6,2,7,4,7,6,5
"7",5,2,7,2,5,4,1,3,1,5,8
"8",1,3,2,3,1,2,5,4,5,1,4
"9",5,3,1,3,5,2,9,9,9,5,10
"10",2,5,3,5,2,3,6,1,6,2,4
"11",6,7,2,10,6,2,5,11,5,6,9
"12",8,6,3,2,8,3,7,1,7,8,4
"13",2,1,3,1,2,3,5,1,5,2,4
"14",1,6,8,3,1,8,2,5,2,1,4
"15",5,6,3,6,5,3,4,2,4,5,1
"16",3,5,6,5,3,6,1,4,1,3,7
"17",3,6,2,6,2,2,9,10,9,2,5
"18",3,2,1,6,3,1,8,4,8,3,5
"19",3,5,4,5,3,4,7,4,7,3,1
"20",6,5,1,4,6,1,2,5,2,6,3
"21",3,2,4,2,3,4,1,5,1,3,5
"22",4,6,2,6,4,2,1,6,1,4,3
"23",5,11,3,11,5,3,7,4,7,5,6
"24",4,2,5,2,4,5,3,6,3,4,1
"25",5,7,3,7,5,6,1,4,1,5,2
"26",2,1,6,1,2,6,4,5,4,2,3
"27",5,6,8,6,5,3,2,4,2,5,11
"28",4,7,6,7,6,6,2,5,2,6,1
"29",4,1,2,1,4,2,6,3,6,4,5
"30",4,7,2,7,2,2,3,5,3,2,6
"31",2,4,7,4,2,7,1,3,1,2,8
"32",2,5,4,5,2,4,1,3,1,2,4
"33",6,9,1,9,1,1,2,7,2,1,8
"34",5,7,9,7,5,9,6,4,6,5,2
"35",5,7,1,7,5,1,4,3,4,5,6
"36",6,1,2,11,6,2,3,8,3,6,10
"37",3,8,9,2,3,9,1,4,1,3,7
"38",3,4,5,4,3,5,1,1,1,3,2
"39",6,2,9,2,6,9,4,1,4,6,3
"40",1,11,5,11,1,6,9,2,9,1,10
"41",6,5,4,9,6,4,2,8,2,6,7
"42",10,5,8,5,10,8,11,6,11,10,3
"43",1,6,4,6,1,4,7,6,7,1,3
"44",9,6,3,6,9,5,4,1,4,9,2
"45",1,2,4,2,1,4,5,3,5,1,6
"46",8,2,10,2,8,10,6,11,6,8,7
"47",8,9,7,9,8,7,4,1,4,8,2
"48",8,4,6,4,8,6,7,6,7,8,3
"49",11,8,10,8,11,10,5,8,5,11,4
"50",7,4,8,4,7,8,1,4,1,7,5
"51",3,1,6,1,3,4,5,7,5,3,4
"52",4,7,3,7,4,3,5,1,5,3,2
"53",4,9,7,9,4,7,2,6,2,4,3
"54",8,7,2,7,2,2,1,6,1,2,5
"55",2,6,7,6,2,7,8,9,8,2,5
"56",1,4,6,4,1,6,3,7,3,1,8
"57",9,2,3,2,9,3,8,1,8,9,5
"58",6,4,1,4,6,1,5,3,5,6,2
"59",3,4,7,1,3,7,6,2,6,3,8
"60",7,8,3,8,7,3,1,6,1,7,4
"61",9,5,3,5,9,3,7,1,7,9,4
"62",4,6,2,6,4,2,5,1,5,4,7
"63",6,3,2,3,6,2,7,1,7,6,1
"64",5,9,10,9,5,10,6,8,6,5,11
"65",6,7,3,7,3,3,4,1,4,3,5
"66",6,2,5,2,6,5,7,4,7,6,1
"67",2,3,5,3,2,5,4,5,4,2,1
"68",6,5,4,5,6,4,2,5,2,6,3
"69",6,11,7,11,7,7,2,9,2,7,8
"70",4,1,5,1,4,5,6,2,6,4,3
"71",1,7,4,7,1,4,3,1,3,1,5
"72",5,10,6,10,5,6,1,1,1,5,7
"73",2,6,7,6,2,7,4,4,4,2,5
"74",4,1,3,1,4,3,7,8,7,8,9
"75",1,4,2,4,1,2,6,3,6,1,5
"76",3,6,7,6,3,7,2,1,2,3,8
"77",2,5,3,5,2,3,1,1,1,2,4
"78",6,5,4,5,6,4,7,3,7,6,2
"79",5,9,2,9,2,2,3,7,3,2,6
"80",7,5,2,5,7,2,4,7,4,7,3
"81",2,1,5,1,2,5,4,3,4,2,5
"82",5,1,4,1,5,7,8,3,8,5,7
"83",6,1,5,1,6,5,3,2,3,6,4
"84",5,2,3,2,5,3,4,1,4,5,6
"85",1,3,2,3,1,2,5,4,5,1,5
"86",3,4,2,4,3,2,7,8,7,3,1
"87",3,1,4,1,3,4,2,6,2,3,5
"88",2,1,3,1,2,3,5,5,5,2,4
"89",6,2,5,2,6,5,4,3,4,6,1
"90",6,4,2,4,6,1,3,5,3,6,7
"91",4,3,2,3,4,2,1,8,1,4,9
"92",6,5,2,5,6,2,4,3,4,6,1
"93",8,7,4,7,8,4,5,1,5,8,3
"94",3,6,2,6,3,2,8,3,8,3,1
"95",1,3,4,3,1,4,5,5,5,1,2
"96",7,8,5,8,7,4,9,6,9,7,2
"97",7,1,6,1,6,6,2,5,2,6,3
"98",8,7,5,7,8,5,2,4,2,1,3
"99",11,3,10,3,11,10,4,7,4,11,5
"100",8,6,3,6,8,3,2,7,2,8,5
