"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13"
"1",3,3,2,6,7,6,7,5,3,2,2,2,2
"2",2,4,5,4,2,3,3,1,2,5,5,5,5
"3",1,1,3,1,6,2,6,5,1,3,3,3,3
"4",5,4,8,4,2,3,2,1,5,8,8,8,8
"5",6,8,7,2,6,2,4,5,6,7,7,7,7
"6",2,7,6,1,4,4,4,3,2,6,6,6,6
"7",8,11,1,11,9,5,9,4,8,1,1,1,1
"8",1,5,6,8,4,3,4,2,1,6,6,6,6
"9",3,6,8,4,3,6,9,2,3,8,8,8,8
"10",4,9,3,2,11,8,11,5,4,3,3,3,3
"11",4,3,9,6,11,6,11,5,4,5,9,9,5
"12",3,7,5,7,4,2,4,6,3,5,5,5,5
"13",2,1,4,5,2,3,3,1,2,4,4,4,4
"14",3,1,5,1,2,4,2,5,3,5,4,4,4
"15",8,1,5,4,11,4,11,9,8,5,5,5,5
"16",3,6,2,1,5,1,5,4,3,2,2,2,2
"17",3,2,6,3,4,2,4,5,3,5,6,6,5
"18",2,3,6,4,2,3,4,5,2,6,6,6,6
"19",8,10,2,8,4,6,4,3,8,2,2,2,7
"20",1,6,2,4,4,6,7,5,1,2,2,2,2
"21",3,5,4,2,3,5,2,1,3,4,4,4,4
"22",6,1,5,6,4,3,4,2,6,2,5,5,3
"23",7,3,5,3,4,4,4,8,7,5,5,5,5
"24",5,3,6,2,7,7,1,4,5,6,6,6,6
"25",5,1,4,1,2,3,2,6,5,6,4,4,3
"26",1,4,6,7,1,4,7,3,1,6,6,6,6
"27",4,2,1,3,5,3,5,2,4,1,1,1,1
"28",9,3,8,3,6,2,6,7,9,8,8,8,8
"29",7,5,3,5,2,4,2,1,7,3,3,3,3
"30",2,3,4,1,1,3,1,5,2,4,4,4,4
"31",1,6,4,1,2,3,2,5,1,4,4,4,4
"32",2,3,4,9,8,3,8,6,2,4,4,4,4
"33",8,7,10,7,4,9,3,6,8,10,10,10,10
"34",7,11,4,7,7,2,11,9,7,4,4,4,4
"35",5,2,4,1,5,3,3,2,5,4,4,4,4
"36",6,2,4,1,5,3,5,2,6,4,4,4,4
"37",5,5,2,5,1,1,1,4,5,2,2,2,2
"38",1,6,8,6,9,4,9,10,1,7,8,8,7
"39",8,8,4,7,7,3,6,2,8,4,4,4,4
"40",1,4,7,4,2,6,2,5,1,7,7,7,7
"41",2,1,4,2,2,1,3,3,2,4,4,4,4
"42",6,2,1,4,6,2,4,3,6,1,1,1,1
"43",4,2,1,7,5,6,5,3,4,1,1,1,1
"44",2,1,6,1,2,5,3,3,2,6,6,6,6
"45",4,5,10,11,13,12,13,1,4,10,10,10,10
"46",5,1,4,6,6,3,1,2,5,4,4,4,4
"47",3,6,1,7,2,8,5,4,3,1,1,1,1
"48",7,3,6,4,5,1,5,3,7,6,6,6,6
"49",4,1,6,4,3,1,3,5,4,5,6,6,5
"50",1,3,5,4,1,4,3,6,1,5,5,5,5
"51",3,2,7,2,1,5,1,4,3,4,7,7,5
"52",4,1,2,1,6,3,6,5,4,2,2,2,7
"53",6,8,1,7,6,9,7,3,6,1,1,1,1
"54",5,4,3,4,5,1,1,2,5,3,3,3,3
"55",8,2,7,2,1,1,3,5,8,7,7,7,7
