"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14"
"1",1,5,3,5,6,5,3,4,6,5,5,5,6,3
"2",4,1,5,1,3,1,5,1,3,1,1,1,3,5
"3",2,5,4,5,1,5,4,5,1,5,5,5,1,4
"4",2,4,1,4,6,4,1,4,6,4,4,4,6,1
"5",4,2,3,2,5,2,3,2,5,2,2,2,5,3
"6",5,6,4,6,2,6,4,6,2,6,6,6,2,4
"7",1,5,2,5,4,5,2,5,4,5,5,5,4,2
"8",1,5,2,5,4,5,2,5,4,5,5,5,4,2
"9",4,5,1,5,6,5,1,5,6,5,5,5,6,1
"10",3,5,4,5,1,5,4,2,1,5,5,5,1,4
"11",1,4,3,4,5,4,3,4,5,4,4,4,5,3
"12",2,1,5,1,3,1,5,1,3,1,1,1,3,5
"13",2,6,1,6,3,6,1,6,3,6,6,6,3,1
"14",3,5,2,5,1,5,2,5,1,5,5,5,1,2
"15",4,1,2,1,3,1,2,1,3,1,1,1,3,2
"16",4,6,2,6,3,6,2,6,3,6,6,6,3,3
"17",4,2,5,2,3,2,5,2,3,2,2,2,3,5
"18",5,4,2,4,3,4,2,1,3,4,4,4,3,2
"19",3,4,2,4,5,4,2,4,5,4,4,4,5,5
"20",3,1,4,1,5,1,4,1,5,1,1,1,5,4
"21",3,4,2,4,5,4,2,4,5,4,4,4,5,2
"22",2,1,4,1,5,1,4,1,5,1,1,1,5,4
"23",4,5,2,5,3,5,2,5,3,5,5,5,3,3
"24",4,7,2,7,1,7,2,7,1,7,7,7,1,2
"25",5,2,4,2,3,2,4,2,3,2,2,2,3,3
"26",2,1,5,1,3,1,5,1,3,1,1,1,3,5
"27",4,3,1,3,2,3,1,3,2,3,3,3,2,1
"28",2,3,1,3,4,3,1,2,4,3,3,3,4,1
"29",5,1,4,1,3,1,4,1,3,1,1,1,3,4
"30",1,4,2,4,3,4,2,4,3,4,4,4,3,2
"31",5,2,4,2,1,2,4,2,1,2,2,2,1,4
"32",4,3,1,3,2,3,1,3,2,3,3,3,2,2
"33",5,3,2,3,1,3,2,3,1,3,3,3,1,2
"34",1,5,3,5,4,5,3,5,4,5,5,5,4,3
"35",1,2,4,2,3,2,4,2,3,2,2,2,3,3
"36",6,1,7,1,5,1,7,1,5,1,1,1,5,7
"37",5,1,2,1,4,1,2,1,4,1,1,1,4,4
"38",2,3,5,3,4,3,5,3,4,3,3,3,4,5
"39",1,5,2,5,4,5,2,5,4,5,5,5,4,2
"40",5,1,3,1,2,1,3,1,2,1,1,1,2,3
"41",2,5,4,5,3,5,4,5,3,5,5,5,3,4
"42",2,1,5,1,4,1,5,1,4,1,1,1,4,5
"43",4,5,1,5,3,5,1,5,3,5,5,5,3,1
"44",2,6,5,6,1,6,5,6,1,6,6,6,1,1
"45",1,5,2,5,3,5,2,5,3,5,5,5,3,2
"46",3,1,4,1,2,1,4,1,2,1,1,1,2,4
"47",3,4,6,4,5,4,6,4,5,4,4,4,5,6
"48",3,6,2,6,1,6,2,4,1,6,6,6,1,2
"49",5,3,1,3,2,3,1,3,2,3,3,3,2,1
"50",5,4,1,4,2,4,1,4,2,4,4,4,2,1
"51",4,5,2,5,6,5,2,5,6,5,5,5,6,2
"52",5,4,2,4,3,4,2,4,3,4,4,4,3,3
"53",2,3,5,3,4,3,5,3,4,3,3,3,4,5
"54",2,5,4,5,3,5,4,5,3,5,5,5,3,4
"55",1,4,5,4,3,4,5,4,3,4,4,4,3,5
"56",4,2,5,2,6,2,5,2,6,2,2,2,6,5
"57",1,4,5,4,2,4,5,4,2,4,4,4,2,2
"58",4,1,3,1,2,1,3,4,2,1,1,1,2,3
"59",4,1,3,1,5,1,3,1,5,1,1,1,5,3
"60",2,4,1,4,3,4,1,4,3,4,4,4,3,3
"61",3,5,2,5,4,5,2,5,4,5,5,5,4,2
"62",7,1,5,1,2,1,5,1,2,1,1,1,2,2
"63",5,1,4,1,2,1,4,1,2,1,1,1,2,4
"64",4,5,3,5,2,5,3,5,2,5,5,5,2,3
"65",1,4,5,4,3,4,5,4,3,4,4,4,3,5
"66",2,1,3,1,4,1,3,1,4,1,1,1,4,3
"67",4,2,3,2,6,2,3,2,6,2,2,2,6,3
"68",4,3,5,3,1,3,5,3,1,3,3,3,1,5
"69",5,1,2,1,3,1,2,1,3,1,1,1,3,2
"70",5,4,2,4,1,4,2,4,1,4,4,4,1,2
"71",2,5,3,5,6,5,3,5,6,5,5,5,6,3
"72",3,1,5,1,2,1,5,1,2,1,1,1,2,5
"73",5,3,2,3,6,3,2,3,6,3,3,3,6,2
"74",5,3,2,3,1,3,2,3,1,3,3,3,1,2
"75",2,5,3,5,4,5,3,1,4,5,5,5,4,3
"76",5,2,3,2,4,2,3,1,4,2,2,2,4,3
"77",7,3,1,3,2,3,1,3,2,3,3,3,2,1
"78",1,2,4,2,5,2,4,2,5,2,2,2,5,4
"79",4,5,2,5,1,5,2,5,1,5,5,5,1,2
"80",5,3,1,3,6,3,1,3,6,3,3,3,6,1
"81",2,1,3,1,4,1,3,1,4,1,1,1,4,3
"82",2,1,3,1,5,1,3,1,5,1,1,1,5,3
"83",2,4,5,4,1,4,5,4,1,4,4,4,1,5
"84",4,1,2,1,3,1,2,1,3,1,1,1,3,2
"85",4,3,2,3,5,3,2,3,5,3,3,3,5,5
"86",2,5,1,5,6,5,1,5,6,5,5,5,6,1
"87",1,8,4,8,5,8,4,8,5,8,8,8,5,4
"88",4,3,1,3,2,3,1,3,2,3,3,3,2,1
"89",5,2,1,2,4,2,1,2,4,2,2,2,4,1
"90",6,4,2,4,3,4,2,4,3,4,4,4,3,3
"91",3,1,8,1,7,1,8,1,7,1,1,1,7,8
"92",1,2,5,2,3,2,5,2,3,2,2,2,3,5
"93",1,3,5,3,2,3,5,3,2,3,3,3,2,2
"94",1,4,3,4,2,4,3,4,2,4,4,4,2,3
"95",5,2,4,2,1,2,4,5,1,2,2,2,1,4
"96",5,3,4,3,1,3,4,3,1,3,3,3,1,4
"97",2,1,5,1,3,1,5,1,3,1,1,1,3,5
"98",4,1,2,1,3,1,2,1,3,1,1,1,3,2
"99",3,4,5,4,6,4,5,4,6,4,4,4,6,5
"100",5,4,2,4,3,4,2,4,3,4,4,4,3,3
