"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"1",1,4,2,3,4,3,2,1,1,2
"2",4,3,2,1,3,1,2,5,5,2
"3",3,5,4,1,5,1,2,3,3,4
"4",6,1,5,4,1,4,3,6,6,5
"5",6,4,2,3,4,3,2,6,6,2
"6",3,1,5,2,1,2,1,3,3,5
"7",1,4,5,3,4,3,5,2,2,5
"8",5,3,8,4,3,4,8,5,5,8
"9",3,5,4,2,5,2,5,1,1,4
"10",7,5,6,2,5,2,6,1,1,6
"11",2,4,3,1,4,1,4,2,2,3
"12",4,2,6,3,2,3,6,4,4,6
"13",2,3,1,5,3,5,1,2,2,1
"14",1,2,3,4,2,4,2,1,1,3
"15",4,2,3,5,2,5,2,4,4,3
"16",6,3,5,4,3,4,3,2,2,5
"17",2,3,4,6,3,6,1,2,2,4
"18",1,6,2,5,6,5,2,1,1,2
"19",4,3,1,1,3,1,3,4,4,5
"20",4,9,5,8,9,8,9,7,7,5
"21",4,3,2,1,3,1,3,4,4,2
"22",4,2,5,3,2,3,5,4,4,5
"23",7,2,6,3,2,3,5,7,7,6
"24",2,4,7,3,4,3,7,2,2,7
"25",2,6,1,4,6,4,7,2,2,1
"26",5,4,2,1,4,1,2,5,5,2
"27",4,6,3,5,6,5,6,4,4,3
"28",2,4,6,5,4,5,6,2,2,3
"29",3,7,8,1,7,1,8,3,3,8
"30",7,5,6,1,5,1,4,7,7,6
"31",2,4,3,1,4,1,3,2,2,3
"32",5,4,2,3,4,3,4,5,5,2
"33",5,2,1,7,2,7,4,5,5,1
"34",4,5,3,2,5,2,3,4,4,3
"35",6,2,3,1,2,1,3,7,7,3
"36",1,4,2,5,4,5,4,3,3,2
"37",3,5,6,4,5,4,5,3,3,6
"38",4,5,3,2,5,2,3,4,4,3
"39",5,8,3,4,8,4,3,5,5,3
"40",4,3,2,5,3,5,2,4,4,2
"41",6,5,3,4,5,4,3,6,6,3
"42",3,1,4,5,1,5,4,3,3,4
"43",5,3,2,1,3,1,2,4,4,2
"44",2,1,5,3,1,3,1,7,7,5
"45",4,3,1,2,3,2,1,4,4,1
"46",5,2,1,3,2,3,1,6,6,1
"47",5,3,2,1,3,1,2,5,5,2
"48",8,3,7,4,3,4,7,8,8,7
"49",3,2,5,4,2,4,2,3,3,5
"50",4,1,2,5,1,5,2,4,4,2
"51",5,3,2,1,3,1,3,6,6,2
"52",4,3,1,5,3,5,1,4,4,1
"53",2,6,1,4,6,4,1,2,2,1
"54",1,3,4,2,3,2,3,1,1,4
"55",4,3,2,5,3,5,2,4,4,2
"56",2,1,3,4,1,4,3,2,2,3
"57",2,6,4,3,6,3,6,2,2,4
"58",7,1,3,4,1,4,1,7,7,3
"59",6,7,5,4,7,4,5,6,6,5
"60",6,7,1,2,7,2,5,6,6,1
"61",4,6,3,1,6,1,3,4,4,3
"62",7,3,1,5,3,5,1,7,7,1
"63",1,5,3,2,5,2,3,1,1,3
"64",2,1,5,4,1,4,1,2,2,5
"65",3,6,7,5,6,5,6,3,3,7
"66",6,5,4,2,5,2,4,6,6,4
"67",5,2,1,4,2,4,1,5,5,1
"68",5,4,7,1,4,1,4,6,6,7
"69",6,2,4,5,2,5,7,6,6,4
"70",6,1,4,2,1,2,7,6,6,4
"71",8,3,2,7,3,7,2,8,8,2
"72",3,4,2,5,4,5,4,3,3,2
"73",3,5,2,6,5,6,2,3,3,2
"74",3,7,2,4,7,4,2,3,3,2
"75",3,4,5,2,4,2,7,3,3,5
"76",4,1,5,2,1,2,3,7,7,5
"77",3,1,2,5,1,5,2,3,3,2
"78",7,6,2,1,6,1,2,7,7,2
"79",6,5,3,1,5,1,4,6,6,3
"80",3,1,4,2,1,2,5,3,3,4
"81",5,3,1,2,3,2,3,5,5,1
"82",5,4,2,7,4,7,1,5,5,2
"83",1,2,4,3,2,3,2,1,1,4
"84",2,4,3,5,4,5,4,2,2,3
"85",5,2,3,4,2,4,2,5,5,3
"86",1,5,4,3,5,3,2,1,1,4
"87",2,4,6,7,4,7,6,2,2,6
"88",3,5,2,4,5,4,2,6,6,2
"89",4,1,5,2,1,2,1,6,6,5
"90",1,5,4,6,5,6,4,1,1,4
"91",4,3,2,1,3,1,2,4,4,2
"92",1,2,8,7,2,7,2,1,1,8
"93",5,3,2,6,3,6,2,7,7,2
"94",5,2,3,1,2,1,3,5,5,3
"95",4,5,2,3,5,3,2,4,4,2
"96",1,5,3,2,5,2,3,1,1,3
"97",2,4,1,5,4,5,1,2,2,1
"98",5,1,2,3,1,3,1,5,5,2
"99",2,4,5,1,4,1,3,2,2,5
"100",3,5,2,1,5,1,2,3,3,2
