"","V1","V2","V3","V4","V5","V6","V7","V8","V9"
"1",1,4,3,4,5,6,7,8,9
"2",5,7,3,7,2,5,1,4,6
"3",9,2,6,2,10,9,4,7,5
"4",1,4,3,4,5,6,7,8,9
"5",2,5,3,5,4,2,4,1,4
"6",1,4,3,4,5,6,7,8,9
"7",3,1,8,1,2,4,2,7,6
"8",6,2,3,2,4,5,6,7,9
"9",7,5,8,5,1,7,9,4,2
"10",5,7,4,7,3,5,3,8,9
"11",1,2,4,2,3,6,1,8,7
"12",1,4,3,4,5,6,7,8,9
"13",2,5,7,5,6,2,3,9,6
"14",6,1,5,1,2,6,8,3,7
"15",1,4,3,4,5,6,7,8,9
"16",1,4,3,4,5,6,7,8,9
"17",1,2,3,2,5,6,7,8,9
"18",1,2,3,2,5,6,7,8,9
"19",3,4,1,4,6,3,8,7,5
"20",4,2,7,2,6,2,9,5,10
"21",1,2,3,2,5,6,7,8,9
"22",4,6,3,6,4,4,5,8,1
"23",2,8,3,8,6,7,6,5,4
"24",6,8,10,8,5,5,2,1,9
"25",1,4,3,4,5,6,7,8,9
"26",10,1,4,1,7,8,9,6,3
"27",1,7,7,2,2,2,8,5,10
"28",1,2,3,2,5,6,7,8,9
"29",3,7,9,7,5,3,5,2,6
"30",1,4,3,4,5,6,7,8,9
"31",6,1,9,1,3,8,2,7,3
"32",5,6,4,1,1,1,6,2,8
"33",5,8,7,8,9,2,9,4,3
"34",1,2,3,2,5,6,7,8,9
"35",4,10,9,7,7,7,3,8,1
"36",9,3,8,3,7,6,4,2,7
"37",7,8,9,8,6,5,2,1,3
"38",8,3,9,3,7,8,5,1,10
"39",2,3,9,3,8,4,1,7,8
"40",1,4,3,4,5,6,7,8,9
"41",3,7,4,7,3,3,8,6,2
"42",8,1,3,1,4,4,9,6,5
"43",6,1,7,1,2,6,2,4,5
"44",6,7,2,7,8,4,5,3,8
"45",6,8,4,8,7,9,6,2,3
"46",1,2,3,2,5,6,7,8,9
"47",1,8,6,8,7,2,1,3,5
"48",10,3,3,2,2,2,8,9,4
"49",2,9,5,9,4,6,7,3,4
"50",2,6,1,6,7,3,2,9,5
"51",5,4,6,4,8,1,8,3,2
"52",7,3,6,3,7,7,5,1,9
"53",8,3,5,3,8,2,10,4,9
"54",7,9,4,9,3,3,6,5,2
"55",5,3,3,2,2,5,7,1,4
"56",6,4,3,4,1,1,8,7,2
"57",1,4,3,4,5,6,7,8,9
"58",1,4,3,4,5,6,7,8,9
"59",1,4,3,4,5,6,7,8,9
"60",5,2,8,2,3,5,3,1,7
"61",1,4,3,4,5,6,7,8,9
"62",1,4,3,4,5,6,7,8,9
"63",1,7,2,7,5,3,5,4,9
"64",6,3,5,3,7,7,9,2,1
"65",1,2,3,2,5,6,7,8,9
"66",1,2,3,2,5,6,7,8,9
"67",6,2,3,2,5,6,7,4,1
"68",1,4,3,4,5,6,7,8,9
"69",9,6,8,6,7,2,4,1,3
"70",7,1,6,1,5,7,3,2,4
"71",1,2,3,2,5,6,7,8,9
"72",3,7,4,7,7,3,1,5,2
"73",4,7,10,7,8,3,9,5,8
"74",2,9,5,9,6,2,4,7,8
"75",7,5,2,5,6,7,1,3,8
"76",6,4,2,7,7,4,1,5,8
"77",1,9,5,9,5,7,2,8,3
"78",1,4,3,4,5,6,7,8,9
"79",2,4,1,4,6,2,6,7,5
"80",1,3,9,3,2,1,7,10,5
"81",1,2,5,2,9,1,3,7,8
"82",5,4,8,4,1,3,1,6,2
"83",4,3,1,3,7,4,8,5,2
"84",1,6,4,6,1,3,5,2,7
"85",1,4,3,4,5,6,7,8,9
"86",5,4,8,4,4,9,2,6,7
"87",5,6,1,6,4,4,2,7,3
"88",1,4,3,4,5,6,7,8,9
"89",4,9,8,9,6,10,2,7,3
"90",1,4,3,4,5,6,7,8,9
"91",2,7,1,7,5,9,2,4,8
"92",2,1,6,1,7,2,5,4,3
"93",1,4,3,4,5,6,7,8,9
"94",5,2,2,4,4,4,3,1,6
"95",1,4,3,4,5,6,7,8,9
"96",10,4,5,4,4,10,7,8,9
"97",1,2,3,2,5,6,7,8,9
"98",1,2,3,2,5,6,7,8,9
"99",4,2,3,2,5,1,5,6,8
"100",1,6,6,3,3,3,4,2,8
