"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13"
"1",8,5,5,1,8,9,8,6,6,8,9,2,2
"2",1,2,6,4,4,6,1,2,2,1,4,7,7
"3",5,7,7,2,5,7,5,4,4,5,3,2,2
"4",5,4,4,3,5,4,5,4,6,6,6,2,3
"5",2,7,7,3,2,7,2,7,4,2,5,4,4
"6",6,1,1,2,6,5,6,3,3,6,5,4,4
"7",1,8,8,9,1,2,1,5,5,1,2,3,2
"8",2,5,8,4,8,5,2,8,7,7,7,1,1
"9",3,5,4,1,3,2,3,4,5,3,2,1,1
"10",1,3,4,6,1,4,1,3,3,1,7,5,5
"11",4,6,7,6,6,7,4,7,5,5,5,3,2
"12",1,5,5,6,1,2,1,3,3,1,2,6,2
"13",1,2,2,5,1,2,1,4,4,1,3,3,3
"14",6,6,3,5,6,3,6,3,4,4,4,5,1
"15",8,1,1,2,8,6,8,4,4,8,6,2,2
"16",4,7,3,5,3,7,4,3,6,6,6,5,5
"17",5,4,1,4,4,1,5,1,1,4,4,2,2
"18",5,3,1,2,3,1,5,1,4,4,4,2,2
"19",8,7,4,5,8,6,8,7,7,8,6,1,6
"20",5,2,8,6,8,2,5,8,1,1,1,3,3
"21",5,1,1,3,5,2,5,6,6,5,2,3,3
"22",1,5,5,4,1,5,1,6,6,1,2,2,2
"23",2,8,8,5,5,8,2,6,6,4,4,3,6
"24",1,7,7,6,6,2,1,3,3,1,6,2,2
"25",1,2,2,8,1,7,1,4,4,1,7,9,7
"26",3,6,6,5,3,1,3,2,2,3,1,1,1
"27",3,2,1,6,1,2,3,1,4,4,4,5,5
"28",1,1,4,2,7,4,7,4,6,6,6,5,5
"29",3,2,2,1,3,4,3,6,6,3,4,4,4
"30",6,6,3,4,4,3,4,3,2,2,2,1,1
"31",6,5,5,7,6,3,6,9,9,6,3,2,2
"32",2,7,7,5,2,4,2,8,8,2,4,3,3
"33",4,2,2,3,4,2,4,5,5,4,2,3,3
"34",4,5,5,1,4,6,4,9,9,4,6,3,6
"35",4,4,1,3,4,1,4,1,2,2,2,3,3
"36",1,4,4,3,1,2,1,5,5,1,2,2,3
"37",2,6,6,3,2,6,2,1,1,2,4,5,4
"38",4,8,9,3,4,9,4,8,8,4,9,1,3
"39",4,3,3,4,4,1,4,2,2,4,1,1,1
"40",1,4,4,7,1,4,1,3,3,1,2,5,2
"41",8,4,4,2,4,3,8,5,5,7,7,6,3
"42",3,4,4,1,3,4,3,4,5,5,5,1,1
"43",3,5,6,1,6,5,3,4,4,4,4,1,1
"44",2,4,4,3,2,1,2,4,4,2,1,3,3
"45",3,1,1,3,3,1,3,5,5,3,4,4,4
"46",5,7,7,4,5,6,5,3,3,5,6,4,4
"47",7,2,2,3,7,2,7,6,6,7,1,3,3
"48",6,7,3,1,7,3,6,3,4,4,4,5,1
