"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"1",10,7,10,2,5,6,5,2,8,1
"2",4,7,4,2,2,3,1,2,5,8
"3",5,1,5,2,2,4,2,2,1,4
"4",9,2,9,7,7,6,11,7,3,5
"5",3,4,3,6,6,2,5,6,1,1
"6",6,3,6,1,1,2,7,1,4,4
"7",5,10,5,6,6,1,2,6,9,3
"8",6,3,6,1,1,2,5,1,5,4
"9",8,5,8,4,4,7,7,4,5,6
"10",2,5,2,6,6,1,4,6,5,1
"11",4,8,4,11,11,9,1,11,1,1
"12",6,1,6,5,2,3,4,5,4,5
"13",8,11,8,5,5,7,6,5,4,10
"14",5,2,5,4,4,1,4,4,6,3
"15",9,10,9,6,7,5,1,6,8,1
"16",1,3,1,2,2,6,5,2,5,6
"17",10,7,10,3,3,8,5,3,5,5
"18",3,1,3,4,4,6,7,4,2,5
"19",2,1,2,6,6,5,3,6,3,2
"20",7,1,7,6,4,5,3,6,2,8
"21",6,5,6,1,1,4,7,1,7,7
"22",7,3,7,2,2,10,5,2,5,2
"23",6,1,6,7,7,3,2,7,10,8
"24",1,5,1,4,2,3,9,4,4,7
"25",8,1,8,2,2,5,7,2,7,4
"26",8,7,8,6,6,3,3,6,2,4
"27",11,1,11,10,10,8,8,10,4,7
"28",7,2,7,3,3,4,5,3,5,1
"29",1,9,1,5,5,3,2,5,8,5
"30",10,2,10,9,9,6,4,9,3,8
"31",4,1,4,5,5,3,7,5,1,3
"32",7,4,7,5,5,3,5,5,4,1
"33",2,9,2,7,7,10,10,7,1,8
"34",10,2,10,8,8,9,7,8,11,9
"35",3,5,3,6,2,2,7,6,4,7
"36",2,7,2,6,6,3,1,6,4,4
"37",3,1,3,7,7,2,4,7,1,6
"38",8,4,8,9,9,6,7,9,1,10
"39",6,4,6,2,2,1,2,2,3,2
"40",8,7,8,4,4,11,10,4,8,5
"41",5,7,5,11,3,10,3,11,1,1
"42",1,9,1,3,3,7,7,3,8,6
"43",6,5,6,4,4,2,3,4,3,2
"44",1,3,1,2,2,6,7,2,3,2
"45",1,4,1,5,5,2,2,5,3,3
"46",6,3,6,9,9,5,9,9,4,7
"47",8,9,8,5,5,11,5,5,7,3
"48",5,2,5,7,7,3,1,7,7,6
"49",3,5,3,6,6,2,1,6,4,1
"50",11,1,11,6,6,8,2,6,1,8
"51",4,5,4,2,2,6,8,2,3,1
"52",5,3,5,6,6,1,1,6,2,2
"53",6,8,6,5,5,2,9,5,3,1
"54",4,3,4,5,5,1,6,5,8,5
"55",6,2,6,4,8,7,5,4,2,5
"56",3,4,3,8,8,7,6,8,1,1
"57",4,2,4,8,8,6,1,8,1,7
"58",9,5,9,8,7,3,8,8,6,1
"59",4,2,4,1,1,7,4,1,6,3
"60",10,3,10,1,1,4,5,1,6,9
"61",5,6,5,3,3,2,1,3,3,4
"62",2,1,2,6,6,4,9,6,3,9
"63",8,6,8,5,5,1,10,5,3,10
"64",3,7,3,5,5,6,8,5,1,2
"65",5,7,5,3,10,6,4,3,1,9
"66",9,7,9,2,2,6,5,2,7,2
"67",3,1,3,4,4,6,7,4,7,5
"68",4,3,4,2,2,1,6,2,8,4
"69",1,4,1,5,5,3,2,5,6,3
"70",9,1,9,3,3,7,7,3,4,4
"71",4,2,4,1,1,3,5,1,5,5
"72",2,6,2,1,3,10,8,1,11,11
"73",5,4,5,6,6,8,7,6,9,7
"74",4,6,4,5,1,8,5,5,10,10
"75",11,10,11,8,8,9,6,8,4,8
"76",7,1,7,4,4,9,9,4,1,2
"77",3,6,3,2,2,4,5,2,8,1
"78",6,3,6,2,2,4,1,2,5,4
"79",5,3,5,2,2,6,4,2,3,1
"80",11,7,11,1,4,8,10,1,6,6
"81",4,6,4,5,5,7,1,5,2,2
"82",5,8,5,6,7,4,3,6,3,1
"83",3,9,3,7,7,5,9,7,8,2
"84",7,1,7,8,5,2,3,8,1,9
"85",5,6,5,8,8,3,8,8,10,2
"86",6,10,6,2,4,1,8,2,8,8
"87",2,6,2,3,4,8,5,3,7,10
"88",1,5,1,3,3,4,2,3,2,2
"89",4,1,4,6,6,7,3,6,1,2
"90",5,8,5,4,4,1,9,4,7,9
"91",7,6,7,3,3,8,2,3,10,4
"92",4,6,4,3,3,1,7,3,7,5
"93",2,1,2,5,5,7,6,5,4,3
"94",6,4,6,5,5,9,10,5,1,7
"95",6,3,6,2,2,5,4,2,1,2
"96",7,2,7,3,3,5,3,3,6,8
"97",5,10,5,9,9,1,11,9,3,9
"98",6,7,6,4,4,10,2,4,5,1
"99",1,4,1,2,8,7,9,2,6,9
"100",2,7,2,6,6,5,8,6,7,6
