"","V1","V2","V3","V4","V5","V6","V7","V8","V9"
"1",7,5,7,3,3,4,1,3,6
"2",3,2,3,6,6,7,4,6,5
"3",1,3,1,5,5,4,6,5,2
"4",4,1,4,5,5,3,2,5,6
"5",1,4,1,2,2,9,9,2,5
"6",4,3,4,7,7,2,6,7,1
"7",4,1,4,9,9,5,2,9,3
"8",1,6,1,4,4,3,1,4,5
"9",2,5,2,1,1,3,3,1,6
"10",7,8,7,9,9,6,5,9,1
"11",2,1,2,4,4,5,8,4,9
"12",10,5,10,8,8,4,1,8,2
"13",9,7,9,2,2,8,5,2,1
"14",5,4,5,1,1,3,3,1,2
"15",4,9,4,5,5,7,2,5,8
"16",1,4,1,8,8,6,6,8,5
"17",1,3,1,4,4,2,8,4,6
"18",1,6,1,5,5,2,4,5,3
"19",6,4,6,1,1,5,3,1,2
"20",8,5,8,4,4,6,10,4,2
"21",6,3,6,5,5,8,4,5,2
"22",5,3,5,7,7,6,1,7,4
"23",2,4,2,7,7,1,9,7,10
"24",1,7,1,2,2,3,2,2,4
"25",9,2,9,3,3,8,3,3,4
"26",2,5,2,10,10,9,9,10,8
"27",8,4,8,1,1,2,5,1,6
"28",9,3,9,2,2,6,7,2,5
"29",2,3,2,7,7,6,6,7,5
"30",3,6,3,8,8,5,5,8,4
"31",8,7,8,1,1,5,6,1,4
"32",1,2,1,3,3,4,3,3,5
"33",8,7,8,1,1,4,3,1,2
"34",2,7,2,4,4,1,9,4,6
"35",8,1,8,3,3,4,4,3,7
"36",8,4,8,2,2,3,7,2,1
"37",1,6,1,3,3,2,5,3,7
"38",4,2,4,5,5,1,5,5,3
"39",1,4,1,6,6,7,3,6,2
"40",3,1,3,6,6,5,4,6,2
"41",5,3,5,6,6,4,7,6,1
"42",2,3,2,6,6,7,4,6,8
"43",7,5,7,4,4,3,6,4,8
"44",5,6,5,3,3,8,4,3,1
"45",7,5,7,4,4,6,2,4,1
"46",5,2,5,7,7,1,4,7,3
"47",5,2,5,1,1,4,5,1,3
"48",9,5,9,1,1,6,3,1,2
"49",5,3,5,4,4,2,5,4,1
"50",1,7,1,8,8,6,5,8,9
"51",4,3,4,6,6,1,5,6,7
"52",8,5,8,4,4,2,3,4,6
"53",4,8,4,7,7,5,2,7,3
"54",3,2,3,6,6,1,6,6,5
"55",1,2,1,5,5,3,5,5,7
"56",8,9,8,1,1,4,2,1,5
"57",7,3,7,1,1,6,4,1,5
"58",6,4,6,1,1,3,5,1,2
"59",3,2,3,1,1,4,1,1,5
"60",6,3,6,5,5,7,6,5,1
"61",1,9,1,6,6,7,4,6,3
"62",4,2,4,6,6,3,5,6,1
"63",3,4,3,6,6,1,6,6,2
"64",3,1,3,4,4,8,2,4,6
"65",3,2,3,1,1,4,5,1,7
"66",1,5,1,3,3,6,6,3,7
"67",3,2,3,5,5,7,4,5,1
"68",7,9,7,3,3,4,2,3,5
"69",3,8,3,2,2,1,5,2,9
"70",2,3,2,6,6,1,5,6,7
"71",4,5,4,2,2,1,3,2,6
"72",6,2,6,5,5,1,4,5,8
"73",5,7,5,2,2,4,1,2,6
"74",5,1,5,7,7,6,2,7,9
"75",3,5,3,6,6,1,7,6,7
"76",1,7,1,3,6,8,5,3,2
"77",7,4,7,8,8,3,2,8,5
"78",4,5,4,7,7,8,1,7,6
"79",5,4,5,3,3,6,1,3,2
"80",1,4,1,2,2,6,5,2,3
"81",2,5,2,4,4,1,6,4,3
"82",7,6,7,4,4,3,2,4,1
"83",8,4,8,2,2,5,9,2,6
"84",3,8,3,1,1,5,10,1,6
"85",6,5,6,4,4,7,3,4,2
"86",5,2,5,6,6,4,7,6,3
"87",5,2,5,3,3,1,4,3,7
"88",1,8,1,9,9,6,4,9,3
"89",7,5,7,3,3,4,8,3,10
"90",7,4,7,8,8,5,2,8,10
"91",1,8,1,3,3,2,9,3,6
"92",5,3,5,4,4,7,1,4,2
"93",4,2,4,6,6,1,3,6,8
"94",2,1,2,5,5,3,6,5,4
"95",8,9,8,4,4,6,2,4,3
"96",1,7,1,6,6,4,5,6,3
"97",8,2,8,5,5,1,1,5,7
"98",1,6,1,7,7,4,4,7,2
"99",8,3,8,2,2,6,7,2,4
"100",5,3,5,7,7,4,2,7,6
