"","V1","V2","V3","V4","V5","V6","V7","V8"
"1",5,3,8,1,3,4,1,5
"2",5,9,2,3,9,8,3,1
"3",2,3,8,5,5,6,5,7
"4",1,3,5,4,3,6,4,8
"5",7,2,5,4,2,3,4,1
"6",5,1,3,4,1,2,4,5
"7",5,2,3,4,2,9,4,1
"8",8,4,7,2,2,1,3,5
"9",7,3,2,4,4,6,8,5
"10",5,8,2,1,8,4,1,5
"11",2,1,6,7,7,5,7,8
"12",5,7,3,1,1,4,2,8
"13",5,2,6,7,2,1,7,4
"14",6,4,5,1,4,3,1,2
"15",3,4,2,6,4,7,6,1
"16",5,7,1,6,7,3,6,8
"17",2,4,5,1,4,3,1,6
"18",6,1,5,2,1,4,2,3
"19",1,2,6,3,2,5,3,4
"20",4,5,8,1,5,3,1,6
"21",1,7,8,5,7,4,5,6
"22",5,1,6,3,1,2,3,5
"23",2,5,3,6,6,4,6,8
"24",2,7,3,1,1,5,1,4
"25",9,8,5,3,3,7,4,9
"26",3,6,7,5,5,4,1,2
"27",2,5,4,3,3,6,3,2
"28",7,1,5,4,4,8,3,7
"29",7,6,9,5,5,4,5,8
"30",6,7,1,4,4,5,4,3
"31",5,8,7,1,8,3,1,2
"32",7,6,3,1,1,4,2,5
"33",5,3,8,1,3,6,1,2
"34",2,7,3,4,7,8,4,6
"35",7,2,4,6,2,9,6,1
"36",6,7,3,5,5,2,5,6
"37",1,4,5,7,4,3,7,7
"38",2,1,8,6,1,3,6,2
"39",7,4,5,3,4,2,3,6
"40",5,3,6,1,3,2,1,5
"41",4,7,2,8,8,6,8,3
"42",6,9,5,6,6,2,1,8
"43",5,3,8,2,3,4,2,2
"44",9,4,5,2,4,1,2,7
"45",1,7,5,6,6,2,8,9
"46",7,8,3,6,6,5,4,1
"47",6,9,4,7,7,5,7,8
"48",4,1,8,6,1,2,6,4
"49",5,1,4,8,1,3,8,7
"50",8,4,2,5,5,7,6,3
"51",6,4,2,1,4,3,1,5
"52",5,3,1,8,3,2,8,4
"53",8,7,6,1,1,2,3,5
"54",6,5,3,7,5,1,7,4
"55",7,5,6,2,5,4,2,3
"56",9,4,8,1,1,7,6,3
"57",7,5,3,6,5,1,6,4
"58",8,4,7,1,4,3,1,2
"59",1,5,2,3,3,6,3,4
"60",2,1,3,8,1,6,8,4
"61",2,5,4,7,5,3,7,1
"62",2,4,3,1,1,6,5,7
"63",7,5,9,2,2,3,1,8
"64",6,8,7,2,2,3,4,9
"65",4,3,2,8,8,6,1,4
"66",2,6,1,5,6,3,5,4
"67",6,7,1,2,2,8,2,4
"68",2,1,5,4,1,3,4,6
"69",1,5,8,3,5,7,3,2
"70",8,5,3,7,5,4,7,1
"71",6,5,3,1,5,4,1,6
"72",9,8,5,2,8,4,2,7
"73",4,6,5,4,4,9,3,8
"74",6,8,1,7,7,3,5,5
"75",8,3,2,8,3,7,8,9
"76",1,2,5,3,2,6,3,4
"77",4,1,3,6,1,7,6,5
"78",6,4,9,6,4,8,6,5
"79",3,2,6,5,2,4,5,1
"80",4,6,5,9,9,2,8,7
"81",4,3,5,1,3,2,1,4
"82",8,7,1,5,7,4,5,3
"83",5,2,4,6,2,3,6,5
"84",1,2,6,8,2,3,8,7
"85",5,3,2,4,4,1,4,5
"86",2,7,3,1,7,6,1,5
"87",1,4,2,7,7,3,7,5
"88",4,2,1,6,2,3,6,7
"89",1,9,4,2,9,8,2,7
"90",5,1,4,8,8,3,6,7
"91",5,4,3,1,4,8,1,5
"92",4,1,6,7,7,3,5,4
"93",5,6,8,9,9,3,7,4
"94",3,2,1,5,2,6,5,4
"95",4,3,5,1,3,2,1,4
"96",5,7,4,6,7,1,6,2
"97",5,7,4,1,7,6,1,9
"98",8,2,5,4,2,7,4,1
"99",5,1,3,2,1,4,2,5
"100",5,3,4,9,9,6,7,1
