"","V1","V2","V3","V4","V5","V6","V7","V8"
"1",1,7,3,6,6,5,5,4
"2",1,3,5,7,7,4,8,2
"3",2,1,3,4,5,2,2,5
"4",1,3,5,4,4,2,2,6
"5",4,7,3,5,2,8,8,2
"6",4,9,5,7,8,1,1,8
"7",8,1,8,5,9,6,6,9
"8",3,5,7,4,2,6,6,2
"9",3,4,2,3,3,1,1,5
"10",1,2,3,4,5,6,7,8
"11",7,2,5,9,1,6,6,1
"12",1,8,3,2,5,7,7,4
"13",1,2,3,4,5,6,7,8
"14",1,2,3,4,5,6,7,8
"15",9,5,8,6,1,3,3,1
"16",3,6,8,7,5,2,2,5
"17",1,2,3,4,5,6,7,8
"18",6,3,4,8,2,7,5,2
"19",3,6,3,7,2,4,4,2
"20",1,7,4,3,3,6,6,8
"21",1,2,3,4,5,6,7,8
"22",2,6,1,3,3,7,7,4
"23",2,6,4,8,5,1,1,7
"24",8,3,6,4,5,9,9,7
"25",4,1,3,5,5,7,7,2
"26",6,2,6,1,5,7,7,5
"27",3,1,2,3,6,7,7,9
"28",4,3,6,8,7,4,4,7
"29",1,2,3,4,5,6,7,8
"30",7,5,2,3,9,8,8,9
"31",8,6,2,3,4,1,1,5
"32",8,2,3,7,3,6,6,1
"33",8,5,1,6,6,7,7,2
"34",6,3,1,6,2,5,5,2
"35",3,4,6,1,1,2,2,5
"36",6,3,2,4,4,5,5,1
"37",5,8,4,6,7,3,3,7
"38",1,4,9,3,5,2,7,5
"39",4,2,6,5,3,4,4,1
"40",4,3,1,5,5,2,2,6
"41",6,2,4,6,7,1,1,7
"42",1,2,9,6,6,3,3,5
"43",1,5,1,3,4,2,2,4
"44",8,1,6,4,4,5,6,7
"45",6,2,7,8,3,1,5,3
"46",1,2,5,1,4,6,6,4
"47",4,3,7,6,6,2,2,1
"48",6,2,8,3,3,1,1,7
"49",7,6,2,5,5,1,1,4
"50",6,3,5,4,9,7,7,1
"51",5,2,3,5,5,4,4,7
"52",1,2,5,1,3,4,4,3
"53",7,3,2,4,1,8,8,1
"54",3,7,2,4,4,5,5,1
"55",1,4,6,5,5,8,8,9
"56",9,2,5,8,4,1,1,4
"57",3,5,2,3,1,4,4,1
"58",1,2,3,4,5,6,7,8
"59",6,3,5,4,1,8,8,1
"60",8,4,1,8,7,6,6,5
"61",2,6,3,8,7,5,5,1
"62",2,4,1,2,3,6,6,3
"63",3,7,2,6,6,5,5,8
"64",7,1,3,4,5,7,7,2
"65",4,5,1,6,6,7,7,2
"66",6,1,8,5,3,7,7,3
"67",7,4,2,6,6,5,5,1
"68",8,9,7,1,5,4,4,5
"69",5,6,4,7,7,2,3,8
"70",5,8,3,5,6,7,7,6
"71",1,2,3,4,5,6,7,8
"72",4,6,7,3,8,5,5,8
"73",4,7,2,6,1,9,8,1
"74",4,6,1,7,2,5,5,2
"75",5,7,9,1,1,8,9,2
"76",3,4,8,6,7,5,5,1
"77",3,6,4,8,2,5,5,2
"78",5,3,4,8,7,6,6,9
"79",2,6,3,4,5,1,7,5
"80",7,3,4,9,5,2,2,5
"81",3,7,5,4,3,8,8,2
"82",1,2,3,4,5,6,7,8
"83",5,3,7,1,1,6,6,2
"84",2,4,3,8,7,6,6,5
"85",7,3,9,8,2,1,1,2
"86",5,7,5,9,1,6,6,1
"87",2,7,5,2,2,3,3,6
"88",7,2,3,5,8,6,3,8
"89",6,9,3,1,7,8,8,7
"90",8,3,1,2,4,6,6,5
"91",5,1,2,4,3,6,8,3
"92",6,1,3,6,2,5,5,2
"93",3,5,3,4,4,1,1,2
"94",2,5,1,3,4,6,6,4
"95",1,5,3,7,4,1,2,4
"96",6,5,7,4,8,6,1,8
"97",7,9,2,4,4,1,1,5
"98",8,1,7,9,6,2,2,6
"99",5,8,6,2,2,9,3,4
"100",5,4,1,3,6,2,2,6
