"","V1","V2","V3","V4","V5","V6","V7","V8"
"1",5,1,3,3,4,5,3,1
"2",3,5,2,2,1,3,2,2
"3",2,5,3,3,4,2,3,3
"4",1,6,2,2,7,1,2,2
"5",4,6,1,1,5,4,1,1
"6",3,1,2,2,5,3,2,2
"7",2,1,3,3,4,2,3,3
"8",1,4,5,5,3,1,5,4
"9",3,2,5,5,1,3,5,5
"10",6,5,3,3,4,6,3,5
"11",4,6,3,3,5,4,3,2
"12",5,3,2,2,4,5,2,2
"13",4,1,3,3,5,4,3,3
"14",2,7,4,4,6,2,4,4
"15",3,4,1,1,5,3,1,1
"16",3,5,2,2,4,3,2,5
"17",6,1,3,3,7,6,3,3
"18",3,5,2,2,1,3,2,2
"19",2,4,1,1,5,2,1,1
"20",4,5,3,3,2,4,3,3
"21",2,1,5,5,3,2,5,5
"22",4,2,3,3,7,4,3,3
"23",3,5,2,2,1,3,2,2
"24",1,8,5,5,4,1,5,5
"25",5,4,3,3,2,5,3,4
"26",2,4,1,1,3,2,1,1
"27",1,9,5,5,3,1,5,5
"28",4,1,5,5,2,4,5,5
"29",1,6,2,2,7,1,2,2
"30",4,6,1,1,5,4,1,1
"31",2,4,5,5,1,2,5,4
"32",4,1,2,2,5,4,2,2
"33",1,4,5,5,3,1,5,5
"34",2,1,6,6,5,2,6,6
"35",5,3,4,4,2,5,4,4
"36",5,6,3,3,7,5,3,6
"37",3,4,1,1,2,3,1,1
"38",5,1,6,6,4,5,6,6
"39",4,1,2,2,5,4,2,1
"40",2,4,1,1,3,2,1,1
"41",5,4,2,2,3,5,2,2
"42",3,1,2,2,4,3,2,2
"43",8,6,1,1,7,8,1,1
"44",8,1,7,7,4,8,7,1
"45",2,4,5,5,1,2,5,5
"46",1,4,7,7,6,1,7,7
"47",5,2,3,3,4,5,3,2
"48",5,2,6,6,1,5,6,2
"49",5,1,3,3,4,5,3,3
"50",5,2,1,1,6,5,1,1
"51",8,2,6,6,3,8,6,4
"52",4,5,3,3,1,4,3,5
"53",4,5,2,2,1,4,2,3
"54",8,2,7,7,1,8,7,7
"55",3,8,1,1,2,3,1,1
"56",5,4,1,1,3,5,1,1
"57",5,6,4,4,7,5,4,4
"58",1,6,3,3,5,1,3,3
"59",4,1,5,5,6,4,5,5
"60",5,7,6,6,3,5,6,6
"61",2,5,4,4,3,2,4,5
"62",2,1,4,4,6,2,4,4
"63",7,1,4,4,3,7,4,4
"64",6,4,7,7,5,6,7,7
"65",3,6,1,1,5,3,1,1
"66",4,1,3,3,6,4,3,3
"67",5,6,8,8,3,5,8,4
"68",4,5,3,3,1,4,3,2
"69",3,2,5,5,4,3,5,5
"70",1,9,5,5,2,1,5,9
"71",3,6,7,7,1,3,7,6
"72",5,3,2,2,1,5,2,2
"73",2,4,1,1,3,2,1,4
"74",5,2,7,7,1,5,7,7
"75",4,1,5,5,2,4,5,5
"76",5,1,4,4,3,5,4,2
"77",3,7,1,1,5,3,1,1
"78",1,5,7,7,4,1,7,6
"79",3,5,4,4,2,3,4,4
"80",2,5,4,4,3,2,4,4
"81",2,3,1,1,4,2,1,1
"82",1,4,2,2,5,1,2,2
"83",3,6,8,8,1,3,8,8
"84",2,7,5,5,1,2,5,7
"85",1,5,4,4,2,1,4,4
"86",2,4,1,1,3,2,1,1
"87",5,7,2,2,4,5,2,7
"88",3,6,2,2,5,3,2,2
"89",5,2,1,1,3,5,1,1
"90",4,5,3,3,7,4,3,3
"91",2,4,1,1,5,2,1,1
"92",4,2,1,1,5,4,1,1
"93",3,4,7,7,5,3,7,2
"94",6,5,2,2,3,6,2,2
"95",5,3,1,1,4,5,1,1
"96",4,5,8,8,1,4,8,5
"97",1,3,5,5,4,1,5,5
"98",1,6,9,9,5,1,9,9
"99",1,7,4,4,3,1,4,4
"100",2,3,4,4,5,2,4,4
