"","V1","V2","V3","V4","V5","V6","V7"
"1",5,3,5,4,2,2,5
"2",2,1,2,5,4,4,3
"3",2,1,2,5,4,4,3
"4",6,5,6,7,2,2,1
"5",5,2,5,8,1,1,7
"6",7,5,7,8,6,6,4
"7",2,5,2,1,4,4,2
"8",1,2,1,3,5,5,1
"9",1,6,1,3,2,2,5
"10",5,2,5,4,3,3,1
"11",4,6,4,1,5,5,2
"12",6,4,6,3,5,5,6
"13",6,5,6,3,1,1,2
"14",5,3,5,1,4,4,2
"15",2,4,2,1,5,5,2
"16",1,5,1,3,6,6,2
"17",4,2,4,5,1,1,3
"18",1,5,1,6,3,3,4
"19",8,3,8,1,4,4,7
"20",1,4,1,2,5,5,3
"21",6,3,6,2,4,4,5
"22",6,4,6,5,2,2,1
"23",1,2,1,5,4,4,1
"24",6,5,6,3,2,2,4
"25",7,1,7,3,6,6,4
"26",5,4,5,2,3,3,1
"27",6,3,6,2,7,7,1
"28",4,5,4,2,3,3,4
"29",3,1,3,6,4,4,5
"30",2,3,2,5,1,1,4
"31",3,2,3,1,5,5,4
"32",2,3,2,7,6,6,1
"33",2,4,2,8,1,1,6
"34",1,4,1,3,5,5,2
"35",4,3,4,5,2,2,1
"36",4,3,4,1,2,2,5
"37",3,2,3,1,5,5,3
"38",5,1,5,6,3,3,2
"39",2,5,2,4,3,3,1
"40",3,4,3,2,1,1,3
"41",5,6,5,3,1,1,4
"42",4,5,4,1,2,2,3
"43",2,3,2,3,4,4,1
"44",2,5,2,3,1,1,4
"45",6,1,6,5,2,2,4
"46",2,5,2,1,4,4,3
"47",3,6,3,1,8,8,5
"48",6,5,6,3,1,1,4
"49",6,3,6,5,1,1,2
"50",5,3,5,1,4,4,2
"51",6,2,6,4,3,3,1
"52",4,2,4,3,6,6,4
"53",2,3,2,7,4,1,6
"54",3,4,3,5,2,2,1
"55",2,3,2,4,1,1,5
"56",8,3,8,1,5,5,2
"57",2,5,2,3,4,4,1
"58",2,5,2,1,6,6,1
"59",1,4,1,5,2,2,3
"60",2,6,2,5,4,4,3
"61",2,3,2,1,4,4,5
"62",6,7,6,4,1,1,5
"63",4,2,4,3,5,5,1
"64",4,1,4,7,5,5,4
"65",4,1,4,2,3,3,5
"66",8,6,8,7,3,3,2
"67",2,1,2,3,5,5,4
"68",4,2,4,3,1,1,5
"69",2,4,2,1,5,5,3
"70",6,5,6,2,4,4,1
"71",3,4,3,1,2,2,6
"72",6,4,6,5,2,2,1
"73",7,4,7,8,5,1,3
"74",3,1,3,5,2,2,4
"75",4,5,4,3,2,2,6
"76",6,1,6,2,4,4,7
"77",5,2,5,1,3,3,4
"78",1,3,1,5,2,2,4
"79",5,6,5,2,3,3,1
"80",4,2,4,1,3,3,5
"81",5,3,5,7,2,2,1
"82",3,1,3,2,6,6,5
"83",2,4,2,6,8,8,3
"84",3,2,3,5,1,1,3
"85",7,1,7,5,4,4,7
"86",2,8,2,3,7,7,4
"87",1,4,1,7,2,2,3
"88",6,1,6,3,5,5,4
"89",5,1,5,2,7,8,6
"90",3,2,3,1,5,5,3
"91",1,4,1,3,5,5,2
"92",4,8,4,5,7,7,3
"93",2,6,2,1,3,3,7
"94",3,6,3,4,5,5,2
"95",4,2,4,1,3,3,4
"96",6,1,6,2,3,3,6
"97",1,5,1,4,3,3,1
"98",4,5,4,3,1,1,6
"99",2,4,2,1,3,3,5
"100",3,6,3,4,2,2,5
