"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91"
"1",1,29,9,4,41,41,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,41,23,24,24,26,27,28,29,30,41,32,33,34,35,74,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,24,41,59,60,61,24,63,64,65,66,67,41,69,70,71,72,41,74,75,76,77,29,79,41,81,24,83,84,85,86,87,88,89,90,24
"2",1,29,9,4,6,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,6,23,82,82,26,27,28,29,30,6,32,33,34,35,74,37,38,39,40,6,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,82,6,59,60,61,82,63,64,65,66,67,6,69,70,71,72,6,74,75,76,77,29,79,6,81,82,83,84,85,86,87,88,89,90,6
"3",1,29,9,4,6,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,6,23,57,57,26,27,28,29,30,6,32,33,34,35,74,37,38,39,40,6,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,6,59,60,61,6,63,64,65,66,67,6,69,70,71,72,6,74,75,76,77,29,79,6,81,57,83,84,85,86,87,88,89,90,57
"4",1,29,9,4,41,41,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,41,23,24,24,26,27,28,29,30,41,32,33,34,35,74,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,24,41,59,60,61,41,63,64,65,66,67,41,69,70,71,72,41,74,75,76,77,29,79,41,81,24,83,84,85,86,87,88,89,90,41
"5",1,29,9,4,41,41,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,41,23,24,24,26,27,28,29,30,41,32,33,34,35,74,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,24,41,59,60,61,41,63,64,65,66,67,24,69,70,71,72,41,74,75,76,77,29,79,41,81,24,83,84,85,86,87,88,89,90,24
"6",1,29,9,4,22,22,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,24,26,27,28,29,30,22,32,33,34,35,74,37,38,39,40,22,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,24,22,59,60,61,24,63,64,65,66,67,22,69,70,71,72,22,74,75,76,77,29,79,22,81,24,83,84,85,86,87,88,89,90,24
"7",1,29,9,4,5,5,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,5,23,24,24,26,27,28,29,30,5,32,33,34,35,74,37,38,39,40,5,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,24,5,59,60,61,5,63,64,65,66,67,5,69,70,71,72,5,74,75,76,77,29,79,5,81,24,83,84,85,86,87,88,89,90,24
"8",1,29,9,4,58,58,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,58,23,82,82,26,27,28,29,30,58,32,33,34,35,74,37,38,39,40,58,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,82,58,59,60,61,82,63,64,65,66,67,82,69,70,71,72,58,74,75,76,77,29,79,58,81,82,83,84,85,86,87,88,89,90,82
"9",1,29,3,4,58,58,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,58,23,57,57,26,27,28,29,30,58,32,33,34,35,74,37,38,39,40,58,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,58,63,64,65,66,67,58,69,70,71,72,58,74,75,76,77,29,79,58,81,57,83,84,85,86,87,88,89,90,57
"10",1,29,9,4,31,31,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,31,23,24,24,26,27,28,29,30,31,32,33,34,35,74,37,38,39,40,31,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,24,31,59,60,61,31,63,64,65,66,67,24,69,70,71,72,31,74,75,76,77,29,79,31,81,24,83,84,85,86,87,88,89,90,24
"11",1,29,9,4,31,31,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,31,23,24,24,26,27,28,29,30,31,32,33,34,35,74,37,38,39,40,31,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,24,31,59,60,61,24,63,64,65,66,67,31,69,70,71,72,31,74,75,76,77,29,79,31,81,24,83,84,85,86,87,88,89,90,31
"12",1,29,9,4,58,58,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,58,23,57,57,26,27,28,29,30,58,32,33,34,35,74,37,38,39,40,58,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,58,63,64,65,66,67,57,69,70,71,72,58,74,75,76,77,29,79,58,81,57,83,84,85,86,87,88,89,90,58
"13",1,29,9,4,58,58,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,58,23,82,82,26,27,28,29,30,58,32,33,34,35,74,37,38,39,40,58,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,82,58,59,60,61,58,63,64,65,66,67,58,69,70,71,72,58,74,75,76,77,29,79,58,81,82,83,84,85,86,87,88,89,90,82
"14",1,29,9,4,80,80,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,80,23,25,25,26,27,28,29,30,80,32,33,34,35,74,37,38,39,40,80,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,25,80,59,60,61,25,63,64,65,66,67,25,69,70,71,72,80,74,75,76,77,29,79,80,81,25,83,84,85,86,87,88,89,90,25
"15",1,29,9,4,31,31,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,31,23,25,25,26,27,28,29,30,31,32,33,34,35,74,37,38,39,40,31,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,25,31,59,60,61,31,63,64,65,66,67,31,69,70,71,72,31,74,75,76,77,29,79,31,81,25,83,84,85,86,87,88,89,90,25
"16",1,29,9,4,31,31,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,31,23,25,25,26,27,28,29,30,31,32,33,34,35,74,37,38,39,40,31,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,25,31,59,60,61,25,63,64,65,66,67,31,69,70,71,72,31,74,75,76,77,29,79,31,81,25,83,84,85,86,87,88,89,90,31
"17",1,29,9,4,58,58,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,58,23,25,25,26,27,28,29,30,58,32,33,34,35,74,37,38,39,40,58,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,25,58,59,60,61,58,63,64,65,66,67,25,69,70,71,72,58,74,75,76,77,29,79,58,81,25,83,84,85,86,87,88,89,90,25
"18",1,29,3,4,6,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,6,23,24,24,26,27,28,29,30,6,32,33,34,35,74,37,38,39,40,6,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,24,6,59,60,61,24,63,64,65,66,67,24,69,70,71,72,6,74,75,76,77,29,79,6,81,24,83,84,85,86,87,88,89,90,6
"19",1,29,9,4,73,73,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,73,23,25,25,26,27,28,29,30,73,32,33,34,35,74,37,38,39,40,73,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,25,73,59,60,61,25,63,64,65,66,67,73,69,70,71,72,73,74,75,76,77,29,79,73,81,25,83,84,85,86,87,88,89,90,25
"20",1,29,3,4,5,5,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,5,23,82,82,26,27,28,29,30,5,32,33,34,35,74,37,38,39,40,5,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,82,5,59,60,61,5,63,64,65,66,67,82,69,70,71,72,5,74,75,76,77,29,79,5,81,82,83,84,85,86,87,88,89,90,5
"21",1,29,9,4,31,31,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,31,23,57,57,26,27,28,29,30,31,32,33,34,35,74,37,38,39,40,31,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,31,59,60,61,31,63,64,65,66,67,31,69,70,71,72,31,74,75,76,77,29,79,31,81,57,83,84,85,86,87,88,89,90,57
"22",1,29,9,4,73,73,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,73,23,82,82,26,27,28,29,30,73,32,33,34,35,74,37,38,39,40,73,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,82,73,59,60,61,82,63,64,65,66,67,73,69,70,71,72,73,74,75,76,77,29,79,73,81,82,83,84,85,86,87,88,89,90,73
"23",1,29,9,4,58,58,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,58,23,25,25,26,27,28,29,30,58,32,33,34,35,74,37,38,39,40,58,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,25,58,59,60,61,25,63,64,65,66,67,58,69,70,71,72,58,74,75,76,77,29,79,58,81,25,83,84,85,86,87,88,89,90,58
"24",1,29,9,4,73,73,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,73,23,24,24,26,27,28,29,30,73,32,33,34,35,74,37,38,39,40,73,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,24,73,59,60,61,73,63,64,65,66,67,24,69,70,71,72,73,74,75,76,77,29,79,73,81,24,83,84,85,86,87,88,89,90,73
"25",1,29,9,4,22,22,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,57,57,26,27,28,29,30,22,32,33,34,35,74,37,38,39,40,22,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,22,59,60,61,57,63,64,65,66,67,57,69,70,71,72,22,74,75,76,77,29,79,22,81,57,83,84,85,86,87,88,89,90,57
"26",1,29,9,4,41,41,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,41,23,57,57,26,27,28,29,30,41,32,33,34,35,74,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,41,59,60,61,41,63,64,65,66,67,57,69,70,71,72,41,74,75,76,77,29,79,41,81,57,83,84,85,86,87,88,89,90,41
"27",1,29,9,4,6,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,6,23,57,57,26,27,28,29,30,6,32,33,34,35,74,37,38,39,40,6,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,6,59,60,61,6,63,64,65,66,67,6,69,70,71,72,6,74,75,76,77,29,79,6,81,57,83,84,85,86,87,88,89,90,6
"28",1,29,9,4,6,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,6,23,25,25,26,27,28,29,30,6,32,33,34,35,74,37,38,39,40,6,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,25,6,59,60,61,6,63,64,65,66,67,25,69,70,71,72,6,74,75,76,77,29,79,6,81,25,83,84,85,86,87,88,89,90,25
"29",1,29,9,4,80,80,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,80,23,25,25,26,27,28,29,30,80,32,33,34,35,74,37,38,39,40,80,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,25,80,59,60,61,80,63,64,65,66,67,80,69,70,71,72,80,74,75,76,77,29,79,80,81,25,83,84,85,86,87,88,89,90,80
"30",1,29,9,4,58,58,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,58,23,82,82,26,27,28,29,30,58,32,33,34,35,74,37,38,39,40,58,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,82,58,59,60,61,58,63,64,65,66,67,58,69,70,71,72,58,74,75,76,77,29,79,58,81,82,83,84,85,86,87,88,89,90,82
"31",1,29,9,4,58,58,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,58,23,57,57,26,27,28,29,30,58,32,33,34,35,74,37,38,39,40,58,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,57,63,64,65,66,67,58,69,70,71,72,58,74,75,76,77,29,79,58,81,57,83,84,85,86,87,88,89,90,57
"32",1,29,9,4,5,5,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,5,23,57,57,26,27,28,29,30,5,32,33,34,35,74,37,38,39,40,5,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,5,59,60,61,57,63,64,65,66,67,5,69,70,71,72,5,74,75,76,77,29,79,5,81,57,83,84,85,86,87,88,89,90,5
"33",1,29,9,4,41,41,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,41,23,82,82,26,27,28,29,30,41,32,33,34,35,74,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,82,41,59,60,61,82,63,64,65,66,67,41,69,70,71,72,41,74,75,76,77,29,79,41,81,82,83,84,85,86,87,88,89,90,41
"34",1,29,9,4,73,73,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,73,23,25,25,26,27,28,29,30,73,32,33,34,35,74,37,38,39,40,73,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,25,73,59,60,61,73,63,64,65,66,67,73,69,70,71,72,73,74,75,76,77,29,79,73,81,25,83,84,85,86,87,88,89,90,73
"35",1,29,9,4,6,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,6,23,82,82,26,27,28,29,30,6,32,33,34,35,74,37,38,39,40,6,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,82,6,59,60,61,82,63,64,65,66,67,6,69,70,71,72,6,74,75,76,77,29,79,6,81,82,83,84,85,86,87,88,89,90,82
"36",1,29,9,4,22,22,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,24,26,27,28,29,30,22,32,33,34,35,74,37,38,39,40,22,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,24,22,59,60,61,22,63,64,65,66,67,24,69,70,71,72,22,74,75,76,77,29,79,22,81,24,83,84,85,86,87,88,89,90,22
"37",1,29,9,4,41,41,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,41,23,25,25,26,27,28,29,30,41,32,33,34,35,74,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,25,41,59,60,61,25,63,64,65,66,67,41,69,70,71,72,41,74,75,76,77,29,79,41,81,25,83,84,85,86,87,88,89,90,25
"38",1,29,9,4,22,22,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,57,57,26,27,28,29,30,22,32,33,34,35,74,37,38,39,40,22,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,22,59,60,61,22,63,64,65,66,67,57,69,70,71,72,22,74,75,76,77,29,79,22,81,57,83,84,85,86,87,88,89,90,57
"39",1,29,9,4,58,58,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,58,23,25,25,26,27,28,29,30,58,32,33,34,35,74,37,38,39,40,58,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,25,58,59,60,61,25,63,64,65,66,67,25,69,70,71,72,58,74,75,76,77,29,79,58,81,25,83,84,85,86,87,88,89,90,58
"40",1,29,9,4,73,73,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,73,23,24,24,26,27,28,29,30,73,32,33,34,35,74,37,38,39,40,73,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,24,73,59,60,61,73,63,64,65,66,67,73,69,70,71,72,73,74,75,76,77,29,79,73,81,24,83,84,85,86,87,88,89,90,73
"41",1,29,9,4,31,31,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,31,23,57,57,26,27,28,29,30,31,32,33,34,35,74,37,38,39,40,31,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,31,59,60,61,57,63,64,65,66,67,31,69,70,71,72,31,74,75,76,77,29,79,31,81,57,83,84,85,86,87,88,89,90,57
"42",1,29,9,4,41,41,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,41,23,57,57,26,27,28,29,30,41,32,33,34,35,74,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,41,59,60,61,41,63,64,65,66,67,57,69,70,71,72,41,74,75,76,77,29,79,41,81,57,83,84,85,86,87,88,89,90,41
"43",1,29,9,4,73,73,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,73,23,25,25,26,27,28,29,30,73,32,33,34,35,74,37,38,39,40,73,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,25,73,59,60,61,25,63,64,65,66,67,25,69,70,71,72,73,74,75,76,77,29,79,73,81,25,83,84,85,86,87,88,89,90,25
"44",1,29,9,4,31,31,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,31,23,24,24,26,27,28,29,30,31,32,33,34,35,74,37,38,39,40,31,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,24,31,59,60,61,24,63,64,65,66,67,31,69,70,71,72,31,74,75,76,77,29,79,31,81,24,83,84,85,86,87,88,89,90,24
"45",1,29,9,4,22,22,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,57,57,26,27,28,29,30,22,32,33,34,35,74,37,38,39,40,22,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,22,59,60,61,22,63,64,65,66,67,57,69,70,71,72,22,74,75,76,77,29,79,22,81,57,83,84,85,86,87,88,89,90,57
"46",1,29,9,4,41,41,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,41,23,25,25,26,27,28,29,30,41,32,33,34,35,74,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,25,41,59,60,61,41,63,64,65,66,67,25,69,70,71,72,41,74,75,76,77,29,79,41,81,25,83,84,85,86,87,88,89,90,41
"47",1,29,9,4,58,58,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,58,23,25,25,26,27,28,29,30,58,32,33,34,35,74,37,38,39,40,58,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,25,58,59,60,61,58,63,64,65,66,67,25,69,70,71,72,58,74,75,76,77,29,79,58,81,25,83,84,85,86,87,88,89,90,58
"48",1,29,9,4,22,22,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,25,25,26,27,28,29,30,22,32,33,34,35,74,37,38,39,40,22,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,25,22,59,60,61,25,63,64,65,66,67,22,69,70,71,72,22,74,75,76,77,29,79,22,81,25,83,84,85,86,87,88,89,90,25
"49",1,29,9,4,5,5,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,5,23,24,24,26,27,28,29,30,5,32,33,34,35,74,37,38,39,40,5,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,24,5,59,60,61,5,63,64,65,66,67,5,69,70,71,72,5,74,75,76,77,29,79,5,81,24,83,84,85,86,87,88,89,90,24
"50",1,29,9,4,5,5,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,5,23,25,25,26,27,28,29,30,5,32,33,34,35,74,37,38,39,40,5,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,25,5,59,60,61,25,63,64,65,66,67,25,69,70,71,72,5,74,75,76,77,29,79,5,81,25,83,84,85,86,87,88,89,90,25
"51",1,29,9,4,58,58,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,58,23,82,82,26,27,28,29,30,58,32,33,34,35,74,37,38,39,40,58,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,82,58,59,60,61,82,63,64,65,66,67,58,69,70,71,72,58,74,75,76,77,29,79,58,81,82,83,84,85,86,87,88,89,90,82
"52",1,29,9,4,41,41,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,41,23,25,25,26,27,28,29,30,41,32,33,34,35,74,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,25,41,59,60,61,25,63,64,65,66,67,41,69,70,71,72,41,74,75,76,77,29,79,41,81,25,83,84,85,86,87,88,89,90,25
"53",1,29,9,4,80,80,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,80,23,24,24,26,27,28,29,30,80,32,33,34,35,74,37,38,39,40,80,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,24,80,59,60,61,80,63,64,65,66,67,80,69,70,71,72,80,74,75,76,77,29,79,80,81,24,83,84,85,86,87,88,89,90,24
"54",1,29,9,4,22,22,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,82,82,26,27,28,29,30,22,32,33,34,35,74,37,38,39,40,22,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,82,22,59,60,61,82,63,64,65,66,67,82,69,70,71,72,22,74,75,76,77,29,79,22,81,82,83,84,85,86,87,88,89,90,82
"55",1,29,9,4,31,31,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,31,23,57,57,26,27,28,29,30,31,32,33,34,35,74,37,38,39,40,31,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,31,59,60,61,57,63,64,65,66,67,57,69,70,71,72,31,74,75,76,77,29,79,31,81,57,83,84,85,86,87,88,89,90,57
"56",1,29,9,4,80,80,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,80,23,82,82,26,27,28,29,30,80,32,33,34,35,74,37,38,39,40,80,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,82,80,59,60,61,80,63,64,65,66,67,80,69,70,71,72,80,74,75,76,77,29,79,80,81,82,83,84,85,86,87,88,89,90,80
"57",1,29,3,4,6,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,6,23,25,25,26,27,28,29,30,6,32,33,34,35,74,37,38,39,40,6,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,25,6,59,60,61,25,63,64,65,66,67,25,69,70,71,72,6,74,75,76,77,29,79,6,81,25,83,84,85,86,87,88,89,90,25
"58",1,29,9,4,80,80,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,80,23,24,24,26,27,28,29,30,80,32,33,34,35,74,37,38,39,40,80,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,24,80,59,60,61,80,63,64,65,66,67,24,69,70,71,72,80,74,75,76,77,29,79,80,81,24,83,84,85,86,87,88,89,90,80
"59",1,29,9,4,22,22,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,25,25,26,27,28,29,30,22,32,33,34,35,74,37,38,39,40,22,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,25,22,59,60,61,25,63,64,65,66,67,25,69,70,71,72,22,74,75,76,77,29,79,22,81,25,83,84,85,86,87,88,89,90,22
"60",1,29,9,4,22,22,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,24,26,27,28,29,30,22,32,33,34,35,74,37,38,39,40,22,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,24,22,59,60,61,22,63,64,65,66,67,22,69,70,71,72,22,74,75,76,77,29,79,22,81,24,83,84,85,86,87,88,89,90,22
"61",1,29,9,4,5,5,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,5,23,25,25,26,27,28,29,30,5,32,33,34,35,74,37,38,39,40,5,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,25,5,59,60,61,25,63,64,65,66,67,25,69,70,71,72,5,74,75,76,77,29,79,5,81,25,83,84,85,86,87,88,89,90,25
