"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25"
"1",4,2,3,4,5,6,7,8,4,4,11,12,13,14,4,16,17,4,19,20,21,17,23,24,25
"2",4,2,3,4,5,6,7,8,4,4,11,12,13,14,4,16,17,4,19,20,21,17,23,24,25
"3",4,2,3,4,5,6,7,8,4,4,11,12,13,14,4,16,17,4,19,20,21,17,23,24,25
"4",4,2,3,4,5,6,7,8,4,4,11,12,13,14,4,16,17,4,19,20,21,17,23,24,25
"5",4,2,3,4,5,6,7,8,4,4,11,12,13,14,4,16,17,4,19,20,21,17,23,24,25
"6",4,2,3,4,5,6,7,8,4,4,11,12,13,14,4,16,17,4,19,20,21,17,23,24,25
"7",4,2,3,4,5,6,7,8,4,4,11,12,13,14,4,16,17,4,19,20,21,17,23,24,25
"8",4,2,3,4,5,6,7,8,4,4,11,12,13,14,4,16,17,4,19,20,21,17,23,24,25
"9",4,2,3,4,5,6,7,8,4,4,11,12,13,14,4,16,17,4,19,20,21,17,23,24,25
"10",4,2,3,4,5,6,7,8,4,4,11,12,13,14,4,16,17,4,19,20,21,17,23,24,25
"11",4,2,3,4,5,6,7,8,4,4,11,12,13,14,4,16,17,4,19,20,21,17,23,24,25
"12",4,2,3,4,5,6,7,8,4,4,11,12,13,14,4,16,17,4,19,20,21,17,23,24,25
"13",4,2,3,4,5,6,7,8,4,4,11,12,13,14,4,16,17,4,19,20,21,17,23,24,25
"14",4,2,3,4,5,6,7,8,4,4,11,12,13,14,4,16,17,4,19,20,21,17,23,24,25
"15",4,2,3,4,5,6,7,8,4,4,11,12,13,14,4,16,17,4,19,20,21,17,23,24,25
"16",1,2,3,4,5,6,7,8,4,4,11,12,13,14,4,16,4,4,19,20,21,14,23,24,25
"17",1,2,3,4,5,6,7,8,4,4,11,12,13,14,4,16,17,17,19,20,21,14,23,24,25
"18",4,2,3,4,5,6,7,8,4,4,11,12,13,14,4,16,17,4,19,20,21,17,23,24,25
"19",1,2,3,4,5,6,7,8,4,4,11,12,13,14,4,16,4,4,19,20,21,14,23,24,25
"20",4,2,3,4,5,6,7,8,4,4,11,12,13,14,4,16,17,4,19,20,21,17,23,24,25
"21",1,2,3,4,5,6,7,8,4,4,11,12,13,14,4,16,4,4,19,20,21,14,23,24,25
"22",1,2,3,4,5,6,7,8,4,4,11,12,13,14,4,16,17,17,19,20,21,14,23,24,25
"23",4,2,3,4,5,6,7,8,4,4,11,12,13,14,4,16,17,4,19,20,21,17,23,24,25
"24",4,2,3,4,5,6,7,8,4,4,11,12,13,14,4,16,17,4,19,20,21,17,23,24,25
"25",1,2,3,4,5,6,7,8,4,4,11,12,13,14,17,16,17,17,19,20,21,14,23,24,25
"26",1,2,3,4,5,6,7,8,4,4,11,12,13,14,4,16,4,4,19,20,21,14,23,24,25
"27",4,2,3,4,5,6,7,8,4,4,11,12,13,14,4,16,17,4,19,20,21,17,23,24,25
"28",4,2,3,4,5,6,7,8,4,4,11,12,13,14,4,16,17,4,19,20,21,17,23,24,25
"29",1,2,3,4,5,6,7,8,4,4,11,12,13,14,17,16,17,17,19,20,21,14,23,24,25
"30",4,2,3,4,5,6,7,8,4,4,11,12,13,14,4,16,17,4,19,20,21,17,23,24,25
"31",1,2,3,4,5,6,7,8,4,4,11,12,13,14,17,16,17,17,19,20,21,14,23,24,25
"32",1,2,3,4,5,6,7,8,4,4,11,12,13,14,4,16,4,4,19,20,21,14,23,24,25
"33",4,2,3,4,5,6,7,8,4,4,11,12,13,14,4,16,17,4,19,20,21,17,23,24,25
"34",4,2,3,4,5,6,7,8,4,4,11,12,13,14,4,16,17,4,19,20,21,17,23,24,25
"35",1,2,3,4,5,6,7,8,4,4,11,12,13,14,4,16,4,4,19,20,21,14,23,24,25
"36",1,2,3,4,5,6,7,8,4,4,11,12,13,14,4,16,4,4,19,20,21,14,23,24,25
"37",1,2,3,4,5,6,7,8,4,4,11,12,13,14,4,16,4,4,19,20,21,14,23,24,25
"38",4,2,3,4,5,6,7,8,4,4,11,12,13,14,4,16,17,4,19,20,21,17,23,24,25
"39",4,2,3,4,5,6,7,8,4,4,11,12,13,14,4,16,17,4,19,20,21,17,23,24,25
"40",4,2,3,4,5,6,7,8,4,4,11,12,13,14,4,16,17,4,19,20,21,17,23,24,25
"41",4,2,3,4,5,6,7,8,4,4,11,12,13,14,4,16,17,4,19,20,21,17,23,24,25
"42",1,2,3,4,5,6,7,8,4,4,11,12,13,14,4,16,4,4,19,20,21,14,23,24,25
"43",1,2,3,4,5,6,7,8,4,4,11,12,13,14,4,16,4,4,19,20,21,14,23,24,25
"44",1,2,3,4,5,6,7,8,4,4,11,12,13,14,4,16,4,4,19,20,21,14,23,24,25
"45",1,2,3,4,5,6,7,8,4,4,11,12,13,14,4,16,4,4,19,20,21,14,23,24,25
