"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13"
"1",9,2,3,4,5,6,7,8,9,3,11,11,13
"2",9,2,3,4,5,6,7,8,9,3,11,11,13
"3",9,2,3,4,5,6,7,8,9,3,11,11,13
"4",9,2,3,4,5,6,7,8,9,3,11,11,13
"5",9,2,3,4,5,6,7,8,9,3,11,11,13
"6",9,2,3,4,5,6,7,8,9,3,11,11,13
"7",9,2,10,4,5,6,7,8,9,10,11,11,13
"8",9,2,3,4,5,6,7,8,9,3,11,11,13
"9",9,2,3,4,5,6,7,8,9,3,11,11,13
"10",9,2,10,4,5,6,7,8,9,10,11,11,13
"11",9,2,10,4,5,6,7,8,9,10,11,11,13
"12",9,2,10,4,5,6,7,8,9,10,11,11,13
"13",9,2,3,4,5,6,7,8,9,3,11,11,13
"14",9,2,3,4,5,6,7,8,9,3,11,11,13
"15",9,2,3,4,5,6,7,8,9,3,11,11,13
"16",9,2,10,4,5,6,7,8,9,10,11,11,13
"17",9,2,3,4,5,6,7,8,9,3,11,11,13
"18",9,2,10,4,5,6,7,8,9,10,11,11,13
"19",9,2,3,4,5,6,7,8,9,3,11,11,13
"20",9,2,10,4,5,6,7,8,9,10,11,11,13
"21",9,2,3,4,5,6,7,8,9,3,11,11,13
"22",9,2,3,4,5,6,7,8,9,3,11,11,13
"23",9,2,3,4,5,6,7,8,9,3,11,11,13
"24",9,2,3,4,5,6,7,8,9,3,11,11,13
"25",9,2,10,4,5,6,7,8,9,10,11,11,13
"26",9,2,3,4,5,6,7,8,9,3,11,11,13
"27",9,2,3,4,5,6,7,8,9,3,11,11,13
"28",9,2,10,4,5,6,7,8,9,10,11,11,13
"29",9,2,3,4,5,6,7,8,9,3,11,11,13
"30",9,2,3,4,5,6,7,8,9,3,11,11,13
"31",9,2,3,4,5,6,7,8,9,3,11,11,13
"32",9,2,3,4,5,6,7,8,9,3,11,11,13
"33",9,2,3,4,5,6,7,8,9,3,11,11,13
"34",9,2,3,4,5,6,7,8,9,3,11,11,13
"35",9,2,3,4,5,6,7,8,9,3,11,11,13
"36",9,2,3,4,5,6,7,8,9,3,11,11,13
"37",9,2,10,4,5,6,7,8,9,10,11,11,13
"38",9,2,3,4,5,6,7,8,9,3,11,11,13
"39",9,2,3,4,5,6,7,8,9,3,11,11,13
"40",9,2,3,4,5,6,7,8,9,3,11,11,13
"41",9,2,10,4,5,6,7,8,9,10,11,11,13
"42",9,2,3,4,5,6,7,8,9,3,11,11,13
"43",9,2,10,4,5,6,7,8,9,10,11,11,13
"44",9,2,3,4,5,6,7,8,9,3,11,11,13
"45",9,2,3,4,5,6,7,8,9,3,11,11,13
"46",9,2,3,4,5,6,7,8,9,3,11,11,13
"47",9,2,10,4,5,6,7,8,9,10,11,11,13
"48",9,2,3,4,5,6,7,8,9,3,11,11,13
"49",9,2,10,4,5,6,7,8,9,10,11,11,13
"50",9,2,10,4,5,6,7,8,9,10,11,11,13
"51",9,2,3,4,5,6,7,8,9,3,11,11,13
"52",9,2,10,4,5,6,7,8,9,10,11,11,13
"53",9,2,3,4,5,6,7,8,9,3,11,11,13
"54",9,2,10,4,5,6,7,8,9,10,11,11,13
"55",9,2,3,4,5,6,7,8,9,3,11,11,13
"56",9,2,3,4,5,6,7,8,9,3,11,11,13
"57",9,2,10,4,5,6,7,8,9,10,11,11,13
"58",9,2,10,4,5,6,7,8,9,10,11,11,13
"59",9,2,10,4,5,6,7,8,9,10,11,11,13
"60",9,2,3,4,5,6,7,8,9,3,11,11,13
"61",9,2,10,4,5,6,7,8,9,10,11,11,13
"62",9,2,3,4,5,6,7,8,9,3,11,11,13
"63",9,2,3,4,5,6,7,8,9,3,11,11,13
"64",9,2,10,4,5,6,7,8,9,10,11,11,13
"65",9,2,3,4,5,6,7,8,9,3,11,11,13
"66",9,2,3,4,5,6,7,8,9,3,11,11,13
"67",9,2,3,4,5,6,7,8,9,3,11,11,13
"68",9,2,3,4,5,6,7,8,9,3,11,11,13
"69",9,2,3,4,5,6,7,8,9,3,11,11,13
"70",9,2,3,4,5,6,7,8,9,3,11,11,13
"71",9,2,3,4,5,6,7,8,9,3,11,11,13
"72",9,2,3,4,5,6,7,8,9,3,11,11,13
"73",9,2,3,4,5,6,7,8,9,3,11,11,13
"74",9,2,3,4,5,6,7,8,9,3,11,11,13
"75",9,2,3,4,5,6,7,8,9,3,11,11,13
"76",9,2,3,4,5,6,7,8,9,3,11,11,13
"77",9,2,3,4,5,6,7,8,9,3,11,11,13
"78",9,2,3,4,5,6,7,8,9,3,11,11,13
"79",9,2,3,4,5,6,7,8,9,3,11,11,13
"80",9,2,3,4,5,6,7,8,9,3,11,11,13
"81",9,2,3,4,5,6,7,8,9,3,11,11,13
"82",9,2,3,4,5,6,7,8,9,3,11,11,13
"83",9,2,3,4,5,6,7,8,9,3,11,11,13
"84",9,2,3,4,5,6,7,8,9,3,11,11,13
"85",9,2,10,4,5,6,7,8,9,10,11,11,13
"86",9,2,10,4,5,6,7,8,9,10,11,11,13
"87",9,2,3,4,5,6,7,8,9,3,11,11,13
"88",9,2,3,4,5,6,7,8,9,3,11,11,13
"89",9,2,3,4,5,6,7,8,9,3,11,11,13
"90",9,2,3,4,5,6,7,8,9,3,11,11,13
"91",9,2,10,4,5,6,7,8,9,10,11,11,13
"92",9,2,3,4,5,6,7,8,9,3,11,11,13
"93",9,2,3,4,5,6,7,8,9,3,11,11,13
"94",9,2,10,4,5,6,7,8,9,10,11,11,13
"95",9,2,3,4,5,6,7,8,9,3,11,11,13
"96",9,2,3,4,5,6,7,8,9,3,11,11,13
"97",9,2,3,4,5,6,7,8,9,3,11,11,13
"98",9,2,3,4,5,6,7,8,9,3,11,11,13
"99",9,2,3,4,5,6,7,8,9,3,11,11,13
"100",9,2,3,4,5,6,7,8,9,3,11,11,13
