"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14"
"1",13,11,5,1,2,1,5,10,8,1,1,1,2,5
"2",6,11,5,1,2,1,5,10,4,1,1,1,2,5
"3",13,11,5,1,2,1,5,10,8,1,1,1,2,5
"4",13,11,4,1,2,1,4,10,8,1,1,1,2,4
"5",6,11,5,1,2,1,5,10,4,1,1,1,2,5
"6",6,11,4,1,2,1,4,10,8,1,1,1,2,4
"7",13,11,4,1,2,1,4,10,8,1,1,1,2,4
"8",12,11,4,1,2,1,4,10,8,1,1,1,2,4
"9",12,11,5,1,2,1,5,10,4,1,1,1,2,5
"10",6,11,4,1,2,1,4,10,8,1,1,1,2,4
"11",13,11,5,1,2,1,5,10,8,1,1,1,2,5
"12",13,11,5,1,2,1,5,10,8,1,1,1,2,5
"13",12,11,5,1,2,1,5,10,8,1,1,1,2,5
"14",12,11,5,1,2,1,5,10,8,1,1,1,2,5
"15",13,11,5,1,2,1,5,10,8,1,1,1,2,5
"16",12,11,5,1,2,1,5,10,8,1,1,1,2,5
"17",6,11,5,1,2,1,5,10,8,1,1,1,2,5
"18",13,11,5,1,2,1,5,10,8,1,1,1,2,4
"19",13,11,5,1,2,1,5,10,4,1,1,1,2,5
"20",12,11,5,1,2,1,5,10,8,1,1,1,2,5
"21",12,11,4,1,2,1,4,10,8,1,1,1,2,4
"22",6,11,5,1,2,1,5,10,8,1,1,1,2,5
"23",6,11,5,1,2,1,5,10,8,1,1,1,2,5
"24",6,11,5,1,2,1,5,10,4,1,1,1,2,5
"25",6,11,5,1,2,1,5,10,8,1,1,1,2,5
"26",6,11,5,1,2,1,5,10,8,1,1,1,2,5
"27",13,11,4,1,2,1,4,10,8,1,1,1,2,4
"28",12,11,5,1,2,1,5,10,4,1,1,1,2,5
"29",13,11,5,1,2,1,5,10,8,1,1,1,2,5
"30",12,11,4,1,2,1,4,10,8,1,1,1,2,4
"31",13,11,4,1,2,1,4,10,8,1,1,1,2,4
"32",13,11,5,1,2,1,5,10,8,1,1,1,2,5
"33",6,11,4,1,2,1,4,10,8,1,1,1,2,4
"34",6,11,4,1,2,1,4,10,8,1,1,1,2,4
"35",6,11,4,1,2,1,4,10,8,1,1,1,2,4
"36",13,11,5,1,2,1,5,10,8,1,1,1,2,5
"37",12,11,5,1,2,1,5,10,8,1,1,1,2,5
"38",13,11,5,1,2,1,5,10,8,1,1,1,2,5
"39",13,11,5,1,2,1,5,10,8,1,1,1,2,5
"40",13,11,5,1,2,1,5,10,8,1,1,1,2,5
"41",12,11,5,1,2,1,5,10,8,1,1,1,2,5
"42",6,11,5,1,2,1,5,10,8,1,1,1,2,5
