"","V1","V2","V3","V4","V5","V6","V7","V8","V9"
"1",4,3,4,2,2,6,1,5,1
"2",3,4,3,1,1,6,2,5,2
"3",1,3,1,4,4,6,2,5,2
"4",4,5,4,3,2,6,2,1,2
"5",3,4,3,2,2,6,1,5,1
"6",5,2,5,4,4,6,3,1,3
"7",5,4,5,3,3,6,1,2,1
"8",4,5,4,3,2,6,2,1,2
"9",5,4,5,2,2,6,3,1,3
"10",2,1,2,4,4,6,5,3,5
"11",2,1,2,5,5,6,3,4,3
"12",4,2,4,5,5,6,3,1,3
"13",3,5,3,1,1,6,2,4,2
"14",4,5,4,3,3,6,1,2,1
"15",4,3,4,5,5,6,1,2,1
"16",3,2,3,5,5,6,1,4,1
"17",2,3,2,5,5,6,4,1,4
"18",3,2,3,1,1,6,5,4,5
"19",1,2,1,5,5,6,3,4,3
"20",5,4,5,3,2,6,2,1,2
"21",5,4,5,3,2,6,2,1,2
"22",2,3,2,1,1,6,5,4,5
"23",1,2,1,4,4,6,3,5,3
"24",3,4,3,2,2,6,1,5,1
"25",2,4,2,5,5,6,1,3,1
"26",1,4,1,2,2,6,5,3,5
"27",1,2,1,4,4,6,3,5,3
"28",3,1,3,4,4,6,5,2,5
"29",3,2,3,1,1,6,5,4,5
"30",3,5,3,4,4,6,2,1,2
"31",1,2,1,5,5,6,3,4,3
"32",1,2,1,3,3,6,4,5,4
"33",5,4,5,3,3,6,1,2,1
"34",2,3,2,4,4,6,1,5,1
"35",4,3,4,1,1,6,2,5,2
"36",2,1,2,4,4,6,3,5,3
"37",3,2,3,4,4,6,5,1,5
"38",2,3,2,5,5,6,1,4,1
"39",3,4,3,2,2,6,1,5,1
"40",4,3,4,5,5,6,1,2,1
"41",4,3,4,1,1,6,5,2,5
"42",4,5,4,3,3,6,1,2,1
"43",1,2,1,5,5,6,3,4,3
"44",2,1,2,5,5,6,3,4,3
"45",3,4,3,1,1,6,5,2,5
"46",5,4,5,2,3,6,3,1,3
"47",2,3,2,4,4,6,5,1,5
"48",3,2,3,5,5,6,4,1,4
"49",3,5,3,1,1,6,2,4,2
"50",3,2,3,1,1,6,5,4,5
"51",4,3,4,2,2,6,1,5,1
"52",3,4,3,5,5,6,1,2,1
"53",5,3,5,4,4,6,2,1,2
"54",3,4,3,1,2,6,2,5,2
"55",3,2,3,4,4,6,1,5,1
"56",2,3,2,1,1,6,5,4,5
"57",4,5,4,2,2,6,3,1,3
"58",2,3,2,4,4,6,1,5,1
"59",4,3,4,2,1,6,1,5,1
"60",2,1,2,3,3,6,5,4,5
"61",5,4,5,1,1,6,2,3,2
"62",3,4,3,1,1,6,5,2,5
"63",4,5,4,1,1,6,2,3,2
"64",4,5,4,3,3,6,1,2,1
"65",4,3,4,5,5,6,2,1,2
"66",2,4,2,5,5,6,3,1,3
"67",4,2,4,3,1,6,1,5,1
"68",1,2,1,4,4,6,3,5,3
"69",3,4,3,2,2,6,1,5,1
"70",4,3,4,5,5,6,2,1,2
"71",4,5,4,3,3,6,2,1,2
"72",4,3,4,2,2,6,5,1,5
"73",2,4,2,3,1,6,1,5,1
"74",4,3,4,1,1,6,2,5,2
"75",1,3,1,4,4,6,5,2,5
"76",4,5,4,3,3,6,1,2,1
"77",3,4,3,5,5,6,1,2,1
"78",2,1,2,5,5,6,3,4,3
"79",4,2,4,5,5,6,3,1,3
"80",3,2,3,1,1,6,5,4,5
"81",1,4,1,5,2,6,2,3,2
"82",1,2,1,4,4,6,5,3,5
"83",1,2,1,3,3,6,5,4,5
"84",5,2,5,3,3,6,1,4,1
"85",1,5,1,2,2,6,4,3,4
"86",3,1,3,4,4,6,5,2,5
"87",5,4,5,1,1,6,2,3,2
"88",4,3,4,2,2,6,5,1,5
"89",2,1,2,4,4,6,3,5,3
"90",5,4,5,3,3,6,2,1,2
"91",3,4,3,1,1,6,2,5,2
"92",1,3,1,2,2,6,4,5,4
"93",4,2,4,1,1,6,3,5,3
"94",2,3,2,5,5,6,4,1,4
"95",4,5,4,2,2,6,1,3,1
"96",5,2,5,1,1,6,4,3,4
"97",4,3,4,1,1,6,5,2,5
"98",1,2,1,4,4,6,5,3,5
"99",4,3,4,1,5,6,5,2,5
"100",2,4,2,3,3,6,5,1,5
