"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
"1",1,1,1,1,1,1,1,3,1,1,2,1
"2",1,1,1,1,1,1,1,3,1,1,2,2
"3",3,1,3,3,1,3,3,4,3,3,2,3
"4",2,3,2,2,3,2,2,4,2,2,1,1
"5",1,1,1,1,1,1,1,2,1,1,1,1
"6",1,3,1,1,3,1,1,4,1,1,2,2
"7",4,1,4,4,3,4,4,5,3,4,2,2
"8",1,1,1,1,1,1,1,2,1,1,1,1
"9",3,3,3,3,3,3,3,4,3,2,3,1
"10",2,1,2,2,1,2,2,4,2,2,3,2
"11",3,1,3,3,1,3,3,4,3,1,2,2
"12",2,1,2,2,2,2,2,4,2,2,3,3
"13",2,2,2,2,2,2,2,3,2,2,1,1
"14",2,2,2,2,1,2,2,3,2,2,2,2
"15",2,2,2,2,2,2,2,3,2,2,1,1
"16",1,2,1,1,1,1,1,3,1,1,1,1
"17",2,2,2,2,2,2,2,3,2,2,2,1
"18",1,1,1,1,1,1,1,3,1,1,1,2
"19",3,2,3,3,2,3,3,4,2,2,1,1
"20",2,1,2,2,1,2,2,4,2,2,3,3
"21",3,2,3,3,2,3,3,4,3,2,1,1
"22",1,2,1,1,2,1,1,4,2,2,3,3
"23",1,2,1,1,2,1,1,3,1,1,1,1
"24",2,3,2,2,3,2,2,4,2,2,2,1
"25",4,1,4,4,2,4,4,5,4,4,4,3
"26",3,2,3,3,3,3,3,5,1,3,4,4
"27",2,1,2,2,4,2,2,5,2,2,2,3
"28",1,1,1,1,1,1,1,2,1,1,1,1
"29",1,1,1,1,1,1,1,2,1,1,1,1
"30",3,3,3,3,1,3,3,4,1,3,2,2
"31",2,3,2,2,3,2,2,4,2,2,1,1
"32",1,2,1,1,3,1,1,5,3,1,4,4
"33",1,1,1,1,1,1,1,3,1,1,1,2
"34",2,2,2,2,3,2,2,4,2,2,2,1
"35",1,4,1,1,3,1,1,5,1,1,2,2
"36",2,1,2,2,2,2,2,3,2,2,2,2
"37",1,3,4,1,2,1,1,5,2,1,4,4
"38",2,1,2,2,1,2,2,3,2,2,2,2
"39",1,3,1,1,2,1,1,5,1,1,4,4
"40",2,2,2,2,2,2,2,3,2,2,2,1
"41",2,3,2,2,2,2,2,4,2,2,1,1
"42",1,1,1,1,1,1,1,2,1,1,1,1
"43",1,1,1,1,1,1,1,2,1,1,1,1
"44",2,3,2,2,3,2,2,4,2,2,1,1
"45",1,1,1,1,1,1,1,2,1,1,1,1
"46",2,1,2,2,1,2,2,4,2,2,3,3
"47",1,1,1,1,1,1,1,2,1,1,1,1
"48",1,1,1,1,1,1,1,3,1,1,1,2
"49",1,1,1,1,1,1,1,3,1,1,2,2
"50",3,2,3,3,4,3,3,5,3,3,1,1
"51",1,1,1,1,1,1,1,2,1,1,1,1
"52",1,1,1,1,1,1,1,2,1,1,1,1
"53",1,2,1,1,2,1,1,4,1,1,3,1
"54",3,2,3,3,2,3,3,4,3,3,1,1
"55",2,2,2,2,1,2,2,3,2,2,2,2
"56",3,1,3,3,1,3,4,5,3,3,2,2
"57",1,1,1,1,2,1,1,3,1,1,1,1
"58",1,1,1,1,1,1,1,2,1,1,1,1
"59",2,1,2,2,2,2,2,4,2,2,2,3
"60",2,1,2,2,1,2,2,4,1,1,3,3
"61",2,1,2,2,1,2,2,4,2,2,2,3
"62",2,3,2,2,3,2,2,4,3,3,1,1
"63",1,1,1,1,1,1,1,3,1,1,2,2
"64",1,3,1,1,4,1,1,5,1,1,2,2
"65",3,3,2,2,3,2,2,4,3,1,1,1
"66",3,2,3,3,2,3,3,4,2,2,1,1
"67",1,1,1,1,1,1,1,2,1,1,1,1
"68",2,1,2,2,1,2,2,4,1,2,3,3
"69",3,3,3,3,1,3,3,4,3,3,2,2
"70",1,2,1,1,3,1,1,5,3,1,4,4
"71",1,1,1,1,1,1,1,2,1,1,1,1
"72",1,2,1,1,1,1,1,3,1,1,1,1
"73",3,2,3,3,2,3,3,4,2,3,1,3
"74",3,2,3,3,2,3,3,4,3,3,1,3
"75",2,3,2,2,3,2,2,4,2,2,1,1
"76",1,1,1,1,1,1,1,2,1,1,1,1
"77",3,2,3,3,2,3,3,4,3,3,3,1
"78",2,1,2,2,1,2,2,4,2,2,3,3
"79",2,3,2,2,3,2,2,4,2,2,2,1
"80",2,2,2,2,2,2,2,3,2,2,1,1
"81",1,3,1,1,1,1,1,4,1,1,2,2
"82",2,1,2,2,1,2,2,4,2,2,2,3
"83",2,4,2,2,3,2,2,5,3,1,1,1
"84",2,3,2,2,2,2,2,4,2,2,1,1
"85",2,1,2,2,4,2,2,5,4,2,3,3
"86",1,1,1,1,1,1,1,3,1,1,2,2
"87",2,1,2,2,1,2,2,4,1,2,3,3
"88",2,1,2,2,1,2,2,4,2,2,3,3
"89",1,1,1,1,1,1,1,3,1,1,2,2
"90",3,2,3,3,2,3,3,4,3,3,1,1
"91",2,3,2,2,3,2,2,4,2,2,2,1
"92",2,1,2,2,1,2,2,4,2,2,2,3
"93",1,1,1,1,2,1,1,3,1,1,1,1
"94",3,1,3,3,1,3,3,4,3,3,3,2
"95",2,1,2,2,3,2,2,5,2,2,4,4
"96",3,2,3,3,2,3,3,4,3,1,1,1
"97",2,3,2,2,3,2,2,4,2,2,1,1
"98",1,1,1,1,2,1,1,3,2,1,1,1
"99",2,3,2,2,3,2,2,4,2,2,1,1
"100",3,1,3,3,1,3,3,4,3,3,2,2
