"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13"
"1",2,2,1,1,1,3,3,3,3,3,3,2,3
"2",3,1,3,3,3,2,2,2,2,2,1,1,2
"3",3,2,3,3,3,1,1,1,1,1,2,2,1
"4",1,3,1,1,1,2,2,2,2,2,3,3,2
"5",1,2,1,1,1,3,3,3,3,3,2,2,3
"6",1,2,1,1,1,2,3,3,3,3,2,3,3
"7",3,2,3,3,3,1,1,1,1,1,2,2,1
"8",2,2,1,1,1,3,3,3,3,3,3,2,3
"9",1,2,1,1,1,3,3,3,3,3,2,2,3
"10",3,2,3,3,3,1,1,1,1,1,2,2,1
"11",3,2,3,3,3,1,2,1,2,2,1,1,1
"12",1,2,1,1,1,3,3,3,3,3,2,2,3
"13",3,1,3,3,3,2,2,2,2,2,1,1,2
"14",3,1,3,3,3,2,2,2,2,2,1,1,2
"15",1,3,1,1,1,2,2,2,2,2,3,3,2
"16",2,1,2,2,2,3,3,3,3,3,1,1,3
"17",1,3,1,1,1,2,2,2,2,2,3,3,2
"18",1,2,1,1,1,3,3,3,3,3,2,2,3
"19",1,3,1,1,1,2,2,2,2,2,3,3,2
"20",1,3,1,1,1,2,2,2,2,2,3,3,2
"21",3,1,3,3,3,2,2,2,2,2,1,1,2
"22",3,2,3,3,3,1,2,1,2,2,1,1,1
"23",3,1,3,3,3,2,2,2,2,2,1,1,2
"24",3,1,3,3,3,2,2,2,2,2,1,1,2
"25",1,3,1,1,1,2,2,2,2,2,3,3,2
"26",1,3,1,1,1,2,2,2,2,2,3,3,2
"27",1,2,1,1,1,3,3,3,3,3,2,2,3
"28",1,2,1,1,1,3,3,3,3,3,2,2,3
"29",2,2,3,3,3,1,1,1,1,1,1,2,1
"30",3,1,3,3,3,2,2,2,2,2,1,1,2
"31",3,1,3,3,3,2,2,2,2,2,1,1,2
"32",2,3,2,2,2,3,1,1,1,1,3,1,1
"33",2,2,3,3,3,1,1,1,1,1,1,2,1
"34",1,3,1,1,1,2,2,2,2,2,3,3,2
"35",3,2,3,3,3,2,1,1,1,1,2,1,1
"36",3,1,3,3,3,2,2,2,2,2,1,1,2
"37",3,2,3,3,3,1,1,1,1,1,2,2,1
"38",1,2,1,1,1,3,3,3,3,3,2,2,3
"39",3,3,1,1,1,2,2,2,2,2,2,3,2
"40",3,1,3,3,3,2,2,2,2,2,1,1,2
"41",1,3,1,1,1,2,2,2,2,2,3,3,2
"42",2,1,2,2,2,1,3,3,3,3,1,3,3
"43",3,1,3,3,3,2,2,2,2,2,1,1,2
"44",3,2,3,3,3,1,1,1,1,1,2,2,1
"45",3,3,1,1,1,2,2,2,2,2,2,3,2
"46",1,3,1,1,1,2,2,2,2,2,3,3,2
"47",3,2,3,3,3,1,1,1,1,1,2,2,1
"48",1,3,1,1,1,2,2,2,2,2,3,3,2
"49",3,2,3,3,3,1,1,1,1,1,2,2,1
"50",1,1,3,3,3,2,2,2,2,2,2,1,2
"51",2,1,2,2,2,3,3,3,3,3,1,1,3
"52",1,2,1,1,1,2,3,3,3,3,2,3,3
"53",2,1,2,2,2,1,3,3,3,3,1,3,3
"54",3,2,3,3,3,1,1,1,1,1,2,2,1
"55",1,3,1,1,1,2,2,2,2,2,3,3,2
"56",1,3,1,1,1,2,2,2,2,2,3,3,2
"57",1,1,2,2,2,3,3,3,3,3,3,1,3
"58",2,2,1,1,1,3,3,3,3,3,3,2,3
"59",1,3,1,1,1,2,2,2,2,2,3,3,2
"60",3,1,3,3,3,2,2,2,2,2,1,1,2
"61",1,2,1,1,1,3,3,3,3,3,2,2,3
"62",1,2,1,1,1,3,3,3,3,3,2,2,3
"63",3,1,3,3,3,2,2,2,2,2,1,1,2
"64",3,2,3,3,3,1,1,1,1,1,2,2,1
"65",4,4,1,1,1,2,3,2,3,3,2,2,2
"66",1,2,1,1,1,3,3,3,3,3,2,2,3
"67",1,3,1,1,1,2,2,2,2,2,3,3,2
"68",1,3,1,1,1,2,2,2,2,2,3,3,2
"69",1,3,1,1,1,2,2,2,2,2,3,3,2
"70",1,2,1,1,1,3,3,3,3,3,2,2,3
"71",2,2,3,3,3,1,1,1,1,1,1,2,1
"72",3,3,1,1,1,2,2,2,2,2,2,3,2
"73",1,3,1,1,1,2,2,2,2,2,3,3,2
"74",1,2,1,1,1,3,3,3,3,3,2,2,3
"75",1,3,1,1,1,2,2,2,2,2,3,3,2
"76",1,2,1,1,1,3,3,3,3,3,2,2,3
"77",3,1,3,3,3,2,2,2,2,2,1,1,2
"78",2,1,2,2,2,1,3,3,3,3,1,3,3
