"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23"
"1",3,4,4,1,2,4,4,4,4,4,4,4,5,2,4,2,2,4,4,4,4,4,4
"2",2,3,3,4,1,2,2,2,2,4,2,2,2,3,2,2,2,2,2,2,2,2,2
"3",3,2,4,5,5,2,2,2,2,5,2,2,1,5,2,5,5,2,2,2,2,2,2
"4",3,3,3,1,3,3,3,3,3,3,2,3,3,3,3,3,1,3,3,3,3,3,3
"5",4,5,3,5,1,5,5,5,5,1,5,5,5,2,5,5,1,5,5,5,5,5,5
"6",2,4,4,3,5,4,4,4,4,4,4,4,1,1,4,4,4,4,4,4,4,4,4
"7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8",1,3,3,5,4,2,2,2,2,2,1,2,2,4,2,4,4,2,2,2,1,2,2
"9",2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"10",2,1,1,3,4,5,5,5,5,5,5,5,5,5,5,5,3,5,5,5,5,5,5
"11",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1
"12",3,3,4,3,3,3,3,3,3,3,3,3,3,1,3,3,2,3,3,3,3,1,3
"13",5,5,4,3,5,5,5,5,5,3,3,5,5,1,5,2,3,5,5,5,5,5,5
"14",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15",1,2,2,3,4,1,1,1,1,1,1,1,1,3,1,3,3,1,1,1,1,1,1
"16",2,1,1,3,4,2,2,2,2,2,2,2,2,3,2,2,3,2,2,2,2,2,2
"17",1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1
"18",3,3,2,1,4,3,3,3,3,1,3,3,3,1,3,3,1,3,3,3,5,3,3
"19",1,3,3,3,3,3,3,3,3,2,3,3,3,2,3,3,3,3,3,3,3,3,3
"20",5,3,3,5,4,5,5,5,5,5,5,5,1,2,5,5,2,5,5,5,5,5,5
"21",1,3,3,1,1,2,1,1,1,2,1,1,1,2,1,1,2,1,2,1,4,1,1
"22",2,5,3,4,5,5,5,5,5,4,5,5,5,4,5,1,4,5,5,5,5,5,5
"23",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"24",4,3,1,3,3,3,3,3,3,2,3,3,3,2,3,3,2,3,3,3,3,3,3
"25",2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"26",2,2,1,3,5,2,2,2,2,3,3,2,4,5,2,5,5,2,2,2,2,2,2
"27",3,3,1,3,3,3,3,3,3,5,3,3,3,4,2,3,4,3,3,3,3,3,3
"28",2,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
"29",3,5,2,4,5,5,5,5,5,1,4,5,5,1,1,1,1,5,5,5,5,5,5
"30",2,1,1,4,3,1,1,1,1,4,1,1,1,4,1,4,4,1,1,1,1,1,1
"31",2,2,4,3,2,2,2,2,2,3,2,2,2,1,2,1,1,2,2,2,2,2,2
"32",3,6,6,4,5,1,1,1,1,4,4,1,2,7,1,1,7,1,1,1,1,1,1
"33",5,1,1,3,2,1,1,1,1,3,1,1,1,3,1,4,3,1,1,1,1,1,1
"34",1,2,2,3,2,2,2,2,2,2,2,2,2,3,2,2,3,2,2,2,2,2,2
"35",2,3,3,4,6,1,1,1,1,4,4,1,1,5,5,5,5,1,1,5,1,1,1
"36",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"37",2,5,5,4,1,2,2,2,2,2,2,2,3,5,2,2,2,2,2,2,2,2,2
"38",2,2,5,1,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2
"39",2,4,4,3,1,2,2,2,2,2,2,2,2,1,2,1,1,2,2,2,2,2,2
