"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41"
"1",3,1,8,1,4,2,6,6,6,7,5,6,9,4,5,7,2,7,7,6,4,7,5,7,7,2,1,1,4,5,5,4,6,6,6,5,1,5,7,2,2
"2",6,4,8,3,4,6,4,3,4,7,4,1,9,4,7,3,6,4,3,4,5,7,7,3,4,4,3,3,4,7,2,5,4,3,7,7,3,3,3,3,7
"3",6,2,7,2,2,5,1,6,1,6,6,2,8,3,4,5,5,4,5,1,1,5,6,5,4,5,2,2,2,6,3,1,1,2,6,3,5,6,5,5,5
"4",6,2,7,2,1,5,1,6,4,6,6,4,8,1,1,2,5,4,4,1,1,6,6,4,2,6,2,2,2,6,3,1,2,4,6,3,2,6,4,4,5
"5",2,5,7,5,6,2,6,5,1,4,6,5,8,1,4,3,2,5,3,6,6,4,4,3,4,3,5,5,6,4,1,6,6,5,4,1,5,3,3,3,2
"6",7,4,9,4,3,3,8,8,4,6,8,5,10,6,6,4,6,4,4,8,8,6,6,4,6,1,4,8,3,6,2,8,3,5,3,6,4,8,4,4,3
"7",5,3,9,3,3,3,6,5,6,5,1,7,10,1,5,3,3,3,6,1,2,3,1,6,6,1,3,5,1,5,8,2,1,6,1,8,6,5,6,4,1
"8",2,3,8,3,6,6,3,2,3,2,7,4,9,5,6,3,6,6,3,5,5,6,2,3,3,7,3,2,7,7,1,5,7,3,7,1,3,7,3,3,6
"9",4,3,7,3,2,6,4,4,6,1,4,2,8,1,6,3,6,6,3,4,4,1,1,3,6,1,3,4,2,1,5,4,2,3,1,6,3,4,3,3,1
"10",5,3,9,3,3,3,7,7,7,7,7,2,10,4,3,3,3,3,7,1,1,3,4,7,3,6,3,3,4,5,5,1,4,7,4,5,3,7,7,8,4
"11",6,2,7,2,4,6,4,3,4,1,5,3,8,5,2,1,6,2,1,4,4,1,5,1,1,1,2,3,5,5,5,4,3,3,5,5,2,4,1,1,1
"12",6,5,8,5,4,4,7,5,7,2,6,3,9,1,2,7,2,2,7,6,4,2,1,7,7,1,5,5,1,2,7,4,3,5,1,7,7,2,7,5,1
"13",4,8,9,8,8,3,6,4,6,7,8,6,10,8,7,2,3,7,6,8,5,7,7,6,8,3,8,4,8,7,1,5,8,6,8,7,6,7,6,3,3
"14",8,5,9,5,3,6,3,3,3,4,3,2,10,6,4,5,8,3,5,3,1,6,6,5,3,3,5,5,3,8,7,1,3,5,4,6,5,4,5,5,6
"15",6,7,8,7,5,1,4,4,2,1,4,5,9,5,1,7,1,7,4,4,4,1,1,4,1,2,7,7,5,1,3,4,5,4,1,3,7,4,2,7,1
"16",4,1,7,4,2,2,3,4,4,6,3,2,8,2,6,5,4,1,3,1,2,5,5,3,4,5,4,4,1,5,3,2,1,4,6,5,4,6,3,3,5
"17",2,1,8,5,1,6,4,4,3,6,4,7,9,3,6,6,6,5,4,4,1,6,3,4,6,6,5,5,1,6,3,1,7,4,7,3,5,4,4,4,6
"18",7,3,9,8,3,5,5,7,3,6,3,3,10,3,6,8,8,8,3,5,1,6,6,3,6,2,8,7,3,6,4,1,3,3,6,6,8,8,5,5,5
"19",1,2,7,3,2,1,4,4,4,2,5,4,8,2,2,3,1,3,3,4,5,1,1,3,2,1,3,3,2,1,6,5,4,4,4,6,3,4,3,3,1
"20",5,4,7,1,2,3,6,6,3,4,6,2,8,4,4,1,3,1,6,6,2,3,3,6,4,3,1,1,4,5,5,2,4,6,4,5,1,6,3,1,3
"21",1,5,8,5,3,7,3,1,3,1,3,3,9,7,1,5,7,5,3,3,4,7,7,3,5,7,5,1,3,7,2,4,3,3,1,7,5,1,3,6,7
"22",6,5,8,2,1,4,7,6,7,7,3,6,9,5,5,2,4,2,7,1,1,4,4,7,5,4,2,2,5,4,3,1,5,6,6,4,7,7,7,2,4
"23",7,2,9,8,2,1,6,8,2,3,2,8,10,2,3,5,1,8,6,2,4,3,3,6,3,1,8,8,2,3,2,4,2,8,3,3,8,6,6,1,1
"24",5,3,7,3,1,6,2,5,2,3,5,1,8,1,4,3,6,3,3,2,1,6,6,3,3,6,3,5,4,4,5,1,2,2,4,6,3,5,3,3,6
